experiment,trial,density,samples,miou,vehicle_iou,person_iou,background_iou,pixel_accuracy,baseline_rgb_miou,baseline_rgb_vehicle_iou,fusion_miou_delta_vs_rgb,learned_object_f1,learned_global_xy_mae_m,vehicle_gap_to_0p90,miou_gap_to_0p85,vehicle_iou_delta_vs_8loop,miou_delta_vs_8loop,device,device_name,metrics_path
baseline_8loop,baseline_8loop,overall,2182,0.825039661893194,0.8742479518216072,0.629648355550618,0.9712226783073569,0.9730282701864689,0.532207839481175,0.6510447255225746,0.292831822412019,0.2866490598762269,1.4303704246871527,0.025752048178392828,0.02496033810680598,0.0,0.0,,,/home/shr_aisvcs/workarea/carla_0_10_env/Carla-0.10.0-Linux-Shipping/PythonAPI/neu_collab/abiodun/experiments/moving_ego_tl16_spawn80_fixedroute_speed60_fusion_train_20260617/eval_moving_model_on_moving/metrics/test_fusion_evaluation_metrics.json
baseline_8loop,baseline_8loop,low,752,0.7932500747007203,0.7728457760995916,0.6339324641585456,0.9729719838440236,0.9742215391479203,0.45589858019293544,0.41847936409077774,0.33735149450778484,0.28001628001628004,1.36955850687289,0.12715422390040843,0.05674992529927969,0.0,0.0,cuda,NVIDIA GeForce RTX 5090 Laptop GPU,/home/shr_aisvcs/workarea/carla_0_10_env/Carla-0.10.0-Linux-Shipping/PythonAPI/neu_collab/abiodun/experiments/moving_ego_tl16_spawn80_fixedroute_speed60_fusion_train_20260617/eval_moving_model_on_moving_low/metrics/test_fusion_evaluation_metrics.json
baseline_8loop,baseline_8loop,medium,687,0.8122012790447523,0.8279457403204796,0.6375842511814422,0.9710738456323352,0.9726496021727923,0.5184550922771515,0.6095824730350753,0.2937461867676008,0.2839097121557258,1.4752335792650508,0.0720542596795204,0.03779872095524772,0.0,0.0,cuda,NVIDIA GeForce RTX 5090 Laptop GPU,/home/shr_aisvcs/workarea/carla_0_10_env/Carla-0.10.0-Linux-Shipping/PythonAPI/neu_collab/abiodun/experiments/moving_ego_tl16_spawn80_fixedroute_speed60_fusion_train_20260617/eval_moving_model_on_moving_medium/metrics/test_fusion_evaluation_metrics.json
baseline_8loop,baseline_8loop,crowded,743,0.8294288553304797,0.9025336480889463,0.6162432064447357,0.9695097114577568,0.972170674851858,0.5500682742291477,0.708657398850152,0.279360581101332,0.2921181809761971,1.417898144744169,0.0,0.020571144669520258,0.0,0.0,cuda,NVIDIA GeForce RTX 5090 Laptop GPU,/home/shr_aisvcs/workarea/carla_0_10_env/Carla-0.10.0-Linux-Shipping/PythonAPI/neu_collab/abiodun/experiments/moving_ego_tl16_spawn80_fixedroute_speed60_fusion_train_20260617/eval_moving_model_on_moving_crowded/metrics/test_fusion_evaluation_metrics.json
moredata_12loop,moredata_12loop,overall,3130,0.8132867515852699,0.8455069993766273,0.6235273331503308,0.9708259222288517,0.9725104998668797,0.5259807375922936,0.6301684855085068,0.2873060139929763,0.3068021704589741,1.3726384119677848,0.0544930006233727,0.036713248414730115,-0.028740952444979873,-0.011752910307924136,,,/home/shr_aisvcs/workarea/carla_0_10_env/Carla-0.10.0-Linux-Shipping/PythonAPI/neu_collab/abiodun/experiments/moving_ego_tl16_spawn80_fixedroute_speed60_fusion_train_20260618_moredata/eval_moving_model_on_moving/metrics/test_fusion_evaluation_metrics.json
moving_ego_tl16_spawn80_fixedroute_speed60_seg_tuning_20260622_vehicle_weight_tuning,vehicle_miou_obj025_vehicle_miou,crowded,743,0.8208737561892686,0.8878833598457101,0.6077614985378201,0.9669764101842758,0.9699348943729438,0.5500682742291477,0.708657398850152,0.2708054819601209,0.2740663308942317,1.4316881991829051,0.012116640154289926,0.029126243810731367,-0.01465028824323622,-0.008555099141211109,cuda,NVIDIA GeForce RTX 5090 Laptop GPU,/home/shr_aisvcs/workarea/carla_0_10_env/Carla-0.10.0-Linux-Shipping/PythonAPI/neu_collab/abiodun/experiments/moving_ego_tl16_spawn80_fixedroute_speed60_seg_tuning_20260622_vehicle_weight_tuning/eval_vehicle_miou_obj025_vehicle_miou_crowded/metrics/test_fusion_evaluation_metrics.json
moving_ego_tl16_spawn80_fixedroute_speed60_seg_tuning_20260622_vehicle_weight_tuning,vehicle_miou_obj025_vehicle_miou,low,752,0.7815316547926031,0.7468054986799852,0.6263809124938509,0.9714085532039735,0.9727663946489916,0.45589858019293544,0.41847936409077774,0.32563307459966767,0.27586206896551724,1.3710949606501754,0.15319450132001478,0.06846834520739686,-0.02604027741960635,-0.011718419908117172,cuda,NVIDIA GeForce RTX 5090 Laptop GPU,/home/shr_aisvcs/workarea/carla_0_10_env/Carla-0.10.0-Linux-Shipping/PythonAPI/neu_collab/abiodun/experiments/moving_ego_tl16_spawn80_fixedroute_speed60_seg_tuning_20260622_vehicle_weight_tuning/eval_vehicle_miou_obj025_vehicle_miou_low/metrics/test_fusion_evaluation_metrics.json
moving_ego_tl16_spawn80_fixedroute_speed60_seg_tuning_20260622_vehicle_weight_tuning,vehicle_miou_obj025_vehicle_miou,medium,687,0.8003351370867171,0.7986260299489905,0.6331673778034773,0.9692120035076836,0.9709665915489043,0.5184550922771515,0.6095824730350753,0.28188004480956563,0.26073979319901935,1.4655948832729428,0.10137397005100957,0.04966486291328287,-0.02931971037148917,-0.011866141958035148,cuda,NVIDIA GeForce RTX 5090 Laptop GPU,/home/shr_aisvcs/workarea/carla_0_10_env/Carla-0.10.0-Linux-Shipping/PythonAPI/neu_collab/abiodun/experiments/moving_ego_tl16_spawn80_fixedroute_speed60_seg_tuning_20260622_vehicle_weight_tuning/eval_vehicle_miou_obj025_vehicle_miou_medium/metrics/test_fusion_evaluation_metrics.json
moving_ego_tl16_spawn80_fixedroute_speed60_seg_tuning_20260622_vehicle_weight_tuning,vehicle_miou_obj025_vehicle_miou,overall,2182,0.8153829175748868,0.854106530764725,0.6227985707336103,0.9692436512263248,0.9712355653937838,0.532207839481175,0.6510447255225746,0.2831750780937118,0.26935836232704913,1.4320588703323147,0.04589346923527504,0.03461708242511319,-0.020141421056882214,-0.009656744318307209,cuda,NVIDIA GeForce RTX 5090 Laptop GPU,/home/shr_aisvcs/workarea/carla_0_10_env/Carla-0.10.0-Linux-Shipping/PythonAPI/neu_collab/abiodun/experiments/moving_ego_tl16_spawn80_fixedroute_speed60_seg_tuning_20260622_vehicle_weight_tuning/eval_vehicle_miou_obj025_vehicle_miou_overall/metrics/test_fusion_evaluation_metrics.json
moving_ego_tl16_spawn80_fixedroute_speed60_seg_tuning_20260622_vehicle_weight_tuning,vehicle_weighted_obj010_vehicle_iou,crowded,743,0.832006428090728,0.8904008243525421,0.635401874218391,0.9702165857012508,0.9728787345081875,0.5500682742291477,0.708657398850152,0.2819381538615803,0.22340643574502972,1.4781189677475721,0.009599175647457936,0.017993571909271977,-0.01213282373640423,0.002577572760248281,cuda,NVIDIA GeForce RTX 5090 Laptop GPU,/home/shr_aisvcs/workarea/carla_0_10_env/Carla-0.10.0-Linux-Shipping/PythonAPI/neu_collab/abiodun/experiments/moving_ego_tl16_spawn80_fixedroute_speed60_seg_tuning_20260622_vehicle_weight_tuning/eval_vehicle_weighted_obj010_vehicle_iou_crowded/metrics/test_fusion_evaluation_metrics.json
moving_ego_tl16_spawn80_fixedroute_speed60_seg_tuning_20260622_vehicle_weight_tuning,vehicle_weighted_obj010_vehicle_iou,low,752,0.7878221522640555,0.7363823414481999,0.6527133492685047,0.9743707660754619,0.9755741864287825,0.45589858019293544,0.41847936409077774,0.33192357207112005,0.24524674214911343,1.46803547074449,0.1636176585518001,0.06217784773594448,-0.03646343465139168,-0.005427922436664789,cuda,NVIDIA GeForce RTX 5090 Laptop GPU,/home/shr_aisvcs/workarea/carla_0_10_env/Carla-0.10.0-Linux-Shipping/PythonAPI/neu_collab/abiodun/experiments/moving_ego_tl16_spawn80_fixedroute_speed60_seg_tuning_20260622_vehicle_weight_tuning/eval_vehicle_weighted_obj010_vehicle_iou_low/metrics/test_fusion_evaluation_metrics.json
