spawn_index,x,y,z,yaw
0,-64.6448,24.471,0.6,0.1592
1,-67.2546,27.9638,0.6,0.1592
2,-87.623,12.9672,0.6,-179.8408
3,-84.9328,16.4747,0.6,-179.8408
4,-103.179,-14.4349,0.6,-89.3578
5,-106.6496,-17.074,0.6,-89.3578
6,-110.9637,59.6894,0.6,90.6422
7,-114.4321,56.8503,0.6,90.6422
8,-111.1204,72.8989,0.6,90.6422
9,-114.5887,70.0598,0.6,90.6422
10,-24.3368,-57.7856,0.6,0.5967
11,-110.1978,-9.8422,0.6,90.6422
12,-113.6482,-14.2812,0.6,90.6422
13,-109.9296,-23.4284,0.6,90.6422
14,-113.4035,-25.7675,0.6,90.6422
15,-56.8662,140.5356,0.6,0.3521
16,-54.3447,137.051,0.6,0.3521
17,3.0478,130.2101,0.6,-179.6478
18,5.6262,133.726,0.6,-179.6478
19,45.7657,137.46,0.6,0.3204
20,48.5461,140.9755,0.6,0.3204
21,99.3844,-6.3057,0.6,90.3907
22,53.1227,133.9466,0.6,-179.6795
23,55.5423,130.4601,0.6,-179.6795
24,-52.0739,100.189,0.6,89.8388
25,-48.5674,102.4792,0.6,89.8388
26,-52.0739,63.5381,0.6,89.8388
27,-48.5821,60.6282,0.6,89.8388
28,-41.6686,89.7455,0.6,-90.1612
29,-45.161,92.4553,0.6,-90.1612
30,-15.1482,69.714,0.6,0.0733
31,-1.0132,69.714,0.6,0.0733
32,98.8007,82.8908,0.6,90.3907
33,14.1301,69.714,0.6,0.0733
34,6.0065,66.2833,0.6,-179.9267
35,-7.967,66.2833,0.6,-179.9267
36,67.6597,69.8228,0.6,0.0733
37,79.0553,69.8228,0.6,0.0733
38,73.6329,66.3585,0.6,-179.9267
39,61.6026,66.3585,0.6,-179.9267
40,106.0288,67.42,0.6,-89.6093
41,109.5028,71.2438,0.6,-89.6093
42,106.0028,92.8129,0.6,-89.6093
43,40.3896,41.9455,0.6,89.2489
44,109.5233,89.8367,0.6,-89.6093
45,65.2353,13.4148,0.6,-179.8408
46,62.0255,16.9059,0.6,-179.8408
47,45.3829,13.4148,0.6,-179.8408
48,43.3731,16.9092,0.6,-179.8408
49,15.1431,16.6813,0.7,-179.8408
50,20.4528,13.1961,0.7,-179.8408
51,-20.1151,16.7491,0.6,-179.8408
52,-17.1054,13.2575,0.6,-179.8408
53,-0.7642,24.6131,0.6,0.1592
54,19.3502,137.46,0.6,0.3204
