class_name,density,global_xy_error_m,gt_bbox_area_px,gt_depth_m,gt_distance_m,match_status,radar_support_points,sample_id,score
person,low,1.3281883870991495,29.997733540978448,80.71509525239904,113.50543212890625,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000004_frame36935,0.5125251412391663
vehicle,low,2.126388833244555,59.17969899402542,100.02716049258729,108.85559844970703,tp,1.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000004_frame36935,0.6009964942932129
vehicle,low,nan,85.13682303512898,75.23750888257618,87.25244140625,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000004_frame36935,nan
vehicle,low,nan,270.7817383592307,53.68850989340468,61.8770866394043,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000004_frame36935,nan
vehicle,low,nan,90.99536404973009,96.6616873048835,106.8338851928711,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000004_frame36935,nan
vehicle,low,nan,92.64523029176304,77.12168713620221,87.73717498779297,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000004_frame36935,nan
person,low,nan,40.97713728702954,58.89520089944915,60.407718658447266,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000004_frame36935,nan
person,low,nan,98.17280554140788,48.44488059330101,80.1408462524414,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000004_frame36935,nan
person,low,nan,6112.613909223193,6.424319831110495,11.853343963623047,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000004_frame36935,nan
person,low,1.0974043705159968,28.174821099940853,82.74723431057193,114.12474822998047,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000011_frame36949,0.6574627757072449
person,low,1.2025589292124876,3145.334153063633,8.462729078079235,14.041646003723145,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000011_frame36949,0.4119388461112976
vehicle,low,1.4288569183786337,73.88505204926552,90.36928993511799,98.00939178466797,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000011_frame36949,0.3646237254142761
person,low,1.5519567190110573,110.79619942046801,46.25133529810404,79.55779266357422,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000011_frame36949,0.2741928696632385
vehicle,low,2.0629882469762046,116.20933947841039,86.95904677097025,95.92308807373047,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000011_frame36949,0.42330268025398254
vehicle,low,nan,65.83880228121782,85.35883799745199,98.79151153564453,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000011_frame36949,nan
vehicle,low,nan,144.37215811457094,64.46020455661784,73.30171966552734,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000011_frame36949,nan
vehicle,low,nan,68.67148308144917,87.08638128868729,99.05193328857422,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000011_frame36949,nan
person,low,nan,39.90639648485179,60.09859577497292,62.01028060913086,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000011_frame36949,nan
person,low,1.130617783722255,2315.102283130542,9.627565008872978,15.317826271057129,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000015_frame36957,0.6793793439865112
vehicle,low,1.1838829720412491,133.37792494132435,81.18932407279198,89.39627838134766,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000015_frame36957,0.5269787311553955
person,low,1.1916047827921168,27.203757001650775,83.90846259773936,114.4993667602539,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000015_frame36957,0.7214241623878479
person,low,2.9430685527747014,117.50381233800326,45.00175469252001,79.26226806640625,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000015_frame36957,0.3635428845882416
vehicle,low,nan,57.346841277446856,91.14708129371128,105.39002990722656,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000015_frame36957,nan
vehicle,low,nan,131.33556117057782,70.33870379311315,79.87779235839844,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000015_frame36957,nan
vehicle,low,nan,85.47701992339489,84.62016262429019,91.57110595703125,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000015_frame36957,nan
vehicle,low,nan,63.02538033824499,92.82402799168547,105.60398864746094,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000015_frame36957,nan
person,low,nan,39.30846444809912,60.78624947485679,62.948116302490234,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000015_frame36957,nan
person,low,0.1804558066489896,967.8488452179452,13.995669697808154,20.20115852355957,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000030_frame36987,0.8601388931274414
person,low,0.7557077961417116,23.263389520443152,88.14001973692403,115.86698150634766,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000030_frame36987,0.705133855342865
vehicle,low,2.1552165487208366,242.64298283160602,61.671956756230216,67.54153442382812,tp,1.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000030_frame36987,0.46501198410987854
vehicle,low,nan,37.50856253758002,112.83412554698768,130.1369171142578,fn,1.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000030_frame36987,nan
vehicle,low,nan,79.01334096457272,91.90770672804652,104.46377563476562,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000030_frame36987,nan
vehicle,low,nan,157.83700759209003,64.73963586436379,69.49384307861328,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000030_frame36987,nan
vehicle,low,nan,39.850644125230254,114.47878442931663,130.2969970703125,fn,2.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000030_frame36987,nan
person,low,nan,37.15621646879211,63.36495129978479,66.59486389160156,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000030_frame36987,nan
person,low,nan,178.3630272597452,40.202782167827095,77.77251434326172,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000030_frame36987,nan
vehicle,low,0.869802219944277,46.80469391066781,116.29912273082499,132.29351806640625,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000047_frame37021,0.821087121963501
person,low,1.8492792685526505,486.39723890702396,18.950409129883667,25.841327667236328,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000047_frame37021,0.31413784623146057
person,low,1.8998464052329815,21.845073078509188,90.88767514817741,114.9405746459961,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000047_frame37021,0.46559208631515503
vehicle,low,nan,411.92467930682574,45.723078058694895,50.014137268066406,fn,2.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000047_frame37021,nan
vehicle,low,nan,290.86750438742104,49.45769695729133,52.842567443847656,fn,2.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000047_frame37021,nan
person,low,nan,34.88560605309978,66.28747952429123,70.94477081298828,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000047_frame37021,nan
person,low,1.197299170810852,21.402570611227777,91.2373841217099,114.52698516845703,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000052_frame37031,0.6659881472587585
person,low,2.8488910333195485,412.1730334990129,20.40374947071922,27.509292602539062,tp,1.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000052_frame37031,0.7141279578208923
vehicle,low,nan,41.33772372077891,122.96295758300255,139.8583526611328,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000052_frame37031,nan
vehicle,low,nan,738.2521214019337,37.770548803455746,41.98862075805664,fn,2.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000052_frame37031,nan
vehicle,low,nan,419.79181808957844,42.733322149577184,45.71183776855469,fn,1.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000052_frame37031,nan
person,low,nan,34.25081650117044,67.14704652477509,72.26231384277344,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000052_frame37031,nan
person,low,0.814365866469071,353.5675862207735,21.857909831405593,29.18148422241211,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000057_frame37041,0.6331421732902527
vehicle,low,nan,1738.8260638203155,30.2985252285128,35.848876953125,fn,6.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000057_frame37041,nan
vehicle,low,nan,640.6110813989978,35.54621611029163,38.29182434082031,fn,6.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000057_frame37041,nan
person,low,nan,33.630616755854035,68.00661274890292,73.59554290771484,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000057_frame37041,nan
person,low,nan,20.304057343806434,91.30433364878523,114.49835968017578,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000057_frame37041,nan
person,low,0.46866737252236895,347.2133562238624,22.55260693709863,30.114608764648438,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000060_frame37047,0.6194659471511841
person,low,0.989485400635881,33.2653837232614,68.52235392454283,74.40265655517578,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000060_frame37047,0.22994893789291382
person,low,1.0209318961430467,22.730399124114875,91.48541700140524,113.99955749511719,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000060_frame37047,0.40129685401916504
vehicle,low,1.6798190601137089,2445.3254376640834,26.793461523727416,33.8663444519043,tp,6.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000060_frame37047,0.5704118013381958
vehicle,low,2.1968960115433322,902.783786056158,31.221865818806386,34.0161018371582,tp,6.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000060_frame37047,0.8251405954360962
vehicle,low,0.1488995908872524,13125.576692591323,4.940804589082006,17.825542449951172,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000089_frame37105,0.8671647310256958
person,low,0.9520408704909911,23.347534254160447,88.27903712759047,106.0832290649414,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000089_frame37105,0.8478235602378845
person,low,1.5580600443193193,187.27925305545912,29.278729472543162,37.78831100463867,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000089_frame37105,0.5159047245979309
person,low,2.035579990678534,29.987912427212933,73.5079478770112,82.44844055175781,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000089_frame37105,0.6689313650131226
vehicle,low,0.3787298692317254,13125.576692591323,4.940804589082006,17.825542449951172,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000098_frame37123,0.9179873466491699
person,low,0.9781047121259938,29.058540605095956,75.05521508279112,85.02314758300781,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000098_frame37123,0.7655594348907471
person,low,1.4231574479391895,155.23279356827032,31.909401863092654,40.81986999511719,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000098_frame37123,0.8484874963760376
person,low,1.8653335722390325,23.61319349150802,87.23250885284467,103.64619445800781,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000098_frame37123,0.8487411737442017
vehicle,low,0.5386405599592009,13125.576692591323,4.940804589082006,17.825542449951172,tp,1.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000101_frame37129,0.8683354258537292
person,low,1.2514968296064557,23.701522807003965,86.88386471689788,102.84130096435547,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000101_frame37129,0.7755982279777527
person,low,1.3471618334195248,28.757402291816614,75.5709708180511,85.88845825195312,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000101_frame37129,0.6516218781471252
person,low,nan,146.35028820250497,32.78600056714825,41.8311767578125,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000101_frame37129,nan
vehicle,low,0.27650696837157906,13125.576692591323,4.940804589082006,17.825542449951172,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000111_frame37149,0.8922906517982483
person,low,0.8474065662742513,23.994029940853096,85.71533146790703,100.18531036376953,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000111_frame37149,0.5827094316482544
person,low,nan,26.138025532401837,77.23320264196676,88.7437744140625,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000111_frame37149,nan
person,low,nan,123.69042799496303,35.70082812220543,45.184112548828125,fn,1.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000111_frame37149,nan
vehicle,low,0.2621463401437231,13125.576692591323,4.940804589082006,17.825542449951172,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000113_frame37153,0.8545027375221252
person,low,nan,21.286734759306373,77.84926218520748,89.41874694824219,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000113_frame37153,nan
person,low,nan,24.052215927033362,85.48143056397505,99.6595230102539,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000113_frame37153,nan
person,low,nan,121.45110367253915,36.306776303468006,45.84185791015625,fn,1.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000113_frame37153,nan
vehicle,low,0.08698032034670553,13125.576692591323,4.940804589082006,17.825542449951172,tp,1.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000114_frame37155,0.9064913988113403
person,low,0.17143157820809593,22.99414499848523,78.1787572556564,89.7544937133789,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000114_frame37155,0.3426743447780609
person,low,2.584930835103908,24.081341409489934,85.36523614109541,99.39746856689453,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000114_frame37155,0.4954240322113037
person,low,nan,110.58809826462809,36.547025621425206,46.18052673339844,fn,1.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000114_frame37155,nan
vehicle,low,0.12468679677510054,13125.576692591323,4.940804589082006,17.825542449951172,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000117_frame37161,0.8663001656532288
person,low,nan,22.725285342511686,79.08860810933858,90.70071411132812,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000117_frame37161,nan
person,low,nan,23.26125268557109,85.08040869654438,98.74715423583984,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000117_frame37161,nan
person,low,nan,140.8441151878311,36.84078669901049,46.93156814575195,fn,1.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000117_frame37161,nan
