ego_x,ego_y,ego_z
102.930038452,-9.381519318,0.000000000
102.926628113,-8.881530762,0.000000000
102.923217773,-8.381542206,0.000000000
102.919807434,-7.881554127,0.000000000
102.916397095,-7.381566048,0.000000000
102.912986755,-6.881577969,0.000000000
102.909576416,-6.381589413,0.000000000
102.906166077,-5.881600857,0.000000000
102.902755737,-5.381612778,0.000000000
102.896560669,-4.473246098,0.000000000
102.896560669,-4.473246098,0.000000000
102.893150330,-3.973257303,0.000000000
102.889739990,-3.473268747,0.000000000
102.886329651,-2.973280191,0.000000000
102.882919312,-2.473291636,0.000000000
102.879508972,-1.973303080,0.000000000
102.876098633,-1.473314524,0.000000000
102.872688293,-0.973326027,0.000000000
102.869277954,-0.473337442,0.000000000
102.865867615,0.026651103,0.000000000
102.862457275,0.526639640,0.000000000
102.859046936,1.026628256,0.000000000
102.855636597,1.526616812,0.000000000
102.852226257,2.026605368,0.000000000
102.848823547,2.526590109,0.000000000
102.845413208,3.026578665,0.000000000
102.842002869,3.526567221,0.000000000
102.838592529,4.026555538,0.000000000
102.835182190,4.526544094,0.000000000
102.831771851,5.026532650,0.000000000
102.828361511,5.526521206,0.000000000
102.824951172,6.026509762,0.000000000
102.821540833,6.526498318,0.000000000
102.818130493,7.026486874,0.000000000
102.814720154,7.526475430,0.000000000
102.811309814,8.026464462,0.000000000
102.807899475,8.526453018,0.000000000
102.804489136,9.026441574,0.000000000
102.801078796,9.526430130,0.000000000
102.797668457,10.026418686,0.000000000
102.794258118,10.526405334,0.000000000
102.790855408,11.026393890,0.000000000
102.787445068,11.526382446,0.000000000
102.784034729,12.026371002,0.000000000
102.780624390,12.526359558,0.000000000
102.777214050,13.026348114,0.000000000
102.773803711,13.526336670,0.000000000
102.770393372,14.026325226,0.000000000
102.766983032,14.526313782,0.000000000
102.763572693,15.026302338,0.000000000
102.760162354,15.526288986,0.000000000
102.756752014,16.026277542,0.000000000
102.753341675,16.526266098,0.000000000
102.749931335,17.026254654,0.000000000
102.746520996,17.526243210,0.000000000
102.743110657,18.026231766,0.000000000
102.739700317,18.526220322,0.000000000
102.736289978,19.026208878,0.000000000
102.732887268,19.526197433,0.000000000
102.729476929,20.026185989,0.000000000
102.726066589,20.526174545,0.000000000
102.722656250,21.026161194,0.000000000
102.719245911,21.526149750,0.000000000
102.715835571,22.026138306,0.000000000
102.712425232,22.526126862,0.000000000
102.709014893,23.026115417,0.000000000
102.705604553,23.526103973,0.000000000
102.702194214,24.026092529,0.000000000
102.698783875,24.526081085,0.000000000
102.695373535,25.026069641,0.000000000
102.691963196,25.526058197,0.000000000
102.688552856,26.026044846,0.000000000
102.685142517,26.526033401,0.000000000
102.681732178,27.026021957,0.000000000
102.678321838,27.526010513,0.000000000
102.674919128,28.025999069,0.000000000
102.671508789,28.525987625,0.000000000
102.668098450,29.025976181,0.000000000
102.664688110,29.525964737,0.000000000
102.661277771,30.025953293,0.000000000
102.657867432,30.525941849,0.000000000
102.654457092,31.025930405,0.000000000
102.651046753,31.525918961,0.000000000
102.647636414,32.025905609,0.000000000
102.644226074,32.525890350,0.000000000
102.640815735,33.025882721,0.000000000
102.637405396,33.525867462,0.000000000
102.633995056,34.025859833,0.000000000
102.630584717,34.525844574,0.000000000
102.627174377,35.025833130,0.000000000
102.623764038,35.525821686,0.000000000
102.620353699,36.025810242,0.000000000
102.616950989,36.525798798,0.000000000
102.613540649,37.025787354,0.000000000
102.610130310,37.525775909,0.000000000
102.606719971,38.025764465,0.000000000
102.603309631,38.525753021,0.000000000
102.599899292,39.025741577,0.000000000
102.596488953,39.525730133,0.000000000
102.593078613,40.025718689,0.000000000
102.589668274,40.525707245,0.000000000
102.586257935,41.025695801,0.000000000
102.582847595,41.525684357,0.000000000
102.578483582,42.165668488,0.000000000
102.578483582,42.165668488,0.000000000
102.575073242,42.665657043,0.000000000
102.571662903,43.165645599,0.000000000
