model,quant,roi,profile,density_bin,frames,gt_objs,payload_kb,recall,precision,recall_veh,recall_ped,loc_m,fp_per_frame,pred_per_frame,transport_ms_derived
ae128,per_channel_uint4,0.0,ae128/u4/q0,0,483,0,129.9302,nan,0.0,nan,nan,nan,0.0476,0.0476,2.252
ae128,per_channel_uint4,0.0,ae128/u4/q0,1-2,1091,1579,129.1912,0.9386,0.5184,0.9515,0.9056,0.7509,1.2621,2.6205,2.245
ae128,per_channel_uint4,0.0,ae128/u4/q0,3-4,453,1528,128.6881,0.9038,0.5443,0.9138,0.8878,0.9133,2.5519,5.6004,2.241
ae128,per_channel_uint4,0.0,ae128/u4/q0,5+,135,792,127.8793,0.8662,0.5976,0.868,0.8643,1.0924,3.4222,8.5037,2.234
ae128,per_channel_uint4,0.0,ae128/u4/q0,ALL,2162,3899,129.169,0.9102,0.5404,0.9238,0.8868,0.8801,1.3959,3.0375,2.245
ae128,per_channel_uint4,0.3,ae128/u4/q0.3,0,483,0,96.7532,nan,0.0,nan,nan,nan,0.0455,0.0455,1.95
ae128,per_channel_uint4,0.3,ae128/u4/q0.3,1-2,1091,1579,96.4482,0.9379,0.5164,0.9489,0.9101,0.7442,1.2713,2.6288,1.947
ae128,per_channel_uint4,0.3,ae128/u4/q0.3,3-4,453,1528,96.3331,0.9025,0.5472,0.9128,0.8861,0.921,2.5188,5.5629,1.946
ae128,per_channel_uint4,0.3,ae128/u4/q0.3,5+,135,792,95.3913,0.8699,0.5976,0.8807,0.8593,1.1062,3.437,8.5407,1.937
ae128,per_channel_uint4,0.3,ae128/u4/q0.3,ALL,2162,3899,96.4262,0.9102,0.5408,0.9242,0.8861,0.8832,1.3941,3.0356,1.947
ae128,per_channel_uint4,0.5,ae128/u4/q0.5,0,483,0,79.4057,nan,0.0,nan,nan,nan,0.0518,0.0518,1.791
ae128,per_channel_uint4,0.5,ae128/u4/q0.5,1-2,1091,1579,79.144,0.9329,0.5007,0.9506,0.8876,0.7913,1.3465,2.6966,1.789
ae128,per_channel_uint4,0.5,ae128/u4/q0.5,3-4,453,1528,79.5239,0.909,0.5388,0.9181,0.8946,0.9778,2.6247,5.6909,1.792
ae128,per_channel_uint4,0.5,ae128/u4/q0.5,5+,135,792,78.3085,0.8561,0.5845,0.8706,0.8417,1.1745,3.5704,8.5926,1.781
ae128,per_channel_uint4,0.5,ae128/u4/q0.5,ALL,2162,3899,79.2299,0.9079,0.528,0.9254,0.8777,0.9378,1.4639,3.1013,1.79
ae128,per_channel_uint4,0.7,ae128/u4/q0.7,0,483,0,58.3461,nan,0.0,nan,nan,nan,0.0621,0.0621,1.599
ae128,per_channel_uint4,0.7,ae128/u4/q0.7,1-2,1091,1579,59.5469,0.9354,0.5003,0.955,0.8854,0.8009,1.352,2.7058,1.61
ae128,per_channel_uint4,0.7,ae128/u4/q0.7,3-4,453,1528,61.0146,0.9031,0.5386,0.9106,0.8912,0.9882,2.6093,5.6556,1.623
ae128,per_channel_uint4,0.7,ae128/u4/q0.7,5+,135,792,59.9428,0.8573,0.5843,0.8756,0.8392,1.1704,3.5778,8.6074,1.614
