1787450439298756336,1665084362307600,connecting to 127.0.0.1:2031
1787450439298784717,1665084362329728,turning ON GNB_MAC_UL_MCS_DECISION
1787450439298802971,1665084362347918,time,rnti,frame,slot,sched_frame,sched_slot,avg_snr_x10,mcs_table,ul_bler_mcs_before,selected_mcs,pre_phr_mcs,post_phr_mcs,final_mcs,estimated_ul_buffer,sched_ul_bytes,B,min_rb,available_rb_before,available_rb_after,ph,pcmax,rb_size_final,tbs_final,force_ul_mcs
1787450439388414518,1665084451960155,19:00:39.388042,65144,889,2,889,8,471,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450439446446488,1665084509992295,19:00:39.445247,65144,899,2,899,8,472,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450439502244574,1665084565790119,19:00:39.501896,65144,909,2,909,8,473,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450439560109501,1665084623654584,19:00:39.559080,65144,919,2,919,8,474,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450439617024413,1665084680569669,19:00:39.615938,65144,929,2,929,8,474,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450439673947707,1665084737493216,19:00:39.672842,65144,939,2,939,8,475,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450439730911167,1665084794456658,19:00:39.729859,65144,949,2,949,8,476,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450439790946049,1665084854491233,19:00:39.789748,65144,959,2,959,8,477,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450439855246528,1665084918793019,19:00:39.854990,65144,969,2,969,8,477,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450439923755197,1665084987301475,19:00:39.923505,65144,979,2,979,8,478,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450439995268141,1665085058814534,19:00:39.994526,65144,989,2,989,8,479,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450440065728689,1665085129274289,19:00:40.065459,65144,999,2,999,8,479,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450440136287764,1665085199833581,19:00:40.135149,65144,1009,2,1009,8,480,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450440204641936,1665085268187876,19:00:40.204378,65144,1019,2,1019,8,480,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450440274156836,1665085337703031,19:00:40.273352,65144,5,2,5,8,481,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450440342978153,1665085406523743,19:00:40.342215,65144,15,2,15,8,482,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450440411526774,1665085475072331,19:00:40.410729,65144,25,2,25,8,482,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450440479935199,1665085543481420,19:00:40.479303,65144,35,2,35,8,483,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450440548506575,1665085612052209,19:00:40.548002,65144,45,2,45,8,483,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450440616910536,1665085680456286,19:00:40.616780,65144,55,2,55,8,484,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450440690730219,1665085754292801,19:00:40.690062,65144,65,2,65,8,484,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450440764713457,1665085828259581,19:00:40.763730,65144,75,2,75,8,485,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450440831952613,1665085895498556,19:00:40.831767,65144,85,2,85,8,485,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450440901379230,1665085964924704,19:00:40.900270,65144,95,2,95,8,486,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450440968805488,1665086032351588,19:00:40.968687,65144,105,2,105,8,486,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450441138391676,1665086201937546,19:00:41.137279,65144,115,2,115,8,487,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450441204432173,1665086267978700,19:00:41.203308,65144,125,2,125,8,487,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450441272109244,1665086335655606,19:00:41.271750,65144,135,2,135,8,488,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450441340838744,1665086404384370,19:00:41.339783,65144,145,2,145,8,488,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450441407072357,1665086470618352,19:00:41.406078,65144,154,11,154,17,488,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787450441410211233,1665086473756460,19:00:41.409525,65144,155,1,155,7,488,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787450441413407824,1665086476953081,19:00:41.412893,65144,155,11,155,17,489,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450441414516805,1665086478062026,19:00:41.413246,65144,155,12,155,18,489,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450441416637884,1665086480183107,19:00:41.416270,65144,156,1,156,7,489,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450441418033874,1665086481579109,19:00:41.416596,65144,156,2,156,8,489,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450441430371679,1665086493916796,19:00:41.429918,65144,158,1,158,7,490,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,106,-1
1787450441433674209,1665086497219573,19:00:41.433363,65144,158,11,158,17,490,0,28,28,28,28,28,0,106,0,5,5,5,61,20,5,106,-1
1787450441498967409,1665086562512926,19:00:41.498582,65144,168,2,168,8,491,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,437,-1
1787450441505279250,1665086568824836,19:00:41.505065,65144,169,1,169,7,492,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450441506285612,1665086569830599,19:00:41.505373,65144,169,2,169,8,492,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450441509581385,1665086573126973,19:00:41.508432,65144,169,11,169,17,492,0,28,28,28,28,28,2806,2850,0,5,5,5,48,20,5,106,-1
1787450441522672368,1665086586217708,19:00:41.522156,65144,171,11,171,17,493,0,28,28,28,28,28,0,0,0,5,5,5,49,20,5,106,-1
1787450441525926853,1665086589472256,19:00:41.525666,65144,172,1,172,7,493,0,28,28,28,28,28,0,106,0,5,5,5,49,20,5,106,-1
1787450441596635831,1665086660181236,19:00:41.596182,65144,182,2,182,8,493,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450441603086155,1665086666631414,19:00:41.602686,65144,183,1,183,7,493,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450441603109790,1665086666654771,19:00:41.603016,65144,183,2,183,8,493,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450441606234029,1665086669778997,19:00:41.605997,65144,183,11,183,17,493,0,28,28,28,28,28,2806,2850,0,5,5,5,48,20,5,106,-1
1787450441620156320,1665086683701687,19:00:41.619843,65144,185,11,185,17,494,0,28,28,28,28,28,0,0,0,5,5,5,49,20,5,106,-1
1787450441624296497,1665086687841526,19:00:41.623646,65144,186,1,186,7,494,0,28,28,28,28,28,0,106,0,5,5,5,49,20,5,106,-1
1787450441692875670,1665086756421258,19:00:41.691791,65144,196,2,196,8,495,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450441706632818,1665086770177938,19:00:41.705757,65144,198,1,198,7,495,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787450441709801220,1665086773346201,19:00:41.709037,65144,198,11,198,17,495,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787450441713011267,1665086776556264,19:00:41.712488,65144,199,1,199,7,495,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450441713014842,1665086776559768,19:00:41.712797,65144,199,2,199,8,495,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450441716182662,1665086779727654,19:00:41.715980,65144,199,11,199,17,495,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450441717262270,1665086780807307,19:00:41.716289,65144,199,12,199,18,495,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450441729946931,1665086793491937,19:00:41.729680,65144,201,11,201,17,496,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,106,-1
1787450441733145795,1665086796691136,19:00:41.732970,65144,202,1,202,7,496,0,28,28,28,28,28,0,106,0,5,5,5,61,20,5,106,-1
1787450441807948996,1665086871494566,19:00:41.806980,65144,212,1,212,7,497,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787450441811079497,1665086874624511,19:00:41.810313,65144,212,11,212,17,497,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787450441814266390,1665086877811420,19:00:41.813523,65144,213,1,213,7,497,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450441814269351,1665086877814288,19:00:41.813826,65144,213,2,213,8,497,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450441817444650,1665086880989825,19:00:41.816707,65144,213,11,213,17,497,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450441817447707,1665086880992634,19:00:41.817021,65144,213,12,213,18,497,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450441831180040,1665086894725136,19:00:41.830535,65144,215,11,215,17,497,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,106,-1
1787450441834337023,1665086897882092,19:00:41.834279,65144,216,1,216,7,497,0,28,28,28,28,28,0,106,0,5,5,5,61,20,5,106,-1
1787450441903149984,1665086966695330,19:00:41.902963,65144,226,2,226,8,498,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450441906405551,1665086969950766,19:00:41.905946,65144,226,11,226,17,498,0,28,28,28,28,28,0,480,0,5,5,5,48,20,5,106,-1
1787450441910170495,1665086973715684,19:00:41.909346,65144,227,1,227,7,498,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450441910199252,1665086973744218,19:00:41.909664,65144,227,2,227,8,498,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450441913379833,1665086976924944,19:00:41.912733,65144,227,11,227,17,498,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450441913414629,1665086976959559,19:00:41.913047,65144,227,12,227,18,498,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450441978860981,1665087042406619,19:00:41.977963,65144,237,2,237,8,499,0,28,28,28,28,28,0,0,0,5,5,5,49,20,5,480,-1
1787450442009083322,1665087072628943,19:00:42.008299,65144,241,11,241,17,499,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787450442012193030,1665087075738248,19:00:42.011668,65144,242,1,242,7,499,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787450442015408166,1665087078953477,19:00:42.015071,65144,242,11,242,17,499,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450442016471976,1665087080017136,19:00:42.015389,65144,242,12,242,18,499,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450442018746150,1665087082291582,19:00:42.018517,65144,243,1,243,7,499,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450442019867606,1665087083413225,19:00:42.018857,65144,243,2,243,8,499,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450442033812258,1665087097358057,19:00:42.032757,65144,245,1,245,7,499,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,106,-1
1787450442037139504,1665087100685096,19:00:42.036119,65144,245,11,245,17,499,0,28,28,28,28,28,0,106,0,5,5,5,61,20,5,106,-1
1787450442145898374,1665087209443629,19:00:42.145172,65144,248,11,248,17,500,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787450442149164040,1665087212709787,19:00:42.148298,65144,249,1,249,7,500,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787450442152757114,1665087216302427,19:00:42.151382,65144,249,11,249,17,500,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450442152786585,1665087216331592,19:00:42.151700,65144,249,12,249,18,500,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450442154854912,1665087218400247,19:00:42.154564,65144,250,1,250,7,500,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450442156080910,1665087219626639,19:00:42.154853,65144,250,2,250,8,500,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450442167740382,1665087231285659,19:00:42.167389,65144,252,1,252,7,500,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,106,-1
1787450442170963676,1665087234509424,19:00:42.170692,65144,252,11,252,17,500,0,28,28,28,28,28,0,106,0,5,5,5,61,20,5,106,-1
1787450442207043819,1665087270589339,19:00:42.205947,65144,258,1,258,7,500,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787450442210338868,1665087273884457,19:00:42.209135,65144,258,11,258,17,500,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787450442212587026,1665087276132867,19:00:42.212264,65144,259,1,259,7,500,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450442213414001,1665087276959281,19:00:42.212562,65144,259,2,259,8,500,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450442216946701,1665087280492376,19:00:42.215472,65144,259,11,259,17,500,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450442216990806,1665087280536035,19:00:42.215773,65144,259,12,259,18,500,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450442229539333,1665087293085135,19:00:42.228220,65144,261,11,261,17,501,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,106,-1
1787450442232710857,1665087296256607,19:00:42.231403,65144,262,1,262,7,501,0,28,28,28,28,28,0,106,0,5,5,5,61,20,5,106,-1
1787450442295849504,1665087359395185,19:00:42.295381,65144,272,2,272,8,501,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,437,-1
1787450442308508088,1665087372053475,19:00:42.307857,65144,274,1,274,7,501,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787450442311603401,1665087375148445,19:00:42.311084,65144,274,11,274,17,501,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787450442314918048,1665087378463396,19:00:42.314251,65144,275,1,275,7,501,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450442314938440,1665087378483442,19:00:42.314551,65144,275,2,275,8,501,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450442318066570,1665087381612167,19:00:42.317484,65144,275,11,275,17,501,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450442318103746,1665087381648946,19:00:42.317789,65144,275,12,275,18,501,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450442330948285,1665087394493578,19:00:42.330313,65144,277,11,277,17,501,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,106,-1
1787450442334171131,1665087397716389,19:00:42.333528,65144,278,1,278,7,501,0,28,28,28,28,28,0,106,0,5,5,5,61,20,5,106,-1
1787450442397339117,1665087460884412,19:00:42.397018,65144,288,2,288,8,501,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,437,-1
1787450442403907883,1665087467453611,19:00:42.403012,65144,289,1,289,7,501,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450442403943020,1665087467488014,19:00:42.403322,65144,289,2,289,8,501,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450442407028706,1665087470573979,19:00:42.406233,65144,289,11,289,17,501,0,28,28,28,28,28,2806,2850,0,5,5,5,48,20,5,106,-1
1787450442419914997,1665087483460335,19:00:42.418963,65144,291,11,291,17,502,0,28,28,28,28,28,0,0,0,5,5,5,49,20,5,106,-1
1787450442422884042,1665087486429317,19:00:42.422151,65144,292,1,292,7,502,0,28,28,28,28,28,0,106,0,5,5,5,49,20,5,106,-1
1787450442487276917,1665087550822488,19:00:42.486259,65144,302,2,302,8,502,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450442506114919,1665087569660197,19:00:42.505290,65144,305,1,305,7,502,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787450442509313259,1665087572858618,19:00:42.508478,65144,305,11,305,17,502,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787450442512528877,1665087576074452,19:00:42.511686,65144,306,1,306,7,502,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450442512565433,1665087576110599,19:00:42.511989,65144,306,2,306,8,502,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450442515784198,1665087579329913,19:00:42.514896,65144,306,11,306,17,502,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450442515829126,1665087579374374,19:00:42.515188,65144,306,12,306,18,502,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450442528386870,1665087591932126,19:00:42.527653,65144,308,11,308,17,502,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,106,-1
1787450442531693910,1665087595239487,19:00:42.531029,65144,309,1,309,7,502,0,28,28,28,28,28,0,106,0,5,5,5,61,20,5,106,-1
1787450442596231612,1665087659777308,19:00:42.595099,65144,319,2,319,8,502,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450442602614065,1665087666159103,19:00:42.601544,65144,320,1,320,7,502,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450442602617312,1665087666162244,19:00:42.601832,65144,320,2,320,8,502,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,8,704,-1
1787450442605818659,1665087669363681,19:00:42.604867,65144,320,11,320,17,502,0,28,28,28,28,28,2806,2882,0,5,5,5,48,20,5,106,-1
1787450442618698117,1665087682243392,19:00:42.618175,65144,322,11,322,17,502,0,28,28,28,28,28,0,0,0,5,5,5,50,20,5,106,-1
1787450442621944623,1665087685489869,19:00:42.621275,65144,323,1,323,7,502,0,28,28,28,28,28,0,106,0,5,5,5,50,20,5,106,-1
1787450442687144918,1665087750690639,19:00:42.686118,65144,333,2,333,8,502,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450442705391708,1665087768937029,19:00:42.704789,65144,336,1,336,7,502,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787450442708480772,1665087772026001,19:00:42.707956,65144,336,11,336,17,502,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787450442711784043,1665087775329229,19:00:42.711224,65144,337,1,337,7,502,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450442712809916,1665087776354849,19:00:42.711557,65144,337,2,337,8,502,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450442715039394,1665087778584461,19:00:42.714447,65144,337,11,337,17,502,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450442715870416,1665087779415334,19:00:42.714752,65144,337,12,337,18,502,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450442728003325,1665087791549053,19:00:42.727211,65144,339,11,339,17,502,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,106,-1
1787450442731516738,1665087795062006,19:00:42.730317,65144,340,1,340,7,502,0,28,28,28,28,28,0,106,0,5,5,5,61,20,5,106,-1
1787450442795748258,1665087859294089,19:00:42.794460,65144,350,2,350,8,503,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450442800979939,1665087864524991,19:00:42.800568,65144,351,1,351,7,503,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450442802034664,1665087865579669,19:00:42.800894,65144,351,2,351,8,503,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450442804207240,1665087867752256,19:00:42.803780,65144,351,11,351,17,503,0,28,28,28,28,28,2806,2850,0,5,5,5,48,20,5,106,-1
1787450442818019106,1665087881564166,19:00:42.816761,65144,353,11,353,17,503,0,28,28,28,28,28,0,0,0,5,5,5,49,20,5,106,-1
1787450442821064279,1665087884609383,19:00:42.820094,65144,354,1,354,7,503,0,28,28,28,28,28,0,106,0,5,5,5,49,20,5,106,-1
1787450442885169577,1665087948715416,19:00:42.884585,65144,364,2,364,8,503,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450442905817109,1665087969362984,19:00:42.904309,65144,367,1,367,7,503,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787450442908370212,1665087971915424,19:00:42.907480,65144,367,11,367,17,503,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787450442911385363,1665087974930445,19:00:42.910468,65144,368,1,368,7,503,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450442911390298,1665087974935231,19:00:42.910751,65144,368,2,368,8,503,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,8,704,-1
1787450442915241105,1665087978786105,19:00:42.913547,65144,368,11,368,17,503,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450442915247136,1665087978792056,19:00:42.913834,65144,368,12,368,18,503,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450442926586405,1665087990132021,19:00:42.926066,65144,370,11,370,17,503,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,106,-1
1787450442930916436,1665087994461771,19:00:42.929405,65144,371,1,371,7,503,0,28,28,28,28,28,0,106,0,5,5,5,61,20,5,106,-1
1787450442995154291,1665088058699989,19:00:42.993888,65144,381,2,381,8,503,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450443008687782,1665088072241721,19:00:43.007539,65144,383,1,383,7,503,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787450443011822524,1665088075367587,19:00:43.011310,65144,383,11,383,17,503,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787450443016060430,1665088079605659,19:00:43.014869,65144,384,1,384,7,503,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450443016069119,1665088079614069,19:00:43.015170,65144,384,2,384,8,503,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,8,704,-1
1787450443019150189,1665088082695137,19:00:43.018259,65144,384,11,384,17,503,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450443019156201,1665088082701139,19:00:43.018573,65144,384,12,384,18,503,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450443029760564,1665088093305659,19:00:43.028628,65144,386,1,386,7,503,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,106,-1
1787450443032958215,1665088096503139,19:00:43.031733,65144,386,11,386,17,503,0,28,28,28,28,28,0,106,0,5,5,5,61,20,5,106,-1
1787450443108870778,1665088172416167,19:00:43.108012,65144,390,1,390,7,503,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787450443112076763,1665088175621853,19:00:43.111297,65144,390,11,390,17,503,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787450443115134696,1665088178679669,19:00:43.114781,65144,391,1,391,7,503,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450443116121940,1665088179666914,19:00:43.115238,65144,391,2,391,8,503,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450443119304689,1665088182849642,19:00:43.118115,65144,391,11,391,17,503,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450443119310822,1665088182855748,19:00:43.118438,65144,391,12,391,18,503,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450443167079368,1665088230624605,19:00:43.166010,65144,393,11,393,17,503,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,106,-1
1787450443170219512,1665088233764568,19:00:43.169265,65144,394,1,394,7,503,0,28,28,28,28,28,0,106,0,5,5,5,61,20,5,106,-1
1787450443205883490,1665088269429185,19:00:43.204738,65144,399,11,399,17,503,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787450443208027180,1665088271572515,19:00:43.207856,65144,400,1,400,7,503,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787450443211126950,1665088274672046,19:00:43.211022,65144,400,11,400,17,503,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450443212170738,1665088275715714,19:00:43.211317,65144,400,12,400,18,503,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450443214279775,1665088277824741,19:00:43.214092,65144,401,1,401,7,503,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450443215351976,1665088278897397,19:00:43.214385,65144,401,2,401,8,503,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450443228051997,1665088291597177,19:00:43.226981,65144,403,1,403,7,503,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,106,-1
1787450443231168232,1665088294713280,19:00:43.230176,65144,403,11,403,17,503,0,28,28,28,28,28,0,106,0,5,5,5,61,20,5,106,-1
1787450443292865489,1665088356410960,19:00:43.291270,65144,413,2,413,8,503,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787450443305159460,1665088368704629,19:00:43.303860,65144,415,1,415,7,503,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787450443308733634,1665088372278735,19:00:43.306918,65144,415,11,415,17,503,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787450443311779014,1665088375324201,19:00:43.310087,65144,416,1,416,7,503,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450443311786532,1665088375331497,19:00:43.310376,65144,416,2,416,8,503,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,8,704,-1
1787450443313577624,1665088377122724,19:00:43.313185,65144,416,11,416,17,503,0,28,28,28,28,28,2806,0,2806,5,106,106,48,20,106,2178,-1
1787450443315097970,1665088378643161,19:00:43.313471,65144,416,12,416,18,503,0,28,28,28,28,28,2806,2178,628,5,106,106,48,20,7,672,-1
1787450443327165975,1665088390711549,19:00:43.325958,65144,418,11,418,17,503,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,106,-1
