wall_time_s,elapsed_s,frame_index,chunk_index,chunk_bytes,frame_bytes,period_s,scheduled_frame_time_s,send_lag_ms
1787336304.224228,0.000078,0,0,25000,25000,0.100000,0.000000,0.001
1787336304.324390,0.100240,1,0,25000,25000,0.100000,0.100000,0.144
1787336304.424637,0.200486,2,0,25000,25000,0.100000,0.200000,0.392
1787336304.524385,0.300234,3,0,25000,25000,0.100000,0.300000,0.138
1787336304.624389,0.400239,4,0,25000,25000,0.100000,0.400000,0.129
1787336304.724426,0.500275,5,0,25000,25000,0.100000,0.500000,0.178
1787336304.824547,0.600396,6,0,25000,25000,0.100000,0.600000,0.304
1787336304.924439,0.700288,7,0,25000,25000,0.100000,0.700000,0.118
1787336305.024359,0.800209,8,0,25000,25000,0.100000,0.800000,0.118
1787336305.124401,0.900250,9,0,25000,25000,0.100000,0.900000,0.128
1787336305.224443,1.000293,10,0,25000,25000,0.100000,1.000000,0.130
1787336305.324401,1.100251,11,0,25000,25000,0.100000,1.100000,0.128
1787336305.424361,1.200210,12,0,25000,25000,0.100000,1.200000,0.141
1787336305.524360,1.300209,13,0,25000,25000,0.100000,1.300000,0.117
1787336305.624390,1.400239,14,0,25000,25000,0.100000,1.400000,0.168
1787336305.724339,1.500189,15,0,25000,25000,0.100000,1.500000,0.115
1787336305.824357,1.600207,16,0,25000,25000,0.100000,1.600000,0.129
1787336305.924338,1.700188,17,0,25000,25000,0.100000,1.700000,0.116
1787336306.024373,1.800222,18,0,25000,25000,0.100000,1.800000,0.148
1787336306.124379,1.900228,19,0,25000,25000,0.100000,1.900000,0.124
1787336306.224343,2.000192,20,0,25000,25000,0.100000,2.000000,0.118
1787336306.324347,2.100197,21,0,25000,25000,0.100000,2.100000,0.117
1787336306.424658,2.200507,22,0,25000,25000,0.100000,2.200000,0.432
1787336306.524344,2.300193,23,0,25000,25000,0.100000,2.300000,0.117
1787336306.624337,2.400187,24,0,25000,25000,0.100000,2.400000,0.116
1787336306.724393,2.500242,25,0,25000,25000,0.100000,2.500000,0.125
1787336306.824393,2.600242,26,0,25000,25000,0.100000,2.600000,0.126
1787336306.924272,2.700121,27,0,25000,25000,0.100000,2.700000,0.044
1787336307.024349,2.800198,28,0,25000,25000,0.100000,2.800000,0.122
1787336307.124342,2.900192,29,0,25000,25000,0.100000,2.900000,0.117
1787336307.224615,3.000464,30,0,25000,25000,0.100000,3.000000,0.388
1787336307.324355,3.100205,31,0,25000,25000,0.100000,3.100000,0.121
1787336307.424345,3.200194,32,0,25000,25000,0.100000,3.200000,0.124
1787336307.524341,3.300190,33,0,25000,25000,0.100000,3.300000,0.115
1787336307.624811,3.400660,34,0,25000,25000,0.100000,3.400000,0.587
1787336307.724336,3.500185,35,0,25000,25000,0.100000,3.500000,0.115
1787336307.824394,3.600244,36,0,25000,25000,0.100000,3.600000,0.142
1787336307.924337,3.700186,37,0,25000,25000,0.100000,3.700000,0.119
1787336308.024349,3.800198,38,0,25000,25000,0.100000,3.800000,0.115
1787336308.124339,3.900188,39,0,25000,25000,0.100000,3.900000,0.115
1787336308.224612,4.000462,40,0,25000,25000,0.100000,4.000000,0.344
1787336308.324335,4.100184,41,0,25000,25000,0.100000,4.100000,0.114
1787336308.424344,4.200192,42,0,25000,25000,0.100000,4.200000,0.115
1787336308.524415,4.300264,43,0,25000,25000,0.100000,4.300000,0.167
1787336308.624367,4.400216,44,0,25000,25000,0.100000,4.400000,0.115
1787336308.724372,4.500221,45,0,25000,25000,0.100000,4.500000,0.122
1787336308.824383,4.600232,46,0,25000,25000,0.100000,4.600000,0.123
1787336308.924374,4.700224,47,0,25000,25000,0.100000,4.700000,0.116
1787336309.024391,4.800241,48,0,25000,25000,0.100000,4.800000,0.148
1787336309.124368,4.900218,49,0,25000,25000,0.100000,4.900000,0.115
1787336309.224390,5.000239,50,0,25000,25000,0.100000,5.000000,0.128
1787336309.324421,5.100271,51,0,25000,25000,0.100000,5.100000,0.124
