time,direction,rnti,frame,diff,old_mcs,new_mcs,max_mcs_input,max_mcs_applied,min_mcs,opt_max_mcs,num_sched,num_retx,bler_window_ppm,bler_before_ppm,bler_after_ppm,lower_ppm,upper_ppm,branch,updated
19:30:22.547009,0,65103,982,100,0,0,28,28,0,28,1,0,0,34867,31381,50000,150000,3,1
19:30:22.856907,0,65103,3,45,0,0,28,28,0,28,1,0,0,31381,28242,50000,150000,3,1
19:30:22.958648,0,65103,18,15,0,0,28,28,0,28,1,0,0,28242,25418,50000,150000,3,1
19:30:23.058651,0,65103,32,14,0,0,28,28,0,28,1,0,0,25418,22876,50000,150000,3,1
19:30:23.159320,0,65103,43,11,0,0,28,28,0,28,1,0,0,22876,20589,50000,150000,3,1
19:30:23.256338,0,65103,58,15,0,0,28,28,0,28,1,0,0,20589,18530,50000,150000,3,1
19:30:23.258738,0,65103,58,0,0,0,28,28,0,28,-1,-1,-1,18530,18530,50000,150000,0,0
19:30:23.356537,0,65103,73,15,0,0,28,28,0,28,2,0,0,18530,16677,50000,150000,3,1
19:30:23.456490,0,65103,88,15,0,0,28,28,0,28,1,0,0,16677,15009,50000,150000,3,1
19:30:23.555143,0,65103,104,16,0,0,28,28,0,28,1,0,0,15009,13508,50000,150000,3,1
19:30:23.655611,0,65103,119,15,0,0,28,28,0,28,1,0,0,13508,12157,50000,150000,3,1
19:30:23.754804,0,65103,135,16,0,0,28,28,0,28,1,0,0,12157,10941,50000,150000,3,1
19:30:23.857114,0,65103,151,16,0,0,28,28,0,28,1,0,0,10941,9847,50000,150000,3,1
19:30:23.900447,0,65103,158,7,0,0,28,28,0,28,-1,-1,-1,9847,9847,50000,150000,0,0
19:30:23.956645,0,65103,166,15,0,0,28,28,0,28,2,0,0,9847,8862,50000,150000,3,1
19:30:24.056439,0,65103,182,16,0,0,28,28,0,28,1,0,0,8862,7976,50000,150000,3,1
19:30:24.171644,0,65103,196,14,0,0,28,28,0,28,1,0,0,7976,7178,50000,150000,3,1
19:30:24.254641,0,65103,209,13,0,0,28,28,0,28,1,0,0,7178,6461,50000,150000,3,1
19:30:24.355515,0,65103,225,16,0,0,28,28,0,28,1,0,0,6461,5814,50000,150000,3,1
19:30:24.456042,0,65103,241,16,0,0,28,28,0,28,1,0,0,5814,5233,50000,150000,3,1
19:30:24.557080,0,65103,257,16,0,0,28,28,0,28,1,0,0,5233,4710,50000,150000,3,1
19:30:24.561378,0,65103,258,1,0,0,28,28,0,28,-1,-1,-1,4710,4710,50000,150000,0,0
19:30:24.656402,0,65103,273,16,0,0,28,28,0,28,2,0,0,4710,4239,50000,150000,3,1
19:30:24.757140,0,65103,288,15,0,0,28,28,0,28,1,0,0,4239,3815,50000,150000,3,1
19:30:24.855809,0,65103,304,16,0,0,28,28,0,28,1,0,0,3815,3433,50000,150000,3,1
19:30:24.956961,0,65103,320,16,0,0,28,28,0,28,1,0,0,3433,3090,50000,150000,3,1
19:30:25.055688,0,65103,335,15,0,0,28,28,0,28,1,0,0,3090,2781,50000,150000,3,1
19:30:25.170290,0,65103,350,15,0,0,28,28,0,28,1,0,0,2781,2503,50000,150000,3,1
19:30:25.219062,0,65103,358,8,0,0,28,28,0,28,-1,-1,-1,2503,2503,50000,150000,0,0
19:30:25.256516,0,65103,363,13,0,0,28,28,0,28,2,0,0,2503,2252,50000,150000,3,1
19:30:25.356375,0,65103,379,16,0,0,28,28,0,28,1,0,0,2252,2027,50000,150000,3,1
19:30:25.456368,0,65103,394,15,0,0,28,28,0,28,1,0,0,2027,1824,50000,150000,3,1
19:30:25.555895,0,65103,411,17,0,0,28,28,0,28,1,0,0,1824,1642,50000,150000,3,1
19:30:25.657464,0,65103,426,15,0,0,28,28,0,28,1,0,0,1642,1478,50000,150000,3,1
19:30:25.756109,0,65103,441,15,0,0,28,28,0,28,1,0,0,1478,1330,50000,150000,3,1
19:30:25.855115,0,65103,455,14,0,0,28,28,0,28,1,0,0,1330,1197,50000,150000,3,1
19:30:25.869960,0,65103,458,3,0,0,28,28,0,28,-1,-1,-1,1197,1197,50000,150000,0,0
19:30:25.957037,0,65103,470,15,0,0,28,28,0,28,2,0,0,1197,1077,50000,150000,3,1
19:30:26.057055,0,65103,485,15,0,0,28,28,0,28,1,0,0,1077,969,50000,150000,3,1
19:30:26.158274,0,65103,500,15,0,0,28,28,0,28,1,0,0,969,872,50000,150000,3,1
19:30:26.256823,0,65103,514,14,0,0,28,28,0,28,1,0,0,872,785,50000,150000,3,1
19:30:26.357811,0,65103,529,15,0,0,28,28,0,28,1,0,0,785,706,50000,150000,3,1
19:30:26.455835,0,65103,545,16,0,0,28,28,0,28,1,0,0,706,636,50000,150000,3,1
19:30:26.540995,0,65103,558,13,0,0,28,28,0,28,1,0,0,636,572,50000,150000,3,1
19:30:26.558174,0,65103,560,2,0,0,28,28,0,28,-1,-1,-1,572,572,50000,150000,0,0
19:30:26.657405,0,65103,575,17,0,0,28,28,0,28,2,0,0,572,515,50000,150000,3,1
19:30:26.756735,0,65103,590,15,0,0,28,28,0,28,1,0,0,515,463,50000,150000,3,1
19:30:26.857814,0,65103,605,15,0,0,28,28,0,28,1,0,0,463,417,50000,150000,3,1
19:30:26.955599,0,65103,620,15,0,0,28,28,0,28,1,0,0,417,375,50000,150000,3,1
19:30:27.056804,0,65103,635,15,0,0,28,28,0,28,1,0,0,375,338,50000,150000,3,1
19:30:27.158124,0,65103,651,16,0,0,28,28,0,28,1,0,0,338,304,50000,150000,3,1
19:30:27.200638,0,65103,658,7,0,0,28,28,0,28,-1,-1,-1,304,304,50000,150000,0,0
19:30:27.254979,0,65103,666,15,0,0,28,28,0,28,2,0,0,304,273,50000,150000,3,1
19:30:27.355141,0,65103,681,15,0,0,28,28,0,28,1,0,0,273,246,50000,150000,3,1
19:30:27.455523,0,65103,697,16,0,0,28,28,0,28,1,0,0,246,221,50000,150000,3,1
19:30:27.555961,0,65103,712,15,0,0,28,28,0,28,1,0,0,221,199,50000,150000,3,1
19:30:27.656005,0,65103,728,16,0,0,28,28,0,28,1,0,0,199,179,50000,150000,3,1
19:30:27.758679,0,65103,744,16,0,0,28,28,0,28,1,0,0,179,161,50000,150000,3,1
19:30:27.849391,0,65103,758,14,0,0,28,28,0,28,1,0,0,161,145,50000,150000,3,1
19:30:27.854953,0,65103,758,0,0,0,28,28,0,28,-1,-1,-1,145,145,50000,150000,0,0
19:30:28.083485,0,65103,791,33,0,0,28,28,0,28,2,0,0,145,131,50000,150000,3,1
19:30:28.094310,0,65103,793,2,0,0,28,28,0,28,-1,-1,-1,131,131,50000,150000,0,0
19:30:28.107492,0,65103,795,4,0,0,28,28,0,28,-1,-1,-1,131,131,50000,150000,0,0
19:30:28.118835,0,65103,796,5,0,0,28,28,0,28,-1,-1,-1,131,131,50000,150000,0,0
19:30:28.130277,0,65103,798,7,0,0,28,28,0,28,-1,-1,-1,131,131,50000,150000,0,0
19:30:28.153020,0,65103,801,10,0,1,28,28,0,28,5,0,0,131,117,50000,150000,1,1
19:30:28.263117,0,65103,817,16,1,0,28,28,0,28,1,0,0,117,106,50000,150000,3,1
19:30:28.306259,0,65103,823,6,0,0,28,28,0,28,-1,-1,-1,106,106,50000,150000,0,0
19:30:28.365996,0,65103,832,15,0,0,28,28,0,28,2,0,0,106,95,50000,150000,3,1
19:30:28.463693,0,65103,846,14,0,0,28,28,0,28,1,0,0,95,85,50000,150000,3,1
19:30:28.545453,0,65103,858,12,0,0,28,28,0,28,1,0,0,85,77,50000,150000,3,1
19:30:28.565252,0,65103,860,2,0,0,28,28,0,28,-1,-1,-1,77,77,50000,150000,0,0
19:30:28.666717,0,65103,875,17,0,0,28,28,0,28,2,0,0,77,69,50000,150000,3,1
19:30:28.754934,0,65103,887,12,0,0,28,28,0,28,1,0,0,69,62,50000,150000,3,1
19:30:28.863945,0,65103,903,16,0,0,28,28,0,28,1,0,0,62,56,50000,150000,3,1
19:30:28.964570,0,65103,917,14,0,0,28,28,0,28,1,0,0,56,50,50000,150000,3,1
19:30:29.063560,0,65103,931,14,0,0,28,28,0,28,1,0,0,50,45,50000,150000,3,1
19:30:29.165858,0,65103,946,15,0,0,28,28,0,28,1,0,0,45,41,50000,150000,3,1
19:30:29.249759,0,65103,958,12,0,0,28,28,0,28,1,0,0,41,36,50000,150000,3,1
19:30:29.254876,0,65103,958,0,0,0,28,28,0,28,-1,-1,-1,36,36,50000,150000,0,0
19:30:29.363669,0,65103,974,16,0,0,28,28,0,28,2,0,0,36,33,50000,150000,3,1
19:30:29.464628,0,65103,988,14,0,0,28,28,0,28,1,0,0,33,29,50000,150000,3,1
19:30:29.566286,0,65103,1003,15,0,0,28,28,0,28,1,0,0,29,26,50000,150000,3,1
19:30:29.654051,0,65103,1015,12,0,0,28,28,0,28,1,0,0,26,24,50000,150000,3,1
19:30:29.766444,0,65103,7,16,0,0,28,28,0,28,1,0,0,24,21,50000,150000,3,1
19:30:29.869344,0,65103,21,14,0,0,28,28,0,28,1,0,0,21,19,50000,150000,3,1
19:30:29.953577,0,65103,33,12,0,0,28,28,0,28,1,0,0,19,17,50000,150000,3,1
19:30:29.954888,0,65103,34,1,0,0,28,28,0,28,-1,-1,-1,17,17,50000,150000,0,0
19:30:30.066198,0,65103,49,16,0,0,28,28,0,28,2,0,0,17,15,50000,150000,3,1
19:30:30.173126,0,65103,63,14,0,0,28,28,0,28,1,0,0,15,14,50000,150000,3,1
19:30:30.258803,0,65103,76,13,0,0,28,28,0,28,1,0,0,14,12,50000,150000,3,1
19:30:30.367013,0,65103,91,15,0,0,28,28,0,28,1,0,0,12,11,50000,150000,3,1
19:30:30.456776,0,65103,103,12,0,0,28,28,0,28,1,0,0,11,10,50000,150000,3,1
19:30:30.565994,0,65103,119,16,0,0,28,28,0,28,1,0,0,10,9,50000,150000,3,1
19:30:30.653450,0,65103,131,12,0,0,28,28,0,28,1,0,0,9,8,50000,150000,3,1
19:30:30.669499,0,65103,134,3,0,0,28,28,0,28,-1,-1,-1,8,8,50000,150000,0,0
19:30:30.763548,0,65103,147,16,0,0,28,28,0,28,2,0,0,8,7,50000,150000,3,1
19:30:30.865497,0,65103,161,14,0,0,28,28,0,28,1,0,0,7,6,50000,150000,3,1
19:30:30.966835,0,65103,176,15,0,0,28,28,0,28,1,0,0,6,6,50000,150000,3,1
19:30:31.054027,0,65103,188,12,0,0,28,28,0,28,1,0,0,6,5,50000,150000,3,1
19:30:31.176444,0,65103,204,16,0,0,28,28,0,28,1,0,0,5,4,50000,150000,3,1
19:30:31.260539,0,65103,216,12,0,0,28,28,0,28,1,0,0,4,4,50000,150000,3,1
19:30:31.365532,0,65103,231,15,0,0,28,28,0,28,1,0,0,4,4,50000,150000,3,1
19:30:31.380892,0,65103,234,3,0,0,28,28,0,28,-1,-1,-1,4,4,50000,150000,0,0
