time,mono_sec,mono_nsec,rnti,frame,slot,sdu_bytes
19:31:21.973894,1580527,37439139,9076,854,8,480
19:31:22.038200,1580527,101745633,9076,864,8,437
19:31:22.102686,1580527,166231033,9076,874,8,480
19:31:22.194404,1580527,257949415,9076,884,8,480
19:31:22.259899,1580527,323444175,9076,894,8,480
19:31:22.324962,1580527,388507326,9076,904,8,437
19:31:22.388871,1580527,452416479,9076,914,8,480
19:31:22.453888,1580527,517433723,9076,924,8,480
19:31:22.519817,1580527,583362692,9076,934,8,480
19:31:22.584458,1580527,648003664,9076,944,8,437
19:31:22.649177,1580527,712722650,9076,954,8,480
19:31:22.714408,1580527,777953667,9076,964,8,480
19:31:22.780723,1580527,844267991,9076,974,8,480
19:31:22.796359,1580527,859904446,9076,976,17,106
19:31:22.799319,1580527,862864818,9076,977,7,106
19:31:22.802974,1580527,866519305,9076,977,17,2178
19:31:22.803493,1580527,867038680,9076,977,18,10247
19:31:22.804085,1580527,867630354,9076,977,19,8197
19:31:22.806200,1580527,869744847,9076,978,7,2178
19:31:22.807047,1580527,870592480,9076,978,8,10247
19:31:22.807873,1580527,871417901,9076,978,9,8197
19:31:22.873296,1580527,936841668,9076,988,8,480
19:31:22.898976,1580527,962521463,9076,992,7,106
19:31:22.901454,1580527,964998948,9076,992,17,106
19:31:22.905234,1580527,968779324,9076,993,7,2178
19:31:22.905766,1580527,969311136,9076,993,8,10247
19:31:22.906256,1580527,969801180,9076,993,9,8197
19:31:22.908285,1580527,971830203,9076,993,17,2178
19:31:22.908659,1580527,972204063,9076,993,18,10247
19:31:22.909203,1580527,972748120,9076,993,19,8197
19:31:22.969957,1580528,33502542,9076,1003,8,480
19:31:22.998720,1580528,62265119,9076,1007,17,106
19:31:23.002365,1580528,65910708,9076,1008,7,106
19:31:23.005716,1580528,69261440,9076,1008,17,2178
19:31:23.006293,1580528,69838241,9076,1008,18,10247
19:31:23.006522,1580528,70067122,9076,1008,19,8197
19:31:23.008839,1580528,72384051,9076,1009,7,2178
19:31:23.009540,1580528,73085415,9076,1009,8,10247
19:31:23.009825,1580528,73370123,9076,1009,9,8197
19:31:23.074709,1580528,138253902,9076,1019,8,480
19:31:23.097168,1580528,160712850,9076,1022,17,106
19:31:23.099806,1580528,163351310,9076,1023,7,106
19:31:23.103221,1580528,166766235,9076,1023,17,2178
19:31:23.103686,1580528,167231347,9076,1023,18,10247
19:31:23.104349,1580528,167894527,9076,1023,19,8197
19:31:23.106369,1580528,169914215,9076,0,7,2178
19:31:23.106787,1580528,170331864,9076,0,8,9222
19:31:23.107303,1580528,170848240,9076,0,9,9222
19:31:23.190818,1580528,254363534,9076,10,8,480
19:31:23.195795,1580528,259340676,9076,11,7,2178
19:31:23.196440,1580528,259985396,9076,11,8,10247
19:31:23.196849,1580528,260393772,9076,11,9,8197
19:31:23.199640,1580528,263185562,9076,11,17,106
19:31:23.260680,1580528,324225042,9076,21,8,480
19:31:23.296207,1580528,359752294,9076,26,17,106
19:31:23.299149,1580528,362694771,9076,27,7,106
19:31:23.302622,1580528,366166888,9076,27,17,2178
19:31:23.302961,1580528,366506314,9076,27,18,10247
19:31:23.303494,1580528,367039319,9076,27,19,8197
19:31:23.305884,1580528,369429428,9076,28,7,2178
19:31:23.306343,1580528,369888289,9076,28,8,10247
19:31:23.306588,1580528,370133531,9076,28,9,8197
19:31:23.371347,1580528,434892308,9076,38,8,480
19:31:23.396704,1580528,460249415,9076,42,7,106
19:31:23.400042,1580528,463587044,9076,42,17,106
19:31:23.402887,1580528,466432357,9076,43,7,2178
19:31:23.403321,1580528,466866526,9076,43,8,10247
19:31:23.403541,1580528,467086579,9076,43,9,8197
19:31:23.406039,1580528,469584228,9076,43,17,2178
19:31:23.406508,1580528,470053588,9076,43,18,10247
19:31:23.406962,1580528,470507287,9076,43,19,8197
19:31:23.467608,1580528,531153284,9076,53,8,480
19:31:23.496115,1580528,559660808,9076,57,17,106
19:31:23.499192,1580528,562736883,9076,58,7,106
19:31:23.502517,1580528,566062627,9076,58,17,2178
19:31:23.502997,1580528,566542683,9076,58,18,10247
19:31:23.503288,1580528,566833192,9076,58,19,8197
19:31:23.505632,1580528,569176971,9076,59,7,2178
19:31:23.506078,1580528,569623783,9076,59,8,10247
19:31:23.506341,1580528,569886249,9076,59,9,8197
19:31:23.569857,1580528,633402647,9076,69,8,480
19:31:23.598026,1580528,661571379,9076,73,17,106
19:31:23.601061,1580528,664606158,9076,74,7,106
19:31:23.604438,1580528,667983176,9076,74,17,2178
19:31:23.604871,1580528,668416139,9076,74,18,10247
19:31:23.605223,1580528,668768415,9076,74,19,8197
19:31:23.607622,1580528,671167336,9076,75,7,2178
19:31:23.608329,1580528,671874509,9076,75,8,10247
19:31:23.608556,1580528,672100909,9076,75,9,8197
19:31:23.671653,1580528,735197855,9076,85,8,480
19:31:23.697136,1580528,760681187,9076,89,7,106
19:31:23.700248,1580528,763793584,9076,89,17,106
19:31:23.703380,1580528,766925591,9076,90,7,2178
19:31:23.703854,1580528,767399792,9076,90,8,10247
19:31:23.704184,1580528,767729630,9076,90,9,8197
19:31:23.706390,1580528,769935695,9076,90,17,2178
19:31:23.707067,1580528,770612833,9076,90,18,10247
19:31:23.707317,1580528,770862513,9076,90,19,8197
19:31:23.768052,1580528,831597528,9076,100,8,480
19:31:23.797313,1580528,860858329,9076,104,17,106
19:31:23.800035,1580528,863580105,9076,105,7,106
19:31:23.803628,1580528,867173293,9076,105,17,2178
19:31:23.804182,1580528,867727340,9076,105,18,10247
19:31:23.804479,1580528,868024841,9076,105,19,8197
19:31:23.807097,1580528,870642190,9076,106,7,2178
19:31:23.807468,1580528,871013057,9076,106,8,10247
19:31:23.807742,1580528,871287728,9076,106,9,8197
19:31:23.872198,1580528,935743599,9076,116,8,480
19:31:23.897789,1580528,961334612,9076,120,7,106
19:31:23.901708,1580528,965253023,9076,120,17,106
19:31:23.904893,1580528,968438059,9076,121,7,2178
19:31:23.905331,1580528,968876209,9076,121,8,10247
19:31:23.905633,1580528,969177875,9076,121,9,8197
19:31:23.908079,1580528,971624531,9076,121,17,2178
19:31:23.908593,1580528,972138056,9076,121,18,10247
19:31:23.908963,1580528,972508841,9076,121,19,8197
19:31:23.972707,1580529,36251881,9076,131,8,480
19:31:23.999689,1580529,63234436,9076,135,7,106
19:31:24.003017,1580529,66562352,9076,135,17,106
19:31:24.006397,1580529,69942075,9076,136,7,2178
19:31:24.007391,1580529,70936325,9076,136,8,9222
19:31:24.007638,1580529,71183030,9076,136,9,9222
19:31:24.010000,1580529,73545374,9076,136,17,2178
19:31:24.010454,1580529,73999360,9076,136,18,10247
