time,direction,dci_format,rnti_type,rnti,dci_frame,dci_slot,sched_frame,sched_slot,mcs,mcs_table,rb_start,rb_size,start_symbol,nr_symbols,tbs,harq_pid,ndi,rv,round,qam_mod_order,target_code_rate,tpc,n_cce,N_cce
19:32:17.991234,1,7,0,37612,869,2,869,8,28,0,0,5,0,13,480,5,1,0,0,6,9480,0,6,2
19:32:18.054039,0,1,0,37612,878,0,878,0,0,0,0,5,1,13,168,0,1,0,0,2,1200,1,12,2
19:32:18.060914,1,7,0,37612,879,2,879,8,28,0,0,5,0,13,480,6,1,0,0,6,9480,0,6,2
19:32:18.124405,1,7,0,37612,889,2,889,8,28,0,0,5,0,13,480,7,1,0,0,6,9480,0,6,2
19:32:18.188193,1,7,0,37612,899,2,899,8,28,0,0,5,0,13,480,8,1,0,0,6,9480,0,6,2
19:32:18.251631,1,7,0,37612,909,2,909,8,28,0,0,5,0,13,480,9,1,0,0,6,9480,0,6,2
19:32:18.315152,1,7,0,37612,919,2,919,8,28,0,0,5,0,13,480,10,1,0,0,6,9480,0,6,2
19:32:18.379033,1,7,0,37612,929,2,929,8,28,0,0,5,0,13,480,11,1,0,0,6,9480,0,6,2
19:32:18.442576,1,7,0,37612,939,2,939,8,28,0,0,5,0,13,480,12,1,0,0,6,9480,0,6,2
19:32:18.506181,1,7,0,37612,949,2,949,8,28,0,0,5,0,13,480,13,1,0,0,6,9480,1,6,2
19:32:18.569814,1,7,0,37612,959,2,959,8,28,0,0,5,0,13,480,14,1,0,0,6,9480,0,6,2
19:32:18.633267,1,7,0,37612,969,2,969,8,28,0,0,5,0,13,480,15,1,0,0,6,9480,0,6,2
19:32:18.689865,0,1,0,37612,978,0,978,0,0,0,0,5,1,13,168,8,1,0,0,2,1200,1,12,2
19:32:18.696833,1,7,0,37612,979,2,979,8,28,0,0,5,0,13,480,0,1,0,0,6,9480,0,6,2
19:32:18.760928,1,7,0,37612,989,2,989,8,28,0,0,5,0,13,480,1,1,0,0,6,9480,0,6,2
19:32:18.802569,1,7,0,37612,995,11,995,17,28,0,0,5,10,3,106,2,1,0,0,6,9480,0,0,2
19:32:18.805833,1,7,0,37612,996,1,996,7,28,0,0,5,10,3,106,3,1,0,0,6,9480,1,10,2
19:32:18.809038,1,7,0,37612,996,11,996,17,28,0,0,106,10,3,2178,4,1,0,0,6,9480,0,0,2
19:32:18.809376,1,7,0,37612,996,12,996,18,28,0,0,106,0,13,10247,5,1,0,0,6,9480,1,4,2
19:32:18.809704,1,7,0,37612,996,13,996,19,28,0,0,85,0,13,8197,6,1,0,0,6,9480,1,12,2
19:32:18.812212,1,7,0,37612,997,1,997,7,28,0,0,106,10,3,2178,7,1,0,0,6,9480,1,10,2
19:32:18.812545,1,7,0,37612,997,2,997,8,28,0,0,106,0,13,10247,8,1,0,0,6,9480,1,6,2
19:32:18.812880,1,7,0,37612,997,3,997,9,28,0,0,85,0,13,8197,9,1,0,0,6,9480,1,12,2
19:32:18.813883,0,1,0,37612,997,6,997,6,0,0,0,5,1,13,168,9,1,0,0,2,1200,1,8,2
19:32:18.876186,1,7,0,37612,1007,2,1007,8,28,0,0,5,0,13,480,10,1,0,0,6,9480,0,6,2
19:32:18.901488,1,7,0,37612,1011,1,1011,7,28,0,0,5,10,3,106,11,1,0,0,6,9480,0,10,2
19:32:18.904631,1,7,0,37612,1011,11,1011,17,28,0,0,5,10,3,106,12,1,0,0,6,9480,0,0,2
19:32:18.907824,1,7,0,37612,1012,1,1012,7,28,0,0,106,10,3,2178,13,1,0,0,6,9480,0,10,2
19:32:18.908139,1,7,0,37612,1012,2,1012,8,28,0,0,106,0,13,10247,14,1,0,0,6,9480,0,6,2
