time,rnti,frame,slot,snrx10,phr,tpc,tb_size,txpower_calc,rbSize,mcs,rssi
19:33:18.044009,36545,860,8,510,48,0,480,0,5,28,860
19:33:18.110362,36545,870,8,510,48,0,480,0,5,28,860
19:33:18.208810,36545,880,8,510,48,0,437,0,5,28,860
19:33:18.275998,36545,890,8,510,48,0,480,0,5,28,860
19:33:18.341675,36545,900,8,510,48,0,480,0,5,28,860
19:33:18.407235,36545,910,8,510,48,0,480,0,5,28,860
19:33:18.471791,36545,920,8,510,48,0,437,0,5,28,860
19:33:18.534821,36545,930,8,510,48,0,480,0,5,28,860
19:33:18.597447,36545,940,8,510,48,0,480,0,5,28,860
19:33:18.660851,36545,950,8,510,48,1,480,0,5,28,860
19:33:18.723620,36545,960,8,510,48,0,437,0,5,28,860
19:33:18.787366,36545,970,8,510,48,0,480,0,5,28,860
19:33:18.841992,36545,978,17,505,48,0,106,0,5,28,860
19:33:18.844879,36545,979,7,510,48,1,106,0,5,28,860
19:33:18.847946,36545,979,17,500,48,0,2178,0,106,28,860
19:33:18.848521,36545,979,18,505,61,1,10247,0,106,28,860
19:33:18.848843,36545,979,19,505,61,1,8197,0,85,28,860
19:33:18.851432,36545,980,7,500,61,0,2178,0,106,28,860
19:33:18.852309,36545,980,8,505,61,1,10247,0,106,28,860
19:33:18.852585,36545,980,9,505,61,1,8197,0,85,28,860
19:33:18.925791,36545,990,8,510,61,0,480,0,5,28,860
19:33:18.943706,36545,993,7,510,48,0,106,0,5,28,890
19:33:18.946901,36545,993,17,505,48,0,106,0,5,28,860
19:33:18.950114,36545,994,7,500,48,0,2178,0,106,28,860
19:33:18.950724,36545,994,8,505,61,0,10247,0,106,28,860
19:33:18.950945,36545,994,9,505,61,0,8197,0,85,28,860
19:33:18.953560,36545,994,17,500,61,0,2178,0,106,28,860
19:33:18.953840,36545,994,18,505,61,1,10247,0,106,28,860
19:33:18.954174,36545,994,19,505,61,1,8197,0,85,28,860
19:33:19.016640,36545,1004,8,510,61,0,480,0,5,28,860
19:33:19.042425,36545,1008,7,510,48,0,106,0,5,28,860
19:33:19.045842,36545,1008,17,505,48,0,106,0,5,28,860
19:33:19.048964,36545,1009,7,500,48,0,2178,0,106,28,860
19:33:19.049402,36545,1009,8,505,61,0,10247,0,106,28,860
19:33:19.049720,36545,1009,9,505,61,0,8197,0,85,28,860
19:33:19.052358,36545,1009,17,500,61,0,2178,0,106,28,860
19:33:19.053287,36545,1009,18,505,61,1,10247,0,106,28,860
19:33:19.053738,36545,1009,19,505,61,1,8197,0,85,28,860
19:33:19.114875,36545,1019,8,510,61,0,480,0,5,28,860
19:33:19.161878,36545,1022,7,510,48,0,106,0,5,28,890
19:33:19.164986,36545,1022,17,505,48,0,106,0,5,28,860
19:33:19.168378,36545,1023,7,500,48,0,2178,0,106,28,860
19:33:19.168807,36545,1023,8,505,61,0,10247,0,106,28,860
19:33:19.169588,36545,1023,9,505,61,0,8197,0,85,28,860
19:33:19.172223,36545,1023,17,500,61,0,2178,0,106,28,860
19:33:19.172655,36545,1023,18,505,61,1,10247,0,106,28,860
19:33:19.173052,36545,1023,19,505,61,1,8197,0,85,28,860
19:33:19.235822,36545,9,8,505,61,0,480,0,5,28,860
19:33:19.242895,36545,10,7,500,48,0,2178,0,106,28,860
19:33:19.243366,36545,10,8,505,48,0,10247,0,106,28,860
19:33:19.243635,36545,10,9,505,61,0,8197,0,85,28,860
19:33:19.245905,36545,10,17,505,61,0,106,0,5,28,860
19:33:19.308458,36545,20,8,510,61,0,480,0,5,28,860
19:33:19.340747,36545,25,7,510,48,0,106,0,5,28,890
19:33:19.343984,36545,25,17,505,48,0,106,0,5,28,860
19:33:19.347143,36545,26,7,500,48,0,2178,0,106,28,860
19:33:19.347541,36545,26,8,505,61,0,10247,0,106,28,860
19:33:19.347908,36545,26,9,505,61,0,8197,0,85,28,860
19:33:19.350460,36545,26,17,500,61,1,2178,0,106,28,860
19:33:19.350818,36545,26,18,505,61,1,10247,0,106,28,860
19:33:19.351108,36545,26,19,505,61,1,8197,0,85,28,860
19:33:19.413907,36545,36,8,510,61,0,480,0,5,28,860
19:33:19.442778,36545,40,17,510,48,0,106,0,5,28,890
19:33:19.446029,36545,41,7,505,48,0,106,0,5,28,860
19:33:19.449376,36545,41,17,500,48,0,2178,0,106,28,860
19:33:19.449813,36545,41,18,505,61,0,10247,0,106,28,860
19:33:19.450219,36545,41,19,505,61,0,8197,0,85,28,860
19:33:19.452707,36545,42,7,500,61,0,2178,0,106,28,860
19:33:19.453149,36545,42,8,505,61,0,10247,0,106,28,860
19:33:19.453485,36545,42,9,505,61,1,8197,0,85,28,860
19:33:19.519238,36545,52,8,510,61,0,480,0,5,28,860
19:33:19.541555,36545,55,17,510,48,0,106,0,5,28,860
19:33:19.545042,36545,56,7,510,48,0,106,0,5,28,890
19:33:19.548419,36545,56,17,500,48,0,2178,0,106,28,860
19:33:19.548859,36545,56,18,505,61,0,10247,0,106,28,860
19:33:19.549084,36545,56,19,505,61,0,8197,0,85,28,860
19:33:19.551729,36545,57,7,500,61,0,2178,0,106,28,860
19:33:19.552094,36545,57,8,505,61,1,10247,0,106,28,860
19:33:19.552434,36545,57,9,505,61,1,8197,0,85,28,860
19:33:19.616718,36545,67,8,510,61,0,480,0,5,28,860
19:33:19.642006,36545,71,7,505,48,0,106,0,5,28,860
19:33:19.645066,36545,71,17,505,48,0,106,0,5,28,860
