time,frame,slot,rnti,rb_size,rb_start,qam_mod_order,mcs_index,number_of_bits
19:33:18.042503,860,8,36545,5,0,6,28,3840
19:33:18.109057,870,8,36545,5,0,6,28,3840
19:33:18.207523,880,8,36545,5,0,6,28,3496
19:33:18.274664,890,8,36545,5,0,6,28,3840
19:33:18.340743,900,8,36545,5,0,6,28,3840
19:33:18.405723,910,8,36545,5,0,6,28,3840
19:33:18.470146,920,8,36545,5,0,6,28,3496
19:33:18.532809,930,8,36545,5,0,6,28,3840
19:33:18.596057,940,8,36545,5,0,6,28,3840
19:33:18.658769,950,8,36545,5,0,6,28,3840
19:33:18.721952,960,8,36545,5,0,6,28,3496
19:33:18.785674,970,8,36545,5,0,6,28,3840
19:33:18.840356,978,17,36545,5,0,6,28,848
19:33:18.843580,979,7,36545,5,0,6,28,848
19:33:18.846925,979,17,36545,106,0,6,28,17424
19:33:18.847239,979,18,36545,106,0,6,28,81976
19:33:18.847555,979,19,36545,85,12,6,28,65576
19:33:18.850369,980,7,36545,106,0,6,28,17424
19:33:18.850716,980,8,36545,106,0,6,28,81976
19:33:18.851047,980,9,36545,85,0,6,28,65576
19:33:18.923477,990,8,36545,5,0,6,28,3840
19:33:18.942668,993,7,36545,5,0,6,28,848
19:33:18.945945,993,17,36545,5,0,6,28,848
19:33:18.949159,994,7,36545,106,0,6,28,17424
19:33:18.949468,994,8,36545,106,0,6,28,81976
19:33:18.949780,994,9,36545,85,0,6,28,65576
19:33:18.952402,994,17,36545,106,0,6,28,17424
19:33:18.952717,994,18,36545,106,0,6,28,81976
19:33:18.953086,994,19,36545,85,0,6,28,65576
19:33:19.015701,1004,8,36545,5,0,6,28,3840
19:33:19.041444,1008,7,36545,5,0,6,28,848
19:33:19.044824,1008,17,36545,5,0,6,28,848
19:33:19.048005,1009,7,36545,106,0,6,28,17424
19:33:19.048335,1009,8,36545,106,0,6,28,81976
19:33:19.048634,1009,9,36545,85,0,6,28,65576
19:33:19.051285,1009,17,36545,106,0,6,28,17424
19:33:19.051617,1009,18,36545,106,0,6,28,81976
19:33:19.051974,1009,19,36545,85,12,6,28,65576
19:33:19.113963,1019,8,36545,5,0,6,28,3840
19:33:19.160804,1022,7,36545,5,0,6,28,848
19:33:19.164002,1022,17,36545,5,0,6,28,848
19:33:19.167158,1023,7,36545,106,0,6,28,17424
19:33:19.167487,1023,8,36545,106,0,6,28,81976
19:33:19.167777,1023,9,36545,85,0,6,28,65576
19:33:19.170352,1023,17,36545,106,0,6,28,17424
19:33:19.170693,1023,18,36545,106,0,6,28,81976
19:33:19.171047,1023,19,36545,85,12,6,28,65576
19:33:19.234550,9,8,36545,5,0,6,28,3840
19:33:19.241794,10,7,36545,106,0,6,28,17424
19:33:19.242120,10,8,36545,106,0,6,28,81976
19:33:19.242453,10,9,36545,85,0,6,28,65576
19:33:19.245091,10,17,36545,5,0,6,28,848
19:33:19.307380,20,8,36545,5,0,6,28,3840
19:33:19.339676,25,7,36545,5,0,6,28,848
19:33:19.342826,25,17,36545,5,0,6,28,848
19:33:19.346084,26,7,36545,106,0,6,28,17424
19:33:19.346428,26,8,36545,106,0,6,28,81976
19:33:19.346736,26,9,36545,85,0,6,28,65576
19:33:19.349400,26,17,36545,106,0,6,28,17424
19:33:19.349721,26,18,36545,106,0,6,28,81976
19:33:19.350107,26,19,36545,85,0,6,28,65576
19:33:19.412685,36,8,36545,5,0,6,28,3840
19:33:19.441858,40,17,36545,5,0,6,28,848
19:33:19.445080,41,7,36545,5,0,6,28,848
19:33:19.448319,41,17,36545,106,0,6,28,17424
19:33:19.448660,41,18,36545,106,0,6,28,81976
19:33:19.448967,41,19,36545,85,12,6,28,65576
19:33:19.451677,42,7,36545,106,0,6,28,17424
19:33:19.452004,42,8,36545,106,0,6,28,81976
19:33:19.452319,42,9,36545,85,0,6,28,65576
19:33:19.517910,52,8,36545,5,0,6,28,3840
19:33:19.540437,55,17,36545,5,0,6,28,848
19:33:19.543765,56,7,36545,5,0,6,28,848
19:33:19.547043,56,17,36545,106,0,6,28,17424
19:33:19.547491,56,18,36545,106,0,6,28,81976
19:33:19.547682,56,19,36545,85,0,6,28,65576
19:33:19.550312,57,7,36545,106,0,6,28,17424
19:33:19.550793,57,8,36545,106,0,6,28,81976
19:33:19.551011,57,9,36545,85,0,6,28,65576
19:33:19.614978,67,8,36545,5,0,6,28,3840
19:33:19.640065,71,7,36545,5,0,6,28,848
19:33:19.643141,71,17,36545,5,0,6,28,848
19:33:19.646340,72,7,36545,106,0,6,28,17424
19:33:19.646660,72,8,36545,106,0,6,28,73776
19:33:19.646980,72,9,36545,95,0,6,28,73776
19:33:19.649545,72,17,36545,106,0,6,28,17424
19:33:19.649906,72,18,36545,106,0,6,28,81976
19:33:19.650264,72,19,36545,85,0,6,28,65576
19:33:19.711134,82,8,36545,5,0,6,28,3840
19:33:19.740013,86,17,36545,5,0,6,28,848
19:33:19.743203,87,7,36545,5,0,6,28,848
19:33:19.746465,87,17,36545,106,0,6,28,17424
19:33:19.746789,87,18,36545,106,0,6,28,81976
19:33:19.747093,87,19,36545,85,12,6,28,65576
19:33:19.749837,88,7,36545,106,0,6,28,17424
19:33:19.750199,88,8,36545,106,0,6,28,73776
19:33:19.750539,88,9,36545,95,0,6,28,73776
19:33:19.818235,98,8,36545,5,0,6,28,3840
19:33:19.841679,101,17,36545,5,0,6,28,848
19:33:19.844862,102,7,36545,5,0,6,28,848
19:33:19.847984,102,17,36545,106,0,6,28,17424
19:33:19.848263,102,18,36545,106,0,6,28,81976
19:33:19.848634,102,19,36545,85,0,6,28,65576
19:33:19.851260,103,7,36545,106,0,6,28,17424
19:33:19.851695,103,8,36545,106,0,6,28,81976
19:33:19.851973,103,9,36545,85,0,6,28,65576
