time,rnti,frame,slot,sched_frame,sched_slot,avg_snr_x10,mcs_table,ul_bler_mcs_before,selected_mcs,pre_phr_mcs,post_phr_mcs,final_mcs,estimated_ul_buffer,sched_ul_bytes,B,min_rb,available_rb_before,available_rb_after,ph,pcmax,rb_size_final,tbs_final,force_ul_mcs
19:34:14.032294,54060,849,2,849,8,471,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:34:14.097022,54060,859,2,859,8,471,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:34:14.160904,54060,869,2,869,8,472,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:34:14.224926,54060,879,2,879,8,473,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:34:14.289250,54060,889,2,889,8,474,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:34:14.353504,54060,899,2,899,8,475,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:34:14.418602,54060,909,2,909,8,475,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:34:14.484276,54060,919,2,919,8,476,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:34:14.550187,54060,929,2,929,8,477,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:34:14.614122,54060,939,2,939,8,477,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:34:14.679571,54060,949,2,949,8,478,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:34:14.743966,54060,959,2,959,8,479,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:34:14.808507,54060,969,2,969,8,479,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:34:14.843976,54060,974,11,974,17,480,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
19:34:14.847177,54060,975,1,975,7,480,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
19:34:14.850379,54060,975,11,975,17,481,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
19:34:14.850737,54060,975,12,975,18,481,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
19:34:14.851082,54060,975,13,975,19,481,0,28,28,28,28,28,20516,12425,8091,5,94,94,48,20,85,8197,-1
19:34:14.853527,54060,976,1,976,7,481,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
19:34:14.853956,54060,976,2,976,8,481,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,9222,-1
19:34:14.854395,54060,976,3,976,9,481,0,28,28,28,28,28,20516,11400,9116,5,106,106,48,20,95,9222,-1
19:34:14.918314,54060,986,2,986,8,485,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,480,-1
19:34:14.943716,54060,990,1,990,7,485,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
19:34:14.947038,54060,990,11,990,17,485,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
19:34:14.950357,54060,991,1,991,7,486,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
19:34:14.950768,54060,991,2,991,8,486,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
19:34:14.951094,54060,991,3,991,9,486,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
19:34:14.953612,54060,991,11,991,17,486,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
19:34:14.954129,54060,991,12,991,18,486,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
19:34:14.954481,54060,991,13,991,19,486,0,28,28,28,28,28,20516,12425,8091,5,94,94,48,20,85,8197,-1
19:34:15.015675,54060,1001,2,1001,8,488,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,480,-1
19:34:15.044344,54060,1005,11,1005,17,489,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
19:34:15.047543,54060,1006,1,1006,7,489,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
19:34:15.050845,54060,1006,11,1006,17,489,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
19:34:15.051304,54060,1006,12,1006,18,489,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
19:34:15.051628,54060,1006,13,1006,19,489,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
