1787366053980385175,1580699043930280,connecting to 127.0.0.1:2031
1787366053980432530,1580699043977531,turning ON GNB_MAC_PUSCH_POWER_CONTROL
1787366053980434786,1580699043979748,time,rnti,frame,slot,snrx10,phr,tpc,tb_size,txpower_calc,rbSize,mcs,rssi
1787366054037290205,1580699100835350,19:34:14.036677,54060,849,8,505,48,0,480,0,5,28,860
1787366054102482054,1580699166027352,19:34:14.101511,54060,859,8,505,48,0,480,0,5,28,860
1787366054165766869,1580699229312173,19:34:14.165003,54060,869,8,505,48,0,480,0,5,28,860
1787366054229731933,1580699293277055,19:34:14.229189,54060,879,8,505,48,0,480,0,5,28,860
1787366054293891113,1580699357436542,19:34:14.293339,54060,889,8,505,48,0,480,0,5,28,860
1787366054357971206,1580699421516738,19:34:14.357757,54060,899,8,505,48,0,480,0,5,28,860
1787366054424162880,1580699487708161,19:34:14.423479,54060,909,8,505,48,1,480,0,5,28,860
1787366054489332352,1580699552877522,19:34:14.488496,54060,919,8,505,48,0,480,0,5,28,860
1787366054555437983,1580699618983624,19:34:14.554061,54060,929,8,505,48,0,480,0,5,28,860
1787366054618475740,1580699682021127,19:34:14.618306,54060,939,8,505,48,0,480,0,5,28,860
1787366054684725965,1580699748271336,19:34:14.684066,54060,949,8,505,48,0,480,0,5,28,860
1787366054748981413,1580699812526732,19:34:14.748446,54060,959,8,505,48,0,480,0,5,28,860
1787366054813418340,1580699876963520,19:34:14.812948,54060,969,8,505,48,1,480,0,5,28,860
1787366054849057671,1580699912603011,19:34:14.848057,54060,974,17,505,48,0,106,0,5,28,860
1787366054852199785,1580699915745031,19:34:14.851328,54060,975,7,510,48,1,106,0,5,28,860
1787366054855577634,1580699919122690,19:34:14.854629,54060,975,17,500,48,0,2178,0,106,28,860
1787366054855589525,1580699919134470,19:34:14.855176,54060,975,18,505,61,1,10247,0,106,28,860
1787366054856739328,1580699920284499,19:34:14.855679,54060,975,19,505,61,1,8197,0,85,28,860
1787366054858893731,1580699922439126,19:34:14.857878,54060,976,7,500,61,0,2178,0,106,28,860
1787366054858912999,1580699922457969,19:34:14.858310,54060,976,8,510,61,1,9222,0,106,28,860
1787366054858920569,1580699922465522,19:34:14.858617,54060,976,9,505,61,1,9222,0,95,28,860
1787366054923399457,1580699986944997,19:34:14.922487,54060,986,8,505,61,0,480,0,5,28,860
1787366054948626806,1580700012172628,19:34:14.948090,54060,990,7,505,48,0,106,0,5,28,860
1787366054951880302,1580700015425542,19:34:14.951361,54060,990,17,505,48,0,106,0,5,28,860
1787366054956068465,1580700019613690,19:34:14.955259,54060,991,7,500,48,0,2178,0,106,28,860
1787366054957150549,1580700020695565,19:34:14.956161,54060,991,8,505,61,0,10247,0,106,28,860
1787366054957161935,1580700020706883,19:34:14.956404,54060,991,9,505,61,0,8197,0,85,28,860
1787366054958224304,1580700021769273,19:34:14.957898,54060,991,17,500,61,0,2178,0,106,28,860
1787366054959295959,1580700022840899,19:34:14.958348,54060,991,18,505,61,1,10247,0,106,28,860
1787366054959308699,1580700022853633,19:34:14.958787,54060,991,19,505,61,1,8197,0,85,28,860
1787366055020971784,1580700084517343,19:34:15.020069,54060,1001,8,505,61,0,480,0,5,28,860
1787366055049452959,1580700112998183,19:34:15.048446,54060,1005,17,505,48,0,106,0,5,28,860
1787366055052848479,1580700116393655,19:34:15.051737,54060,1006,7,505,48,0,106,0,5,28,860
1787366055055891390,1580700119436480,19:34:15.055083,54060,1006,17,500,48,0,2178,0,106,28,860
1787366055055905491,1580700119450433,19:34:15.055540,54060,1006,18,505,61,0,10247,0,106,28,860
1787366055055927588,1580700119472525,19:34:15.055843,54060,1006,19,505,61,0,8197,0,85,28,860
1787366055059094335,1580700122639417,19:34:15.058414,54060,1007,7,500,61,0,2178,0,106,28,860
1787366055059109683,1580700122654612,19:34:15.058859,54060,1007,8,505,61,1,10247,0,106,28,860
1787366055060162492,1580700123707430,19:34:15.059222,54060,1007,9,505,61,1,8197,0,85,28,860
1787366055123919972,1580700187465608,19:34:15.123591,54060,1017,8,505,61,0,480,0,5,28,860
1787366055162623463,1580700226169516,19:34:15.161735,54060,1020,7,505,48,0,106,0,5,28,860
1787366055165788030,1580700229333332,19:34:15.164711,54060,1020,17,505,48,0,106,0,5,28,860
1787366055169143256,1580700232688455,19:34:15.167982,54060,1021,7,500,48,0,2178,0,106,28,860
1787366055169158632,1580700232703576,19:34:15.168421,54060,1021,8,505,61,0,10247,0,106,28,860
1787366055169168072,1580700232713030,19:34:15.168840,54060,1021,9,505,61,0,8197,0,85,28,860
1787366055172207971,1580700235753161,19:34:15.171092,54060,1021,17,500,61,0,2178,0,106,28,860
1787366055172235423,1580700235780369,19:34:15.171626,54060,1021,18,505,61,1,10247,0,106,28,860
1787366055172252436,1580700235797355,19:34:15.172036,54060,1021,19,505,61,1,8197,0,85,28,860
1787366055233510256,1580700297055271,19:34:15.232294,54060,7,8,505,61,0,480,0,5,28,860
1787366055248127299,1580700311672447,19:34:15.247977,54060,9,17,505,48,0,106,0,5,28,860
1787366055251413175,1580700314958205,19:34:15.251077,54060,10,7,510,48,0,106,0,5,28,890
1787366055254688407,1580700318233525,19:34:15.254365,54060,10,17,500,48,0,2178,0,106,28,860
1787366055255942705,1580700319487765,19:34:15.254853,54060,10,18,505,61,0,10247,0,106,28,860
1787366055255979483,1580700319524458,19:34:15.255125,54060,10,19,505,61,0,8197,0,85,28,860
1787366055257931590,1580700321476855,19:34:15.257511,54060,11,7,500,61,0,2178,0,106,28,860
1787366055258966489,1580700322511462,19:34:15.257972,54060,11,8,505,61,1,10247,0,106,28,860
