time,rnti,frame,slot,snrx10,phr,tpc,tb_size,txpower_calc,rbSize,mcs,rssi
19:23:47.549226,44027,894,8,510,48,0,480,0,5,28,860
19:23:47.613222,44027,904,8,510,48,0,437,0,5,28,860
19:23:47.676749,44027,914,8,510,48,0,480,0,5,28,860
19:23:47.739898,44027,924,8,510,48,0,480,0,5,28,860
19:23:47.804088,44027,934,8,510,48,0,480,0,5,28,860
19:23:47.867963,44027,944,8,510,48,0,437,0,5,28,860
19:23:47.932497,44027,954,8,510,48,0,480,0,5,28,860
19:23:48.002743,44027,964,8,510,48,1,480,0,5,28,860
19:23:48.066484,44027,974,8,510,48,0,480,0,5,28,860
19:23:48.130277,44027,984,8,510,48,0,437,0,5,28,860
19:23:48.194260,44027,994,8,510,48,0,480,0,5,28,860
19:23:48.257043,44027,1004,8,510,48,0,480,0,5,28,860
19:23:48.320729,44027,1014,8,510,48,0,480,0,5,28,860
19:23:48.383902,44027,0,8,510,48,0,437,0,5,28,860
19:23:48.446363,44027,10,8,510,48,1,480,0,5,28,860
19:23:48.510723,44027,20,8,510,48,0,480,0,5,28,860
19:23:48.538453,44027,24,17,510,48,0,106,0,5,28,890
19:23:48.541740,44027,25,7,510,48,1,106,0,5,28,890
19:23:48.544751,44027,25,17,500,48,0,2178,0,106,28,860
19:23:48.545351,44027,25,18,505,61,1,10247,0,106,28,860
19:23:48.545746,44027,25,19,505,61,1,8197,0,85,28,860
19:23:48.548180,44027,26,7,500,61,0,2178,0,106,28,860
19:23:48.548508,44027,26,8,505,61,1,10247,0,106,28,860
19:23:48.548879,44027,26,9,505,61,1,8197,0,85,28,860
19:23:48.612163,44027,36,8,510,61,0,480,0,5,28,860
19:23:48.640338,44027,40,17,510,48,0,106,0,5,28,890
19:23:48.643541,44027,41,7,510,48,0,106,0,5,28,890
19:23:48.646634,44027,41,17,500,48,0,2178,0,106,28,860
19:23:48.647076,44027,41,18,505,61,0,10247,0,106,28,860
19:23:48.647461,44027,41,19,505,61,0,8197,0,85,28,860
19:23:48.649757,44027,42,7,500,61,0,2178,0,106,28,860
19:23:48.650230,44027,42,8,505,61,1,10247,0,106,28,860
19:23:48.650537,44027,42,9,505,61,1,8197,0,85,28,860
19:23:48.713513,44027,52,8,510,61,0,480,0,5,28,860
19:23:48.738682,44027,56,7,505,48,0,106,0,5,28,860
19:23:48.741756,44027,56,17,510,48,0,106,0,5,28,890
19:23:48.745040,44027,57,7,500,48,0,2178,0,106,28,860
19:23:48.745613,44027,57,8,505,61,0,10247,0,106,28,860
19:23:48.745845,44027,57,9,505,61,0,8197,0,85,28,860
19:23:48.748105,44027,57,17,500,61,0,2178,0,106,28,860
19:23:48.748707,44027,57,18,505,61,1,10247,0,106,28,860
19:23:48.749068,44027,57,19,505,61,1,8197,0,85,28,860
19:23:48.809200,44027,67,8,510,61,0,480,0,5,28,860
19:23:48.839734,44027,72,7,510,48,0,106,0,5,28,890
19:23:48.843062,44027,72,17,510,48,0,106,0,5,28,890
19:23:48.846361,44027,73,7,500,48,0,2178,0,106,28,860
19:23:48.846694,44027,73,8,505,61,0,10247,0,106,28,860
19:23:48.847004,44027,73,9,505,61,0,8197,0,85,28,860
