1787365427481165545,1580072544716957,connecting to 127.0.0.1:2031
1787365427481215789,1580072544760788,turning ON GNB_MAC_PUSCH_POWER_CONTROL
1787365427481218800,1580072544763733,time,rnti,frame,slot,snrx10,phr,tpc,tb_size,txpower_calc,rbSize,mcs,rssi
1787365427549780690,1580072613325921,19:23:47.549226,44027,894,8,510,48,0,480,0,5,28,860
1787365427613903925,1580072677449870,19:23:47.613222,44027,904,8,510,48,0,437,0,5,28,860
1787365427677058685,1580072740604350,19:23:47.676749,44027,914,8,510,48,0,480,0,5,28,860
1787365427740298015,1580072803844124,19:23:47.739898,44027,924,8,510,48,0,480,0,5,28,860
1787365427804821316,1580072868367428,19:23:47.804088,44027,934,8,510,48,0,480,0,5,28,860
1787365427868297305,1580072931842641,19:23:47.867963,44027,944,8,510,48,0,437,0,5,28,860
1787365427934119609,1580072997665033,19:23:47.932497,44027,954,8,510,48,0,480,0,5,28,860
1787365428003242243,1580073066788593,19:23:48.002743,44027,964,8,510,48,1,480,0,5,28,860
1787365428067432731,1580073130979486,19:23:48.066484,44027,974,8,510,48,0,480,0,5,28,860
1787365428130779098,1580073194324933,19:23:48.130277,44027,984,8,510,48,0,437,0,5,28,860
1787365428195428493,1580073258974191,19:23:48.194260,44027,994,8,510,48,0,480,0,5,28,860
1787365428257280106,1580073320826625,19:23:48.257043,44027,1004,8,510,48,0,480,0,5,28,860
1787365428321749584,1580073385295676,19:23:48.320729,44027,1014,8,510,48,0,480,0,5,28,860
1787365428384337564,1580073447883049,19:23:48.383902,44027,0,8,510,48,0,437,0,5,28,860
1787365428446988977,1580073510535104,19:23:48.446363,44027,10,8,510,48,1,480,0,5,28,860
1787365428511450595,1580073574997053,19:23:48.510723,44027,20,8,510,48,0,480,0,5,28,860
1787365428539433554,1580073602979161,19:23:48.538453,44027,24,17,510,48,0,106,0,5,28,890
1787365428542629608,1580073606175279,19:23:48.541740,44027,25,7,510,48,1,106,0,5,28,890
1787365428545809483,1580073609354519,19:23:48.544751,44027,25,17,500,48,0,2178,0,106,28,860
1787365428545814112,1580073609359040,19:23:48.545351,44027,25,18,505,61,1,10247,0,106,28,860
1787365428546727186,1580073610272141,19:23:48.545746,44027,25,19,505,61,1,8197,0,85,28,860
1787365428548966668,1580073612512085,19:23:48.548180,44027,26,7,500,61,0,2178,0,106,28,860
1787365428549000670,1580073612545723,19:23:48.548508,44027,26,8,505,61,1,10247,0,106,28,860
1787365428549002994,1580073612547933,19:23:48.548879,44027,26,9,505,61,1,8197,0,85,28,860
1787365428612698627,1580073676244175,19:23:48.612163,44027,36,8,510,61,0,480,0,5,28,860
1787365428640723246,1580073704269053,19:23:48.640338,44027,40,17,510,48,0,106,0,5,28,890
1787365428643909572,1580073707454563,19:23:48.643541,44027,41,7,510,48,0,106,0,5,28,890
1787365428647098645,1580073710643779,19:23:48.646634,44027,41,17,500,48,0,2178,0,106,28,860
1787365428648155408,1580073711700504,19:23:48.647076,44027,41,18,505,61,0,10247,0,106,28,860
1787365428648194587,1580073711739506,19:23:48.647461,44027,41,19,505,61,0,8197,0,85,28,860
1787365428650346800,1580073713892116,19:23:48.649757,44027,42,7,500,61,0,2178,0,106,28,860
1787365428650372008,1580073713916952,19:23:48.650230,44027,42,8,505,61,1,10247,0,106,28,860
1787365428651568371,1580073715113375,19:23:48.650537,44027,42,9,505,61,1,8197,0,85,28,860
1787365428714769797,1580073778315435,19:23:48.713513,44027,52,8,510,61,0,480,0,5,28,860
1787365428739412243,1580073802957611,19:23:48.738682,44027,56,7,505,48,0,106,0,5,28,860
1787365428742547488,1580073806092666,19:23:48.741756,44027,56,17,510,48,0,106,0,5,28,890
1787365428745662392,1580073809207586,19:23:48.745040,44027,57,7,500,48,0,2178,0,106,28,860
1787365428746628257,1580073810173383,19:23:48.745613,44027,57,8,505,61,0,10247,0,106,28,860
1787365428746661414,1580073810206371,19:23:48.745845,44027,57,9,505,61,0,8197,0,85,28,860
1787365428748827165,1580073812372363,19:23:48.748105,44027,57,17,500,61,0,2178,0,106,28,860
1787365428748856647,1580073812401654,19:23:48.748707,44027,57,18,505,61,1,10247,0,106,28,860
1787365428749891128,1580073813436244,19:23:48.749068,44027,57,19,505,61,1,8197,0,85,28,860
1787365428811019461,1580073874565303,19:23:48.809200,44027,67,8,510,61,0,480,0,5,28,860
1787365428840707790,1580073904253789,19:23:48.839734,44027,72,7,510,48,0,106,0,5,28,890
1787365428843895362,1580073907441050,19:23:48.843062,44027,72,17,510,48,0,106,0,5,28,890
1787365428847421874,1580073910967143,19:23:48.846361,44027,73,7,500,48,0,2178,0,106,28,860
1787365428847429959,1580073910974904,19:23:48.846694,44027,73,8,505,61,0,10247,0,106,28,860
1787365428847956857,1580073911501833,19:23:48.847004,44027,73,9,505,61,0,8197,0,85,28,860
1787365428850137575,1580073913682915,19:23:48.849690,44027,73,17,500,61,0,2178,0,106,28,860
1787365428851205563,1580073914750630,19:23:48.850212,44027,73,18,505,61,1,10247,0,106,28,860
1787365428851208673,1580073914753614,19:23:48.850592,44027,73,19,505,61,1,8197,0,85,28,860
1787365428911847951,1580073975394316,19:23:48.910621,44027,83,8,510,61,0,480,0,5,28,860
1787365428939719571,1580074003265516,19:23:48.939499,44027,87,17,510,48,0,106,0,5,28,890
1787365428944426587,1580074007972320,19:23:48.943090,44027,88,7,510,48,0,106,0,5,28,890
1787365428947775214,1580074011320641,19:23:48.946229,44027,88,17,500,48,0,2178,0,106,28,860
1787365428947789587,1580074011334550,19:23:48.946735,44027,88,18,505,61,0,10247,0,106,28,860
1787365428947792039,1580074011336970,19:23:48.947007,44027,88,19,505,61,0,8197,0,85,28,860
1787365428950385299,1580074013930318,19:23:48.949546,44027,89,7,500,61,0,2178,0,106,28,860
1787365428950395809,1580074013940728,19:23:48.950142,44027,89,8,505,61,1,10247,0,106,28,860
1787365428951463391,1580074015008336,19:23:48.950387,44027,89,9,505,61,1,8197,0,85,28,860
1787365429018331946,1580074081877552,19:23:49.017754,44027,99,8,510,61,0,480,0,5,28,860
1787365429042956085,1580074106501023,19:23:49.041394,44027,102,17,510,48,0,106,0,5,28,890
1787365429045295224,1580074108840315,19:23:49.044602,44027,103,7,510,48,0,106,0,5,28,890
1787365429050179681,1580074113724863,19:23:49.048437,44027,103,17,500,48,0,2178,0,106,28,860
1787365429050190291,1580074113735266,19:23:49.048964,44027,103,18,505,61,0,10247,0,106,28,860
1787365429050286135,1580074113831075,19:23:49.049309,44027,103,19,505,61,0,8197,0,85,28,860
1787365429052556019,1580074116101512,19:23:49.051718,44027,104,7,500,61,0,2178,0,106,28,860
1787365429052568332,1580074116113324,19:23:49.052183,44027,104,8,510,61,0,9222,0,106,28,860
1787365429053530901,1580074117075897,19:23:49.052512,44027,104,9,505,61,1,9222,0,95,28,860
1787365429122153464,1580074185699216,19:23:49.121037,44027,114,8,510,61,0,480,0,5,28,860
1787365429163987581,1580074227533027,19:23:49.163065,44027,116,17,510,48,0,106,0,5,28,890
1787365429167105259,1580074230650444,19:23:49.166362,44027,117,7,510,48,0,106,0,5,28,890
1787365429172173142,1580074235718256,19:23:49.170494,44027,117,17,500,48,0,2178,0,106,28,860
1787365429172181452,1580074235726383,19:23:49.171356,44027,117,18,505,61,0,10247,0,106,28,860
1787365429172242662,1580074235787641,19:23:49.171991,44027,117,19,505,61,0,8197,0,85,28,860
1787365429174277199,1580074237822254,19:23:49.174065,44027,118,7,500,61,0,2178,0,106,28,860
1787365429175322876,1580074238867885,19:23:49.175278,44027,118,8,505,61,1,10247,0,106,28,860
1787365429176404222,1580074239949192,19:23:49.175590,44027,118,9,505,61,1,8197,0,85,28,860
1787365429242378071,1580074305923677,19:23:49.240914,44027,128,7,505,61,0,106,0,5,28,860
1787365429245370477,1580074308915577,19:23:49.244299,44027,128,17,510,48,0,106,0,5,28,890
1787365429248506434,1580074312051560,19:23:49.247865,44027,129,7,500,48,0,2178,0,106,28,860
1787365429248512671,1580074312057608,19:23:49.248190,44027,129,8,505,61,0,10247,0,106,28,860
1787365429249498619,1580074313043759,19:23:49.248482,44027,129,9,505,61,0,8197,0,85,28,860
