time,frame,slot,rnti,rb_size,rb_start,qam_mod_order,mcs_index,number_of_bits
19:23:47.547986,894,8,44027,5,0,6,28,3840
19:23:47.611708,904,8,44027,5,0,6,28,3496
19:23:47.675547,914,8,44027,5,0,6,28,3840
19:23:47.738653,924,8,44027,5,0,6,28,3840
19:23:47.802717,934,8,44027,5,0,6,28,3840
19:23:47.866483,944,8,44027,5,0,6,28,3496
19:23:47.931560,954,8,44027,5,0,6,28,3840
19:23:48.001407,964,8,44027,5,0,6,28,3840
19:23:48.065224,974,8,44027,5,0,6,28,3840
19:23:48.128995,984,8,44027,5,0,6,28,3496
19:23:48.192738,994,8,44027,5,0,6,28,3840
19:23:48.255516,1004,8,44027,5,0,6,28,3840
19:23:48.318686,1014,8,44027,5,0,6,28,3840
19:23:48.382185,0,8,44027,5,0,6,28,3496
19:23:48.444999,10,8,44027,5,0,6,28,3840
19:23:48.509160,20,8,44027,5,0,6,28,3840
19:23:48.537072,24,17,44027,5,0,6,28,848
19:23:48.540317,25,7,44027,5,0,6,28,848
19:23:48.543454,25,17,44027,106,0,6,28,17424
19:23:48.543771,25,18,44027,106,0,6,28,81976
19:23:48.544117,25,19,44027,85,12,6,28,65576
19:23:48.546715,26,7,44027,106,0,6,28,17424
19:23:48.547018,26,8,44027,106,0,6,28,81976
19:23:48.547321,26,9,44027,85,0,6,28,65576
19:23:48.610599,36,8,44027,5,0,6,28,3840
19:23:48.638911,40,17,44027,5,0,6,28,848
19:23:48.642072,41,7,44027,5,0,6,28,848
19:23:48.645214,41,17,44027,106,0,6,28,17424
19:23:48.645520,41,18,44027,106,0,6,28,81976
19:23:48.645812,41,19,44027,85,12,6,28,65576
19:23:48.648434,42,7,44027,106,0,6,28,17424
19:23:48.648745,42,8,44027,106,0,6,28,81976
19:23:48.649063,42,9,44027,85,0,6,28,65576
19:23:48.712151,52,8,44027,5,0,6,28,3840
19:23:48.737248,56,7,44027,5,0,6,28,848
19:23:48.740404,56,17,44027,5,0,6,28,848
19:23:48.743590,57,7,44027,106,0,6,28,17424
19:23:48.743903,57,8,44027,106,0,6,28,81976
