time,rnti,frame,slot,mcs,tbs
19:58:53.709836,1904,870,2,28,480
19:58:53.774256,1904,880,2,28,437
19:58:53.838798,1904,890,2,28,480
19:58:53.903779,1904,900,2,28,480
19:58:53.969442,1904,910,2,28,480
19:58:54.034676,1904,920,2,28,437
19:58:54.100407,1904,930,2,28,480
19:58:54.197504,1904,940,2,28,480
19:58:54.263554,1904,950,2,28,480
19:58:54.333217,1904,960,2,28,437
19:58:54.395454,1904,970,2,28,480
19:58:54.458076,1904,980,2,28,480
19:58:54.520147,1904,990,2,28,480
19:58:54.522899,1904,990,11,28,106
19:58:54.525970,1904,991,1,28,2178
19:58:54.526252,1904,991,2,28,10247
19:58:54.526577,1904,991,3,28,8197
19:58:54.528941,1904,991,11,28,2178
19:58:54.529224,1904,991,12,28,10247
19:58:54.529549,1904,991,13,28,8197
19:58:54.587962,1904,1001,2,28,480
19:58:54.624750,1904,1007,1,28,106
19:58:54.627851,1904,1007,11,28,106
19:58:54.630840,1904,1008,1,28,2178
19:58:54.631121,1904,1008,2,28,9222
19:58:54.631446,1904,1008,3,28,9222
19:58:54.633872,1904,1008,11,28,2178
19:58:54.634156,1904,1008,12,28,10247
19:58:54.634487,1904,1008,13,28,8197
19:58:54.692169,1904,1018,2,28,480
19:58:54.723215,1904,1023,1,28,106
19:58:54.726286,1904,1023,11,28,106
19:58:54.729281,1904,0,1,28,2178
19:58:54.729566,1904,0,2,28,9222
19:58:54.729889,1904,0,3,28,9222
19:58:54.732378,1904,0,11,28,2178
19:58:54.732660,1904,0,12,28,10247
19:58:54.732987,1904,0,13,28,8197
19:58:54.791641,1904,10,2,28,480
19:58:54.825106,1904,15,11,28,106
19:58:54.828279,1904,16,1,28,106
19:58:54.831683,1904,16,11,28,2178
19:58:54.831819,1904,16,12,28,10247
19:58:54.832164,1904,16,13,28,8197
19:58:54.834644,1904,17,1,28,2178
19:58:54.834932,1904,17,2,28,10247
19:58:54.835255,1904,17,3,28,8197
19:58:54.896805,1904,27,2,28,480
19:58:54.924849,1904,31,11,28,106
19:58:54.927914,1904,32,1,28,106
19:58:54.931047,1904,32,11,28,2178
19:58:54.931331,1904,32,12,28,10247
19:58:54.931684,1904,32,13,28,8197
19:58:54.934135,1904,33,1,28,2178
19:58:54.934427,1904,33,2,28,10247
19:58:54.934754,1904,33,3,28,8197
19:58:54.996595,1904,43,2,28,480
19:58:55.024570,1904,47,11,28,106
19:58:55.027777,1904,48,1,28,106
19:58:55.030750,1904,48,11,28,2178
19:58:55.031034,1904,48,12,28,10247
19:58:55.031385,1904,48,13,28,8197
19:58:55.033900,1904,49,1,28,2178
19:58:55.034190,1904,49,2,28,10247
19:58:55.034539,1904,49,3,28,8197
19:58:55.096195,1904,59,2,28,480
