time,rnti,frame,slot,sched_frame,sched_slot,avg_snr_x10,mcs_table,ul_bler_mcs_before,selected_mcs,pre_phr_mcs,post_phr_mcs,final_mcs,estimated_ul_buffer,sched_ul_bytes,B,min_rb,available_rb_before,available_rb_after,ph,pcmax,rb_size_final,tbs_final,force_ul_mcs
20:00:49.317655,26562,868,2,868,8,469,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
20:00:49.383016,26562,878,2,878,8,470,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
20:00:49.447948,26562,888,2,888,8,471,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,437,-1
20:00:49.512820,26562,898,2,898,8,472,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
20:00:49.577690,26562,908,2,908,8,473,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
20:00:49.642794,26562,918,2,918,8,474,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
20:00:49.707527,26562,928,2,928,8,475,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,437,-1
20:00:49.771351,26562,938,2,938,8,476,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
20:00:49.836748,26562,948,2,948,8,476,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
20:00:49.901037,26562,958,2,958,8,477,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
20:00:49.964887,26562,968,2,968,8,478,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,437,-1
20:00:50.028699,26562,978,2,978,8,479,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
20:00:50.092529,26562,988,2,988,8,480,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
20:00:50.115096,26562,991,11,991,17,480,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
20:00:50.118350,26562,992,1,992,7,480,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
20:00:50.121802,26562,992,11,992,17,481,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
20:00:50.122153,26562,992,12,992,18,481,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
20:00:50.122479,26562,992,13,992,19,481,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
20:00:50.125039,26562,993,1,993,7,482,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
20:00:50.125330,26562,993,2,993,8,482,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
20:00:50.125776,26562,993,3,993,9,482,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
20:00:50.190043,26562,1003,2,1003,8,485,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,480,-1
20:00:50.215274,26562,1007,1,1007,7,485,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
20:00:50.218534,26562,1007,11,1007,17,485,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
20:00:50.221789,26562,1008,1,1008,7,486,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
20:00:50.222112,26562,1008,2,1008,8,486,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,9222,-1
20:00:50.222442,26562,1008,3,1008,9,486,0,28,28,28,28,28,20516,11400,9116,5,106,106,48,20,95,9222,-1
20:00:50.224964,26562,1008,11,1008,17,486,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
20:00:50.225249,26562,1008,12,1008,18,486,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
20:00:50.225592,26562,1008,13,1008,19,486,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
20:00:50.286188,26562,1018,2,1018,8,489,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,480,-1
20:00:50.314594,26562,1022,11,1022,17,489,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
20:00:50.317834,26562,1023,1,1023,7,489,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
20:00:50.321045,26562,1023,11,1023,17,489,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
20:00:50.321376,26562,1023,12,1023,18,489,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
20:00:50.321704,26562,1023,13,1023,19,489,0,28,28,28,28,28,20516,12425,8091,5,94,94,48,20,85,8197,-1
20:00:50.324265,26562,0,1,0,7,490,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
20:00:50.324577,26562,0,2,0,8,490,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,9222,-1
20:00:50.324897,26562,0,3,0,9,490,0,28,28,28,28,28,20516,11400,9116,5,106,106,48,20,95,9222,-1
20:00:50.388191,26562,10,2,10,8,492,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,480,-1
20:00:50.413594,26562,14,1,14,7,492,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
20:00:50.416844,26562,14,11,14,17,492,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
20:00:50.420179,26562,15,1,15,7,492,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
20:00:50.420468,26562,15,2,15,8,492,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
20:00:50.420811,26562,15,3,15,9,492,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
20:00:50.423340,26562,15,11,15,17,493,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
20:00:50.423634,26562,15,12,15,18,493,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
20:00:50.423987,26562,15,13,15,19,493,0,28,28,28,28,28,20516,12425,8091,5,94,94,48,20,85,8197,-1
20:00:50.484453,26562,25,2,25,8,494,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,480,-1
20:00:50.515907,26562,30,1,30,7,495,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
20:00:50.518982,26562,30,11,30,17,495,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
20:00:50.522465,26562,31,1,31,7,495,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
20:00:50.522750,26562,31,2,31,8,495,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
20:00:50.523069,26562,31,3,31,9,495,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
20:00:50.525449,26562,31,11,31,17,495,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
20:00:50.525754,26562,31,12,31,18,495,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
20:00:50.526077,26562,31,13,31,19,495,0,28,28,28,28,28,20516,12425,8091,5,94,94,48,20,85,8197,-1
20:00:50.586011,26562,41,2,41,8,496,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,480,-1
20:00:50.614071,26562,45,11,45,17,497,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
20:00:50.617362,26562,46,1,46,7,497,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
20:00:50.620661,26562,46,11,46,17,497,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
20:00:50.621121,26562,46,12,46,18,497,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
20:00:50.621448,26562,46,13,46,19,497,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
20:00:50.623970,26562,47,1,47,7,497,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
20:00:50.624330,26562,47,2,47,8,497,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
20:00:50.624657,26562,47,3,47,9,497,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
20:00:50.688687,26562,57,2,57,8,498,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,480,-1
20:00:50.713844,26562,61,1,61,7,498,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
20:00:50.717135,26562,61,11,61,17,498,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
20:00:50.720313,26562,62,1,62,7,498,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
20:00:50.720633,26562,62,2,62,8,498,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
20:00:50.720959,26562,62,3,62,9,498,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
20:00:50.723547,26562,62,11,62,17,498,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
20:00:50.723866,26562,62,12,62,18,498,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
20:00:50.724195,26562,62,13,62,19,498,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
20:00:50.784686,26562,72,2,72,8,499,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,437,-1
