time,frame,slot,rnti,rb_size,rb_start,qam_mod_order,mcs_index,number_of_bits
20:00:49.320930,868,8,26562,5,0,6,28,3840
20:00:49.386394,878,8,26562,5,0,6,28,3840
20:00:49.451135,888,8,26562,5,0,6,28,3496
20:00:49.516181,898,8,26562,5,0,6,28,3840
20:00:49.580819,908,8,26562,5,0,6,28,3840
20:00:49.645941,918,8,26562,5,0,6,28,3840
20:00:49.710610,928,8,26562,5,0,6,28,3496
20:00:49.774499,938,8,26562,5,0,6,28,3840
20:00:49.839761,948,8,26562,5,0,6,28,3840
20:00:49.903725,958,8,26562,5,0,6,28,3840
20:00:49.967654,968,8,26562,5,0,6,28,3496
20:00:50.031430,978,8,26562,5,0,6,28,3840
20:00:50.095803,988,8,26562,5,0,6,28,3840
20:00:50.118419,991,17,26562,5,0,6,28,848
20:00:50.121658,992,7,26562,5,0,6,28,848
20:00:50.124866,992,17,26562,106,0,6,28,17424
20:00:50.125188,992,18,26562,106,0,6,28,81976
20:00:50.125493,992,19,26562,85,0,6,28,65576
20:00:50.128143,993,7,26562,106,0,6,28,17424
20:00:50.128463,993,8,26562,106,0,6,28,81976
20:00:50.128817,993,9,26562,85,0,6,28,65576
20:00:50.192765,1003,8,26562,5,0,6,28,3840
20:00:50.218168,1007,7,26562,5,0,6,28,848
20:00:50.221352,1007,17,26562,5,0,6,28,848
20:00:50.224560,1008,7,26562,106,0,6,28,17424
20:00:50.224866,1008,8,26562,106,0,6,28,73776
20:00:50.225169,1008,9,26562,95,0,6,28,73776
20:00:50.227750,1008,17,26562,106,0,6,28,17424
20:00:50.228063,1008,18,26562,106,0,6,28,81976
20:00:50.228372,1008,19,26562,85,0,6,28,65576
20:00:50.289093,1018,8,26562,5,0,6,28,3840
20:00:50.317282,1022,17,26562,5,0,6,28,848
20:00:50.320468,1023,7,26562,5,0,6,28,848
20:00:50.323739,1023,17,26562,106,0,6,28,17424
20:00:50.324072,1023,18,26562,106,0,6,28,81976
20:00:50.324350,1023,19,26562,85,12,6,28,65576
20:00:50.327240,0,7,26562,106,0,6,28,17424
20:00:50.327287,0,8,26562,106,0,6,28,73776
20:00:50.327851,0,9,26562,95,0,6,28,73776
20:00:50.391211,10,8,26562,5,0,6,28,3840
20:00:50.416639,14,7,26562,5,0,6,28,848
20:00:50.419800,14,17,26562,5,0,6,28,848
20:00:50.423017,15,7,26562,106,0,6,28,17424
20:00:50.423328,15,8,26562,106,0,6,28,81976
20:00:50.423640,15,9,26562,85,0,6,28,65576
20:00:50.426255,15,17,26562,106,0,6,28,17424
20:00:50.426587,15,18,26562,106,0,6,28,81976
20:00:50.426934,15,19,26562,85,12,6,28,65576
20:00:50.487556,25,8,26562,5,0,6,28,3840
20:00:50.519025,30,7,26562,5,0,6,28,848
20:00:50.522157,30,17,26562,5,0,6,28,848
20:00:50.525305,31,7,26562,106,0,6,28,17424
20:00:50.525475,31,8,26562,106,0,6,28,81976
20:00:50.525783,31,9,26562,85,0,6,28,65576
20:00:50.528328,31,17,26562,106,0,6,28,17424
20:00:50.528633,31,18,26562,106,0,6,28,81976
20:00:50.528945,31,19,26562,85,12,6,28,65576
20:00:50.588808,41,8,26562,5,0,6,28,3840
20:00:50.617193,45,17,26562,5,0,6,28,848
20:00:50.620420,46,7,26562,5,0,6,28,848
20:00:50.623774,46,17,26562,106,0,6,28,17424
20:00:50.623887,46,18,26562,106,0,6,28,81976
20:00:50.624185,46,19,26562,85,0,6,28,65576
20:00:50.626796,47,7,26562,106,0,6,28,17424
20:00:50.627117,47,8,26562,106,0,6,28,81976
20:00:50.627410,47,9,26562,85,0,6,28,65576
20:00:50.691345,57,8,26562,5,0,6,28,3840
20:00:50.716593,61,7,26562,5,0,6,28,848
20:00:50.719735,61,17,26562,5,0,6,28,848
20:00:50.722974,62,7,26562,106,0,6,28,17424
20:00:50.723306,62,8,26562,106,0,6,28,81976
20:00:50.723601,62,9,26562,85,0,6,28,65576
20:00:50.726190,62,17,26562,106,0,6,28,17424
20:00:50.726515,62,18,26562,106,0,6,28,81976
20:00:50.726860,62,19,26562,85,0,6,28,65576
20:00:50.787737,72,8,26562,5,0,6,28,3496
20:00:50.818887,77,7,26562,5,0,6,28,848
20:00:50.822017,77,17,26562,5,0,6,28,848
20:00:50.825228,78,7,26562,106,0,6,28,17424
20:00:50.825575,78,8,26562,106,0,6,28,81976
20:00:50.825874,78,9,26562,85,0,6,28,65576
20:00:50.828430,78,17,26562,106,0,6,28,17424
20:00:50.828745,78,18,26562,106,0,6,28,81976
20:00:50.829095,78,19,26562,85,0,6,28,65576
20:00:50.890196,88,8,26562,5,0,6,28,3496
20:00:50.918722,92,17,26562,5,0,6,28,848
20:00:50.921905,93,7,26562,5,0,6,28,848
20:00:50.925061,93,17,26562,106,0,6,28,17424
20:00:50.925376,93,18,26562,106,0,6,28,81976
20:00:50.925677,93,19,26562,85,12,6,28,65576
20:00:50.928296,94,7,26562,106,0,6,28,17424
20:00:50.928631,94,8,26562,106,0,6,28,81976
20:00:50.928982,94,9,26562,85,0,6,28,65576
20:00:50.994794,104,8,26562,5,0,6,28,3496
20:00:51.016684,107,17,26562,5,0,6,28,848
20:00:51.019975,108,7,26562,5,0,6,28,848
20:00:51.023152,108,17,26562,106,0,6,28,17424
20:00:51.023486,108,18,26562,106,0,6,28,81976
20:00:51.023775,108,19,26562,85,0,6,28,65576
20:00:51.026329,109,7,26562,106,0,6,28,17424
20:00:51.026636,109,8,26562,106,0,6,28,81976
20:00:51.026994,109,9,26562,85,0,6,28,65576
20:00:51.090556,119,8,26562,5,0,6,28,3840
20:00:51.119474,123,17,26562,5,0,6,28,848
20:00:51.122730,124,7,26562,5,0,6,28,848
20:00:51.151868,124,17,26562,106,0,6,28,17424
20:00:51.152182,124,18,26562,106,0,6,28,81976
20:00:51.152514,124,19,26562,85,0,6,28,65576
20:00:51.155169,125,7,26562,106,0,6,28,17424
20:00:51.155373,125,8,26562,106,0,6,28,81976
20:00:51.155841,125,9,26562,85,0,6,28,65576
20:00:51.218935,135,7,26562,5,0,6,28,848
20:00:51.222149,135,17,26562,5,0,6,28,848
20:00:51.225378,136,7,26562,106,0,6,28,17424
20:00:51.225619,136,8,26562,106,0,6,28,73776
20:00:51.226042,136,9,26562,95,0,6,28,73776
20:00:51.228490,136,17,26562,106,0,6,28,17424
20:00:51.228790,136,18,26562,106,0,6,28,81976
20:00:51.229120,136,19,26562,85,0,6,28,65576
20:00:51.290053,146,8,26562,5,0,6,28,3840
20:00:51.318480,150,17,26562,5,0,6,28,848
20:00:51.321638,151,7,26562,5,0,6,28,848
20:00:51.324931,151,17,26562,106,0,6,28,17424
20:00:51.325156,151,18,26562,106,0,6,28,81976
20:00:51.325429,151,19,26562,85,12,6,28,65576
20:00:51.328373,152,7,26562,106,0,6,28,17424
20:00:51.328390,152,8,26562,106,0,6,28,73776
20:00:51.328978,152,9,26562,95,0,6,28,73776
20:00:51.392582,162,8,26562,5,0,6,28,3840
20:00:51.417894,166,7,26562,5,0,6,28,848
20:00:51.421062,166,17,26562,5,0,6,28,848
20:00:51.424323,167,7,26562,106,0,6,28,17424
20:00:51.424659,167,8,26562,106,0,6,28,81976
20:00:51.424977,167,9,26562,85,0,6,28,65576
20:00:51.427592,167,17,26562,106,0,6,28,17424
20:00:51.427897,167,18,26562,106,0,6,28,81976
20:00:51.428204,167,19,26562,85,12,6,28,65576
20:00:51.488750,177,8,26562,5,0,6,28,3840
20:00:51.517088,181,17,26562,5,0,6,28,848
20:00:51.520333,182,7,26562,5,0,6,28,848
20:00:51.523601,182,17,26562,106,0,6,28,17424
20:00:51.523915,182,18,26562,106,0,6,28,81976
20:00:51.524221,182,19,26562,85,0,6,28,65576
20:00:51.526808,183,7,26562,106,0,6,28,17424
20:00:51.527140,183,8,26562,106,0,6,28,81976
20:00:51.527456,183,9,26562,85,0,6,28,65576
20:00:51.590929,193,8,26562,5,0,6,28,3840
20:00:51.616426,197,7,26562,5,0,6,28,848
