time,direction,rnti,frame,diff,old_mcs,new_mcs,max_mcs_input,max_mcs_applied,min_mcs,opt_max_mcs,num_sched,num_retx,bler_window_ppm,bler_before_ppm,bler_after_ppm,lower_ppm,upper_ppm,branch,updated
20:02:45.033291,0,20070,874,56,0,0,28,28,0,28,2,0,0,47829,43046,50000,150000,3,1
20:02:45.672076,0,20070,974,100,0,0,28,28,0,28,1,0,0,43046,38742,50000,150000,3,1
20:02:45.777169,0,20070,990,16,0,0,28,28,0,28,1,0,0,38742,34867,50000,150000,3,1
20:02:45.877333,0,20070,1005,15,0,0,28,28,0,28,1,0,0,34867,31381,50000,150000,3,1
20:02:45.978878,0,20070,1021,16,0,0,28,28,0,28,1,0,0,31381,28242,50000,150000,3,1
20:02:46.079402,0,20070,12,15,0,0,28,28,0,28,1,0,0,28242,25418,50000,150000,3,1
20:02:46.179397,0,20070,22,10,0,0,28,28,0,28,1,0,0,25418,22876,50000,150000,3,1
20:02:46.277595,0,20070,37,15,0,0,28,28,0,28,1,0,0,22876,20589,50000,150000,3,1
20:02:46.355982,0,20070,50,13,0,0,28,28,0,28,1,0,0,20589,18530,50000,150000,3,1
20:02:46.377237,0,20070,53,3,0,0,28,28,0,28,-1,-1,-1,18530,18530,50000,150000,0,0
20:02:46.479932,0,20070,69,19,0,0,28,28,0,28,2,0,0,18530,16677,50000,150000,3,1
20:02:46.579004,0,20070,84,15,0,0,28,28,0,28,1,0,0,16677,15009,50000,150000,3,1
20:02:46.679006,0,20070,100,16,0,0,28,28,0,28,1,0,0,15009,13508,50000,150000,3,1
20:02:46.777574,0,20070,115,15,0,0,28,28,0,28,1,0,0,13508,12157,50000,150000,3,1
20:02:46.878114,0,20070,131,16,0,0,28,28,0,28,1,0,0,12157,10941,50000,150000,3,1
20:02:46.980655,0,20070,147,16,0,0,28,28,0,28,1,0,0,10941,9847,50000,150000,3,1
20:02:47.000246,0,20070,150,3,0,0,28,28,0,28,-1,-1,-1,9847,9847,50000,150000,0,0
20:02:47.079316,0,20070,162,15,0,0,28,28,0,28,2,0,0,9847,8862,50000,150000,3,1
20:02:47.178298,0,20070,171,9,0,0,28,28,0,28,-1,-1,-1,8862,8862,50000,150000,0,0
20:02:47.278595,0,20070,186,24,0,0,28,28,0,28,2,0,0,8862,7976,50000,150000,3,1
20:02:47.379372,0,20070,202,16,0,0,28,28,0,28,1,0,0,7976,7178,50000,150000,3,1
20:02:47.477502,0,20070,217,15,0,0,28,28,0,28,1,0,0,7178,6461,50000,150000,3,1
20:02:47.578237,0,20070,232,15,0,0,28,28,0,28,1,0,0,6461,5814,50000,150000,3,1
20:02:47.679181,0,20070,247,15,0,0,28,28,0,28,1,0,0,5814,5233,50000,150000,3,1
20:02:47.693382,0,20070,250,3,0,0,28,28,0,28,-1,-1,-1,5233,5233,50000,150000,0,0
20:02:47.780030,0,20070,263,16,0,0,28,28,0,28,2,0,0,5233,4710,50000,150000,3,1
20:02:47.878273,0,20070,278,15,0,0,28,28,0,28,1,0,0,4710,4239,50000,150000,3,1
20:02:47.978954,0,20070,293,15,0,0,28,28,0,28,1,0,0,4239,3815,50000,150000,3,1
20:02:48.080108,0,20070,309,16,0,0,28,28,0,28,1,0,0,3815,3433,50000,150000,3,1
20:02:48.176772,0,20070,318,9,0,0,28,28,0,28,-1,-1,-1,3433,3433,50000,150000,0,0
20:02:48.277966,0,20070,334,25,0,0,28,28,0,28,2,0,0,3433,3090,50000,150000,3,1
20:02:48.376617,0,20070,349,15,0,0,28,28,0,28,1,0,0,3090,2781,50000,150000,3,1
20:02:48.381230,0,20070,350,1,0,0,28,28,0,28,-1,-1,-1,2781,2781,50000,150000,0,0
20:02:48.478419,0,20070,364,15,0,0,28,28,0,28,2,0,0,2781,2503,50000,150000,3,1
20:02:48.579246,0,20070,380,16,0,0,28,28,0,28,1,0,0,2503,2252,50000,150000,3,1
20:02:48.678037,0,20070,395,15,0,0,28,28,0,28,1,0,0,2252,2027,50000,150000,3,1
20:02:48.780069,0,20070,410,15,0,0,28,28,0,28,1,0,0,2027,1824,50000,150000,3,1
20:02:48.877309,0,20070,425,15,0,0,28,28,0,28,1,0,0,1824,1642,50000,150000,3,1
20:02:48.980059,0,20070,440,15,0,0,28,28,0,28,1,0,0,1642,1478,50000,150000,3,1
20:02:49.041732,0,20070,450,10,0,0,28,28,0,28,1,0,0,1478,1330,50000,150000,3,1
20:02:49.078106,0,20070,455,5,0,0,28,28,0,28,-1,-1,-1,1330,1330,50000,150000,0,0
20:02:49.178827,0,20070,470,20,0,0,28,28,0,28,2,0,0,1330,1197,50000,150000,3,1
20:02:49.278218,0,20070,485,15,0,0,28,28,0,28,1,0,0,1197,1077,50000,150000,3,1
20:02:49.379205,0,20070,501,16,0,0,28,28,0,28,1,0,0,1077,969,50000,150000,3,1
20:02:49.479565,0,20070,516,15,0,0,28,28,0,28,1,0,0,969,872,50000,150000,3,1
20:02:49.577991,0,20070,531,15,0,0,28,28,0,28,1,0,0,872,785,50000,150000,3,1
20:02:49.678990,0,20070,547,16,0,0,28,28,0,28,1,0,0,785,706,50000,150000,3,1
20:02:49.696270,0,20070,550,3,0,0,28,28,0,28,-1,-1,-1,706,706,50000,150000,0,0
20:02:49.778192,0,20070,562,15,0,0,28,28,0,28,2,0,0,706,636,50000,150000,3,1
20:02:49.880431,0,20070,577,15,0,0,28,28,0,28,1,0,0,636,572,50000,150000,3,1
20:02:49.980341,0,20070,592,15,0,0,28,28,0,28,1,0,0,572,515,50000,150000,3,1
20:02:50.079381,0,20070,608,16,0,0,28,28,0,28,1,0,0,515,463,50000,150000,3,1
20:02:50.181405,0,20070,621,13,0,0,28,28,0,28,1,0,0,463,417,50000,150000,3,1
20:02:50.278733,0,20070,636,15,0,0,28,28,0,28,1,0,0,417,375,50000,150000,3,1
20:02:50.372816,0,20070,650,14,0,0,28,28,0,28,1,0,0,375,338,50000,150000,3,1
20:02:50.378489,0,20070,650,0,0,0,28,28,0,28,-1,-1,-1,338,338,50000,150000,0,0
20:02:50.480959,0,20070,666,16,0,0,28,28,0,28,2,0,0,338,304,50000,150000,3,1
20:02:50.579762,0,20070,681,15,0,0,28,28,0,28,1,0,0,304,273,50000,150000,3,1
20:02:50.679081,0,20070,695,14,0,0,28,28,0,28,1,0,0,273,246,50000,150000,3,1
20:02:50.896867,0,20070,727,32,0,0,28,28,0,28,1,0,0,246,221,50000,150000,3,1
20:02:50.907618,0,20070,729,2,0,0,28,28,0,28,-1,-1,-1,221,221,50000,150000,0,0
20:02:50.939092,0,20070,734,7,0,0,28,28,0,28,-1,-1,-1,221,221,50000,150000,0,0
