wall_time_s,elapsed_s,frame_index,chunk_index,chunk_bytes,frame_bytes,period_s,scheduled_frame_time_s,send_lag_ms
1787367877.273920,0.000047,0,0,12500,12500,0.100000,0.000000,0.001
1787367877.374068,0.100194,1,0,12500,12500,0.100000,0.100000,0.111
1787367877.474077,0.200204,2,0,12500,12500,0.100000,0.200000,0.113
1787367877.574053,0.300179,3,0,12500,12500,0.100000,0.300000,0.113
1787367877.674049,0.400175,4,0,12500,12500,0.100000,0.400000,0.114
1787367877.774047,0.500173,5,0,12500,12500,0.100000,0.500000,0.120
1787367877.874046,0.600172,6,0,12500,12500,0.100000,0.600000,0.113
1787367877.974056,0.700182,7,0,12500,12500,0.100000,0.700000,0.120
1787367878.074053,0.800178,8,0,12500,12500,0.100000,0.800000,0.116
1787367878.174048,0.900175,9,0,12500,12500,0.100000,0.900000,0.115
1787367878.274043,1.000169,10,0,12500,12500,0.100000,1.000000,0.113
1787367878.374048,1.100173,11,0,12500,12500,0.100000,1.100000,0.114
1787367878.474046,1.200172,12,0,12500,12500,0.100000,1.200000,0.120
1787367878.574091,1.300218,13,0,12500,12500,0.100000,1.300000,0.156
1787367878.674132,1.400258,14,0,12500,12500,0.100000,1.400000,0.207
1787367878.774040,1.500167,15,0,12500,12500,0.100000,1.500000,0.119
1787367878.874054,1.600181,16,0,12500,12500,0.100000,1.600000,0.122
1787367878.974075,1.700200,17,0,12500,12500,0.100000,1.700000,0.119
1787367879.074112,1.800238,18,0,12500,12500,0.100000,1.800000,0.151
1787367879.174052,1.900178,19,0,12500,12500,0.100000,1.900000,0.114
1787367879.274050,2.000176,20,0,12500,12500,0.100000,2.000000,0.121
1787367879.374045,2.100171,21,0,12500,12500,0.100000,2.100000,0.119
1787367879.474082,2.200208,22,0,12500,12500,0.100000,2.200000,0.120
1787367879.574048,2.300174,23,0,12500,12500,0.100000,2.300000,0.121
1787367879.674086,2.400212,24,0,12500,12500,0.100000,2.400000,0.121
