time,direction,dci_format,rnti_type,rnti,dci_frame,dci_slot,sched_frame,sched_slot,mcs,mcs_table,rb_start,rb_size,start_symbol,nr_symbols,tbs,harq_pid,ndi,rv,round,qam_mod_order,target_code_rate,tpc,n_cce,N_cce
20:04:36.466224,1,7,0,63117,875,2,875,8,28,0,0,5,0,13,480,5,1,0,0,6,9480,0,6,2
20:04:36.472026,0,1,0,63117,876,0,876,0,0,0,0,5,1,13,168,0,1,0,0,2,1200,1,14,2
20:04:36.531457,1,7,0,63117,885,2,885,8,28,0,0,5,0,13,480,6,1,0,0,6,9480,0,6,2
20:04:36.595883,1,7,0,63117,895,2,895,8,28,0,0,5,0,13,480,7,1,0,0,6,9480,0,6,2
20:04:36.660838,1,7,0,63117,905,2,905,8,28,0,0,5,0,13,480,8,1,0,0,6,9480,0,6,2
20:04:36.725544,1,7,0,63117,915,2,915,8,28,0,0,5,0,13,480,9,1,0,0,6,9480,1,6,2
20:04:36.790308,1,7,0,63117,925,2,925,8,28,0,0,5,0,13,480,10,1,0,0,6,9480,0,6,2
20:04:36.854819,1,7,0,63117,935,2,935,8,28,0,0,5,0,13,480,11,1,0,0,6,9480,0,6,2
20:04:36.919819,1,7,0,63117,945,2,945,8,28,0,0,5,0,13,480,12,1,0,0,6,9480,0,6,2
20:04:36.984679,1,7,0,63117,955,2,955,8,28,0,0,5,0,13,480,13,1,0,0,6,9480,0,6,2
20:04:37.049284,1,7,0,63117,965,2,965,8,28,0,0,5,0,13,480,14,1,0,0,6,9480,0,6,2
20:04:37.116193,1,7,0,63117,975,2,975,8,28,0,0,5,0,13,480,15,1,0,0,6,9480,1,6,2
20:04:37.121906,0,1,0,63117,976,0,976,0,0,0,0,5,1,12,152,8,1,0,0,2,1200,1,14,2
20:04:37.180783,1,7,0,63117,985,2,985,8,28,0,0,5,0,13,480,0,1,0,0,6,9480,0,6,2
20:04:37.245769,1,7,0,63117,995,2,995,8,28,0,0,5,0,13,480,1,1,0,0,6,9480,0,6,2
20:04:37.284248,1,7,0,63117,1001,1,1001,7,28,0,0,5,10,3,106,2,1,0,0,6,9480,0,12,2
20:04:37.287454,1,7,0,63117,1001,11,1001,17,28,0,0,5,10,3,106,3,1,0,0,6,9480,1,12,2
