1787367987995979374,1582633059525555,connecting to 127.0.0.1:2031
1787367987996012737,1582633059557742,turning ON GNB_MAC_UL_MCS_DECISION
1787367987996015444,1582633059560380,time,rnti,frame,slot,sched_frame,sched_slot,avg_snr_x10,mcs_table,ul_bler_mcs_before,selected_mcs,pre_phr_mcs,post_phr_mcs,final_mcs,estimated_ul_buffer,sched_ul_bytes,B,min_rb,available_rb_before,available_rb_after,ph,pcmax,rb_size_final,tbs_final,force_ul_mcs
1787367988047950184,1582633111495809,20:06:28.047610,13,864,2,864,8,477,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,437,-1
1787367988113365995,1582633176911599,20:06:28.113041,13,874,2,874,8,478,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787367988189358308,1582633252904588,20:06:28.188491,13,884,2,884,8,479,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787367988254409101,1582633317954965,20:06:28.253643,13,894,2,894,8,479,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787367988321411052,1582633384957252,20:06:28.320357,13,904,2,904,8,480,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,437,-1
1787367988387781092,1582633451326991,20:06:28.387254,13,914,2,914,8,481,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787367988454016520,1582633517563105,20:06:28.453478,13,924,2,924,8,481,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787367988518052377,1582633581598774,20:06:28.516983,13,934,2,934,8,482,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787367988591416869,1582633654963075,20:06:28.590316,13,944,2,944,8,483,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,437,-1
1787367988654799504,1582633718345809,20:06:28.654471,13,954,2,954,8,484,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787367988718547415,1582633782093480,20:06:28.718251,13,964,2,964,8,484,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787367988783601908,1582633847147791,20:06:28.783204,13,974,2,974,8,485,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
1787367988849539488,1582633913084958,20:06:28.848748,13,984,2,984,8,485,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,437,-1
1787367988865130619,1582633928676135,20:06:28.864710,13,986,11,986,17,486,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787367988868288127,1582633931833101,20:06:28.867821,13,987,1,987,7,486,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787367988871341171,1582633934886336,20:06:28.871158,13,987,11,987,17,487,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367988872416383,1582633935961307,20:06:28.871683,13,987,12,987,18,487,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367988872418886,1582633935963824,20:06:28.872039,13,987,13,987,19,487,0,28,28,28,28,28,20516,12425,8091,5,94,94,48,20,85,8197,-1
1787367988875617127,1582633939162274,20:06:28.874570,13,988,1,988,7,487,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367988875625009,1582633939169948,20:06:28.874859,13,988,2,988,8,487,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367988875626881,1582633939171790,20:06:28.875269,13,988,3,988,9,487,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
1787367988939736713,1582634003283095,20:06:28.938721,13,998,2,998,8,489,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,480,-1
1787367988964553116,1582634028098318,20:06:28.964022,13,1002,1,1002,7,490,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787367988967886751,1582634031432040,20:06:28.967319,13,1002,11,1002,17,490,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787367988971054953,1582634034599973,20:06:28.970560,13,1003,1,1003,7,490,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367988972193447,1582634035738373,20:06:28.971118,13,1003,2,1003,8,490,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
