1787368099527453594,1582744590998933,connecting to 127.0.0.1:2031
1787368099527467700,1582744591012674,turning ON GNB_MAC_PUSCH_POWER_CONTROL
1787368099527493332,1582744591038386,time,rnti,frame,slot,snrx10,phr,tpc,tb_size,txpower_calc,rbSize,mcs,rssi
1787368099584211632,1582744647757499,20:08:19.583197,10844,882,8,510,48,0,480,0,5,28,890
1787368099647682613,1582744711227901,20:08:19.646972,10844,892,8,510,48,0,480,0,5,28,890
1787368099712847649,1582744776393232,20:08:19.712198,10844,902,8,510,48,0,480,0,5,28,890
1787368099777815250,1582744841360645,20:08:19.776823,10844,912,8,510,48,0,437,0,5,28,890
1787368099840955618,1582744904501029,20:08:19.840387,10844,922,8,510,48,0,480,0,5,28,890
1787368099906426930,1582744969972239,20:08:19.905524,10844,932,8,510,48,0,480,0,5,28,890
1787368099971145236,1582745034690821,20:08:19.970131,10844,942,8,510,48,0,480,0,5,28,890
1787368100035673115,1582745099218663,20:08:20.035036,10844,952,8,510,48,0,437,0,5,28,890
1787368100099228642,1582745162773939,20:08:20.098295,10844,962,8,510,48,1,480,0,5,28,890
1787368100194166918,1582745257712235,20:08:20.192966,10844,972,8,510,48,0,480,0,5,28,890
1787368100259658485,1582745323204151,20:08:20.256403,10844,982,8,510,48,0,480,0,5,28,890
1787368100325805734,1582745389351172,20:08:20.324008,10844,992,8,510,48,0,437,0,5,28,890
1787368100389120532,1582745452665752,20:08:20.388228,10844,1002,8,510,48,0,480,0,5,28,890
1787368100398609087,1582745462154327,20:08:20.398173,10844,1003,17,505,48,0,106,0,5,28,860
1787368100401772902,1582745465317959,20:08:20.401196,10844,1004,7,510,48,1,106,0,5,28,890
1787368100405024136,1582745468569222,20:08:20.404421,10844,1004,17,500,48,0,2178,0,106,28,860
1787368100405045445,1582745468590397,20:08:20.404970,10844,1004,18,505,61,1,10247,0,106,28,860
1787368100406121797,1582745469666755,20:08:20.405286,10844,1004,19,505,61,1,8197,0,85,28,860
1787368100408504418,1582745472049596,20:08:20.407720,10844,1005,7,500,61,0,2178,0,106,28,860
1787368100409492558,1582745473037595,20:08:20.408265,10844,1005,8,505,61,1,10247,0,106,28,860
1787368100409499186,1582745473044131,20:08:20.408522,10844,1005,9,505,61,1,8197,0,85,28,860
1787368100478067102,1582745541612786,20:08:20.477742,10844,1015,8,510,61,0,480,0,5,28,890
1787368100500600358,1582745564146131,20:08:20.499757,10844,1018,17,510,48,0,106,0,5,28,890
1787368100503902758,1582745567448023,20:08:20.502723,10844,1019,7,505,48,0,106,0,5,28,860
1787368100507097288,1582745570642918,20:08:20.506370,10844,1019,17,500,48,0,2178,0,106,28,860
1787368100508471419,1582745572016736,20:08:20.506863,10844,1019,18,505,61,0,10247,0,106,28,860
1787368100508484216,1582745572036374,20:08:20.507445,10844,1019,19,505,61,0,8197,0,85,28,860
1787368100510322404,1582745573867380,20:08:20.509024,10844,1020,7,500,61,0,2178,0,106,28,860
1787368100510327024,1582745573871981,20:08:20.510020,10844,1020,8,505,61,1,10247,0,106,28,860
1787368100511469064,1582745575014009,20:08:20.510280,10844,1020,9,505,61,1,8197,0,85,28,860
1787368100574848721,1582745638393921,20:08:20.573999,10844,6,8,510,61,0,480,0,5,28,890
1787368100600084162,1582745663629410,20:08:20.599441,10844,10,7,505,48,0,106,0,5,28,860
1787368100603211560,1582745666756558,20:08:20.602681,10844,10,17,510,48,0,106,0,5,28,860
1787368100607231091,1582745670776230,20:08:20.605616,10844,11,7,500,48,0,2178,0,106,28,860
1787368100607971786,1582745671516996,20:08:20.606107,10844,11,8,505,61,0,10247,0,106,28,860
1787368100607978745,1582745671523711,20:08:20.606528,10844,11,9,505,61,0,8197,0,85,28,860
1787368100609380396,1582745672925498,20:08:20.608991,10844,11,17,500,61,0,2178,0,106,28,860
1787368100609387777,1582745672932781,20:08:20.609276,10844,11,18,505,61,1,10247,0,106,28,860
1787368100610435282,1582745673980219,20:08:20.609591,10844,11,19,505,61,1,8197,0,85,28,860
1787368100670595016,1582745734140194,20:08:20.669955,10844,21,8,510,61,0,480,0,5,28,890
1787368100701121180,1582745764666740,20:08:20.700557,10844,25,17,505,48,0,106,0,5,28,860
1787368100704584667,1582745768129938,20:08:20.703590,10844,26,7,510,48,0,106,0,5,28,860
1787368100707802182,1582745771347672,20:08:20.706946,10844,26,17,500,48,0,2178,0,106,28,860
1787368100709103993,1582745772649002,20:08:20.707665,10844,26,18,505,61,0,10247,0,106,28,860
1787368100709108302,1582745772653246,20:08:20.708307,10844,26,19,505,61,0,8197,0,85,28,860
1787368100710904772,1582745774449865,20:08:20.710284,10844,27,7,500,61,0,2178,0,106,28,860
1787368100711874502,1582745775419451,20:08:20.710766,10844,27,8,505,61,1,10247,0,106,28,860
1787368100711878944,1582745775423887,20:08:20.711408,10844,27,9,505,61,1,8197,0,85,28,860
1787368100775010127,1582745838555505,20:08:20.774763,10844,37,8,510,61,0,480,0,5,28,890
1787368100801381530,1582745864926714,20:08:20.800514,10844,41,7,505,48,0,106,0,5,28,860
1787368100804646219,1582745868191264,20:08:20.803850,10844,41,17,510,48,0,106,0,5,28,890
1787368100808088263,1582745871633479,20:08:20.807058,10844,42,7,500,48,0,2178,0,106,28,860
1787368100808798948,1582745872344018,20:08:20.808032,10844,42,8,505,61,0,10247,0,106,28,860
1787368100808854175,1582745872399161,20:08:20.808331,10844,42,9,505,61,0,8197,0,85,28,860
1787368100810984525,1582745874529496,20:08:20.810397,10844,42,17,500,61,0,2178,0,106,28,860
1787368100811006458,1582745874551409,20:08:20.810880,10844,42,18,505,61,1,10247,0,106,28,860
1787368100812030346,1582745875575271,20:08:20.811248,10844,42,19,505,61,1,8197,0,85,28,860
1787368100873600674,1582745937368903,20:08:20.872668,10844,52,8,510,61,0,480,0,5,28,890
1787368100902257872,1582745965803333,20:08:20.901392,10844,56,17,510,48,0,106,0,5,28,890
1787368100905258749,1582745968804452,20:08:20.904039,10844,57,7,510,48,0,106,0,5,28,890
1787368100908340105,1582745971885194,20:08:20.907514,10844,57,17,500,48,0,2178,0,106,28,860
1787368100909473742,1582745973019094,20:08:20.908496,10844,57,18,505,61,0,10247,0,106,28,860
1787368100909568434,1582745973113874,20:08:20.909350,10844,57,19,505,61,0,8197,0,85,28,860
1787368100911544890,1582745975089877,20:08:20.910489,10844,58,7,500,61,0,2178,0,106,28,860
1787368100911552748,1582745975097673,20:08:20.910976,10844,58,8,505,61,1,10247,0,106,28,860
1787368100911573786,1582745975118726,20:08:20.911288,10844,58,9,505,61,1,8197,0,85,28,860
1787368100975812518,1582746039357781,20:08:20.974847,10844,68,8,510,61,0,480,0,5,28,890
1787368101001126801,1582746064671989,20:08:21.000479,10844,72,7,505,48,0,106,0,5,28,860
1787368101004621734,1582746068167142,20:08:21.003454,10844,72,17,510,48,0,106,0,5,28,890
1787368101007434180,1582746070979318,20:08:21.006610,10844,73,7,500,48,0,2178,0,106,28,860
1787368101007442362,1582746070987361,20:08:21.006901,10844,73,8,505,61,0,10247,0,106,28,860
1787368101007445409,1582746070990386,20:08:21.007223,10844,73,9,505,61,0,8197,0,85,28,860
