transport_source_id,run_group,network_regime,historical_network_config_id,evidence_status,payload_p50_kib,attempted_frames,edge_frames,edge_delivery_pct,send_fps,target_offer_hz,target_rate_match,snr_p05_db,snr_p50_db,snr_p95_db,mcs_p50,ul_sched_mbps,bsr_lcg_p95_kib,front_to_edge_p50_ms,front_to_edge_p95_ms,map_update_done_observed,map_acceptance_observed,aoi_observed,directly_measured_at_target_10hz,historical_endpoint,radio_provenance_status
legacy_ae32_90kb_anchor,track1_track2_uplink_only_sinr_clear_fps10_chsweep_full_p3ae_clear_sinr,clear,clear,payload_proxy_legacy_checkpoint,92.20214844,1199,1199,100.0,6.41,10.0,False,50.4,50.4,50.5,28.0,4.832482,90.92070312,6.77229906,9.6660203,False,False,False,False,edge_reassembly_and_publish_enqueue_only,SUMMARY_ONLY_RAW_TTRACER_ABSENT
noae_uint4_400kb_anchor,track1_track2_uplink_only_sinr_clear_fps10_chsweep_full_p2u4_clear_sinr,clear,clear,existing_reused_transport_only,394.59375,1199,1199,100.0,6.19,10.0,False,50.3,50.3,50.5,28.0,15.450463,381.60732422,19.64364189,26.28590214,False,False,False,False,edge_reassembly_and_publish_enqueue_only,SUMMARY_ONLY_RAW_TTRACER_ABSENT
noae_uint8_1mb_stress,track1_track2_uplink_only_sinr_clear_fps10_chsweep_full_p1u8_clear_sinr,clear,clear,existing_reused_transport_only,1047.08984375,1199,1169,97.49791493,5.85,10.0,False,50.3,50.3,50.5,28.0,36.683697,1010.07583008,41.63493495,52.42205921,False,False,False,False,edge_reassembly_and_publish_enqueue_only,SUMMARY_ONLY_RAW_TTRACER_ABSENT
legacy_ae32_90kb_anchor,track1_track2_uplink_only_sinr_mid15_awgn_fps10_chsweep_full_p3ae_mid15_sinr,mid,mid15,payload_proxy_legacy_checkpoint,92.24804688,1199,1199,100.0,7.1,10.0,False,15.6,15.7,15.7,19.0,4.069363,93.09423828,49.44487603,62.90393881,False,False,False,False,edge_reassembly_and_publish_enqueue_only,SUMMARY_ONLY_RAW_TTRACER_ABSENT
noae_uint4_400kb_anchor,track1_track2_uplink_only_sinr_mid15_awgn_fps10_chsweep_full_p2u4_mid15_sinr,mid,mid15,existing_reused_transport_only,396.90625,1199,1199,100.0,6.88,10.0,False,15.5,15.6,15.7,19.0,15.210892,3115.56196289,156.352869,1094.0816902,False,False,False,False,edge_reassembly_and_publish_enqueue_only,SUMMARY_ONLY_RAW_TTRACER_ABSENT
noae_uint8_1mb_stress,track1_track2_uplink_only_sinr_mid15_awgn_fps10_chsweep_full_p1u8_mid15_sinr,mid,mid15,existing_reused_transport_only,1048.13476562,1199,128,10.67556297,7.26,10.0,False,15.5,15.6,15.7,19.0,19.711695,48851.32592773,10599.48850347,14580.93982353,False,False,False,False,edge_reassembly_and_publish_enqueue_only,SUMMARY_ONLY_RAW_TTRACER_ABSENT
legacy_ae32_90kb_anchor,track1_track2_uplink_only_sinr_mild_awgn_fps10_chsweep_full_p3ae_mild_sinr,mild,mild,payload_proxy_legacy_checkpoint,92.22851562,1199,1195,99.66638866,6.87,10.0,False,19.5,19.6,19.9,24.0,4.284952,93.37890625,40.40298203,51.75312881,False,False,False,False,edge_reassembly_and_publish_enqueue_only,SUMMARY_ONLY_RAW_TTRACER_ABSENT
noae_uint4_400kb_anchor,track1_track2_uplink_only_sinr_mild_awgn_fps10_chsweep_full_p2u4_mild_sinr,mild,mild,existing_reused_transport_only,394.60742188,1199,1199,100.0,6.69,10.0,False,19.5,19.5,19.6,24.0,15.573395,393.14550781,107.81431803,129.74261352,False,False,False,False,edge_reassembly_and_publish_enqueue_only,SUMMARY_ONLY_RAW_TTRACER_ABSENT
noae_uint8_1mb_stress,track1_track2_uplink_only_sinr_mild_awgn_fps10_chsweep_full_p1u8_mild_sinr,mild,mild,existing_reused_transport_only,1046.23242188,1199,266,22.1851543,7.41,10.0,False,19.4,19.5,19.6,24.0,27.778469,48828.84907227,5996.66210206,8563.72666097,False,False,False,False,edge_reassembly_and_publish_enqueue_only,SUMMARY_ONLY_RAW_TTRACER_ABSENT
legacy_ae32_90kb_anchor,track1_track2_uplink_only_sinr_strong_awgn_fps10_chsweep_full_p3ae_strong_sinr,poor,strong,payload_proxy_legacy_checkpoint,92.20507812,1199,1199,100.0,6.92,10.0,False,8.2,8.2,8.3,9.0,3.761537,91.35742188,83.49393192,99.41638611,False,False,False,False,edge_reassembly_and_publish_enqueue_only,SUMMARY_ONLY_RAW_TTRACER_ABSENT
noae_uint4_400kb_anchor,track1_track2_uplink_only_sinr_strong_awgn_fps10_chsweep_full_p2u4_strong_sinr,poor,strong,existing_reused_transport_only,395.06054688,1199,378,31.52627189,7.24,10.0,False,8.2,8.2,8.3,9.0,10.390025,48877.03334961,11560.45627396,32552.70788025,False,False,False,False,edge_reassembly_and_publish_enqueue_only,SUMMARY_ONLY_RAW_TTRACER_ABSENT
noae_uint8_1mb_stress,track1_track2_uplink_only_sinr_strong_awgn_fps10_chsweep_full_p1u8_strong_sinr,poor,strong,existing_reused_transport_only,1048.95605469,1199,55,4.58715596,7.97,10.0,False,8.2,8.2,8.3,9.0,9.184863,48888.48828125,15423.74662904,29023.08653786,False,False,False,False,edge_reassembly_and_publish_enqueue_only,SUMMARY_ONLY_RAW_TTRACER_ABSENT
