recv_raw_ns,recv_wall_ns,source_ip,ue_id,message_id,chunk_index,total_chunks,udp_payload_bytes,onwire_bytes,duplicate
877139314571212,1786662502734886855,127.0.0.1,1,736870912,0,7,60000,60028,0
877139314670266,1786662502734945687,127.0.0.1,1,736870912,1,7,60000,60028,0
877139314703620,1786662502734976979,127.0.0.1,1,736870912,2,7,60000,60028,0
877139314731888,1786662502735004842,127.0.0.1,1,736870912,3,7,60000,60028,0
877139314759370,1786662502735032331,127.0.0.1,1,736870912,4,7,60000,60028,0
877139314789187,1786662502735062295,127.0.0.1,1,736870912,5,7,60000,60028,0
877139314814120,1786662502735087106,127.0.0.1,1,736870912,6,7,49656,49684,0
877139564261700,1786662502984549560,127.0.0.1,0,368435456,0,7,60000,60028,0
877139564313841,1786662502984593274,127.0.0.1,0,368435456,1,7,60000,60028,0
877139564340253,1786662502984616474,127.0.0.1,0,368435456,2,7,60000,60028,0
877139564366101,1786662502984641741,127.0.0.1,0,368435456,3,7,60000,60028,0
877139564391213,1786662502984666751,127.0.0.1,0,368435456,4,7,60000,60028,0
877139564416759,1786662502984692524,127.0.0.1,0,368435456,5,7,60000,60028,0
877139564439120,1786662502984714639,127.0.0.1,0,368435456,6,7,49656,49684,0
877139814406375,1786662503234699690,127.0.0.1,1,736870913,0,7,60000,60028,0
877139814449412,1786662503234731936,127.0.0.1,1,736870913,1,7,60000,60028,0
877139814464578,1786662503234743456,127.0.0.1,1,736870913,2,7,60000,60028,0
877139814474661,1786662503234752998,127.0.0.1,1,736870913,3,7,60000,60028,0
877139814520787,1786662503234799128,127.0.0.1,1,736870913,4,7,60000,60028,0
877139814526836,1786662503234805290,127.0.0.1,1,736870913,5,7,60000,60028,0
877139814547872,1786662503234828606,127.0.0.1,1,736870913,6,7,49656,49684,0
877140064407299,1786662503484701739,127.0.0.1,0,368435457,0,7,60000,60028,0
877140064479280,1786662503484764015,127.0.0.1,0,368435457,1,7,60000,60028,0
877140064493889,1786662503484775459,127.0.0.1,0,368435457,2,7,60000,60028,0
877140064503693,1786662503484784815,127.0.0.1,0,368435457,3,7,60000,60028,0
877140064511433,1786662503484792247,127.0.0.1,0,368435457,4,7,60000,60028,0
877140064517260,1786662503484798305,127.0.0.1,0,368435457,5,7,60000,60028,0
877140064524869,1786662503484807209,127.0.0.1,0,368435457,6,7,49656,49684,0
877140314423499,1786662503734722156,127.0.0.1,1,736870914,0,7,60000,60028,0
877140314485085,1786662503734773899,127.0.0.1,1,736870914,1,7,60000,60028,0
877140314502268,1786662503734786449,127.0.0.1,1,736870914,2,7,60000,60028,0
877140314513016,1786662503734796722,127.0.0.1,1,736870914,3,7,60000,60028,0
877140314522787,1786662503734806384,127.0.0.1,1,736870914,4,7,60000,60028,0
877140314532212,1786662503734816098,127.0.0.1,1,736870914,5,7,60000,60028,0
877140314539058,1786662503734822561,127.0.0.1,1,736870914,6,7,49656,49684,0
877140564649079,1786662503984950846,127.0.0.1,0,368435458,0,7,60000,60028,0
877140564693348,1786662503984983501,127.0.0.1,0,368435458,1,7,60000,60028,0
877140564712217,1786662503984998934,127.0.0.1,0,368435458,2,7,60000,60028,0
877140564720982,1786662503985007358,127.0.0.1,0,368435458,3,7,60000,60028,0
877140564729124,1786662503985015412,127.0.0.1,0,368435458,4,7,60000,60028,0
877140564735895,1786662503985022338,127.0.0.1,0,368435458,5,7,60000,60028,0
877140564754559,1786662503985042392,127.0.0.1,0,368435458,6,7,49656,49684,0
877140764384320,1786662504184693324,127.0.0.1,1,736870915,0,7,60000,60028,0
877140764434352,1786662504184725176,127.0.0.1,1,736870915,1,7,60000,60028,0
877140764447365,1786662504184735987,127.0.0.1,1,736870915,2,7,60000,60028,0
877140764455919,1786662504184744306,127.0.0.1,1,736870915,3,7,60000,60028,0
877140764469302,1786662504184757631,127.0.0.1,1,736870915,4,7,60000,60028,0
877140764477067,1786662504184765489,127.0.0.1,1,736870915,5,7,60000,60028,0
877140764485079,1786662504184775043,127.0.0.1,1,736870915,6,7,49656,49684,0
877141014458745,1786662504434774022,127.0.0.1,0,368435459,0,7,60000,60028,0
877141014513676,1786662504434808368,127.0.0.1,0,368435459,1,7,60000,60028,0
877141014528065,1786662504434819653,127.0.0.1,0,368435459,2,7,60000,60028,0
877141014537484,1786662504434828560,127.0.0.1,0,368435459,3,7,60000,60028,0
877141014545205,1786662504434836300,127.0.0.1,0,368435459,4,7,60000,60028,0
877141014553125,1786662504434844355,127.0.0.1,0,368435459,5,7,60000,60028,0
877141014561873,1786662504434854591,127.0.0.1,0,368435459,6,7,49656,49684,0
877141264445564,1786662504684764151,127.0.0.1,1,736870916,0,7,60000,60028,0
877141264502468,1786662504684801204,127.0.0.1,1,736870916,1,7,60000,60028,0
877141264519917,1786662504684814094,127.0.0.1,1,736870916,2,7,60000,60028,0
877141264530006,1786662504684823729,127.0.0.1,1,736870916,3,7,60000,60028,0
