ue_id,frame_id,message_id,scheduled_raw_ns,first_chunk_raw_ns,complete_raw_ns,complete_latency_ms,payload_bytes,chunks,onwire_bytes,checksum_expected,checksum_actual,checksum_ok,source_ip
1,200000000,736870912,878326711205290,878326712317677,878326712557457,1.352167,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000000,368435456,878326961205290,878326962121539,878326962332240,1.12695,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000001,736870913,878327211205290,878327212292429,878327212435706,1.230416,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000001,368435457,878327461205290,878327462194304,878327462305282,1.099992,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000002,736870914,878327711205290,878327712403957,878327712550926,1.345636,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000002,368435458,878327961205290,878327962132122,878327962252479,1.047189,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000003,736870915,878328161205290,878328162138836,878328162250362,1.045072,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000003,368435459,878328411205290,878328412373865,878328412502290,1.297,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000004,736870916,878328661205290,878328662111093,878328662256810,1.05152,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000004,368435460,878328911205290,878328912238696,878328912369764,1.164474,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000005,736870917,878329161205290,878329162325133,878329162436594,1.231304,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000005,368435461,878329411205290,878329412502175,878329412604136,1.398846,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000006,736870918,878329661205290,878329662074461,878329662168593,0.963303,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000006,368435462,878329861205290,878329862477791,878329862576445,1.371155,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000007,736870919,878330111205290,878330112428601,878330113332464,2.127174,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000007,368435463,878330361205290,878330362205668,878330362337460,1.13217,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000008,736870920,878330611205290,878330612672652,878330612884004,1.678714,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000008,368435464,878330861205290,878330862177930,878330862289192,1.083902,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000009,736870921,878331111205290,878331112163460,878331112360368,1.155078,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000009,368435465,878331361205290,878331362207235,878331362314488,1.109198,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000010,736870922,878331561205290,878331562108367,878331562196497,0.991207,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000010,368435466,878331811205290,878331812368040,878331812498874,1.293584,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000011,736870923,878332061205290,878332061973968,878332062128286,0.922996,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000011,368435467,878332311205290,878332312078713,878332312203936,0.998646,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000012,736870924,878332561205290,878332563698004,878332563840264,2.634974,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000012,368435468,878332811205290,878332812078173,878332812226709,1.021419,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000013,736870925,878333011205290,878333012332599,878333012461789,1.256499,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000013,368435469,878333261205290,878333262152134,878333262345489,1.140199,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000014,736870926,878333511205290,878333512100710,878333512305434,1.100144,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000014,368435470,878333761205290,878333762184248,878333762298277,1.092987,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000015,736870927,878334011205290,878334012077378,878334012185264,0.979974,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000015,368435471,878334261205290,878334262483483,878334262696326,1.491036,409600,7,409852,3512885954,3512885954,1,127.0.0.1
