ue_id,frame_id,scheduled_raw_ns,scheduled_elapsed_s,demand_rate_mbps,controller,status,decision_raw_ns,send_start_raw_ns,send_end_raw_ns,send_lag_ms,payload_bytes,chunks,onwire_bytes,c_hat_mbps,c1_budget_mbps,admit_reason,local_error
1,200000000,878326711205290,0.2,6.760000000000001,open_loop,sent,878326711365772,878326711367261,878326712327468,0.161971,409600,7,409852,nan,nan,open_loop,
0,100000000,878326961205290,0.45,6.760000000000001,open_loop,sent,878326961383990,878326961385159,878326962022779,0.179869,409600,7,409852,nan,nan,open_loop,
1,200000001,878327211205290,0.7,6.760000000000001,open_loop,sent,878327211393239,878327211394576,878327212137537,0.189286,409600,7,409852,nan,nan,open_loop,
0,100000001,878327461205290,0.95,6.760000000000001,open_loop,sent,878327461389118,878327461390548,878327462159381,0.185258,409600,7,409852,nan,nan,open_loop,
1,200000002,878327711205290,1.2,6.760000000000001,open_loop,sent,878327711575023,878327711576142,878327712353227,0.370852,409600,7,409852,nan,nan,open_loop,
0,100000002,878327961205290,1.45,6.760000000000001,open_loop,sent,878327961347378,878327961348169,878327962073011,0.142879,409600,7,409852,nan,nan,open_loop,
1,200000003,878328161205290,1.65,6.760000000000001,open_loop,sent,878328161329191,878328161329745,878328162084000,0.124455,409600,7,409852,nan,nan,open_loop,
0,100000003,878328411205290,1.9,6.760000000000001,open_loop,sent,878328411488794,878328411490008,878328412311147,0.284718,409600,7,409852,nan,nan,open_loop,
1,200000004,878328661205290,2.15,6.760000000000001,open_loop,sent,878328661286682,878328661287373,878328662037850,0.082083,409600,7,409852,nan,nan,open_loop,
0,100000004,878328911205290,2.4,6.760000000000001,open_loop,sent,878328911377912,878328911379553,878328912186365,0.174263,409600,7,409852,nan,nan,open_loop,
1,200000005,878329161205290,2.65,6.760000000000001,open_loop,sent,878329161506285,878329161507706,878329162275198,0.302416,409600,7,409852,nan,nan,open_loop,
0,100000005,878329411205290,2.9,6.760000000000001,open_loop,sent,878329411552411,878329411553632,878329412513168,0.348342,409600,7,409852,nan,nan,open_loop,
1,200000006,878329661205290,3.15,6.760000000000001,open_loop,sent,878329661298874,878329661300012,878329662085219,0.094722,409600,7,409852,nan,nan,open_loop,
0,100000006,878329861205290,3.35,6.760000000000001,open_loop,sent,878329861542299,878329861543891,878329862427652,0.338601,409600,7,409852,nan,nan,open_loop,
1,200000007,878330111205290,3.6,6.760000000000001,open_loop,sent,878330111392556,878330111393730,878330112371018,0.18844,409600,7,409852,nan,nan,open_loop,
0,100000007,878330361205290,3.85,6.760000000000001,open_loop,sent,878330361286882,878330361287642,878330362137106,0.082352,409600,7,409852,nan,nan,open_loop,
1,200000008,878330611205290,4.1,6.760000000000001,open_loop,sent,878330611360082,878330611360565,878330612152697,0.155275,409600,7,409852,nan,nan,open_loop,
0,100000008,878330861205290,4.35,6.760000000000001,open_loop,sent,878330861413955,878330861414970,878330862138205,0.20968,409600,7,409852,nan,nan,open_loop,
1,200000009,878331111205290,4.6,6.760000000000001,open_loop,sent,878331111361060,878331111362553,878331112113201,0.157263,409600,7,409852,nan,nan,open_loop,
0,100000009,878331361205290,4.85,6.760000000000001,open_loop,sent,878331361379711,878331361381397,878331362127218,0.176107,409600,7,409852,nan,nan,open_loop,
1,200000010,878331561205290,5.05,6.760000000000001,open_loop,sent,878331561357615,878331561358954,878331562060912,0.153664,409600,7,409852,nan,nan,open_loop,
0,100000010,878331811205290,5.3,6.760000000000001,open_loop,sent,878331811368453,878331811369107,878331812300251,0.163817,409600,7,409852,nan,nan,open_loop,
1,200000011,878332061205290,5.55,6.760000000000001,open_loop,sent,878332061283840,878332061284308,878332061995201,0.079018,409600,7,409852,nan,nan,open_loop,
0,100000011,878332311205290,5.8,6.760000000000001,open_loop,sent,878332311277637,878332311278128,878332312012891,0.072838,409600,7,409852,nan,nan,open_loop,
1,200000012,878332561205290,6.05,6.760000000000001,open_loop,sent,878332562948249,878332562948719,878332563654377,1.743429,409600,7,409852,nan,nan,open_loop,
0,100000012,878332811205290,6.3,6.760000000000001,open_loop,sent,878332811285889,878332811286452,878332812032845,0.081162,409600,7,409852,nan,nan,open_loop,
1,200000013,878333011205290,6.5,6.760000000000001,open_loop,sent,878333011483764,878333011485093,878333012266415,0.279803,409600,7,409852,nan,nan,open_loop,
0,100000013,878333261205290,6.75,6.760000000000001,open_loop,sent,878333261285338,878333261285822,878333262028988,0.080532,409600,7,409852,nan,nan,open_loop,
1,200000014,878333511205290,7.0,6.760000000000001,open_loop,sent,878333511296318,878333511296789,878333512022594,0.091499,409600,7,409852,nan,nan,open_loop,
0,100000014,878333761205290,7.25,6.760000000000001,open_loop,sent,878333761383619,878333761384276,878333762098985,0.178986,409600,7,409852,nan,nan,open_loop,
1,200000015,878334011205290,7.5,6.760000000000001,open_loop,sent,878334011326623,878334011327245,878334012032611,0.121955,409600,7,409852,nan,nan,open_loop,
0,100000015,878334261205290,7.75,6.760000000000001,open_loop,sent,878334261387645,878334261388975,878334262358779,0.183685,409600,7,409852,nan,nan,open_loop,
