recv_raw_ns,recv_wall_ns,source_ip,ue_id,message_id,chunk_index,total_chunks,udp_payload_bytes,onwire_bytes,duplicate
875494383352089,1786660857786644618,127.0.0.1,1,736870912,0,7,60000,60028,0
875494383434779,1786660857786695449,127.0.0.1,1,736870912,1,7,60000,60028,0
875494383463019,1786660857786722088,127.0.0.1,1,736870912,2,7,60000,60028,0
875494383486922,1786660857786745637,127.0.0.1,1,736870912,3,7,60000,60028,0
875494383511309,1786660857786769902,127.0.0.1,1,736870912,4,7,60000,60028,0
875494383537065,1786660857786795784,127.0.0.1,1,736870912,5,7,60000,60028,0
875494383558804,1786660857786817426,127.0.0.1,1,736870912,6,7,49656,49684,0
875494633110583,1786660858036386484,127.0.0.1,0,368435456,0,7,60000,60028,0
875494633181139,1786660858036444932,127.0.0.1,0,368435456,1,7,60000,60028,0
875494633363989,1786660858036626058,127.0.0.1,0,368435456,2,7,60000,60028,0
875494633387404,1786660858036648762,127.0.0.1,0,368435456,3,7,60000,60028,0
875494633410254,1786660858036671484,127.0.0.1,0,368435456,4,7,60000,60028,0
875494633433286,1786660858036694743,127.0.0.1,0,368435456,5,7,60000,60028,0
875494633454336,1786660858036715538,127.0.0.1,0,368435456,6,7,49656,49684,0
875494883145796,1786660858286414262,127.0.0.1,1,736870913,0,7,60000,60028,0
875494883165857,1786660858286431234,127.0.0.1,1,736870913,1,7,60000,60028,0
875494883175801,1786660858286439973,127.0.0.1,1,736870913,2,7,60000,60028,0
875494883183858,1786660858286447782,127.0.0.1,1,736870913,3,7,60000,60028,0
875494883343887,1786660858286608124,127.0.0.1,1,736870913,4,7,60000,60028,0
875494883555819,1786660858286820097,127.0.0.1,1,736870913,5,7,60000,60028,0
875494883579376,1786660858286843492,127.0.0.1,1,736870913,6,7,49656,49684,0
875495133285074,1786660858536567656,127.0.0.1,0,368435457,0,7,60000,60028,0
875495133370269,1786660858536641283,127.0.0.1,0,368435457,1,7,60000,60028,0
875495133386645,1786660858536653684,127.0.0.1,0,368435457,2,7,60000,60028,0
875495133396118,1786660858536662943,127.0.0.1,0,368435457,3,7,60000,60028,0
875495133404725,1786660858536671256,127.0.0.1,0,368435457,4,7,60000,60028,0
875495133411686,1786660858536678426,127.0.0.1,0,368435457,5,7,60000,60028,0
875495133420368,1786660858536688397,127.0.0.1,0,368435457,6,7,49656,49684,0
875495383266039,1786660858786550599,127.0.0.1,1,736870914,0,7,60000,60028,0
875495383325399,1786660858786601652,127.0.0.1,1,736870914,1,7,60000,60028,0
875495383347895,1786660858786617293,127.0.0.1,1,736870914,2,7,60000,60028,0
875495383354917,1786660858786623987,127.0.0.1,1,736870914,3,7,60000,60028,0
875495383361784,1786660858786630755,127.0.0.1,1,736870914,4,7,60000,60028,0
875495383368041,1786660858786637146,127.0.0.1,1,736870914,5,7,60000,60028,0
875495383374835,1786660858786643665,127.0.0.1,1,736870914,6,7,49656,49684,0
875495633106771,1786660859036383031,127.0.0.1,0,368435458,0,7,60000,60028,0
875495633129594,1786660859036402831,127.0.0.1,0,368435458,1,7,60000,60028,0
875495633140909,1786660859036412824,127.0.0.1,0,368435458,2,7,60000,60028,0
875495633148989,1786660859036420660,127.0.0.1,0,368435458,3,7,60000,60028,0
875495633155748,1786660859036427445,127.0.0.1,0,368435458,4,7,60000,60028,0
875495633162701,1786660859036434563,127.0.0.1,0,368435458,5,7,60000,60028,0
875495633171007,1786660859036442563,127.0.0.1,0,368435458,6,7,49656,49684,0
875495833204817,1786660859236483181,127.0.0.1,1,736870915,0,7,60000,60028,0
875495833224629,1786660859236499464,127.0.0.1,1,736870915,1,7,60000,60028,0
875495833234757,1786660859236508751,127.0.0.1,1,736870915,2,7,60000,60028,0
875495833242560,1786660859236516205,127.0.0.1,1,736870915,3,7,60000,60028,0
