ue_id,frame_id,scheduled_raw_ns,scheduled_elapsed_s,demand_rate_mbps,controller,status,decision_raw_ns,send_start_raw_ns,send_end_raw_ns,send_lag_ms,payload_bytes,chunks,onwire_bytes,c_hat_mbps,c1_budget_mbps,admit_reason,local_error
1,200000000,890884061850084,0.05,6.760000000000001,open_loop,sent,890884061943725,890884061944321,890884062918239,0.094237,409600,7,409852,nan,nan,open_loop,
0,100000000,890884311850084,0.3,6.760000000000001,open_loop,sent,890884312077104,890884312078793,890884312751593,0.228709,409600,7,409852,nan,nan,open_loop,
1,200000001,890884561850084,0.55,6.760000000000001,open_loop,sent,890884561924960,890884561925459,890884562622563,0.075375,409600,7,409852,nan,nan,open_loop,
0,100000001,890884761850084,0.75,6.760000000000001,open_loop,sent,890884761968089,890884761969819,890884762688464,0.119735,409600,7,409852,nan,nan,open_loop,
1,200000002,890885011850084,1.0,6.760000000000001,open_loop,sent,890885011995810,890885011997078,890885012728136,0.146994,409600,7,409852,nan,nan,open_loop,
0,100000002,890885261850084,1.25,6.760000000000001,open_loop,sent,890885261959574,890885261960907,890885262704942,0.110823,409600,7,409852,nan,nan,open_loop,
1,200000003,890885511850084,1.5,6.760000000000001,open_loop,sent,890885512005536,890885512006125,890885512715198,0.156041,409600,7,409852,nan,nan,open_loop,
0,100000003,890885761850084,1.75,6.760000000000001,open_loop,sent,890885762120643,890885762122147,890885762875382,0.272063,409600,7,409852,nan,nan,open_loop,
1,200000004,890886011850084,2.0,6.760000000000001,open_loop,sent,890886011972130,890886011973687,890886012706529,0.123603,409600,7,409852,nan,nan,open_loop,
0,100000004,890886211850084,2.2,6.760000000000001,open_loop,sent,890886211979071,890886211980497,890886212700537,0.130413,409600,7,409852,nan,nan,open_loop,
1,200000005,890886461850084,2.45,6.760000000000001,open_loop,sent,890886461966834,890886461968089,890886462707338,0.118005,409600,7,409852,nan,nan,open_loop,
0,100000005,890886711850084,2.7,6.760000000000001,open_loop,sent,890886711966900,890886711968514,890886712713749,0.11843,409600,7,409852,nan,nan,open_loop,
1,200000006,890886961850084,2.95,6.760000000000001,open_loop,sent,890886961933595,890886961935129,890886962695730,0.085045,409600,7,409852,nan,nan,open_loop,
0,100000006,890887211850084,3.2,6.760000000000001,open_loop,sent,890887211926936,890887211927520,890887212680212,0.077436,409600,7,409852,nan,nan,open_loop,
1,200000007,890887461850084,3.45,6.760000000000001,open_loop,sent,890887462065486,890887462066929,890887462792429,0.216845,409600,7,409852,nan,nan,open_loop,
0,100000007,890887711850084,3.7,6.760000000000001,open_loop,sent,890887711930515,890887711931165,890887712631278,0.081081,409600,7,409852,nan,nan,open_loop,
1,200000008,890887911850084,3.9,6.760000000000001,open_loop,sent,890887911946033,890887911947179,890887912668269,0.097095,409600,7,409852,nan,nan,open_loop,
0,100000008,890888161850084,4.15,6.760000000000001,open_loop,sent,890888161939041,890888161940898,890888162709486,0.090814,409600,7,409852,nan,nan,open_loop,
1,200000009,890888411850084,4.4,6.760000000000001,open_loop,sent,890888411924070,890888411924576,890888412655196,0.074492,409600,7,409852,nan,nan,open_loop,
0,100000009,890888661850084,4.65,6.760000000000001,open_loop,sent,890888661990046,890888661991644,890888662744082,0.14156,409600,7,409852,nan,nan,open_loop,
1,200000010,890888911850084,4.9,6.760000000000001,open_loop,sent,890888912030364,890888912031870,890888912758426,0.181786,409600,7,409852,nan,nan,open_loop,
0,100000010,890889161850084,5.15,6.760000000000001,open_loop,sent,890889161888868,890889161889348,890889162505600,0.039264,409600,7,409852,nan,nan,open_loop,
1,200000011,890889411850084,5.4,6.760000000000001,open_loop,sent,890889412090733,890889412091209,890889412708719,0.241125,409600,7,409852,nan,nan,open_loop,
0,100000011,890889611850084,5.6,6.760000000000001,open_loop,sent,890889612162440,890889612163022,890889612775061,0.312938,409600,7,409852,nan,nan,open_loop,
1,200000012,890889861850084,5.85,6.760000000000001,open_loop,sent,890889861940215,890889861940679,890889862554401,0.090595,409600,7,409852,nan,nan,open_loop,
0,100000012,890890111850084,6.1,6.760000000000001,open_loop,sent,890890111920367,890890111920837,890890112502955,0.070753,409600,7,409852,nan,nan,open_loop,
1,200000013,890890361850084,6.35,6.760000000000001,open_loop,sent,890890361890688,890890361891191,890890362495414,0.041107,409600,7,409852,nan,nan,open_loop,
0,100000013,890890611850084,6.6,6.760000000000001,open_loop,sent,890890612050405,890890612052168,890890612819698,0.202084,409600,7,409852,nan,nan,open_loop,
1,200000014,890890861850084,6.85,6.760000000000001,open_loop,sent,890890862060636,890890862061906,890890862838621,0.211822,409600,7,409852,nan,nan,open_loop,
0,100000014,890891061850084,7.05,6.760000000000001,open_loop,sent,890891062038790,890891062040402,890891062881257,0.190318,409600,7,409852,nan,nan,open_loop,
1,200000015,890891311850084,7.3,6.760000000000001,open_loop,sent,890891312055819,890891312057556,890891312855721,0.207472,409600,7,409852,nan,nan,open_loop,
0,100000015,890891561850084,7.55,6.760000000000001,open_loop,sent,890891561934817,890891561935367,890891562672556,0.085283,409600,7,409852,nan,nan,open_loop,
1,200000016,890891811850084,7.8,6.760000000000001,open_loop,sent,890891812145824,890891812147106,890891812865453,0.297022,409600,7,409852,nan,nan,open_loop,
