ue_id,frame_id,message_id,scheduled_raw_ns,first_chunk_raw_ns,complete_raw_ns,complete_latency_ms,payload_bytes,chunks,onwire_bytes,checksum_expected,checksum_actual,checksum_ok,identity_ok,source_ip
1,200000000,736870912,891063674132942,891063859629920,891063900482238,226.349296,92160,2,92232,2412895735,2412895735,1,1,192.168.70.134
0,100000000,368435456,891064074132942,891064195793845,891064235950202,161.81726,92160,2,92232,367084809,367084809,1,1,192.168.70.134
1,200000001,736870913,891064424132942,891064547856755,891064588737003,164.604061,92160,2,92232,2412895735,2412895735,1,1,192.168.70.134
0,100000001,368435457,891064774132942,891064934445091,891064979657879,205.524937,92160,2,92232,367084809,367084809,1,1,192.168.70.134
1,200000002,736870914,891065124132942,891065264772140,891065304270041,180.137099,92160,2,92232,2412895735,2412895735,1,1,192.168.70.134
0,100000002,368435458,891065474132942,891065659655472,891065700193630,226.060688,92160,2,92232,367084809,367084809,1,1,192.168.70.134
1,200000003,736870915,891065824132942,891065980544333,891066021012919,196.879977,92160,2,92232,2412895735,2412895735,1,1,192.168.70.134
0,100000003,368435459,891066174132942,891066359272519,891066425199428,251.066486,92160,2,92232,367084809,367084809,1,1,192.168.70.134
1,200000004,736870916,891066524132942,891066620535928,891066661106483,136.973541,92160,2,92232,2412895735,2412895735,1,1,192.168.70.134
0,100000004,368435460,891066874132942,891066995381631,891067034673686,160.540744,92160,2,92232,367084809,367084809,1,1,192.168.70.134
1,200000005,736870917,891067224132942,891067358826249,891067399717436,175.584494,92160,2,92232,2412895735,2412895735,1,1,192.168.70.134
0,100000005,368435461,891067574132942,891067686113033,891067725315023,151.182081,92160,2,92232,367084809,367084809,1,1,192.168.70.134
1,200000006,736870918,891067974132942,891068158317084,891068198229131,224.096189,92160,2,92232,2412895735,2412895735,1,1,192.168.70.134
0,100000006,368435462,891068324132942,891068603676738,891068637738696,313.605754,92160,2,92232,367084809,367084809,1,1,192.168.70.134
1,200000007,736870919,891068674132942,891068823068869,891068858587490,184.454548,92160,2,92232,2412895735,2412895735,1,1,192.168.70.134
0,100000007,368435463,891069024132942,891069115276923,891069150984404,126.851462,92160,2,92232,367084809,367084809,1,1,192.168.70.134
1,200000008,736870920,891069374132942,891069536303738,891069598549326,224.416384,92160,2,92232,2412895735,2412895735,1,1,192.168.70.134
0,100000008,368435464,891069724132942,891069923764804,891069964473713,240.340771,92160,2,92232,367084809,367084809,1,1,192.168.70.134
1,200000009,736870921,891070074132942,891070179906588,891070220627223,146.494281,92160,2,92232,2412895735,2412895735,1,1,192.168.70.134
0,100000009,368435465,891070424132942,891070517207932,891070558582289,134.449347,92160,2,92232,367084809,367084809,1,1,192.168.70.134
1,200000010,736870922,891070774132942,891070933749756,891070975297833,201.164891,92160,2,92232,2412895735,2412895735,1,1,192.168.70.134
0,100000010,368435466,891071124132942,891071271286077,891071312001312,187.86837,92160,2,92232,367084809,367084809,1,1,192.168.70.134
1,200000011,736870923,891071524132942,891071737857573,891071778015501,253.882559,92160,2,92232,2412895735,2412895735,1,1,192.168.70.134
0,100000011,368435467,891071874132942,891072065777157,891072110545459,236.412517,92160,2,92232,367084809,367084809,1,1,192.168.70.134
1,200000012,736870924,891072224132942,891072322875134,891072364710310,140.577368,92160,2,92232,2412895735,2412895735,1,1,192.168.70.134
0,100000012,368435468,891072574132942,891072776598648,891072817076532,242.94359,92160,2,92232,367084809,367084809,1,1,192.168.70.134
1,200000013,736870925,891072924132942,891073030595675,891073071248053,147.115111,92160,2,92232,2412895735,2412895735,1,1,192.168.70.134
