ue_id,frame_id,message_id,scheduled_raw_ns,first_chunk_raw_ns,complete_raw_ns,complete_latency_ms,payload_bytes,chunks,onwire_bytes,checksum_expected,checksum_actual,checksum_ok,identity_ok,source_ip
1,200000000,736870912,891191808157949,891192014377968,891192810707054,1002.549105,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000000,368435456,891192158157949,891192269706611,891193171371049,1013.2131,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000001,736870913,891192458157949,891193029022093,891193899812584,1441.654635,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000001,368435457,891192758157949,891193319110225,891194294701450,1536.543501,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000002,736870914,891193058157949,891194145006986,891195114133687,2055.975738,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000002,368435458,891193408157949,891194445505467,891195373307373,1965.149424,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000003,736870915,891193708157949,891195223821301,891196188431324,2480.273375,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000003,368435459,891194008157949,891195520933518,891196484789902,2476.631953,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000004,736870916,891194358157949,891196341264424,891197250392582,2892.234633,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000004,368435460,891194658157949,891196634673741,891197544372554,2886.214605,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000005,736870917,891194958157949,891197401522774,891198266249773,3308.091824,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000005,368435461,891195308157949,891197691640992,891198589986934,3281.828985,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000006,736870918,891195608157949,891198441954983,891199338956227,3730.798278,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000006,368435462,891195908157949,891198739185263,891199638228069,3730.07012,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000007,736870919,891196258157949,891199489362593,891200384585902,4126.427953,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000007,368435463,891196558157949,891199785779961,891200680741062,4122.583113,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000008,736870920,891196858157949,891200532906696,891201476962408,4618.804459,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000008,368435464,891197158157949,891200828934839,891201777487123,4619.329174,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000009,736870921,891197508157949,891201626409702,891202562076793,5053.918844,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000009,368435465,891197808157949,891201934232969,891202849901164,5041.743215,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
