ue_id,frame_id,scheduled_raw_ns,scheduled_elapsed_s,demand_rate_mbps,controller,status,decision_raw_ns,send_start_raw_ns,send_end_raw_ns,send_lag_ms,payload_bytes,chunks,onwire_bytes,c_hat_mbps,c1_budget_mbps,admit_reason,local_error
1,200000000,891121157955605,0.05,5.2,open_loop,sent,891121158043404,891121158044081,891121159304187,0.088476,409600,7,409852,nan,nan,open_loop,
0,100000000,891121507955605,0.4,5.2,open_loop,sent,891121508043164,891121508043737,891121508994613,0.088132,409600,7,409852,nan,nan,open_loop,
1,200000001,891121807955605,0.7,5.2,open_loop,sent,891121808046917,891121808047591,891121809236930,0.091986,409600,7,409852,nan,nan,open_loop,
0,100000001,891122107955605,1.0,5.2,open_loop,sent,891122108055325,891122108056040,891122108931136,0.100435,409600,7,409852,nan,nan,open_loop,
1,200000002,891122407955605,1.3,5.2,open_loop,sent,891122408045720,891122408046501,891122409205472,0.090896,409600,7,409852,nan,nan,open_loop,
0,100000002,891122757955605,1.65,5.2,open_loop,sent,891122758060139,891122758061376,891122759052377,0.105771,409600,7,409852,nan,nan,open_loop,
1,200000003,891123057955605,1.95,5.2,open_loop,sent,891123058040724,891123058041238,891123059131540,0.085633,409600,7,409852,nan,nan,open_loop,
0,100000003,891123357955605,2.25,5.2,open_loop,sent,891123358057105,891123358057797,891123359004386,0.102192,409600,7,409852,nan,nan,open_loop,
1,200000004,891123707955605,2.6,5.2,open_loop,sent,891123708037387,891123708038101,891123708832980,0.082496,409600,7,409852,nan,nan,open_loop,
0,100000004,891124007955605,2.9,5.2,open_loop,sent,891124008063568,891124008064761,891124009197510,0.109156,409600,7,409852,nan,nan,open_loop,
1,200000005,891124307955605,3.2,5.2,open_loop,sent,891124308054941,891124308056563,891124309092174,0.100958,409600,7,409852,nan,nan,open_loop,
0,100000005,891124657955605,3.55,5.2,open_loop,sent,891124658041635,891124658042172,891124659091883,0.086567,409600,7,409852,nan,nan,open_loop,
1,200000006,891124957955605,3.85,5.2,open_loop,sent,891124958064548,891124958065179,891124958907280,0.109574,409600,7,409852,nan,nan,open_loop,
0,100000006,891125257955605,4.15,5.2,open_loop,sent,891125258066731,891125258067998,891125259222209,0.112393,409600,7,409852,nan,nan,open_loop,
1,200000007,891125607955605,4.5,5.2,open_loop,sent,891125608049896,891125608050600,891125609105369,0.094995,409600,7,409852,nan,nan,open_loop,
0,100000007,891125907955605,4.8,5.2,open_loop,sent,891125908069233,891125908069948,891125909046987,0.114343,409600,7,409852,nan,nan,open_loop,
1,200000008,891126207955605,5.1,5.2,open_loop,sent,891126208117894,891126208118626,891126209079474,0.163021,409600,7,409852,nan,nan,open_loop,
0,100000008,891126507955605,5.4,5.2,open_loop,sent,891126508086386,891126508087801,891126509211695,0.132196,409600,7,409852,nan,nan,open_loop,
1,200000009,891126857955605,5.75,5.2,open_loop,sent,891126858057155,891126858058060,891126859066767,0.102455,409600,7,409852,nan,nan,open_loop,
0,100000009,891127157955605,6.05,5.2,open_loop,sent,891127158056493,891127158057388,891127159193621,0.101783,409600,7,409852,nan,nan,open_loop,
1,200000010,891127457955605,6.35,5.2,open_loop,sent,891127458060668,891127458061554,891127458927145,0.105949,409600,7,409852,nan,nan,open_loop,
0,100000010,891127807955605,6.7,5.2,open_loop,sent,891127808093863,891127808094491,891127809435179,0.138886,409600,7,409852,nan,nan,open_loop,
1,200000011,891128107955605,7.0,5.2,open_loop,sent,891128108064405,891128108065730,891128109055279,0.110125,409600,7,409852,nan,nan,open_loop,
0,100000011,891128407955605,7.3,5.2,open_loop,sent,891128408479191,891128408479916,891128409283223,0.524311,409600,7,409852,nan,nan,open_loop,
1,200000012,891128757955605,7.65,5.2,open_loop,sent,891128758059047,891128758059823,891128758901240,0.104218,409600,7,409852,nan,nan,open_loop,
0,100000012,891129057955605,7.95,5.2,open_loop,sent,891129058029024,891129058029666,891129058997642,0.074061,409600,7,409852,nan,nan,open_loop,
1,200000013,891129357955605,8.25,5.2,open_loop,sent,891129358060257,891129358061494,891129359403837,0.105889,409600,7,409852,nan,nan,open_loop,
0,100000013,891129657955605,8.55,5.2,open_loop,sent,891129658053925,891129658054724,891129659191730,0.099119,409600,7,409852,nan,nan,open_loop,
1,200000014,891130007955605,8.9,5.2,open_loop,sent,891130008052831,891130008053775,891130008870827,0.09817,409600,7,409852,nan,nan,open_loop,
0,100000014,891130307955605,9.2,5.2,open_loop,sent,891130308006610,891130308007436,891130309223807,0.051831,409600,7,409852,nan,nan,open_loop,
1,200000015,891130607955605,9.5,5.2,open_loop,sent,891130608170816,891130608172292,891130609120848,0.216687,409600,7,409852,nan,nan,open_loop,
0,100000015,891130957955605,9.85,5.2,open_loop,sent,891130958116137,891130958116857,891130958959477,0.161252,409600,7,409852,nan,nan,open_loop,
1,200000016,891131257955605,10.15,5.2,open_loop,sent,891131258047377,891131258047851,891131258883139,0.092246,409600,7,409852,nan,nan,open_loop,
0,100000016,891131557955605,10.45,5.2,open_loop,sent,891131558043589,891131558044145,891131558918606,0.08854,409600,7,409852,nan,nan,open_loop,
1,200000017,891131907955605,10.8,5.2,open_loop,sent,891131908280921,891131908282320,891131909248667,0.326715,409600,7,409852,nan,nan,open_loop,
0,100000017,891132207955605,11.1,5.2,open_loop,sent,891132208041273,891132208041770,891132208921676,0.086165,409600,7,409852,nan,nan,open_loop,
1,200000018,891132507955605,11.4,5.2,open_loop,sent,891132508054305,891132508054995,891132509106838,0.09939,409600,7,409852,nan,nan,open_loop,
0,100000018,891132857955605,11.75,5.2,open_loop,sent,891132858046951,891132858047670,891132859040620,0.092065,409600,7,409852,nan,nan,open_loop,
1,200000019,891133157955605,12.05,5.2,open_loop,sent,891133158049243,891133158050139,891133158914461,0.094534,409600,7,409852,nan,nan,open_loop,
0,100000019,891133457955605,12.35,5.2,open_loop,sent,891133458044370,891133458047329,891133458992485,0.091724,409600,7,409852,nan,nan,open_loop,
