recv_raw_ns,recv_wall_ns,source_ip,ue_id,message_id,chunk_index,total_chunks,udp_payload_bytes,onwire_bytes,duplicate
890948163193774,1786676311726503198,192.168.70.134,1,736870912,0,7,60000,60028,0
890948228257052,1786676311791536881,192.168.70.134,1,736870912,1,7,60000,60028,0
890948300651020,1786676311863936300,192.168.70.134,1,736870912,2,7,60000,60028,0
890948378281130,1786676311941560729,192.168.70.134,1,736870912,3,7,60000,60028,0
890948453864586,1786676312017145462,192.168.70.134,1,736870912,4,7,60000,60028,0
890948527340482,1786676312090622483,192.168.70.134,1,736870912,5,7,60000,60028,0
890948589247108,1786676312152529831,192.168.70.134,1,736870912,6,7,49656,49684,0
890949062545814,1786676312625831091,192.168.70.134,0,368435456,0,7,60000,60028,0
890949151711453,1786676312715007121,192.168.70.134,0,368435456,1,7,60000,60028,0
890949228650894,1786676312791938790,192.168.70.134,0,368435456,2,7,60000,60028,0
890949301678817,1786676312865000549,192.168.70.134,0,368435456,3,7,60000,60028,0
890949365986853,1786676312929277170,192.168.70.134,0,368435456,4,7,60000,60028,0
890949430208666,1786676312993502197,192.168.70.134,0,368435456,5,7,60000,60028,0
890949484236814,1786676313047526605,192.168.70.134,0,368435456,6,7,49656,49684,0
890949784100837,1786676313347395348,192.168.70.134,1,736870913,0,7,60000,60028,0
890949849568487,1786676313412864042,192.168.70.134,1,736870913,1,7,60000,60028,0
890949913877602,1786676313477180872,192.168.70.134,1,736870913,2,7,60000,60028,0
890949980026005,1786676313543332153,192.168.70.134,1,736870913,3,7,60000,60028,0
890950043764622,1786676313607063868,192.168.70.134,1,736870913,4,7,60000,60028,0
890950169477872,1786676313732774756,192.168.70.134,1,736870913,5,7,60000,60028,0
890950223677622,1786676313786999905,192.168.70.134,1,736870913,6,7,49656,49684,0
890950607590854,1786676314170894901,192.168.70.134,0,368435457,0,7,60000,60028,0
890950672605967,1786676314235910409,192.168.70.134,0,368435457,1,7,60000,60028,0
890950737400522,1786676314300704799,192.168.70.134,0,368435457,2,7,60000,60028,0
890950801189454,1786676314364494797,192.168.70.134,0,368435457,3,7,60000,60028,0
890950865544149,1786676314428849019,192.168.70.134,0,368435457,4,7,60000,60028,0
890950930362812,1786676314493668303,192.168.70.134,0,368435457,5,7,60000,60028,0
890950986415581,1786676314549721080,192.168.70.134,0,368435457,6,7,49656,49684,0
