time,eNB_ID,rnti,rb_id,length
20:05:16.174930,0,28730,1,0
20:05:16.174932,0,28730,4,1
20:05:16.238598,0,28730,1,0
20:05:16.238600,0,28730,4,1
20:05:16.309132,0,28730,1,0
20:05:16.309133,0,28730,4,1
20:05:16.368953,0,28730,1,0
20:05:16.368955,0,28730,4,1
20:05:16.424303,0,28730,1,0
20:05:16.424304,0,28730,4,1
20:05:16.493197,0,749,1,0
20:05:16.493199,0,749,4,1
20:05:16.540029,0,28730,1,0
20:05:16.540030,0,28730,4,1
20:05:16.549977,0,749,1,0
20:05:16.549978,0,749,4,1
20:05:16.575318,0,749,1,0
20:05:16.575320,0,749,4,1
20:05:16.601571,0,749,1,0
20:05:16.601572,0,749,4,1
20:05:16.660698,0,28730,1,0
20:05:16.660699,0,28730,4,1
20:05:16.722752,0,749,1,0
20:05:16.722754,0,749,4,1
20:05:16.789664,0,28730,1,0
20:05:16.789665,0,28730,4,1
20:05:16.851941,0,749,1,0
20:05:16.851943,0,749,4,1
20:05:16.918499,0,28730,1,0
20:05:16.918501,0,28730,4,1
20:05:16.981835,0,749,1,0
20:05:16.981837,0,749,4,1
20:05:17.042863,0,28730,1,0
20:05:17.042865,0,28730,4,1
20:05:17.109245,0,749,1,0
20:05:17.109246,0,749,4,1
20:05:17.139962,0,749,1,0
20:05:17.139964,0,749,4,1
20:05:17.171271,0,749,1,0
20:05:17.171272,0,749,4,1
20:05:17.171871,0,28730,1,0
20:05:17.171872,0,28730,4,1
20:05:17.360019,0,749,1,0
20:05:17.360020,0,749,4,1
20:05:17.366103,0,28730,1,0
20:05:17.366104,0,28730,4,1
20:05:17.389272,0,749,1,0
20:05:17.389273,0,749,4,1
20:05:17.420018,0,749,1,0
20:05:17.420020,0,749,4,1
20:05:17.450603,0,749,1,0
20:05:17.450605,0,749,4,1
20:05:17.481900,0,749,1,0
20:05:17.481901,0,749,4,1
20:05:17.492904,0,28730,1,0
20:05:17.492905,0,28730,4,1
20:05:17.598471,0,749,1,0
20:05:17.598473,0,749,4,1
20:05:17.615555,0,28730,1,0
20:05:17.615556,0,28730,4,1
20:05:17.625930,0,749,1,0
20:05:17.625932,0,749,4,1
20:05:17.655000,0,749,1,0
20:05:17.655002,0,749,4,1
20:05:17.683959,0,749,1,0
20:05:17.683960,0,749,4,1
20:05:17.713083,0,749,1,0
20:05:17.713084,0,749,4,1
20:05:17.735795,0,28730,1,0
20:05:17.735797,0,28730,4,1
20:05:17.827746,0,749,1,0
20:05:17.827747,0,749,4,1
20:05:17.850657,0,28730,1,0
20:05:17.850658,0,28730,4,1
20:05:17.877899,0,28730,1,0
20:05:17.877900,0,28730,4,1
20:05:17.906590,0,28730,1,0
20:05:17.906591,0,28730,4,1
20:05:17.935482,0,28730,1,0
20:05:17.935484,0,28730,4,1
20:05:17.948798,0,749,1,0
20:05:17.948799,0,749,4,1
20:05:17.964908,0,28730,1,0
20:05:17.964909,0,28730,4,1
20:05:18.068334,0,749,1,0
20:05:18.068336,0,749,4,1
20:05:18.079786,0,28730,1,0
20:05:18.079787,0,28730,4,1
20:05:18.107048,0,28730,1,0
20:05:18.107049,0,28730,4,1
20:05:18.135281,0,28730,1,0
20:05:18.135283,0,28730,4,1
20:05:18.163873,0,28730,1,0
20:05:18.163874,0,28730,4,1
20:05:18.187955,0,749,1,0
20:05:18.187956,0,749,4,1
20:05:18.193128,0,28730,1,0
20:05:18.193128,0,28730,4,1
20:05:18.307987,0,749,1,0
20:05:18.307989,0,749,4,1
20:05:18.308560,0,28730,1,0
20:05:18.308560,0,28730,4,1
20:05:18.336234,0,28730,1,0
20:05:18.336235,0,28730,4,1
20:05:18.365319,0,28730,1,0
20:05:18.365321,0,28730,4,1
20:05:18.393953,0,28730,1,0
