time,frame,slot,rnti,rb_size,rb_start,qam_mod_order,mcs_index,number_of_bits
20:05:05.381846,1014,8,28730,5,0,2,8,808
20:05:05.467683,1021,8,749,5,0,2,8,808
20:05:05.504529,0,8,28730,5,0,2,8,736
20:05:05.589495,7,8,749,5,0,2,8,808
20:05:05.626137,10,8,28730,5,0,2,8,808
20:05:05.711162,17,8,749,5,0,2,8,808
20:05:05.747700,20,8,28730,5,0,2,8,808
20:05:05.832477,27,8,749,5,0,2,8,808
20:05:05.869003,30,8,28730,5,0,2,8,808
20:05:05.978059,37,8,749,5,0,2,8,808
20:05:06.014303,40,8,28730,5,0,2,8,736
20:05:06.099574,47,8,749,5,0,2,8,808
20:05:06.135689,50,8,28730,5,0,2,8,808
20:05:06.221039,57,8,749,5,0,2,8,808
20:05:06.257256,60,8,28730,5,0,2,8,808
20:05:06.342185,67,8,749,5,0,2,8,808
20:05:06.378926,70,8,28730,5,0,2,8,808
20:05:06.464726,77,8,749,5,0,2,8,808
20:05:06.501889,80,8,28730,5,0,2,8,736
20:05:06.587543,87,8,749,5,0,2,8,808
20:05:06.623921,90,8,28730,5,0,2,8,808
20:05:06.709526,97,8,749,5,0,2,8,808
20:05:06.746125,100,8,28730,5,0,2,8,808
20:05:06.876805,107,8,749,5,0,2,8,808
20:05:06.912943,110,8,28730,5,0,2,8,808
20:05:06.999055,117,8,749,5,0,2,8,808
20:05:07.036392,120,8,28730,5,0,2,8,736
20:05:07.123121,127,8,749,5,0,2,8,808
20:05:07.160066,130,8,28730,5,0,2,8,808
20:05:07.245579,137,8,749,5,0,2,8,808
20:05:07.283271,140,8,28730,5,0,2,8,808
20:05:07.369176,147,8,749,5,0,2,8,808
20:05:07.405502,150,8,28730,5,0,2,8,808
20:05:07.491357,157,8,749,5,0,2,8,808
20:05:07.528655,160,8,28730,5,0,2,8,736
20:05:07.614919,167,8,749,5,0,2,8,808
20:05:07.652134,170,8,28730,5,0,2,8,808
20:05:07.738748,177,8,749,5,0,2,8,808
20:05:07.775593,180,8,28730,5,0,2,8,808
20:05:07.863232,187,8,749,5,0,2,8,808
20:05:07.900414,190,8,28730,5,0,2,8,808
20:05:08.007869,197,8,749,5,0,2,8,808
20:05:08.044678,200,8,28730,5,0,2,8,736
20:05:08.130206,207,8,749,5,0,2,8,808
20:05:08.167703,210,8,28730,5,0,2,8,808
20:05:08.253399,217,8,749,5,0,2,8,808
20:05:08.290084,220,8,28730,5,0,2,8,808
20:05:08.377267,227,8,749,5,0,2,8,808
20:05:08.414116,230,8,28730,5,0,2,8,808
20:05:08.500781,237,8,749,5,0,2,8,808
20:05:08.537959,240,8,28730,5,0,2,8,736
20:05:08.624547,247,8,749,5,0,2,8,808
