time,eNB_ID,frame,subframe,rsrp,rssi,snr,rx_power,noise_power,w_cqi,freq_offset
20:05:05.667076,0,14,0,-2147483648,-183,-93,-90,3,-93,6
20:05:05.691588,0,16,0,-2147483648,-183,-95,-90,5,-95,6
20:05:06.953895,0,114,0,-2147483648,-183,-93,-90,3,-93,6
20:05:06.978463,0,116,0,-2147483648,-183,-93,-90,3,-93,6
20:05:08.208776,0,214,0,-2147483648,-183,-93,-90,3,-93,6
20:05:08.233467,0,216,0,-2147483648,-183,-90,-90,0,-90,6
20:05:09.490877,0,314,0,-2147483648,-183,-93,-90,3,-93,6
20:05:09.516402,0,316,0,-2147483648,-183,-90,-90,0,-90,6
20:05:10.806454,0,414,0,-2147483648,-183,-93,-90,3,-93,6
20:05:10.830993,0,416,0,-2147483648,-183,-93,-90,3,-93,6
20:05:12.065126,0,514,0,-2147483648,-183,-93,-90,3,-93,6
20:05:12.088397,0,516,0,-2147483648,-183,-93,-90,3,-93,6
20:05:13.225180,0,614,0,-2147483648,-183,-90,-90,0,-90,6
20:05:13.248533,0,616,0,-2147483648,-183,-95,-90,5,-95,6
20:05:14.455217,0,714,0,-2147483648,-183,-90,-90,0,-90,6
20:05:14.478643,0,716,0,-2147483648,-183,-93,-90,3,-93,6
20:05:15.621006,0,814,0,-2147483648,-183,-90,-90,0,-90,6
20:05:15.644636,0,816,0,-2147483648,-183,-93,-90,3,-93,6
20:05:16.843290,0,914,0,-2147483648,-183,-95,-90,5,-95,6
20:05:16.867957,0,916,0,-2147483648,-183,-95,-90,5,-95,6
20:05:18.094182,0,1014,0,-2147483648,-183,-93,-90,3,-93,6
20:05:18.117163,0,1016,0,-2147483648,-183,-93,-90,3,-93,6
20:05:19.266433,0,90,0,-2147483648,-183,-95,-90,5,-95,6
20:05:19.336772,0,92,0,-2147483648,-183,-93,-90,3,-93,6
20:05:20.534786,0,190,0,-2147483648,-183,-93,-90,3,-93,6
20:05:20.557669,0,192,0,-2147483648,-183,-93,-90,3,-93,6
20:05:21.701668,0,290,0,-2147483648,-183,-90,-90,0,-90,6
20:05:21.724893,0,292,0,-2147483648,-183,-93,-90,3,-93,6
20:05:22.863856,0,390,0,-2147483648,-183,-90,-90,0,-90,6
20:05:22.887081,0,392,0,-2147483648,-183,-90,-90,0,-90,6
20:05:23.982949,0,490,0,-2147483648,-183,-90,-90,0,-90,6
20:05:24.004234,0,492,0,-2147483648,-183,-93,-90,3,-93,6
20:05:25.145779,0,590,0,-2147483648,-183,-93,-90,3,-93,6
20:05:25.167933,0,592,0,-2147483648,-183,-93,-90,3,-93,6
20:05:25.448561,0,609,0,-2147483648,-183,-93,-90,3,-93,6
20:05:26.300332,0,690,0,-2147483648,-183,-93,-90,3,-93,6
20:05:26.321652,0,692,0,-2147483648,-183,-95,-90,5,-95,6
20:05:27.467151,0,790,0,-2147483648,-183,-93,-90,3,-93,6
20:05:27.488349,0,792,0,-2147483648,-183,-95,-90,5,-95,6
20:05:28.679299,0,890,0,-2147483648,-183,-95,-90,5,-95,6
20:05:28.702664,0,892,0,-2147483648,-183,-95,-90,5,-95,6
20:05:29.940553,0,990,0,-2147483648,-183,-93,-90,3,-93,6
20:05:29.963553,0,992,0,-2147483648,-183,-95,-90,5,-95,6
20:05:31.199501,0,66,0,-2147483648,-183,-93,-90,3,-93,6
20:05:31.224309,0,68,0,-2147483648,-183,-93,-90,3,-93,6
20:05:32.454864,0,166,0,-2147483648,-183,-95,-90,5,-95,6
20:05:32.477932,0,168,0,-2147483648,-183,-95,-90,5,-95,6
20:05:33.632204,0,266,0,-2147483648,-183,-95,-90,5,-95,6
20:05:33.655102,0,268,0,-2147483648,-183,-93,-90,3,-93,6
20:05:34.827329,0,361,0,-2147483648,-183,-93,-90,3,-93,6
20:05:34.884330,0,366,0,-2147483648,-183,-93,-90,3,-93,6
20:05:34.907505,0,368,0,-2147483648,-183,-90,-90,0,-90,6
20:05:36.043904,0,466,0,-2147483648,-183,-93,-90,3,-93,6
20:05:36.064501,0,468,0,-2147483648,-183,-95,-90,5,-95,6
20:05:37.184649,0,566,0,-2147483648,-183,-95,-90,5,-95,6
20:05:37.207565,0,568,0,-2147483648,-183,-93,-90,3,-93,6
20:05:38.057881,0,635,0,-2147483648,-183,-93,-90,3,-93,6
20:05:38.457177,0,666,0,-2147483648,-183,-93,-90,3,-93,6
20:05:38.480473,0,668,0,-2147483648,-183,-95,-90,5,-95,6
20:05:39.718895,0,766,0,-2147483648,-183,-93,-90,3,-93,6
20:05:39.741955,0,768,0,-2147483648,-183,-90,-90,0,-90,6
20:05:40.925276,0,866,0,-2147483648,-183,-93,-90,3,-93,6
20:05:40.948585,0,868,0,-2147483648,-183,-95,-90,5,-95,6
20:05:42.107799,0,966,0,-2147483648,-183,-95,-90,5,-95,6
20:05:42.147491,0,968,0,-2147483648,-183,-95,-90,5,-95,6
20:05:43.328047,0,42,0,-2147483648,-183,-93,-90,3,-93,6
20:05:43.351007,0,44,0,-2147483648,-183,-93,-90,3,-93,6
20:05:44.563226,0,142,0,-2147483648,-183,-93,-90,3,-93,6
20:05:44.586242,0,144,0,-2147483648,-183,-90,-90,0,-90,6
20:05:45.797911,0,242,0,-2147483648,-183,-93,-90,3,-93,6
20:05:45.821159,0,244,0,-2147483648,-183,-93,-90,3,-93,6
