time,rnti,frame,slot,mcs,tbs
20:03:38.985128,28730,1006,0,0,21
20:03:39.008034,749,1008,0,0,19
20:03:40.216832,28730,82,0,0,21
20:03:40.239809,749,84,0,0,21
20:03:41.352322,28730,182,0,0,21
20:03:41.375029,749,184,0,0,19
20:03:42.520054,28730,282,0,0,21
20:03:42.542428,749,284,0,0,21
20:03:43.756581,28730,382,0,0,21
20:03:43.779372,749,384,0,0,19
20:03:44.908607,28730,482,0,0,21
20:03:44.980362,749,484,0,0,21
20:03:46.241991,28730,582,0,0,21
20:03:46.264593,749,584,0,0,19
20:03:47.488702,28730,682,0,0,21
20:03:47.511636,749,684,0,0,21
20:03:48.549873,28730,774,16,0,21
20:03:48.611942,28730,780,0,0,21
20:03:48.636515,28730,782,0,0,21
20:03:48.659664,749,784,0,0,19
20:03:48.673403,28730,785,4,0,21
20:03:48.701871,28730,787,14,0,21
20:03:48.759749,28730,792,15,0,21
20:03:48.787703,28730,795,4,0,21
20:03:48.862690,749,801,15,0,21
20:03:48.924805,749,807,5,0,21
20:03:48.981019,749,809,14,0,21
20:03:49.012446,749,812,4,0,21
20:03:49.030169,28730,813,15,0,21
20:03:49.059036,28730,816,5,0,21
20:03:49.128186,749,822,5,0,21
20:03:49.179280,28730,826,14,0,21
20:03:49.249473,749,832,16,0,21
20:03:49.299865,28730,837,4,0,21
20:03:49.370007,749,843,6,0,21
20:03:49.414883,28730,847,5,0,21
20:03:49.487774,749,853,14,0,21
20:03:49.516058,749,856,4,0,21
20:03:49.538719,28730,858,4,0,21
20:03:49.544950,749,858,15,0,21
20:03:49.652942,28730,868,5,0,21
20:03:49.659763,749,868,17,0,15
20:03:49.686896,749,871,4,0,21
20:03:49.715130,749,873,14,0,21
20:03:49.743893,749,876,4,0,21
20:03:49.775836,749,878,15,0,21
20:03:49.776377,28730,878,16,0,21
20:03:49.812902,28730,882,0,0,21
20:03:49.835530,749,884,0,0,21
20:03:49.890846,749,888,17,0,15
20:03:49.895842,28730,889,6,0,21
20:03:49.917813,749,891,4,0,21
20:03:49.959747,749,893,14,0,21
20:03:49.988281,749,896,4,0,21
20:03:50.018593,749,898,15,0,21
20:03:50.029372,28730,899,14,0,21
20:03:50.058580,28730,902,4,0,21
20:03:50.138491,28730,904,15,0,21
20:03:50.209266,749,908,16,0,21
20:03:50.278647,28730,914,16,0,21
20:03:50.330592,749,919,6,0,21
20:03:50.399530,28730,925,6,0,21
20:03:50.450650,749,929,16,0,21
20:03:50.519004,28730,935,16,0,21
20:03:50.569800,749,940,6,0,21
20:03:50.638260,28730,946,7,0,15
20:03:50.688641,749,950,16,0,21
20:03:50.755919,28730,956,15,0,21
20:03:50.802253,749,960,16,0,21
20:03:50.829349,749,963,4,0,21
20:03:50.857869,749,965,14,0,21
20:03:50.870545,28730,966,16,0,21
20:03:50.898210,28730,969,4,0,21
20:03:50.926707,28730,971,14,0,21
20:03:50.978115,749,976,4,0,21
20:03:51.007149,749,978,15,0,21
20:03:51.043912,28730,982,0,0,21
20:03:51.046170,28730,982,4,0,21
20:03:51.066536,749,984,0,0,19
20:03:51.075069,28730,984,15,0,21
20:03:51.120912,749,988,16,0,21
20:03:51.148100,749,991,4,0,21
20:03:51.189630,28730,994,16,0,21
20:03:51.216844,28730,997,4,0,21
20:03:51.262802,749,1001,5,0,21
20:03:51.291113,749,1003,15,0,21
20:03:51.330671,28730,1007,5,0,21
20:03:51.359273,28730,1009,15,0,21
20:03:51.405530,749,1013,16,0,21
20:03:51.432785,749,1016,4,0,21
20:03:51.462118,749,1018,15,0,21
20:03:51.474198,28730,1019,16,0,21
20:03:51.501747,28730,1022,4,0,21
20:03:51.531571,28730,0,15,0,21
20:03:51.578361,749,4,16,0,21
20:03:51.605767,749,7,4,0,21
20:03:51.634371,749,9,14,0,21
20:03:51.652115,28730,11,5,0,21
20:03:51.662944,749,12,4,0,21
20:03:51.692180,749,14,15,0,21
20:03:51.774384,28730,21,15,0,21
20:03:51.809595,749,24,17,0,15
20:03:51.836264,749,27,4,0,21
20:03:51.864494,749,29,14,0,21
20:03:51.888181,28730,31,16,0,21
20:03:51.915231,28730,34,4,0,21
20:03:51.966801,28730,36,15,0,21
20:03:52.001301,749,39,15,0,21
20:03:52.029586,749,42,5,0,21
20:03:52.080797,28730,46,16,0,21
20:03:52.155349,28730,49,4,0,21
20:03:52.183575,28730,51,14,0,21
20:03:52.194814,749,52,14,0,21
20:03:52.211841,28730,54,4,0,21
20:03:52.223106,749,55,4,0,21
20:03:52.240445,28730,56,15,0,21
20:03:52.251278,749,57,14,0,21
20:03:52.254450,28730,58,0,0,21
20:03:52.277016,749,60,0,0,21
20:03:52.279266,749,60,4,0,21
20:03:52.353547,28730,66,16,0,21
20:03:52.380247,28730,69,4,0,21
20:03:52.392088,749,70,5,0,21
20:03:52.408104,28730,71,14,0,21
20:03:52.436372,28730,74,4,0,21
20:03:52.465773,28730,76,15,0,21
20:03:52.512325,749,80,16,0,21
20:03:52.581043,28730,86,16,0,21
20:03:52.608633,28730,89,4,0,21
20:03:52.632869,749,91,6,0,21
20:03:52.637379,28730,91,14,0,21
20:03:52.666216,28730,94,4,0,21
20:03:52.752230,749,101,14,0,21
20:03:52.780641,749,104,4,0,21
20:03:52.781245,28730,104,5,0,21
20:03:52.809613,749,106,15,0,21
20:03:52.902278,28730,114,16,0,21
20:03:52.925209,749,116,17,0,15
20:03:53.021076,28730,125,6,0,21
20:03:53.043880,749,127,6,0,21
20:03:53.139563,28730,135,14,0,21
20:03:53.163733,749,137,16,0,21
20:03:53.168185,28730,138,4,0,21
20:03:53.197715,28730,140,15,0,21
20:03:53.310552,749,148,7,0,15
20:03:53.338382,28730,150,16,0,21
20:03:53.366073,28730,153,4,0,21
20:03:53.394734,28730,155,14,0,21
20:03:53.420937,28730,158,0,0,21
20:03:53.423361,28730,158,4,0,21
20:03:53.429625,749,158,15,0,21
20:03:53.443875,749,160,0,0,19
