time,frame,slot,rnti,rb_size,rb_start,qam_mod_order,mcs_index,number_of_bits
20:03:37.917310,912,8,28730,5,0,2,8,736
20:03:37.998554,919,8,749,5,0,2,8,808
20:03:38.033469,922,8,28730,5,0,2,8,808
20:03:38.114412,929,8,749,5,0,2,8,808
20:03:38.148665,932,8,28730,5,0,2,8,808
20:03:38.230612,939,8,749,5,0,2,8,808
20:03:38.264759,942,8,28730,5,0,2,8,808
20:03:38.344152,949,8,749,5,0,2,8,808
20:03:38.378413,952,8,28730,5,0,2,8,736
20:03:38.458108,959,8,749,5,0,2,8,808
20:03:38.492592,962,8,28730,5,0,2,8,808
20:03:38.572298,969,8,749,5,0,2,8,808
20:03:38.606322,972,8,28730,5,0,2,8,808
20:03:38.685427,979,8,749,5,0,2,8,808
20:03:38.719397,982,8,28730,5,0,2,8,808
20:03:38.798252,989,8,749,5,0,2,8,808
20:03:38.832327,992,8,28730,5,0,2,8,736
20:03:38.912678,999,8,749,5,0,2,8,808
20:03:38.947637,1002,8,28730,5,0,2,8,808
20:03:39.028035,1009,8,749,5,0,2,8,808
20:03:39.062443,1012,8,28730,5,0,2,8,808
20:03:39.141395,1019,8,749,5,0,2,8,808
20:03:39.176061,1022,8,28730,5,0,2,8,808
20:03:39.255460,5,8,749,5,0,2,8,808
20:03:39.289616,8,8,28730,5,0,2,8,736
20:03:39.369389,15,8,749,5,0,2,8,808
20:03:39.404012,18,8,28730,5,0,2,8,808
20:03:39.485140,25,8,749,5,0,2,8,808
20:03:39.519591,28,8,28730,5,0,2,8,808
20:03:39.598881,35,8,749,5,0,2,8,808
20:03:39.633600,38,8,28730,5,0,2,8,808
20:03:39.712603,45,8,749,5,0,2,8,808
20:03:39.746944,48,8,28730,5,0,2,8,736
20:03:39.827988,55,8,749,5,0,2,8,808
20:03:39.862320,58,8,28730,5,0,2,8,808
20:03:40.029594,65,8,749,5,0,2,8,808
20:03:40.064067,68,8,28730,5,0,2,8,808
20:03:40.144048,75,8,749,5,0,2,8,808
20:03:40.179167,78,8,28730,5,0,2,8,808
20:03:40.259413,85,8,749,5,0,2,8,808
20:03:40.294436,88,8,28730,5,0,2,8,736
20:03:40.373589,95,8,749,5,0,2,8,808
20:03:40.407265,98,8,28730,5,0,2,8,808
20:03:40.487046,105,8,749,5,0,2,8,808
20:03:40.521357,108,8,28730,5,0,2,8,808
20:03:40.600657,115,8,749,5,0,2,8,808
20:03:40.634506,118,8,28730,5,0,2,8,808
20:03:40.714516,125,8,749,5,0,2,8,808
20:03:40.748777,128,8,28730,5,0,2,8,736
20:03:40.827609,135,8,749,5,0,2,8,808
20:03:40.861734,138,8,28730,5,0,2,8,808
20:03:40.940949,145,8,749,5,0,2,8,808
20:03:40.975162,148,8,28730,5,0,2,8,808
20:03:41.055195,155,8,749,5,0,2,8,808
20:03:41.088758,158,8,28730,5,0,2,8,808
20:03:41.168024,165,8,749,5,0,2,8,808
20:03:41.201850,168,8,28730,5,0,2,8,736
20:03:41.281572,175,8,749,5,0,2,8,808
20:03:41.315267,178,8,28730,5,0,2,8,808
20:03:41.394532,185,8,749,5,0,2,8,808
20:03:41.428862,188,8,28730,5,0,2,8,808
20:03:41.507669,195,8,749,5,0,2,8,808
20:03:41.541077,198,8,28730,5,0,2,8,808
20:03:41.619800,205,8,749,5,0,2,8,808
20:03:41.653916,208,8,28730,5,0,2,8,736
20:03:41.733221,215,8,749,5,0,2,8,808
20:03:41.766831,218,8,28730,5,0,2,8,808
20:03:41.845609,225,8,749,5,0,2,8,808
20:03:41.879645,228,8,28730,5,0,2,8,808
20:03:41.989088,235,8,749,5,0,2,8,808
20:03:42.024682,238,8,28730,5,0,2,8,808
20:03:42.104995,245,8,749,5,0,2,8,808
20:03:42.139000,248,8,28730,5,0,2,8,736
20:03:42.218084,255,8,749,5,0,2,8,808
20:03:42.252222,258,8,28730,5,0,2,8,808
20:03:42.332492,265,8,749,5,0,2,8,808
20:03:42.366282,268,8,28730,5,0,2,8,808
20:03:42.448684,275,8,749,5,0,2,8,808
20:03:42.483096,278,8,28730,5,0,2,8,808
20:03:42.562182,285,8,749,5,0,2,8,808
20:03:42.595677,288,8,28730,5,0,2,8,736
20:03:42.675487,295,8,749,5,0,2,8,808
20:03:42.710879,298,8,28730,5,0,2,8,808
20:03:42.789901,305,8,749,5,0,2,8,808
20:03:42.824157,308,8,28730,5,0,2,8,808
20:03:42.903805,315,8,749,5,0,2,8,808
20:03:43.033076,318,8,28730,5,0,2,8,808
20:03:43.116031,325,8,749,5,0,2,8,808
20:03:43.150077,328,8,28730,5,0,2,8,736
20:03:43.229914,335,8,749,5,0,2,8,808
20:03:43.263435,338,8,28730,5,0,2,8,808
20:03:43.343832,345,8,749,5,0,2,8,808
20:03:43.378189,348,8,28730,5,0,2,8,808
20:03:43.457539,355,8,749,5,0,2,8,808
20:03:43.491572,358,8,28730,5,0,2,8,808
20:03:43.572035,365,8,749,5,0,2,8,808
20:03:43.606156,368,8,28730,5,0,2,8,736
20:03:43.685621,375,8,749,5,0,2,8,808
20:03:43.719344,378,8,28730,5,0,2,8,808
20:03:43.798809,385,8,749,5,0,2,8,808
20:03:43.833072,388,8,28730,5,0,2,8,808
20:03:43.914813,395,8,749,5,0,2,8,808
20:03:43.949420,398,8,28730,5,0,2,8,808
20:03:44.035239,405,8,749,5,0,2,8,808
20:03:44.069011,408,8,28730,5,0,2,8,736
20:03:44.148270,415,8,749,5,0,2,8,808
20:03:44.182418,418,8,28730,5,0,2,8,808
20:03:44.261613,425,8,749,5,0,2,8,808
20:03:44.295796,428,8,28730,5,0,2,8,808
20:03:44.379840,435,8,749,5,0,2,8,808
20:03:44.416170,438,8,28730,5,0,2,8,808
20:03:44.495414,445,8,749,5,0,2,8,808
