time,frame,slot,rnti,rb_size,rb_start,qam_mod_order,mcs_index,number_of_bits
20:03:37.994462,919,8,749,5,0,2,8,808
20:03:38.028873,922,8,28730,5,0,2,8,808
20:03:38.109827,929,8,749,5,0,2,8,808
20:03:38.143928,932,8,28730,5,0,2,8,808
20:03:38.225383,939,8,749,5,0,2,8,808
20:03:38.260051,942,8,28730,5,0,2,8,808
20:03:38.339867,949,8,749,5,0,2,8,808
20:03:38.373721,952,8,28730,5,0,2,8,736
20:03:38.453730,959,8,749,5,0,2,8,808
20:03:38.487971,962,8,28730,5,0,2,8,808
20:03:38.567939,969,8,749,5,0,2,8,808
20:03:38.601803,972,8,28730,5,0,2,8,808
20:03:38.681123,979,8,749,5,0,2,8,808
20:03:38.715093,982,8,28730,5,0,2,8,808
20:03:38.794254,989,8,749,5,0,2,8,808
20:03:38.827881,992,8,28730,5,0,2,8,736
20:03:38.908397,999,8,749,5,0,2,8,808
20:03:38.943021,1002,8,28730,5,0,2,8,808
20:03:39.023520,1009,8,749,5,0,2,8,808
20:03:39.057956,1012,8,28730,5,0,2,8,808
20:03:39.137234,1019,8,749,5,0,2,8,808
20:03:39.171174,1022,8,28730,5,0,2,8,808
20:03:39.251104,5,8,749,5,0,2,8,808
20:03:39.285119,8,8,28730,5,0,2,8,736
20:03:39.365051,15,8,749,5,0,2,8,808
20:03:39.399416,18,8,28730,5,0,2,8,808
20:03:39.481153,25,8,749,5,0,2,8,808
20:03:39.515139,28,8,28730,5,0,2,8,808
20:03:39.594604,35,8,749,5,0,2,8,808
20:03:39.628585,38,8,28730,5,0,2,8,808
20:03:39.708400,45,8,749,5,0,2,8,808
20:03:39.742275,48,8,28730,5,0,2,8,736
20:03:39.823578,55,8,749,5,0,2,8,808
20:03:39.857549,58,8,28730,5,0,2,8,808
20:03:40.025181,65,8,749,5,0,2,8,808
20:03:40.059648,68,8,28730,5,0,2,8,808
20:03:40.139688,75,8,749,5,0,2,8,808
20:03:40.173745,78,8,28730,5,0,2,8,808
20:03:40.254896,85,8,749,5,0,2,8,808
20:03:40.289815,88,8,28730,5,0,2,8,736
20:03:40.369104,95,8,749,5,0,2,8,808
20:03:40.402907,98,8,28730,5,0,2,8,808
20:03:40.482631,105,8,749,5,0,2,8,808
20:03:40.516634,108,8,28730,5,0,2,8,808
20:03:40.596412,115,8,749,5,0,2,8,808
20:03:40.629978,118,8,28730,5,0,2,8,808
20:03:40.710011,125,8,749,5,0,2,8,808
20:03:40.744132,128,8,28730,5,0,2,8,736
20:03:40.823568,135,8,749,5,0,2,8,808
20:03:40.856989,138,8,28730,5,0,2,8,808
20:03:40.936478,145,8,749,5,0,2,8,808
20:03:40.970494,148,8,28730,5,0,2,8,808
20:03:41.050394,155,8,749,5,0,2,8,808
20:03:41.084142,158,8,28730,5,0,2,8,808
20:03:41.163302,165,8,749,5,0,2,8,808
20:03:41.196960,168,8,28730,5,0,2,8,736
20:03:41.277060,175,8,749,5,0,2,8,808
20:03:41.310673,178,8,28730,5,0,2,8,808
20:03:41.390265,185,8,749,5,0,2,8,808
20:03:41.423757,188,8,28730,5,0,2,8,808
20:03:41.503315,195,8,749,5,0,2,8,808
20:03:41.536587,198,8,28730,5,0,2,8,808
20:03:41.615553,205,8,749,5,0,2,8,808
20:03:41.649362,208,8,28730,5,0,2,8,736
20:03:41.728627,215,8,749,5,0,2,8,808
20:03:41.762259,218,8,28730,5,0,2,8,808
20:03:41.841223,225,8,749,5,0,2,8,808
20:03:41.875153,228,8,28730,5,0,2,8,808
20:03:41.984161,235,8,749,5,0,2,8,808
20:03:42.019931,238,8,28730,5,0,2,8,808
20:03:42.100499,245,8,749,5,0,2,8,808
20:03:42.134163,248,8,28730,5,0,2,8,736
20:03:42.213701,255,8,749,5,0,2,8,808
20:03:42.247666,258,8,28730,5,0,2,8,808
20:03:42.328647,265,8,749,5,0,2,8,808
20:03:42.361867,268,8,28730,5,0,2,8,808
20:03:42.444029,275,8,749,5,0,2,8,808
20:03:42.478700,278,8,28730,5,0,2,8,808
20:03:42.557646,285,8,749,5,0,2,8,808
20:03:42.591590,288,8,28730,5,0,2,8,736
20:03:42.670991,295,8,749,5,0,2,8,808
20:03:42.705049,298,8,28730,5,0,2,8,808
20:03:42.785578,305,8,749,5,0,2,8,808
20:03:42.819349,308,8,28730,5,0,2,8,808
20:03:42.899491,315,8,749,5,0,2,8,808
20:03:42.985929,318,8,28730,5,0,2,8,808
20:03:43.111813,325,8,749,5,0,2,8,808
20:03:43.145356,328,8,28730,5,0,2,8,736
20:03:43.225061,335,8,749,5,0,2,8,808
20:03:43.258831,338,8,28730,5,0,2,8,808
20:03:43.338752,345,8,749,5,0,2,8,808
20:03:43.373351,348,8,28730,5,0,2,8,808
20:03:43.453194,355,8,749,5,0,2,8,808
20:03:43.487277,358,8,28730,5,0,2,8,808
20:03:43.567853,365,8,749,5,0,2,8,808
20:03:43.601570,368,8,28730,5,0,2,8,736
20:03:43.681204,375,8,749,5,0,2,8,808
20:03:43.715038,378,8,28730,5,0,2,8,808
20:03:43.794517,385,8,749,5,0,2,8,808
20:03:43.828456,388,8,28730,5,0,2,8,808
20:03:43.909758,395,8,749,5,0,2,8,808
20:03:43.944838,398,8,28730,5,0,2,8,808
20:03:44.030676,405,8,749,5,0,2,8,808
20:03:44.064342,408,8,28730,5,0,2,8,736
20:03:44.144307,415,8,749,5,0,2,8,808
20:03:44.177352,418,8,28730,5,0,2,8,808
20:03:44.257354,425,8,749,5,0,2,8,808
20:03:44.291277,428,8,28730,5,0,2,8,808
20:03:44.375384,435,8,749,5,0,2,8,808
20:03:44.411864,438,8,28730,5,0,2,8,808
20:03:44.491128,445,8,749,5,0,2,8,808
20:03:44.525047,448,8,28730,5,0,2,8,736
20:03:44.604098,455,8,749,5,0,2,8,808
20:03:44.637998,458,8,28730,5,0,2,8,808
20:03:44.718169,465,8,749,5,0,2,8,808
20:03:44.752538,468,8,28730,5,0,2,8,808
20:03:44.833043,475,8,749,5,0,2,8,808
20:03:44.866807,478,8,28730,5,0,2,8,808
20:03:45.044913,485,8,749,5,0,2,8,808
20:03:45.079078,488,8,28730,5,0,2,8,736
20:03:45.157975,495,8,749,5,0,2,8,808
20:03:45.191831,498,8,28730,5,0,2,8,808
20:03:45.271641,505,8,749,5,0,2,8,808
20:03:45.305191,508,8,28730,5,0,2,8,808
20:03:45.384239,515,8,749,5,0,2,8,808
20:03:45.417482,518,8,28730,5,0,2,8,808
20:03:45.504103,525,8,749,5,0,2,8,808
20:03:45.537718,528,8,28730,5,0,2,8,736
20:03:45.616750,535,8,749,5,0,2,8,808
20:03:45.650328,538,8,28730,5,0,2,8,808
20:03:45.728854,545,8,749,5,0,2,8,808
20:03:45.762414,548,8,28730,5,0,2,8,808
20:03:45.840699,555,8,749,5,0,2,8,808
20:03:45.874004,558,8,28730,5,0,2,8,808
20:03:46.056989,565,8,749,5,0,2,8,808
20:03:46.088325,568,8,28730,5,0,2,8,736
20:03:46.167330,575,8,749,5,0,2,8,808
20:03:46.200895,578,8,28730,5,0,2,8,808
20:03:46.279617,585,8,749,5,0,2,8,808
20:03:46.313114,588,8,28730,5,0,2,8,808
20:03:46.393066,595,8,749,5,0,2,8,808
20:03:46.426961,598,8,28730,5,0,2,8,808
20:03:46.513819,605,8,749,5,0,2,8,808
20:03:46.546885,608,8,28730,5,0,2,8,736
20:03:46.627318,615,8,749,5,0,2,8,808
20:03:46.661398,618,8,28730,5,0,2,8,808
20:03:46.742001,625,8,749,5,0,2,8,808
20:03:46.775932,628,8,28730,5,0,2,8,808
20:03:46.855894,635,8,749,5,0,2,8,808
20:03:46.889751,638,8,28730,5,0,2,8,808
20:03:47.074430,645,8,749,5,0,2,8,808
20:03:47.107680,648,8,28730,5,0,2,8,736
20:03:47.186583,655,8,749,5,0,2,8,808
20:03:47.220567,658,8,28730,5,0,2,8,808
20:03:47.299122,665,8,749,5,0,2,8,808
20:03:47.333131,668,8,28730,5,0,2,8,808
20:03:47.412778,675,8,749,5,0,2,8,808
20:03:47.446779,678,8,28730,5,0,2,8,808
20:03:47.526649,685,8,749,5,0,2,8,808
20:03:47.560418,688,8,28730,5,0,2,8,736
20:03:47.639761,695,8,749,5,0,2,8,808
20:03:47.673754,698,8,28730,5,0,2,8,808
20:03:47.753628,705,8,749,5,0,2,8,808
20:03:47.787576,708,8,28730,5,0,2,8,808
20:03:47.868059,715,8,749,5,0,2,8,808
20:03:47.902424,718,8,28730,5,0,2,8,808
20:03:47.981544,725,8,749,5,0,2,8,808
20:03:48.015509,728,8,28730,5,0,2,8,736
20:03:48.096438,735,8,749,5,0,2,8,808
20:03:48.130755,738,8,28730,5,0,2,8,808
20:03:48.211589,745,8,749,5,0,2,8,808
20:03:48.245859,748,8,28730,5,0,2,8,808
20:03:48.326333,755,8,749,5,0,2,8,808
20:03:48.360760,758,8,28730,5,0,2,8,808
20:03:48.441097,765,8,749,5,0,2,8,808
20:03:48.475139,768,8,28730,5,0,2,8,736
20:03:48.486306,769,7,28730,106,0,2,8,3752
20:03:48.486742,769,8,28730,106,0,2,8,17424
20:03:48.487375,769,9,28730,106,0,2,8,17424
20:03:48.491905,769,17,28730,106,0,2,8,3752
20:03:48.492466,769,18,28730,106,0,2,8,17424
20:03:48.493082,769,19,28730,94,12,2,8,15112
20:03:48.497832,770,7,28730,106,0,2,8,3752
20:03:48.498446,770,8,28730,106,0,2,8,17424
20:03:48.498947,770,9,28730,106,0,2,8,17424
20:03:48.503634,770,17,28730,106,0,2,8,3752
20:03:48.504199,770,18,28730,106,0,2,8,17424
20:03:48.504839,770,19,28730,106,0,2,8,17424
20:03:48.509144,771,7,28730,106,0,2,8,3752
20:03:48.509684,771,8,28730,106,0,2,8,17424
20:03:48.510375,771,9,28730,106,0,2,8,17424
20:03:48.515222,771,17,28730,106,0,2,8,3752
20:03:48.515305,771,18,28730,106,0,2,8,17424
20:03:48.516247,771,19,28730,94,12,2,8,15112
20:03:48.520892,772,7,28730,106,0,2,8,3752
20:03:48.520995,772,8,28730,106,0,2,8,17424
20:03:48.521925,772,9,28730,106,0,2,8,17424
20:03:48.526414,772,17,28730,106,0,2,8,3752
20:03:48.526834,772,18,28730,106,0,2,8,17424
20:03:48.527405,772,19,28730,106,0,2,8,17424
20:03:48.532074,773,7,28730,106,0,2,8,3752
20:03:48.532618,773,8,28730,106,0,2,8,17424
20:03:48.533191,773,9,28730,106,0,2,8,17424
20:03:48.537781,773,17,28730,106,0,2,8,3752
20:03:48.538337,773,18,28730,106,0,2,8,17424
20:03:48.538912,773,19,28730,94,12,2,8,15112
20:03:48.543682,774,7,28730,106,0,2,8,3752
20:03:48.544295,774,8,28730,106,0,2,8,17424
20:03:48.544991,774,9,28730,106,0,2,8,17424
20:03:48.549447,774,17,28730,106,0,2,8,3752
20:03:48.550046,774,18,28730,106,0,2,8,17424
20:03:48.550583,774,19,28730,106,0,2,8,17424
20:03:48.555423,775,7,28730,106,0,2,8,3752
20:03:48.555983,775,8,28730,101,5,2,8,16392
20:03:48.556207,775,8,749,5,0,2,8,808
20:03:48.556560,775,9,28730,106,0,2,8,17424
20:03:48.561437,775,17,28730,106,0,2,8,3752
20:03:48.561919,775,18,28730,106,0,2,8,17424
20:03:48.562474,775,19,28730,94,12,2,8,15112
20:03:48.567319,776,7,28730,106,0,2,8,3752
20:03:48.567896,776,8,28730,106,0,2,8,15624
20:03:48.568332,776,9,28730,106,0,2,8,15624
20:03:48.573021,776,17,28730,106,0,2,8,3752
20:03:48.573586,776,18,28730,106,0,2,8,17424
20:03:48.574133,776,19,28730,106,0,2,8,17424
20:03:48.578772,777,7,28730,106,0,2,8,3752
20:03:48.579318,777,8,28730,106,0,2,8,17424
20:03:48.580015,777,9,28730,106,0,2,8,17424
20:03:48.584453,777,17,28730,106,0,2,8,3752
20:03:48.585010,777,18,28730,106,0,2,8,17424
20:03:48.585588,777,19,28730,94,12,2,8,15112
20:03:48.590273,778,7,28730,106,0,2,8,3752
20:03:48.590825,778,8,28730,106,0,2,8,17424
20:03:48.591382,778,9,28730,106,0,2,8,17424
20:03:48.599548,778,17,28730,106,0,2,8,3752
20:03:48.599567,778,18,28730,106,0,2,8,17424
20:03:48.600707,778,19,28730,106,0,2,8,17424
20:03:48.603497,779,7,28730,106,0,2,8,3752
20:03:48.603957,779,8,28730,106,0,2,8,17424
20:03:48.604540,779,9,28730,106,0,2,8,17424
20:03:48.609210,779,17,28730,106,0,2,8,3752
20:03:48.609770,779,18,28730,106,0,2,8,17424
20:03:48.610536,779,19,28730,94,12,2,8,15112
20:03:48.615172,780,7,28730,106,0,2,8,3752
20:03:48.616000,780,8,28730,106,0,2,8,17424
20:03:48.616351,780,9,28730,106,0,2,8,17424
20:03:48.621183,780,17,28730,106,0,2,8,3752
20:03:48.621539,780,18,28730,106,0,2,8,17424
20:03:48.625180,780,19,28730,106,0,2,8,17424
20:03:48.628096,781,7,28730,106,0,2,8,3752
20:03:48.628567,781,8,28730,106,0,2,8,17424
20:03:48.629154,781,9,28730,106,0,2,8,17424
20:03:48.634309,781,17,28730,106,0,2,8,3752
20:03:48.634345,781,18,28730,106,0,2,8,17424
20:03:48.635586,781,19,28730,94,12,2,8,15112
20:03:48.639551,782,7,28730,106,0,2,8,3752
20:03:48.640098,782,8,28730,106,0,2,8,17424
20:03:48.640678,782,9,28730,106,0,2,8,17424
20:03:48.645426,782,17,28730,106,0,2,8,3752
20:03:48.646054,782,18,28730,106,0,2,8,17424
20:03:48.646523,782,19,28730,106,0,2,8,17424
20:03:48.651214,783,7,28730,106,0,2,8,3752
20:03:48.651766,783,8,28730,106,0,2,8,17424
20:03:48.652317,783,9,28730,106,0,2,8,17424
20:03:48.657102,783,17,28730,106,0,2,8,3752
20:03:48.657495,783,18,28730,106,0,2,8,17424
20:03:48.658279,783,19,28730,94,12,2,8,15112
20:03:48.662644,784,7,28730,106,0,2,8,3752
20:03:48.663182,784,8,28730,106,0,2,8,15624
20:03:48.663727,784,9,28730,106,0,2,8,15624
20:03:48.668724,784,17,28730,106,0,2,8,3752
20:03:48.668981,784,18,28730,106,0,2,8,17424
20:03:48.669863,784,19,28730,106,0,2,8,17424
20:03:48.674219,785,7,28730,106,0,2,8,3752
20:03:48.674648,785,8,28730,101,5,2,8,16392
20:03:48.674874,785,8,749,5,0,2,8,808
20:03:48.675303,785,9,28730,106,0,2,8,17424
20:03:48.680109,785,17,28730,106,0,2,8,3752
20:03:48.680323,785,18,28730,106,0,2,8,17424
20:03:48.680944,785,19,28730,94,12,2,8,15112
20:03:48.685513,786,7,28730,106,0,2,8,3752
20:03:48.686061,786,8,28730,106,0,2,8,17424
20:03:48.686653,786,9,28730,106,0,2,8,17424
20:03:48.691189,786,17,28730,106,0,2,8,3752
20:03:48.691768,786,18,28730,106,0,2,8,17424
20:03:48.692324,786,19,28730,106,0,2,8,17424
20:03:48.697098,787,7,28730,106,0,2,8,3752
20:03:48.697497,787,8,28730,106,0,2,8,17424
20:03:48.698140,787,9,28730,106,0,2,8,17424
20:03:48.702659,787,17,28730,106,0,2,8,3752
20:03:48.703107,787,18,28730,106,0,2,8,17424
20:03:48.703658,787,19,28730,94,12,2,8,15112
20:03:48.708408,788,7,28730,106,0,2,8,3752
20:03:48.708837,788,8,28730,106,0,2,8,17424
20:03:48.709402,788,9,28730,106,0,2,8,17424
20:03:48.713970,788,17,28730,106,0,2,8,3752
20:03:48.714515,788,18,28730,106,0,2,8,17424
20:03:48.715069,788,19,28730,106,0,2,8,17424
20:03:48.719617,789,7,28730,106,0,2,8,3752
20:03:48.720260,789,8,28730,106,0,2,8,17424
20:03:48.720728,789,9,28730,106,0,2,8,17424
20:03:48.725414,789,17,28730,106,0,2,8,3752
20:03:48.726002,789,18,28730,106,0,2,8,17424
20:03:48.726571,789,19,28730,94,12,2,8,15112
20:03:48.731191,790,7,28730,106,0,2,8,3752
20:03:48.731750,790,8,28730,106,0,2,8,17424
20:03:48.732305,790,9,28730,106,0,2,8,17424
20:03:48.737001,790,17,28730,106,0,2,8,3752
20:03:48.737580,790,18,28730,106,0,2,8,17424
20:03:48.738140,790,19,28730,106,0,2,8,17424
20:03:48.742839,791,7,28730,106,0,2,8,3752
20:03:48.743434,791,8,28730,106,0,2,8,17424
20:03:48.744259,791,9,28730,106,0,2,8,17424
20:03:48.748583,791,17,28730,106,0,2,8,3752
20:03:48.749087,791,18,28730,106,0,2,8,17424
20:03:48.749782,791,19,28730,94,12,2,8,15112
20:03:48.754307,792,7,28730,106,0,2,8,3752
20:03:48.754730,792,8,28730,106,0,2,8,15624
20:03:48.755479,792,9,28730,106,0,2,8,15624
20:03:48.760246,792,17,28730,106,0,2,8,3752
20:03:48.760411,792,18,28730,106,0,2,8,17424
20:03:48.761184,792,19,28730,106,0,2,8,17424
20:03:48.765592,793,7,28730,106,0,2,8,3752
20:03:48.766136,793,8,28730,106,0,2,8,17424
20:03:48.766702,793,9,28730,106,0,2,8,17424
20:03:48.771517,793,17,28730,106,0,2,8,3752
20:03:48.771906,793,18,28730,106,0,2,8,17424
20:03:48.772455,793,19,28730,94,12,2,8,15112
20:03:48.777044,794,7,28730,106,0,2,8,3752
20:03:48.777598,794,8,28730,106,0,2,8,17424
20:03:48.778202,794,9,28730,106,0,2,8,17424
20:03:48.782736,794,17,28730,106,0,2,8,3752
20:03:48.783282,794,18,28730,106,0,2,8,17424
20:03:48.783838,794,19,28730,106,0,2,8,17424
20:03:48.788400,795,7,28730,106,0,2,8,3752
20:03:48.788949,795,8,28730,101,5,2,8,16392
20:03:48.789534,795,9,28730,106,0,2,8,17424
20:03:48.789540,795,8,749,5,0,2,8,808
20:03:48.794123,795,17,28730,106,0,2,8,3752
20:03:48.794685,795,18,28730,106,0,2,8,17424
20:03:48.795204,795,19,28730,94,12,2,8,15112
20:03:48.800123,796,7,749,106,0,2,8,3752
20:03:48.800622,796,8,749,106,0,2,8,17424
20:03:48.801166,796,9,749,106,0,2,8,17424
20:03:48.805692,796,17,749,106,0,2,8,3752
20:03:48.806224,796,18,749,106,0,2,8,17424
20:03:48.807012,796,19,749,106,0,2,8,17424
20:03:48.811431,797,7,749,106,0,2,8,3752
20:03:48.812046,797,8,749,106,0,2,8,17424
20:03:48.812441,797,9,749,106,0,2,8,17424
20:03:48.817056,797,17,749,106,0,2,8,3752
20:03:48.817673,797,18,749,106,0,2,8,17424
20:03:48.818236,797,19,749,94,12,2,8,15112
20:03:48.822913,798,7,749,106,0,2,8,3752
20:03:48.823457,798,8,749,106,0,2,8,17424
20:03:48.824144,798,9,749,106,0,2,8,17424
20:03:48.828735,798,17,749,106,0,2,8,3752
20:03:48.829294,798,18,749,106,0,2,8,17424
20:03:48.830091,798,19,749,106,0,2,8,17424
20:03:48.834554,799,7,749,106,0,2,8,3752
20:03:48.835161,799,8,749,106,0,2,8,17424
20:03:48.835675,799,9,749,106,0,2,8,17424
20:03:48.840276,799,17,749,106,0,2,8,3752
20:03:48.840840,799,18,749,106,0,2,8,17424
20:03:48.841403,799,19,749,94,12,2,8,15112
20:03:48.846146,800,7,749,106,0,2,8,3752
20:03:48.847056,800,8,749,106,0,2,8,15624
20:03:48.847311,800,9,749,106,0,2,8,15624
20:03:48.851747,800,17,749,106,0,2,8,3752
20:03:48.852446,800,18,749,106,0,2,8,17424
20:03:48.852835,800,19,749,106,0,2,8,17424
20:03:48.857450,801,7,749,106,0,2,8,3752
20:03:48.857998,801,8,749,106,0,2,8,17424
20:03:48.858522,801,9,749,106,0,2,8,17424
20:03:48.863212,801,17,749,106,0,2,8,3752
