time,rnti,frame,slot,mcs,tbs
19:59:14.315808,28730,834,0,0,21
19:59:14.336713,749,836,0,0,21
19:59:15.413222,28730,934,0,0,21
19:59:15.434219,749,936,0,0,19
19:59:16.521240,28730,10,0,0,21
19:59:16.542130,749,12,0,0,21
19:59:17.681769,28730,110,0,0,21
19:59:17.702867,749,112,0,0,19
19:59:18.793870,28730,210,0,0,21
19:59:18.814863,749,212,0,0,21
19:59:19.909673,28730,310,0,0,21
19:59:19.931076,749,312,0,0,19
19:59:20.993539,28730,410,0,0,21
19:59:21.014380,749,412,0,0,21
19:59:22.062736,28730,510,0,0,21
19:59:22.083630,749,512,0,0,19
19:59:23.174891,28730,610,0,0,21
19:59:23.195547,749,612,0,0,21
19:59:24.111887,749,689,16,0,21
19:59:24.164423,749,694,16,0,21
19:59:24.221637,749,700,5,0,21
19:59:24.275876,749,705,6,0,21
19:59:24.325477,28730,710,0,0,21
19:59:24.332666,749,710,14,0,21
19:59:24.346345,749,712,0,0,19
19:59:24.359615,749,713,4,0,21
19:59:24.413260,749,718,5,0,21
19:59:24.438819,749,720,14,0,21
19:59:24.492479,749,725,15,0,21
19:59:24.530017,749,729,5,0,21
19:59:24.914773,28730,759,15,0,21
19:59:24.967807,28730,764,16,0,21
19:59:25.026334,28730,770,5,0,21
19:59:25.080073,28730,775,6,0,21
19:59:25.136794,28730,780,14,0,21
19:59:25.163065,28730,783,4,0,21
19:59:25.215803,28730,788,5,0,21
19:59:25.268233,28730,793,6,0,21
19:59:25.293594,28730,795,14,0,21
19:59:25.319538,28730,798,4,0,21
19:59:25.336395,28730,799,16,0,21
19:59:25.442943,28730,810,0,0,21
19:59:25.463640,749,812,0,0,21
19:59:25.917330,749,845,15,0,21
19:59:25.971207,749,850,16,0,21
19:59:26.029866,749,856,5,0,21
19:59:26.083006,749,861,6,0,21
19:59:26.141501,749,866,15,0,21
19:59:26.195212,749,871,15,0,21
19:59:26.221271,749,874,4,0,21
19:59:26.248158,749,876,14,0,21
19:59:26.274897,749,879,4,0,21
19:59:26.301588,749,881,14,0,21
19:59:26.328996,749,884,4,0,21
19:59:26.346703,749,885,17,0,15
19:59:26.634440,28730,910,0,0,21
19:59:26.655911,749,912,0,0,19
19:59:26.743729,28730,915,15,0,21
19:59:26.798888,28730,920,17,0,15
19:59:26.856652,28730,926,5,0,21
19:59:26.911013,28730,931,6,0,21
19:59:26.969064,28730,936,14,0,21
19:59:26.995924,28730,939,4,0,21
19:59:27.022542,28730,941,14,0,21
19:59:27.049719,28730,944,5,0,21
19:59:27.102884,28730,949,5,0,21
19:59:27.129614,28730,951,14,0,21
19:59:27.156816,28730,954,4,0,21
19:59:27.173845,28730,955,16,0,21
19:59:27.774498,28730,1010,0,0,21
19:59:27.796076,749,1012,0,0,21
19:59:28.115832,749,17,15,0,21
19:59:28.169435,749,22,16,0,21
19:59:28.226779,749,28,5,0,21
19:59:28.279875,749,33,6,0,21
19:59:28.336162,749,38,14,0,21
19:59:28.362687,749,41,4,0,21
19:59:28.416875,749,46,6,0,21
19:59:28.473882,749,51,15,0,21
19:59:28.526701,749,56,17,0,15
19:59:28.544013,749,58,10,0,21
19:59:28.828177,28730,86,0,0,21
19:59:28.848848,749,88,0,0,19
19:59:29.056125,28730,107,15,0,21
19:59:29.108064,28730,112,16,0,21
19:59:29.164477,28730,118,5,0,21
19:59:29.217089,28730,123,6,0,21
19:59:29.273116,28730,128,14,0,21
19:59:29.299045,28730,131,4,0,21
19:59:29.325105,28730,133,14,0,21
19:59:29.350950,28730,136,4,0,21
19:59:29.381121,28730,138,14,0,21
19:59:29.407016,28730,141,4,0,21
19:59:29.432921,28730,143,14,0,21
19:59:29.459153,28730,146,4,0,21
19:59:29.476310,28730,147,17,0,15
19:59:29.914508,28730,186,0,0,21
19:59:29.935749,749,188,0,0,21
19:59:30.621182,749,253,15,0,21
19:59:30.674405,749,258,16,0,21
19:59:30.731744,749,264,5,0,21
19:59:30.818188,749,269,6,0,21
19:59:30.875465,749,274,16,0,21
19:59:30.928338,749,279,16,0,21
19:59:30.953809,749,282,4,0,21
19:59:30.980277,749,284,14,0,21
19:59:30.993995,28730,286,0,0,21
19:59:31.006617,749,287,4,0,21
19:59:31.015032,749,288,0,0,19
19:59:31.033039,749,289,14,0,21
19:59:31.059667,749,292,4,0,21
19:59:31.076618,749,293,16,0,21
19:59:31.502073,28730,333,15,0,21
19:59:31.555407,28730,338,16,0,21
19:59:31.612382,28730,344,5,0,21
19:59:31.665106,28730,349,6,0,21
19:59:31.722446,28730,354,15,0,21
19:59:31.774663,28730,359,15,0,21
19:59:31.849623,28730,362,5,0,21
19:59:31.875015,28730,364,14,0,21
19:59:31.900974,28730,367,4,0,21
19:59:31.927100,28730,369,14,0,21
19:59:31.953358,28730,372,4,0,21
19:59:31.970803,28730,373,17,0,15
19:59:32.098937,28730,386,0,0,21
19:59:32.120012,749,388,0,0,21
19:59:33.196468,28730,486,0,0,21
19:59:33.217386,749,488,0,0,19
19:59:34.282932,28730,586,0,0,21
19:59:34.305476,749,588,0,0,21
19:59:35.432829,28730,686,0,0,21
19:59:35.455488,749,688,0,0,19
19:59:36.578459,28730,786,0,0,21
19:59:36.600702,749,788,0,0,21
19:59:37.766567,28730,886,0,0,21
19:59:37.789225,749,888,0,0,19
19:59:38.900696,28730,986,0,0,21
19:59:38.923081,749,988,0,0,21
19:59:40.099151,28730,62,0,0,21
19:59:40.122206,749,64,0,0,19
19:59:41.255638,28730,162,0,0,21
19:59:41.278018,749,164,0,0,21
