time,rnti,ue_id,frame,slot,lcid,lcgid,bytes_in_buffer,bj,pbr,priority
20:00:16.715770,28730,1,165,9,1,0,0,2147483647,-1,1
20:00:16.715771,28730,1,165,9,2,0,0,2147483647,-1,3
20:00:16.715771,28730,1,165,9,4,1,3,695235,8000,13
20:00:16.716189,749,0,165,9,1,0,0,2147483647,-1,1
20:00:16.716189,749,0,165,9,2,0,0,2147483647,-1,3
20:00:16.716190,749,0,165,9,4,1,0,800000,8000,13
20:00:16.720022,28730,1,165,17,1,0,0,2147483647,-1,1
20:00:16.720022,28730,1,165,17,2,0,0,2147483647,-1,3
20:00:16.720023,28730,1,165,17,4,1,3,695239,8000,13
20:00:16.720549,28730,1,165,18,1,0,0,2147483647,-1,1
20:00:16.720550,28730,1,165,18,2,0,0,2147483647,-1,3
20:00:16.720550,28730,1,165,18,4,1,3,695271,8000,13
20:00:16.720751,749,0,165,17,1,0,0,2147483647,-1,1
20:00:16.720751,749,0,165,17,2,0,0,2147483647,-1,3
20:00:16.720751,749,0,165,17,4,1,0,800000,8000,13
20:00:16.720976,749,0,165,18,1,0,0,2147483647,-1,1
20:00:16.720976,749,0,165,18,2,0,0,2147483647,-1,3
20:00:16.720976,749,0,165,18,4,1,0,800000,8000,13
20:00:16.721079,28730,1,165,19,1,0,0,2147483647,-1,1
20:00:16.721079,28730,1,165,19,2,0,0,2147483647,-1,3
20:00:16.721079,28730,1,165,19,4,1,3,695275,8000,13
20:00:16.721775,749,0,165,19,1,0,0,2147483647,-1,1
20:00:16.721775,749,0,165,19,2,0,0,2147483647,-1,3
20:00:16.721775,749,0,165,19,4,1,0,800000,8000,13
20:00:16.725505,28730,1,166,7,1,0,0,2147483647,-1,1
20:00:16.725505,28730,1,166,7,2,0,0,2147483647,-1,3
20:00:16.725506,28730,1,166,7,4,1,3,695279,8000,13
20:00:16.726064,28730,1,166,8,1,0,0,2147483647,-1,1
20:00:16.726064,28730,1,166,8,2,0,0,2147483647,-1,3
20:00:16.726064,28730,1,166,8,4,1,3,695311,8000,13
20:00:16.726087,749,0,166,7,1,0,0,2147483647,-1,1
20:00:16.726087,749,0,166,7,2,0,0,2147483647,-1,3
20:00:16.726087,749,0,166,7,4,1,0,800000,8000,13
20:00:16.726408,749,0,166,8,1,0,0,2147483647,-1,1
20:00:16.726408,749,0,166,8,2,0,0,2147483647,-1,3
20:00:16.726409,749,0,166,8,4,1,0,800000,8000,13
20:00:16.726555,28730,1,166,9,1,0,0,2147483647,-1,1
20:00:16.726555,28730,1,166,9,2,0,0,2147483647,-1,3
20:00:16.726555,28730,1,166,9,4,1,3,695315,8000,13
20:00:16.726758,749,0,166,9,1,0,0,2147483647,-1,1
20:00:16.726759,749,0,166,9,2,0,0,2147483647,-1,3
20:00:16.726759,749,0,166,9,4,1,0,800000,8000,13
20:00:16.730747,28730,1,166,17,1,0,0,2147483647,-1,1
20:00:16.730747,28730,1,166,17,2,0,0,2147483647,-1,3
20:00:16.730748,28730,1,166,17,4,1,3,695319,8000,13
20:00:16.731152,749,0,166,17,1,0,0,2147483647,-1,1
20:00:16.731153,749,0,166,17,2,0,0,2147483647,-1,3
20:00:16.731153,749,0,166,17,4,1,0,800000,8000,13
20:00:16.731333,28730,1,166,18,1,0,0,2147483647,-1,1
20:00:16.731333,28730,1,166,18,2,0,0,2147483647,-1,3
20:00:16.731333,28730,1,166,18,4,1,3,695351,8000,13
20:00:16.731537,749,0,166,18,1,0,0,2147483647,-1,1
20:00:16.731537,749,0,166,18,2,0,0,2147483647,-1,3
20:00:16.731537,749,0,166,18,4,1,0,800000,8000,13
20:00:16.731766,28730,1,166,19,1,0,0,2147483647,-1,1
20:00:16.731766,28730,1,166,19,2,0,0,2147483647,-1,3
20:00:16.731766,28730,1,166,19,4,1,3,695355,8000,13
20:00:16.732136,749,0,166,19,1,0,0,2147483647,-1,1
20:00:16.732136,749,0,166,19,2,0,0,2147483647,-1,3
20:00:16.732137,749,0,166,19,4,1,0,800000,8000,13
20:00:16.735997,28730,1,167,7,1,0,0,2147483647,-1,1
20:00:16.735997,28730,1,167,7,2,0,0,2147483647,-1,3
20:00:16.735998,28730,1,167,7,4,1,3,695359,8000,13
20:00:16.736469,749,0,167,7,1,0,0,2147483647,-1,1
20:00:16.736470,749,0,167,7,2,0,0,2147483647,-1,3
20:00:16.736470,749,0,167,7,4,1,0,800000,8000,13
20:00:16.736507,28730,1,167,8,1,0,0,2147483647,-1,1
20:00:16.736507,28730,1,167,8,2,0,0,2147483647,-1,3
20:00:16.736507,28730,1,167,8,4,1,3,695391,8000,13
20:00:16.736768,749,0,167,8,1,0,0,2147483647,-1,1
20:00:16.736769,749,0,167,8,2,0,0,2147483647,-1,3
20:00:16.736769,749,0,167,8,4,1,0,800000,8000,13
20:00:16.737007,28730,1,167,9,1,0,0,2147483647,-1,1
20:00:16.737007,28730,1,167,9,2,0,0,2147483647,-1,3
20:00:16.737007,28730,1,167,9,4,1,3,695395,8000,13
20:00:16.737274,749,0,167,9,1,0,0,2147483647,-1,1
20:00:16.737274,749,0,167,9,2,0,0,2147483647,-1,3
20:00:16.737274,749,0,167,9,4,1,0,800000,8000,13
20:00:16.741275,28730,1,167,17,1,0,0,2147483647,-1,1
20:00:16.741275,28730,1,167,17,2,0,0,2147483647,-1,3
20:00:16.741275,28730,1,167,17,4,1,3,695399,8000,13
20:00:16.741677,28730,1,167,18,1,0,0,2147483647,-1,1
20:00:16.741678,28730,1,167,18,2,0,0,2147483647,-1,3
20:00:16.741678,28730,1,167,18,4,1,3,695431,8000,13
20:00:16.741718,749,0,167,17,1,0,0,2147483647,-1,1
20:00:16.741718,749,0,167,17,2,0,0,2147483647,-1,3
20:00:16.741718,749,0,167,17,4,1,0,800000,8000,13
20:00:16.741946,749,0,167,18,1,0,0,2147483647,-1,1
20:00:16.741946,749,0,167,18,2,0,0,2147483647,-1,3
20:00:16.741946,749,0,167,18,4,1,0,800000,8000,13
20:00:16.742494,28730,1,167,19,1,0,0,2147483647,-1,1
20:00:16.742495,28730,1,167,19,2,0,0,2147483647,-1,3
20:00:16.742495,28730,1,167,19,4,1,3,695435,8000,13
20:00:16.742700,749,0,167,19,1,0,0,2147483647,-1,1
20:00:16.742700,749,0,167,19,2,0,0,2147483647,-1,3
20:00:16.742701,749,0,167,19,4,1,0,800000,8000,13
20:00:16.746554,28730,1,168,7,1,0,0,2147483647,-1,1
20:00:16.746554,28730,1,168,7,2,0,0,2147483647,-1,3
20:00:16.746555,28730,1,168,7,4,1,3,695439,8000,13
20:00:16.746646,749,0,168,7,1,0,0,2147483647,-1,1
20:00:16.746646,749,0,168,7,2,0,0,2147483647,-1,3
20:00:16.746646,749,0,168,7,4,1,0,800000,8000,13
20:00:16.747055,28730,1,168,8,1,0,0,2147483647,-1,1
20:00:16.747056,28730,1,168,8,2,0,0,2147483647,-1,3
20:00:16.747056,28730,1,168,8,4,1,3,695471,8000,13
20:00:16.747328,749,0,168,8,1,0,0,2147483647,-1,1
20:00:16.747328,749,0,168,8,2,0,0,2147483647,-1,3
20:00:16.747329,749,0,168,8,4,1,0,800000,8000,13
20:00:16.747434,28730,1,168,9,1,0,0,2147483647,-1,1
20:00:16.747434,28730,1,168,9,2,0,0,2147483647,-1,3
20:00:16.747434,28730,1,168,9,4,1,3,695475,8000,13
20:00:16.747696,749,0,168,9,1,0,0,2147483647,-1,1
20:00:16.747696,749,0,168,9,2,0,0,2147483647,-1,3
20:00:16.747697,749,0,168,9,4,1,0,800000,8000,13
20:00:16.751840,28730,1,168,17,1,0,0,2147483647,-1,1
20:00:16.751841,28730,1,168,17,2,0,0,2147483647,-1,3
20:00:16.751841,28730,1,168,17,4,1,3,695479,8000,13
20:00:16.752214,749,0,168,17,1,0,0,2147483647,-1,1
20:00:16.752215,749,0,168,17,2,0,0,2147483647,-1,3
20:00:16.752215,749,0,168,17,4,1,0,800000,8000,13
20:00:16.752297,28730,1,168,18,1,0,0,2147483647,-1,1
20:00:16.752298,28730,1,168,18,2,0,0,2147483647,-1,3
20:00:16.752298,28730,1,168,18,4,1,3,695511,8000,13
20:00:16.752581,749,0,168,18,1,0,0,2147483647,-1,1
20:00:16.752582,749,0,168,18,2,0,0,2147483647,-1,3
20:00:16.752582,749,0,168,18,4,1,0,800000,8000,13
20:00:16.752829,28730,1,168,19,1,0,0,2147483647,-1,1
20:00:16.752829,28730,1,168,19,2,0,0,2147483647,-1,3
20:00:16.752829,28730,1,168,19,4,1,3,695515,8000,13
20:00:16.753097,749,0,168,19,1,0,0,2147483647,-1,1
20:00:16.753097,749,0,168,19,2,0,0,2147483647,-1,3
20:00:16.753097,749,0,168,19,4,1,0,800000,8000,13
20:00:16.757101,28730,1,169,7,1,0,0,2147483647,-1,1
20:00:16.757101,28730,1,169,7,2,0,0,2147483647,-1,3
20:00:16.757101,28730,1,169,7,4,1,3,695519,8000,13
20:00:16.757315,749,0,169,7,1,0,0,2147483647,-1,1
20:00:16.757315,749,0,169,7,2,0,0,2147483647,-1,3
20:00:16.757315,749,0,169,7,4,1,0,800000,8000,13
20:00:16.757522,28730,1,169,8,1,0,0,2147483647,-1,1
20:00:16.757523,28730,1,169,8,2,0,0,2147483647,-1,3
20:00:16.757523,28730,1,169,8,4,1,3,695551,8000,13
20:00:16.757785,749,0,169,8,1,0,0,2147483647,-1,1
20:00:16.757785,749,0,169,8,2,0,0,2147483647,-1,3
20:00:16.757785,749,0,169,8,4,1,0,800000,8000,13
20:00:16.758090,28730,1,169,9,1,0,0,2147483647,-1,1
20:00:16.758091,28730,1,169,9,2,0,0,2147483647,-1,3
20:00:16.758092,28730,1,169,9,4,1,3,695555,8000,13
20:00:16.758297,749,0,169,9,1,0,0,2147483647,-1,1
20:00:16.758297,749,0,169,9,2,0,0,2147483647,-1,3
20:00:16.758297,749,0,169,9,4,1,0,800000,8000,13
20:00:16.762431,28730,1,169,17,1,0,0,2147483647,-1,1
20:00:16.762432,28730,1,169,17,2,0,0,2147483647,-1,3
20:00:16.762432,28730,1,169,17,4,1,3,695559,8000,13
20:00:16.762824,749,0,169,17,1,0,0,2147483647,-1,1
20:00:16.762824,749,0,169,17,2,0,0,2147483647,-1,3
20:00:16.762824,749,0,169,17,4,1,0,800000,8000,13
20:00:16.762971,28730,1,169,18,1,0,0,2147483647,-1,1
20:00:16.762971,28730,1,169,18,2,0,0,2147483647,-1,3
20:00:16.762971,28730,1,169,18,4,1,3,695591,8000,13
20:00:16.763259,749,0,169,18,1,0,0,2147483647,-1,1
20:00:16.763259,749,0,169,18,2,0,0,2147483647,-1,3
20:00:16.763259,749,0,169,18,4,1,0,800000,8000,13
20:00:16.763494,28730,1,169,19,1,0,0,2147483647,-1,1
20:00:16.763495,28730,1,169,19,2,0,0,2147483647,-1,3
20:00:16.763495,28730,1,169,19,4,1,3,695595,8000,13
20:00:16.763890,749,0,169,19,1,0,0,2147483647,-1,1
20:00:16.763890,749,0,169,19,2,0,0,2147483647,-1,3
20:00:16.763891,749,0,169,19,4,1,0,800000,8000,13
20:00:16.767619,28730,1,170,7,1,0,0,2147483647,-1,1
20:00:16.767619,28730,1,170,7,2,0,0,2147483647,-1,3
20:00:16.767619,28730,1,170,7,4,1,3,695599,8000,13
20:00:16.767960,749,0,170,7,1,0,0,2147483647,-1,1
20:00:16.767960,749,0,170,7,2,0,0,2147483647,-1,3
20:00:16.767960,749,0,170,7,4,1,0,800000,8000,13
20:00:16.768057,28730,1,170,8,1,0,0,2147483647,-1,1
20:00:16.768057,28730,1,170,8,2,0,0,2147483647,-1,3
20:00:16.768058,28730,1,170,8,4,1,3,695631,8000,13
20:00:16.768281,749,0,170,8,1,0,0,2147483647,-1,1
