time,direction,rnti,frame,diff,old_mcs,new_mcs,max_mcs_input,max_mcs_applied,min_mcs,opt_max_mcs,num_sched,num_retx,bler_window_ppm,bler_before_ppm,bler_after_ppm,lower_ppm,upper_ppm,branch,updated
20:02:25.781753,0,28730,950,100,0,0,28,28,0,28,1,1,1000000,997301,997571,50000,150000,3,1
20:02:25.801803,0,749,952,100,0,0,28,28,0,28,1,1,1000000,954492,959043,50000,150000,3,1
20:02:26.826094,0,28730,26,100,0,0,28,28,0,28,1,1,1000000,997571,997814,50000,150000,3,1
20:02:26.846226,0,749,28,100,0,0,28,28,0,28,1,1,1000000,959043,963139,50000,150000,3,1
20:02:27.872016,0,28730,126,100,0,0,28,28,0,28,1,1,1000000,997814,998033,50000,150000,3,1
20:02:27.892088,0,749,128,100,0,0,28,28,0,28,1,1,1000000,963139,966825,50000,150000,3,1
20:02:28.971055,0,28730,226,100,0,0,28,28,0,28,1,1,1000000,998033,998229,50000,150000,3,1
20:02:28.991194,0,749,228,100,0,0,28,28,0,28,1,1,1000000,966825,970142,50000,150000,3,1
20:02:30.076048,0,28730,326,100,0,0,28,28,0,28,1,1,1000000,998229,998406,50000,150000,3,1
20:02:30.096265,0,749,328,100,0,0,28,28,0,28,1,1,1000000,970142,973128,50000,150000,3,1
20:02:31.240345,0,28730,426,100,0,0,28,28,0,28,1,1,1000000,998406,998566,50000,150000,3,1
20:02:31.262909,0,749,428,100,0,0,28,28,0,28,1,1,1000000,973128,975815,50000,150000,3,1
20:02:32.401122,0,28730,526,100,0,0,28,28,0,28,1,0,0,998566,898709,50000,150000,3,1
20:02:32.423733,0,749,528,100,0,0,28,28,0,28,1,1,1000000,975815,978234,50000,150000,3,1
20:02:33.617959,0,28730,626,100,0,0,28,28,0,28,1,1,1000000,898709,908838,50000,150000,3,1
20:02:33.641127,0,749,628,100,0,0,28,28,0,28,1,1,1000000,978234,980410,50000,150000,3,1
20:02:34.858328,0,28730,726,100,0,0,28,28,0,28,1,1,1000000,908838,917954,50000,150000,3,1
20:02:34.881019,0,749,728,100,0,0,28,28,0,28,1,1,1000000,980410,982369,50000,150000,3,1
20:02:35.563507,0,28730,783,57,0,0,28,28,0,28,1,1,1000000,917954,926159,50000,150000,3,1
20:02:35.622219,0,28730,788,5,0,0,28,28,0,28,-1,-1,-1,926159,926159,50000,150000,0,0
20:02:35.685114,0,28730,794,11,0,0,28,28,0,28,2,2,1000000,926159,933543,50000,150000,3,1
20:02:35.743356,0,28730,799,5,0,0,28,28,0,28,-1,-1,-1,933543,933543,50000,150000,0,0
20:02:35.818710,0,749,805,77,0,0,28,28,0,28,1,1,1000000,982369,984132,50000,150000,3,1
20:02:35.888119,0,749,811,6,0,0,28,28,0,28,-1,-1,-1,984132,984132,50000,150000,0,0
20:02:35.916046,0,749,814,9,0,0,28,28,0,28,-1,-1,-1,984132,984132,50000,150000,0,0
20:02:35.957691,0,28730,817,23,0,0,28,28,0,28,2,2,1000000,933543,940188,50000,150000,3,1
20:02:36.030193,0,749,824,19,0,0,28,28,0,28,3,2,666666,984132,952386,50000,150000,3,1
20:02:36.049975,0,28730,826,9,0,0,28,28,0,28,-1,-1,-1,940188,940188,50000,150000,0,0
20:02:36.058538,0,749,826,2,0,0,28,28,0,28,-1,-1,-1,952386,952386,50000,150000,0,0
20:02:36.072800,0,749,828,4,0,0,28,28,0,28,-1,-1,-1,952386,952386,50000,150000,0,0
20:02:36.076249,0,28730,828,11,0,0,28,28,0,28,2,2,1000000,940188,946170,50000,150000,3,1
20:02:36.177257,0,749,837,13,0,0,28,28,0,28,3,3,1000000,952386,957147,50000,150000,3,1
20:02:36.194701,0,28730,838,10,0,0,28,28,0,28,1,1,1000000,946170,951553,50000,150000,3,1
20:02:36.205518,0,749,839,2,0,0,28,28,0,28,-1,-1,-1,957147,957147,50000,150000,0,0
20:02:36.313423,0,28730,849,11,0,0,28,28,0,28,1,1,1000000,951553,956397,50000,150000,3,1
20:02:36.323763,0,749,850,13,0,0,28,28,0,28,2,2,1000000,957147,961432,50000,150000,3,1
20:02:36.433460,0,28730,859,10,0,0,28,28,0,28,1,1,1000000,956397,960758,50000,150000,3,1
20:02:36.439346,0,749,860,10,0,0,28,28,0,28,1,1,1000000,961432,965289,50000,150000,3,1
20:02:36.623143,0,28730,870,11,0,0,28,28,0,28,1,1,1000000,960758,964682,50000,150000,3,1
20:02:36.629371,0,749,870,10,0,0,28,28,0,28,1,1,1000000,965289,968760,50000,150000,3,1
20:02:36.744017,0,28730,880,10,0,0,28,28,0,28,1,1,1000000,964682,968214,50000,150000,3,1
20:02:36.749165,0,749,881,11,0,0,28,28,0,28,1,1,1000000,968760,971884,50000,150000,3,1
20:02:36.862360,0,28730,891,11,0,0,28,28,0,28,1,1,1000000,968214,971392,50000,150000,3,1
20:02:36.866856,0,749,891,10,0,0,28,28,0,28,1,1,1000000,971884,974696,50000,150000,3,1
20:02:36.895189,0,749,894,3,0,0,28,28,0,28,-1,-1,-1,974696,974696,50000,150000,0,0
20:02:36.924139,0,749,896,5,0,0,28,28,0,28,-1,-1,-1,974696,974696,50000,150000,0,0
20:02:36.982440,0,28730,901,10,0,0,28,28,0,28,1,1,1000000,971392,974253,50000,150000,3,1
20:02:37.041117,0,749,906,15,0,0,28,28,0,28,3,3,1000000,974696,977226,50000,150000,3,1
20:02:37.068632,0,749,909,3,0,0,28,28,0,28,-1,-1,-1,977226,977226,50000,150000,0,0
20:02:37.097582,0,749,911,5,0,0,28,28,0,28,-1,-1,-1,977226,977226,50000,150000,0,0
20:02:37.103267,0,28730,912,11,0,0,28,28,0,28,1,1,1000000,974253,976828,50000,150000,3,1
20:02:37.126496,0,749,914,8,0,0,28,28,0,28,-1,-1,-1,977226,977226,50000,150000,0,0
20:02:37.219002,0,28730,922,10,0,0,28,28,0,28,1,1,1000000,976828,979145,50000,150000,3,1
20:02:37.241964,0,749,924,18,0,0,28,28,0,28,4,4,1000000,977226,979503,50000,150000,2,1
20:02:37.247140,0,28730,924,2,0,0,28,28,0,28,-1,-1,-1,979145,979145,50000,150000,0,0
20:02:37.261905,0,28730,926,4,0,0,28,28,0,28,-1,-1,-1,979145,979145,50000,150000,0,0
20:02:37.275632,0,28730,927,5,0,0,28,28,0,28,-1,-1,-1,979145,979145,50000,150000,0,0
20:02:37.284852,0,749,928,4,0,0,28,28,0,28,-1,-1,-1,979503,979503,50000,150000,0,0
20:02:37.363154,0,749,934,10,0,0,28,28,0,28,2,2,1000000,979503,981553,50000,150000,3,1
20:02:37.391317,0,28730,937,15,0,0,28,28,0,28,4,4,1000000,979145,981230,50000,150000,2,1
20:02:37.419781,0,28730,939,2,0,0,28,28,0,28,-1,-1,-1,981230,981230,50000,150000,0,0
20:02:37.482973,0,749,945,11,0,0,28,28,0,28,1,1,1000000,981553,983398,50000,150000,3,1
20:02:37.630088,0,28730,949,12,0,0,28,28,0,28,2,2,1000000,981230,983107,50000,150000,3,1
20:02:37.657710,0,28730,952,3,0,0,28,28,0,28,-1,-1,-1,983107,983107,50000,150000,0,0
20:02:37.687081,0,28730,954,5,0,0,28,28,0,28,-1,-1,-1,983107,983107,50000,150000,0,0
20:02:37.698110,0,749,955,10,0,0,28,28,0,28,1,1,1000000,983398,985058,50000,150000,3,1
20:02:37.726955,0,749,958,3,0,0,28,28,0,28,-1,-1,-1,985058,985058,50000,150000,0,0
20:02:37.756772,0,749,960,5,0,0,28,28,0,28,-1,-1,-1,985058,985058,50000,150000,0,0
20:02:37.803168,0,28730,964,15,0,0,28,28,0,28,3,3,1000000,983107,984796,50000,150000,3,1
20:02:37.830955,0,28730,967,3,0,0,28,28,0,28,-1,-1,-1,984796,984796,50000,150000,0,0
20:02:37.859576,0,28730,969,5,0,0,28,28,0,28,-1,-1,-1,984796,984796,50000,150000,0,0
20:02:37.872195,0,749,970,15,0,0,28,28,0,28,3,3,1000000,985058,986552,50000,150000,3,1
20:02:37.888311,0,28730,972,8,0,0,28,28,0,28,-1,-1,-1,984796,984796,50000,150000,0,0
20:02:37.900325,0,749,973,3,0,0,28,28,0,28,-1,-1,-1,986552,986552,50000,150000,0,0
20:02:37.917357,0,28730,974,10,0,0,28,28,0,28,4,4,1000000,984796,986317,50000,150000,2,1
20:02:37.928264,0,749,975,5,0,0,28,28,0,28,-1,-1,-1,986552,986552,50000,150000,0,0
20:02:37.958289,0,749,978,8,0,0,28,28,0,28,-1,-1,-1,986552,986552,50000,150000,0,0
20:02:37.988346,0,749,980,10,0,0,28,28,0,28,4,4,1000000,986552,987897,50000,150000,2,1
20:02:38.034190,0,28730,984,10,0,0,28,28,0,28,1,1,1000000,986317,987685,50000,150000,3,1
20:02:38.062214,0,28730,987,3,0,0,28,28,0,28,-1,-1,-1,987685,987685,50000,150000,0,0
20:02:38.093397,0,28730,989,5,0,0,28,28,0,28,-1,-1,-1,987685,987685,50000,150000,0,0
20:02:38.106607,0,749,990,10,0,0,28,28,0,28,1,1,1000000,987897,989107,50000,150000,3,1
20:02:38.123780,0,28730,992,8,0,0,28,28,0,28,-1,-1,-1,987685,987685,50000,150000,0,0
20:02:38.154687,0,28730,994,10,0,0,28,28,0,28,4,4,1000000,987685,988916,50000,150000,2,1
20:02:38.230879,0,749,1001,11,0,0,28,28,0,28,1,1,1000000,989107,990196,50000,150000,3,1
20:02:38.271715,0,28730,1004,10,0,0,28,28,0,28,1,1,1000000,988916,990025,50000,150000,3,1
20:02:38.351454,0,749,1011,10,0,0,28,28,0,28,1,1,1000000,990196,991177,50000,150000,3,1
20:02:38.390462,0,28730,1015,11,0,0,28,28,0,28,1,1,1000000,990025,991022,50000,150000,3,1
20:02:38.470050,0,749,1022,11,0,0,28,28,0,28,1,1,1000000,991177,992059,50000,150000,3,1
20:02:38.511326,0,28730,1,10,0,0,28,28,0,28,1,1,1000000,991022,991920,50000,150000,3,1
20:02:38.513256,0,28730,2,1,0,0,28,28,0,28,-1,-1,-1,991920,991920,50000,150000,0,0
20:02:38.536451,0,749,4,6,0,0,28,28,0,28,-1,-1,-1,992059,992059,50000,150000,0,0
20:02:38.639396,0,749,8,10,0,0,28,28,0,28,2,2,1000000,992059,992853,50000,150000,3,1
20:02:38.679741,0,28730,12,11,0,0,28,28,0,28,2,2,1000000,991920,992728,50000,150000,3,1
20:02:38.760773,0,749,19,11,0,0,28,28,0,28,1,1,1000000,992853,993568,50000,150000,3,1
20:02:38.800569,0,28730,22,10,0,0,28,28,0,28,1,1,1000000,992728,993455,50000,150000,3,1
20:02:38.880043,0,749,29,10,0,0,28,28,0,28,1,1,1000000,993568,994211,50000,150000,3,1
20:02:38.914809,0,28730,32,10,0,0,28,28,0,28,1,1,1000000,993455,994110,50000,150000,3,1
20:02:38.942928,0,28730,35,3,0,0,28,28,0,28,-1,-1,-1,994110,994110,50000,150000,0,0
20:02:38.995382,0,749,39,10,0,0,28,28,0,28,1,1,1000000,994211,994790,50000,150000,3,1
20:02:39.022903,0,749,42,3,0,0,28,28,0,28,-1,-1,-1,994790,994790,50000,150000,0,0
20:02:39.052150,0,749,44,5,0,0,28,28,0,28,-1,-1,-1,994790,994790,50000,150000,0,0
20:02:39.058434,0,28730,45,13,0,0,28,28,0,28,2,2,1000000,994110,994699,50000,150000,3,1
20:02:39.086186,0,28730,47,2,0,0,28,28,0,28,-1,-1,-1,994699,994699,50000,150000,0,0
20:02:39.166489,0,749,54,15,0,0,28,28,0,28,3,2,666666,994790,961977,50000,150000,3,1
20:02:39.193858,0,749,57,3,0,0,28,28,0,28,-1,-1,-1,961977,961977,50000,150000,0,0
20:02:39.200688,0,28730,57,12,0,0,28,28,0,28,2,2,1000000,994699,995229,50000,150000,3,1
20:02:39.222441,0,749,59,5,0,0,28,28,0,28,-1,-1,-1,961977,961977,50000,150000,0,0
20:02:39.228086,0,28730,60,3,0,0,28,28,0,28,-1,-1,-1,995229,995229,50000,150000,0,0
20:02:39.250559,0,749,62,8,0,0,28,28,0,28,-1,-1,-1,961977,961977,50000,150000,0,0
20:02:39.341447,0,28730,70,13,0,0,28,28,0,28,2,2,1000000,995229,995706,50000,150000,3,1
20:02:39.369335,0,749,72,18,0,0,28,28,0,28,4,4,1000000,961977,965780,50000,150000,2,1
20:02:39.459310,0,28730,80,10,0,0,28,28,0,28,1,1,1000000,995706,996135,50000,150000,3,1
20:02:39.482024,0,749,82,10,0,0,28,28,0,28,1,1,1000000,965780,969202,50000,150000,3,1
20:02:39.509038,0,749,85,3,0,0,28,28,0,28,-1,-1,-1,969202,969202,50000,150000,0,0
20:02:39.536907,0,749,87,5,0,0,28,28,0,28,-1,-1,-1,969202,969202,50000,150000,0,0
20:02:39.631036,0,28730,91,11,0,0,28,28,0,28,1,1,1000000,996135,996522,50000,150000,3,1
20:02:39.758807,0,749,98,16,0,0,28,28,0,28,3,3,1000000,969202,972281,50000,150000,3,1
20:02:39.787669,0,749,100,2,0,0,28,28,0,28,-1,-1,-1,972281,972281,50000,150000,0,0
20:02:39.798324,0,28730,101,10,0,0,28,28,0,28,1,1,1000000,996522,996869,50000,150000,3,1
20:02:39.801753,0,28730,102,1,0,0,28,28,0,28,-1,-1,-1,996869,996869,50000,150000,0,0
20:02:39.824581,0,749,104,6,0,0,28,28,0,28,-1,-1,-1,972281,972281,50000,150000,0,0
20:02:39.826830,0,28730,104,3,0,0,28,28,0,28,-1,-1,-1,996869,996869,50000,150000,0,0
20:02:39.856290,0,28730,106,5,0,0,28,28,0,28,-1,-1,-1,996869,996869,50000,150000,0,0
20:02:39.902742,0,749,110,12,0,0,28,28,0,28,3,3,1000000,972281,975053,50000,150000,3,1
20:02:39.929825,0,749,113,3,0,0,28,28,0,28,-1,-1,-1,975053,975053,50000,150000,0,0
20:02:39.970901,0,28730,116,15,0,0,28,28,0,28,4,4,1000000,996869,997182,50000,150000,2,1
20:02:39.998014,0,28730,119,3,0,0,28,28,0,28,-1,-1,-1,997182,997182,50000,150000,0,0
20:02:40.026567,0,28730,121,5,0,0,28,28,0,28,-1,-1,-1,997182,997182,50000,150000,0,0
20:02:40.044394,0,749,123,13,0,0,28,28,0,28,2,2,1000000,975053,977548,50000,150000,3,1
20:02:40.055219,0,28730,124,8,0,0,28,28,0,28,-1,-1,-1,997182,997182,50000,150000,0,0
20:02:40.073292,0,749,125,2,0,0,28,28,0,28,-1,-1,-1,977548,977548,50000,150000,0,0
20:02:40.084782,0,28730,126,10,0,0,28,28,0,28,4,4,1000000,997182,997464,50000,150000,2,1
20:02:40.189113,0,749,135,12,0,0,28,28,0,28,2,2,1000000,977548,979793,50000,150000,3,1
20:02:40.200855,0,28730,136,10,0,0,28,28,0,28,1,1,1000000,997464,997718,50000,150000,3,1
20:02:40.217123,0,749,138,3,0,0,28,28,0,28,-1,-1,-1,979793,979793,50000,150000,0,0
20:02:40.228853,0,28730,139,3,0,0,28,28,0,28,-1,-1,-1,997718,997718,50000,150000,0,0
20:02:40.247097,0,749,140,5,0,0,28,28,0,28,-1,-1,-1,979793,979793,50000,150000,0,0
20:02:40.257965,0,28730,141,5,0,0,28,28,0,28,-1,-1,-1,997718,997718,50000,150000,0,0
20:02:40.286936,0,28730,144,8,0,0,28,28,0,28,-1,-1,-1,997718,997718,50000,150000,0,0
20:02:40.316120,0,28730,146,10,0,0,28,28,0,28,4,2,500000,997718,947946,50000,150000,2,1
20:02:40.362055,0,749,150,15,0,0,28,28,0,28,3,3,1000000,979793,981814,50000,150000,3,1
20:02:40.389899,0,749,153,3,0,0,28,28,0,28,-1,-1,-1,981814,981814,50000,150000,0,0
20:02:40.418384,0,749,155,5,0,0,28,28,0,28,-1,-1,-1,981814,981814,50000,150000,0,0
20:02:40.431044,0,28730,156,10,0,0,28,28,0,28,1,1,1000000,947946,953151,50000,150000,3,1
