time,rnti,frame,slot,snrx10,phr,tpc,tb_size,txpower_calc,rbSize,mcs,rssi
20:02:24.821069,28730,860,8,60,48,1,101,0,5,8,890
20:02:24.852226,749,863,8,60,48,2,101,0,5,8,890
20:02:24.925846,28730,870,8,60,48,1,101,0,5,8,890
20:02:24.956433,749,873,8,60,48,1,101,0,5,8,890
20:02:25.072150,28730,880,8,60,48,1,92,0,5,8,890
20:02:25.102865,749,883,8,60,48,1,101,0,5,8,890
20:02:25.175812,28730,890,8,60,48,2,101,0,5,8,890
20:02:25.206809,749,893,8,60,48,1,101,0,5,8,890
20:02:25.278269,28730,900,8,60,48,1,101,0,5,8,890
20:02:25.308875,749,903,8,60,48,2,101,0,5,8,890
20:02:25.381336,28730,910,8,60,48,1,101,0,5,8,890
20:02:25.411862,749,913,8,60,48,1,101,0,5,8,890
20:02:25.483765,28730,920,8,60,48,1,92,0,5,8,890
20:02:25.515016,749,923,8,60,48,1,101,0,5,8,890
20:02:25.586492,28730,930,8,60,48,2,101,0,5,8,890
20:02:25.616978,749,933,8,60,48,1,101,0,5,8,890
20:02:25.688398,28730,940,8,55,48,1,101,0,5,8,890
20:02:25.718831,749,943,8,60,48,1,101,0,5,8,890
20:02:25.788983,28730,950,8,60,48,1,101,0,5,8,890
20:02:25.819125,749,953,8,60,48,2,101,0,5,8,890
20:02:25.889833,28730,960,8,60,48,1,92,0,5,8,890
20:02:25.920404,749,963,8,60,48,1,101,0,5,8,890
20:02:26.024753,28730,970,8,60,48,1,101,0,5,8,890
20:02:26.054741,749,973,8,60,48,1,101,0,5,8,890
20:02:26.125775,28730,980,8,60,48,2,101,0,5,8,890
20:02:26.156054,749,983,8,60,48,1,101,0,5,8,890
20:02:26.226865,28730,990,8,60,48,1,101,0,5,8,890
20:02:26.257392,749,993,8,60,48,1,101,0,5,8,890
20:02:26.328755,28730,1000,8,60,48,1,92,0,5,8,890
20:02:26.359104,749,1003,8,60,48,2,101,0,5,8,890
20:02:26.430303,28730,1010,8,60,48,1,101,0,5,8,890
20:02:26.460484,749,1013,8,60,48,1,101,0,5,8,890
20:02:26.531115,28730,1020,8,60,48,1,101,0,5,8,890
20:02:26.561449,749,1023,8,60,48,1,101,0,5,8,890
20:02:26.631905,28730,6,8,60,48,2,101,0,5,8,890
20:02:26.662024,749,9,8,60,48,1,101,0,5,8,890
20:02:26.732547,28730,16,8,60,48,1,92,0,5,8,890
20:02:26.742057,28730,17,7,60,48,1,92,0,21,8,890
20:02:26.762860,749,19,8,60,48,1,101,0,5,8,890
20:02:26.843402,28730,27,8,60,54,1,101,0,5,8,890
20:02:26.863399,749,29,8,60,48,2,101,0,5,8,890
20:02:26.944505,28730,37,8,60,48,2,101,0,5,8,890
20:02:26.964388,749,39,8,60,48,1,101,0,5,8,890
20:02:27.045216,28730,47,8,55,48,1,101,0,5,8,890
20:02:27.065328,749,49,8,55,48,1,101,0,5,8,890
20:02:27.183299,28730,57,8,60,48,1,101,0,5,8,890
20:02:27.203127,749,59,8,60,48,1,101,0,5,8,890
20:02:27.284047,28730,67,8,60,48,1,101,0,5,8,890
20:02:27.304848,749,69,8,60,48,2,101,0,5,8,890
20:02:27.385343,28730,77,8,60,48,1,101,0,5,8,890
20:02:27.405309,749,79,8,60,48,1,101,0,5,8,890
20:02:27.485752,28730,87,8,60,48,2,101,0,5,8,890
20:02:27.506352,749,89,8,60,48,1,101,0,5,8,890
20:02:27.587092,28730,97,8,60,48,1,101,0,5,8,890
