time,mono_sec,mono_nsec,rnti,frame,slot,sdu_bytes
20:02:24.821068,891189,884613593,28730,860,8,101
20:02:24.852226,891189,915771473,749,863,8,101
20:02:24.925845,891189,989390541,28730,870,8,101
20:02:24.956433,891190,19977986,749,873,8,101
20:02:25.072150,891190,135695013,28730,880,8,92
20:02:25.102864,891190,166409628,749,883,8,101
20:02:25.175812,891190,239357136,28730,890,8,101
20:02:25.206808,891190,270353531,749,893,8,101
20:02:25.278269,891190,341813747,28730,900,8,101
20:02:25.308875,891190,372419845,749,903,8,101
20:02:25.381336,891190,444881482,28730,910,8,101
20:02:25.411862,891190,475407441,749,913,8,101
20:02:25.483765,891190,547309865,28730,920,8,92
20:02:25.515015,891190,578560683,749,923,8,101
20:02:25.586492,891190,650036976,28730,930,8,101
20:02:25.616978,891190,680523300,749,933,8,101
20:02:25.688398,891190,751943148,28730,940,8,101
20:02:25.718831,891190,782376466,749,943,8,101
20:02:25.788983,891190,852528300,28730,950,8,101
20:02:25.819125,891190,882669847,749,953,8,101
20:02:25.889833,891190,953378203,28730,960,8,92
20:02:25.920404,891190,983949017,749,963,8,101
20:02:26.024753,891191,88298391,28730,970,8,101
20:02:26.054740,891191,118285773,749,973,8,101
20:02:26.125775,891191,189320190,28730,980,8,101
20:02:26.156054,891191,219598930,749,983,8,101
20:02:26.226865,891191,290410271,28730,990,8,101
20:02:26.257392,891191,320936878,749,993,8,101
20:02:26.328755,891191,392300467,28730,1000,8,92
20:02:26.359104,891191,422648858,749,1003,8,101
20:02:26.430303,891191,493848168,28730,1010,8,101
20:02:26.460484,891191,524029551,749,1013,8,101
20:02:26.531115,891191,594659914,28730,1020,8,101
20:02:26.561448,891191,624993676,749,1023,8,101
20:02:26.631904,891191,695449498,28730,6,8,101
20:02:26.662024,891191,725569555,749,9,8,101
20:02:26.742057,891191,805602101,28730,17,7,92
20:02:26.762859,891191,826404763,749,19,8,101
20:02:26.843402,891191,906946871,28730,27,8,101
20:02:26.863399,891191,926944120,749,29,8,101
20:02:26.944504,891192,8049385,28730,37,8,101
20:02:26.964388,891192,27933180,749,39,8,101
20:02:27.045215,891192,108760578,28730,47,8,101
20:02:27.065328,891192,128873274,749,49,8,101
20:02:27.183298,891192,246843829,28730,57,8,101
20:02:27.203127,891192,266672249,749,59,8,101
20:02:27.284046,891192,347591783,28730,67,8,101
20:02:27.304848,891192,368393591,749,69,8,101
20:02:27.385343,891192,448888357,28730,77,8,101
20:02:27.405309,891192,468854349,749,79,8,101
20:02:27.485752,891192,549297433,28730,87,8,101
20:02:27.506351,891192,569896513,749,89,8,101
20:02:27.587092,891192,650636848,28730,97,8,101
20:02:27.608129,891192,671674061,749,99,8,101
20:02:27.687862,891192,751406995,28730,107,8,101
20:02:27.707730,891192,771275371,749,109,8,101
20:02:27.788984,891192,852529004,28730,117,8,101
20:02:27.808796,891192,872341075,749,119,8,101
20:02:27.889655,891192,953199996,28730,127,8,101
20:02:27.909488,891192,973033364,749,129,8,101
20:02:27.990749,891193,54294239,28730,137,8,101
20:02:28.011460,891193,75005648,749,139,8,101
20:02:28.184396,891193,247941668,28730,147,8,101
20:02:28.204577,891193,268122684,749,149,8,101
20:02:28.283862,891193,347407715,28730,157,8,101
20:02:28.303781,891193,367326832,749,159,8,101
20:02:28.385054,891193,448599000,28730,167,8,101
20:02:28.404842,891193,468387002,749,169,8,101
20:02:28.485815,891193,549360775,28730,177,8,101
20:02:28.505777,891193,569322503,749,179,8,101
20:02:28.586297,891193,649841894,28730,187,8,101
20:02:28.605686,891193,669231757,749,189,8,101
20:02:28.686320,891193,749865092,28730,197,8,101
20:02:28.706470,891193,770015292,749,199,8,101
20:02:28.787433,891193,850978718,28730,207,8,101
20:02:28.807484,891193,871029579,749,209,8,101
20:02:28.887500,891193,951045468,28730,217,8,101
20:02:28.907623,891193,971167907,749,219,8,101
20:02:28.988986,891194,52530885,28730,227,8,101
20:02:29.008976,891194,72521102,749,229,8,101
20:02:29.139032,891194,202576927,28730,237,8,101
20:02:29.205551,891194,269096088,749,239,8,101
20:02:29.285027,891194,348572356,28730,247,8,101
20:02:29.307598,891194,371142923,749,249,8,101
20:02:29.388068,891194,451612858,28730,257,8,101
20:02:29.408046,891194,471591451,749,259,8,101
20:02:29.488430,891194,551974840,28730,267,8,101
20:02:29.508821,891194,572366220,749,269,8,101
20:02:29.589674,891194,653219170,28730,277,8,101
20:02:29.609109,891194,672654507,749,279,8,101
20:02:29.690330,891194,753875098,28730,287,8,101
20:02:29.710699,891194,774243892,749,289,8,101
20:02:29.791388,891194,854933552,28730,297,8,101
20:02:29.811857,891194,875402352,749,299,8,101
20:02:29.891807,891194,955351984,28730,307,8,101
20:02:29.912174,891194,975719609,749,309,8,101
20:02:29.993715,891195,57260073,28730,317,8,101
20:02:30.013013,891195,76557862,749,319,8,101
20:02:30.093786,891195,157331074,28730,327,8,101
20:02:30.113629,891195,177174291,749,329,8,101
20:02:30.286371,891195,349916176,28730,337,8,101
20:02:30.306910,891195,370454974,749,339,8,101
20:02:30.387241,891195,450786055,28730,347,8,101
20:02:30.407255,891195,470799823,749,349,8,101
20:02:30.488004,891195,551549086,28730,357,8,101
20:02:30.508049,891195,571594201,749,359,8,101
20:02:30.588866,891195,652411384,28730,367,8,101
20:02:30.609207,891195,672752064,749,369,8,101
20:02:30.689549,891195,753094262,28730,377,8,101
20:02:30.711556,891195,775100952,749,379,8,101
20:02:30.802911,891195,866456483,28730,387,8,101
20:02:30.826070,891195,889615361,749,389,8,101
20:02:30.917408,891195,980953482,28730,397,8,101
20:02:30.940246,891196,3791270,749,399,8,101
20:02:31.033856,891196,97401292,28730,407,8,101
20:02:31.056265,891196,119809896,749,409,8,101
20:02:31.147111,891196,210656012,28730,417,8,101
20:02:31.169494,891196,233039636,749,419,8,101
20:02:31.259695,891196,323240215,28730,427,8,101
20:02:31.282534,891196,346078879,749,429,8,101
20:02:31.373243,891196,436788708,28730,437,8,101
20:02:31.396409,891196,459954177,749,439,8,101
20:02:31.487186,891196,550731287,28730,447,8,101
20:02:31.509735,891196,573280461,749,449,8,101
20:02:31.600208,891196,663753415,28730,457,8,101
20:02:31.622448,891196,685993767,749,459,8,101
20:02:31.713011,891196,776556608,28730,467,8,101
20:02:31.735904,891196,799449109,749,469,8,101
20:02:31.825876,891196,889421459,28730,477,8,101
20:02:31.848307,891196,911852557,749,479,8,101
20:02:31.961308,891197,24853584,28730,487,8,101
20:02:31.986153,891197,49698761,749,489,8,101
20:02:32.078808,891197,142353454,28730,497,8,101
20:02:32.101913,891197,165458755,749,499,8,101
20:02:32.192893,891197,256438639,28730,507,8,101
20:02:32.216655,891197,280200511,749,509,8,101
20:02:32.307319,891197,370864680,28730,517,8,101
20:02:32.329803,891197,393347930,749,519,8,101
20:02:32.420815,891197,484360178,28730,527,8,101
20:02:32.444070,891197,507615727,749,529,8,101
20:02:32.534326,891197,597871541,28730,537,8,101
20:02:32.556997,891197,620541893,749,539,8,101
20:02:32.647508,891197,711053107,28730,547,8,101
20:02:32.670353,891197,733898035,749,549,8,101
20:02:32.760936,891197,824480929,28730,557,8,101
20:02:32.783967,891197,847511929,749,559,8,101
20:02:32.875145,891197,938690020,28730,567,8,101
20:02:32.897757,891197,961302722,749,569,8,101
20:02:33.011298,891198,74843098,28730,577,8,101
20:02:33.034207,891198,97752449,749,579,8,101
20:02:33.126796,891198,190341077,28730,587,8,101
20:02:33.149264,891198,212809488,749,589,8,101
20:02:33.287831,891198,351376325,28730,597,8,101
20:02:33.310905,891198,374449903,749,599,8,101
20:02:33.402721,891198,466266779,28730,607,8,101
20:02:33.425829,891198,489374150,749,609,8,101
20:02:33.521867,891198,585411885,28730,617,8,101
20:02:33.546596,891198,610141781,749,619,8,101
20:02:33.637824,891198,701368904,28730,627,8,101
20:02:33.661353,891198,724898162,749,629,8,101
20:02:33.752939,891198,816483952,28730,637,8,101
20:02:33.775603,891198,839148749,749,639,8,101
20:02:33.866842,891198,930387770,28730,647,8,101
20:02:33.889785,891198,953329890,749,649,8,101
20:02:33.981019,891199,44564540,28730,657,8,101
20:02:34.003601,891199,67146188,749,659,8,101
20:02:34.096743,891199,160288456,28730,667,8,101
20:02:34.119436,891199,182981369,749,669,8,101
20:02:34.210176,891199,273721447,28730,677,8,101
20:02:34.232796,891199,296341668,749,679,8,101
20:02:34.324259,891199,387804111,28730,687,8,101
20:02:34.394295,891199,457840661,749,689,8,101
20:02:34.529777,891199,593322818,28730,697,8,101
20:02:34.552682,891199,616227226,749,699,8,101
20:02:34.646715,891199,710260034,28730,707,8,101
20:02:34.670223,891199,733768269,749,709,8,101
20:02:34.763436,891199,826981300,28730,717,8,101
20:02:34.786386,891199,849931066,749,719,8,101
20:02:34.877860,891199,941405322,28730,727,8,101
20:02:34.901068,891199,964612895,749,729,8,101
20:02:34.992802,891200,56346980,28730,737,8,101
20:02:35.015919,891200,79464361,749,739,8,101
20:02:35.110213,891200,173758310,28730,747,8,101
20:02:35.132845,891200,196389866,749,749,8,101
20:02:35.224711,891200,288256012,28730,757,8,101
20:02:35.250631,891200,314175853,749,759,8,101
20:02:35.345109,891200,408654379,28730,767,8,101
20:02:35.367887,891200,431432595,749,769,8,101
20:02:35.493090,891200,556635519,28730,777,8,101
20:02:35.504178,891200,567723221,28730,778,7,469
20:02:35.504672,891200,568217230,28730,778,8,2178
20:02:35.505503,891200,569048700,28730,778,9,2178
20:02:35.509416,891200,572960844,28730,778,17,469
20:02:35.510225,891200,573770250,28730,778,18,2178
