time,rnti,frame,slot,sched_frame,sched_slot,avg_snr_x10,mcs_table,ul_bler_mcs_before,selected_mcs,pre_phr_mcs,post_phr_mcs,final_mcs,estimated_ul_buffer,sched_ul_bytes,B,min_rb,available_rb_before,available_rb_after,ph,pcmax,rb_size_final,tbs_final,force_ul_mcs
20:02:24.845570,749,863,2,863,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:24.918331,28730,870,2,870,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:24.950241,749,873,2,873,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:25.065774,28730,880,2,880,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,92,-1
20:02:25.096576,749,883,2,883,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:25.169315,28730,890,2,890,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:25.200471,749,893,2,893,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:25.271702,28730,900,2,900,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:25.302569,749,903,2,903,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:25.374774,28730,910,2,910,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:25.405460,749,913,2,913,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:25.477420,28730,920,2,920,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,92,-1
20:02:25.508660,749,923,2,923,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:25.580156,28730,930,2,930,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:25.610662,749,933,2,933,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:25.681977,28730,940,2,940,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:25.712298,749,943,2,943,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:25.782710,28730,950,2,950,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:25.812834,749,953,2,953,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:25.883510,28730,960,2,960,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,92,-1
20:02:25.913952,749,963,2,963,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:26.020339,28730,970,2,970,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:26.048516,749,973,2,973,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:26.119434,28730,980,2,980,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:26.149797,749,983,2,983,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:26.220581,28730,990,2,990,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:26.251064,749,993,2,993,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:26.322422,28730,1000,2,1000,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,92,-1
20:02:26.352888,749,1003,2,1003,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:26.424099,28730,1010,2,1010,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:26.454307,749,1013,2,1013,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:26.524805,28730,1020,2,1020,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:26.555188,749,1023,2,1023,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:26.625722,28730,6,2,6,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:26.655807,749,9,2,9,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:26.726210,28730,16,2,16,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,92,-1
20:02:26.756525,749,19,2,19,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:26.837226,28730,27,2,27,8,59,0,8,8,8,8,8,0,0,0,5,5,5,54,20,5,101,-1
20:02:26.857256,749,29,2,29,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:26.937851,28730,37,2,37,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:26.958185,749,39,2,39,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:27.038848,28730,47,2,47,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:27.058981,749,49,2,49,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:27.176821,28730,57,2,57,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:27.196800,749,59,2,59,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:27.277599,28730,67,2,67,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:27.297894,749,69,2,69,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:27.378670,28730,77,2,77,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:27.398770,749,79,2,79,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:27.479344,28730,87,2,87,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:27.499500,749,89,2,89,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:27.580508,28730,97,2,97,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:27.600761,749,99,2,99,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:27.681253,28730,107,2,107,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:27.701488,749,109,2,109,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:27.782416,28730,117,2,117,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:27.802572,749,119,2,119,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:27.883042,28730,127,2,127,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:27.903205,749,129,2,129,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:27.984329,28730,137,2,137,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:28.005147,749,139,2,139,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:28.177952,28730,147,2,147,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:28.197896,749,149,2,149,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:28.277585,28730,157,2,157,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:28.297591,749,159,2,159,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:28.378427,28730,167,2,167,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:28.398448,749,169,2,169,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:28.479133,28730,177,2,177,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:28.499216,749,179,2,179,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:28.579575,28730,187,2,187,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:28.599467,749,189,2,189,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:28.679779,28730,197,2,197,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:28.699854,749,199,2,199,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:28.780670,28730,207,2,207,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:28.800800,749,209,2,209,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:28.881290,28730,217,2,217,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:28.901287,749,219,2,219,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:28.982225,28730,227,2,227,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:29.002061,749,229,2,229,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:29.083596,28730,237,2,237,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:29.199170,749,239,2,239,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:29.278767,28730,247,2,247,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:29.298725,749,249,2,249,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:29.381401,28730,257,2,257,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:29.401404,749,259,2,259,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:29.481868,28730,267,2,267,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:29.501972,749,269,2,269,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:29.582833,28730,277,2,277,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:29.602763,749,279,2,279,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:29.683753,28730,287,2,287,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:02:29.704091,749,289,2,289,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
