time,frame,slot,rnti,rb_size,rb_start,qam_mod_order,mcs_index,number_of_bits
20:02:24.921537,870,8,28730,5,0,2,8,808
20:02:24.952683,873,8,749,5,0,2,8,808
20:02:25.067939,880,8,28730,5,0,2,8,736
20:02:25.099080,883,8,749,5,0,2,8,808
20:02:25.171670,890,8,28730,5,0,2,8,808
20:02:25.202945,893,8,749,5,0,2,8,808
20:02:25.274129,900,8,28730,5,0,2,8,808
20:02:25.305203,903,8,749,5,0,2,8,808
20:02:25.377155,910,8,28730,5,0,2,8,808
20:02:25.407871,913,8,749,5,0,2,8,808
20:02:25.479655,920,8,28730,5,0,2,8,736
20:02:25.511260,923,8,749,5,0,2,8,808
20:02:25.582343,930,8,28730,5,0,2,8,808
20:02:25.613119,933,8,749,5,0,2,8,808
20:02:25.684209,940,8,28730,5,0,2,8,808
20:02:25.714658,943,8,749,5,0,2,8,808
20:02:25.785054,950,8,28730,5,0,2,8,808
20:02:25.815373,953,8,749,5,0,2,8,808
20:02:25.885815,960,8,28730,5,0,2,8,736
20:02:25.916674,963,8,749,5,0,2,8,808
20:02:26.021107,970,8,28730,5,0,2,8,808
20:02:26.051021,973,8,749,5,0,2,8,808
20:02:26.121685,980,8,28730,5,0,2,8,808
20:02:26.152210,983,8,749,5,0,2,8,808
20:02:26.222812,990,8,28730,5,0,2,8,808
20:02:26.253452,993,8,749,5,0,2,8,808
20:02:26.324965,1000,8,28730,5,0,2,8,736
20:02:26.355357,1003,8,749,5,0,2,8,808
20:02:26.426312,1010,8,28730,5,0,2,8,808
20:02:26.456797,1013,8,749,5,0,2,8,808
20:02:26.527043,1020,8,28730,5,0,2,8,808
20:02:26.557564,1023,8,749,5,0,2,8,808
20:02:26.627910,6,8,28730,5,0,2,8,808
20:02:26.658182,9,8,749,5,0,2,8,808
20:02:26.728406,16,8,28730,5,0,2,8,736
20:02:26.738080,17,7,28730,21,0,2,8,736
20:02:26.759245,19,8,749,5,0,2,8,808
20:02:26.839379,27,8,28730,5,0,2,8,808
20:02:26.859636,29,8,749,5,0,2,8,808
20:02:26.940044,37,8,28730,5,0,2,8,808
20:02:26.960672,39,8,749,5,0,2,8,808
20:02:27.041066,47,8,28730,5,0,2,8,808
20:02:27.061476,49,8,749,5,0,2,8,808
20:02:27.178973,57,8,28730,5,0,2,8,808
20:02:27.199261,59,8,749,5,0,2,8,808
20:02:27.279889,67,8,28730,5,0,2,8,808
20:02:27.300326,69,8,749,5,0,2,8,808
20:02:27.380869,77,8,28730,5,0,2,8,808
20:02:27.401272,79,8,749,5,0,2,8,808
20:02:27.481459,87,8,28730,5,0,2,8,808
20:02:27.501877,89,8,749,5,0,2,8,808
20:02:27.582657,97,8,28730,5,0,2,8,808
20:02:27.603156,99,8,749,5,0,2,8,808
20:02:27.683417,107,8,28730,5,0,2,8,808
20:02:27.704091,109,8,749,5,0,2,8,808
20:02:27.784780,117,8,28730,5,0,2,8,808
20:02:27.805047,119,8,749,5,0,2,8,808
20:02:27.885309,127,8,28730,5,0,2,8,808
20:02:27.906164,129,8,749,5,0,2,8,808
20:02:27.986529,137,8,28730,5,0,2,8,808
20:02:28.007587,139,8,749,5,0,2,8,808
20:02:28.180087,147,8,28730,5,0,2,8,808
20:02:28.200421,149,8,749,5,0,2,8,808
20:02:28.279814,157,8,28730,5,0,2,8,808
20:02:28.299946,159,8,749,5,0,2,8,808
20:02:28.380599,167,8,28730,5,0,2,8,808
20:02:28.400809,169,8,749,5,0,2,8,808
20:02:28.481367,177,8,28730,5,0,2,8,808
20:02:28.501544,179,8,749,5,0,2,8,808
20:02:28.581746,187,8,28730,5,0,2,8,808
20:02:28.601790,189,8,749,5,0,2,8,808
20:02:28.682023,197,8,28730,5,0,2,8,808
20:02:28.702376,199,8,749,5,0,2,8,808
20:02:28.782852,207,8,28730,5,0,2,8,808
20:02:28.803198,209,8,749,5,0,2,8,808
20:02:28.883418,217,8,28730,5,0,2,8,808
20:02:28.903704,219,8,749,5,0,2,8,808
20:02:28.984389,227,8,28730,5,0,2,8,808
20:02:29.004400,229,8,749,5,0,2,8,808
20:02:29.085727,237,8,28730,5,0,2,8,808
20:02:29.201989,239,8,749,5,0,2,8,808
20:02:29.280946,247,8,28730,5,0,2,8,808
20:02:29.304366,249,8,749,5,0,2,8,808
20:02:29.383562,257,8,28730,5,0,2,8,808
20:02:29.403810,259,8,749,5,0,2,8,808
20:02:29.484010,267,8,28730,5,0,2,8,808
20:02:29.504428,269,8,749,5,0,2,8,808
20:02:29.584964,277,8,28730,5,0,2,8,808
20:02:29.605205,279,8,749,5,0,2,8,808
20:02:29.685914,287,8,28730,5,0,2,8,808
20:02:29.706530,289,8,749,5,0,2,8,808
20:02:29.786981,297,8,28730,5,0,2,8,808
20:02:29.807380,299,8,749,5,0,2,8,808
20:02:29.887655,307,8,28730,5,0,2,8,808
20:02:29.908313,309,8,749,5,0,2,8,808
20:02:29.988766,317,8,28730,5,0,2,8,808
20:02:30.009266,319,8,749,5,0,2,8,808
20:02:30.089321,327,8,28730,5,0,2,8,808
20:02:30.109990,329,8,749,5,0,2,8,808
20:02:30.282178,337,8,28730,5,0,2,8,808
