time,rnti,frame,slot,lcid,data_size,tx_list_occupancy
20:01:24.878495,28730,829,15,1,0,0
20:01:24.878496,28730,829,15,4,3,0
20:01:24.942698,28730,834,16,1,0,0
20:01:24.942700,28730,834,16,4,3,0
20:01:25.011401,28730,840,4,1,0,0
20:01:25.011403,28730,840,4,4,3,0
20:01:25.041033,28730,842,14,1,0,0
20:01:25.041034,28730,842,14,4,3,0
20:01:25.071062,28730,845,4,1,0,0
20:01:25.071064,28730,845,4,4,3,0
20:01:25.099969,28730,847,14,1,0,0
20:01:25.099971,28730,847,14,4,3,0
20:01:25.128457,28730,850,4,1,0,0
20:01:25.128459,28730,850,4,4,3,0
20:01:25.249396,28730,852,14,1,0,0
20:01:25.249398,28730,852,14,4,3,0
20:01:25.330014,749,859,15,1,0,0
20:01:25.330015,749,859,15,4,3,0
20:01:25.387347,28730,864,16,1,0,0
20:01:25.387349,28730,864,16,4,3,0
20:01:25.393727,749,865,7,1,0,0
20:01:25.393728,749,865,7,4,3,0
20:01:25.506913,28730,875,5,1,0,0
20:01:25.506915,28730,875,5,4,3,0
20:01:25.512517,749,875,15,1,0,0
20:01:25.512518,749,875,15,4,3,0
20:01:25.628444,28730,885,15,1,0,0
20:01:25.628446,28730,885,15,4,3,0
20:01:25.629002,749,885,16,1,0,0
20:01:25.629003,749,885,16,4,3,0
20:01:25.656413,749,888,4,1,0,0
20:01:25.656415,749,888,4,4,3,0
20:01:25.743572,28730,895,16,1,0,0
20:01:25.743574,28730,895,16,4,3,0
20:01:25.771047,28730,898,4,1,0,0
20:01:25.771048,28730,898,4,4,3,0
20:01:25.771650,749,898,5,1,0,0
20:01:25.771651,749,898,5,4,3,0
20:01:25.799546,749,900,14,1,0,0
20:01:25.799547,749,900,14,4,3,0
20:01:25.800120,28730,900,15,1,0,0
20:01:25.800121,28730,900,15,4,3,0
20:01:25.914484,749,910,15,1,0,0
20:01:25.914486,749,910,15,4,3,0
20:01:25.915020,28730,910,16,1,0,0
20:01:25.915021,28730,910,16,4,3,0
20:01:25.942211,28730,913,4,1,0,0
20:01:25.942212,28730,913,4,4,3,0
20:01:25.942775,749,913,5,1,0,0
20:01:25.942776,749,913,5,4,3,0
20:01:25.970637,28730,915,14,1,0,0
20:01:25.970639,28730,915,14,4,3,0
20:01:25.999073,28730,918,4,1,0,0
20:01:25.999074,28730,918,4,4,3,0
20:01:26.062758,749,923,15,1,0,0
20:01:26.062760,749,923,15,4,3,0
20:01:26.091534,749,926,5,1,0,0
20:01:26.091535,749,926,5,4,3,0
20:01:26.114203,28730,928,5,1,0,0
20:01:26.114204,28730,928,5,4,3,0
20:01:26.210378,749,936,14,1,0,0
20:01:26.210380,749,936,14,4,3,0
20:01:26.234471,28730,938,16,1,0,0
20:01:26.234472,28730,938,16,4,3,0
20:01:26.238946,749,939,4,1,0,0
20:01:26.238947,749,939,4,4,3,0
20:01:26.353715,749,949,5,1,0,0
20:01:26.353717,749,949,5,4,3,0
20:01:26.354256,28730,949,6,1,0,0
20:01:26.354256,28730,949,6,4,3,0
20:01:26.473488,28730,959,14,1,0,0
20:01:26.473489,28730,959,14,4,3,0
20:01:26.474040,749,959,15,1,0,0
20:01:26.474041,749,959,15,4,3,0
20:01:26.502126,28730,962,4,1,0,0
20:01:26.502128,28730,962,4,4,3,0
20:01:26.531232,28730,964,15,1,0,0
20:01:26.531234,28730,964,15,4,3,0
20:01:26.593386,749,970,5,1,0,0
20:01:26.593388,749,970,5,4,3,0
20:01:26.644881,28730,974,16,1,0,0
20:01:26.644882,28730,974,16,4,3,0
20:01:26.672081,28730,977,4,1,0,0
20:01:26.672083,28730,977,4,4,3,0
20:01:26.700233,28730,979,14,1,0,0
20:01:26.700234,28730,979,14,4,3,0
20:01:26.711402,749,980,14,1,0,0
20:01:26.711403,749,980,14,4,3,0
20:01:26.728346,28730,982,4,1,0,0
20:01:26.728348,28730,982,4,4,3,0
20:01:26.739677,749,983,4,1,0,0
20:01:26.739679,749,983,4,4,3,0
20:01:26.842142,28730,992,5,1,0,0
20:01:26.842144,28730,992,5,4,3,0
20:01:26.853571,749,993,5,1,0,0
20:01:26.853573,749,993,5,4,3,0
20:01:26.990725,28730,1002,16,1,0,0
20:01:26.990726,28730,1002,16,4,3,0
20:01:27.001169,749,1003,15,1,0,0
20:01:27.001170,749,1003,15,4,3,0
20:01:27.109084,28730,1013,6,1,0,0
20:01:27.109085,28730,1013,6,4,3,0
20:01:27.119807,749,1014,5,1,0,0
20:01:27.119808,749,1014,5,4,3,0
20:01:27.310476,28730,1023,14,1,0,0
20:01:27.310478,28730,1023,14,4,3,0
20:01:27.323908,749,0,14,1,0,0
20:01:27.323910,749,0,14,4,3,0
20:01:27.442992,28730,10,4,1,0,0
20:01:27.442994,28730,10,4,4,3,0
20:01:27.454306,749,11,4,1,0,0
20:01:27.454307,749,11,4,4,3,0
20:01:27.471743,28730,12,15,1,0,0
20:01:27.471744,28730,12,15,4,3,0
20:01:27.482811,749,13,15,1,0,0
20:01:27.482811,749,13,15,4,3,0
20:01:27.510462,749,16,4,1,0,0
20:01:27.510463,749,16,4,4,3,0
20:01:27.539425,749,18,15,1,0,0
20:01:27.539427,749,18,15,4,3,0
20:01:27.586282,28730,22,16,1,0,0
20:01:27.586283,28730,22,16,4,3,0
20:01:27.614475,28730,25,4,1,0,0
20:01:27.614477,28730,25,4,4,3,0
20:01:27.656884,749,28,17,1,0,0
20:01:27.656885,749,28,17,4,3,0
20:01:27.684185,749,31,4,1,0,0
20:01:27.684187,749,31,4,4,3,0
20:01:27.713313,749,33,14,1,0,0
20:01:27.713314,749,33,14,4,3,0
20:01:27.731097,28730,35,5,1,0,0
20:01:27.731098,28730,35,5,4,3,0
20:01:27.742185,749,36,4,1,0,0
20:01:27.742187,749,36,4,4,3,0
20:01:27.760067,28730,37,15,1,0,0
20:01:27.760069,28730,37,15,4,3,0
20:01:27.859041,749,46,5,1,0,0
20:01:27.859043,749,46,5,4,3,0
20:01:27.881641,28730,48,5,1,0,0
20:01:27.881642,28730,48,5,4,3,0
20:01:27.979623,749,56,16,1,0,0
20:01:27.979624,749,56,16,4,3,0
20:01:28.001057,28730,58,14,1,0,0
20:01:28.001059,28730,58,14,4,3,0
20:01:28.029496,28730,61,4,1,0,0
20:01:28.029497,28730,61,4,4,3,0
20:01:28.099345,749,67,6,1,0,0
20:01:28.099346,749,67,6,4,3,0
20:01:28.144621,28730,71,5,1,0,0
20:01:28.144622,28730,71,5,4,3,0
20:01:28.172865,28730,73,15,1,0,0
20:01:28.172866,28730,73,15,4,3,0
20:01:28.218040,749,77,14,1,0,0
20:01:28.218041,749,77,14,4,3,0
20:01:28.246488,749,80,4,1,0,0
20:01:28.246489,749,80,4,4,3,0
20:01:28.275663,749,82,15,1,0,0
20:01:28.275665,749,82,15,4,3,0
20:01:28.287801,28730,83,16,1,0,0
20:01:28.287802,28730,83,16,4,3,0
20:01:28.390648,749,92,16,1,0,0
20:01:28.390650,749,92,16,4,3,0
20:01:28.407751,28730,94,6,1,0,0
20:01:28.407752,28730,94,6,4,3,0
20:01:28.418023,749,95,4,1,0,0
20:01:28.418024,749,95,4,4,3,0
20:01:28.446398,749,97,14,1,0,0
20:01:28.446399,749,97,14,4,3,0
20:01:28.474984,749,100,4,1,0,0
20:01:28.474986,749,100,4,4,3,0
20:01:28.503882,749,102,15,1,0,0
