time,rnti,frame,slot,snrx10,tpc,rssi
20:01:24.219366,28730,773,7,100,1,937
20:01:25.093829,28730,846,17,100,1,937
20:01:25.816263,749,901,17,100,1,937
20:01:26.135942,749,929,17,100,1,944
20:01:26.387070,749,951,17,100,1,937
20:01:26.553334,28730,966,7,100,1,944
20:01:26.620696,28730,972,7,100,1,937
20:01:26.733495,28730,982,7,100,1,937
20:01:26.897818,749,996,17,100,1,937
20:01:27.573758,749,21,7,100,1,944
20:01:28.177496,28730,73,17,100,1,937
20:01:28.292076,749,83,17,100,1,937
20:01:28.994127,749,143,7,100,1,937
20:01:29.464659,749,182,17,100,1,937
20:01:29.533392,28730,188,17,100,1,937
20:01:29.905170,28730,220,17,100,1,937
20:01:30.736275,749,289,7,110,1,937
20:01:30.872257,749,301,7,100,1,937
20:01:31.413499,28730,348,7,100,1,937
20:01:31.672659,28730,370,17,100,1,937
20:01:31.799301,749,381,17,100,1,937
20:01:31.978177,749,395,7,100,1,937
20:01:33.576570,749,521,7,100,1,937
20:01:34.081525,28730,565,7,100,1,937
20:01:34.110384,28730,567,17,100,1,929
20:01:34.267021,749,581,7,100,1,937
20:01:34.295808,749,583,17,100,1,937
20:01:34.324779,749,586,7,100,1,937
20:01:34.657099,28730,607,7,100,1,937
20:01:35.177862,28730,652,17,100,1,937
20:01:35.217529,749,656,7,100,1,937
20:01:35.429038,28730,674,17,100,1,944
20:01:35.474818,749,678,17,100,1,937
20:01:35.659045,749,690,17,100,1,929
20:01:35.841344,28730,706,17,100,1,937
20:01:36.298816,28730,747,17,100,1,937
20:01:36.814770,749,791,17,100,1,937
20:01:37.363494,28730,846,7,100,1,937
20:01:37.921935,28730,900,17,100,1,937
20:01:38.068602,28730,913,7,100,1,937
20:01:38.189072,28730,924,17,100,1,937
20:01:38.375582,28730,941,7,100,1,937
20:01:38.802221,749,974,17,100,1,937
20:01:39.656599,749,25,7,100,1,937
20:01:39.844481,28730,37,7,100,1,937
20:01:40.000851,749,49,17,100,1,929
20:01:40.018181,749,51,7,100,1,937
20:01:40.035177,749,52,17,100,1,929
20:01:40.075407,749,56,7,100,1,929
20:01:40.104092,28730,58,17,100,1,937
20:01:40.200797,749,67,7,100,1,937
20:01:40.818653,28730,117,7,100,1,937
20:01:41.195259,749,150,7,100,1,937
20:01:41.416082,749,169,17,100,1,937
20:01:41.631223,749,188,17,100,1,937
20:01:42.185958,28730,234,17,100,1,937
20:01:42.288389,749,243,17,100,1,937
20:01:43.185158,749,318,7,100,1,937
20:01:43.286340,749,327,7,100,1,937
20:01:44.075663,28730,388,7,100,1,937
20:01:44.183366,28730,397,17,100,1,937
20:01:44.503215,749,425,17,100,1,929
20:01:44.713273,28730,444,7,110,1,937
20:01:44.942876,28730,459,17,100,1,937
20:01:44.959894,28730,461,7,100,1,937
20:01:45.992820,28730,543,7,100,1,929
20:01:46.021920,28730,545,17,100,1,937
20:01:46.249580,28730,565,17,100,1,929
20:01:46.553409,749,592,7,100,1,937
20:01:46.604854,28730,596,17,100,1,937
20:01:46.684074,749,603,17,100,1,929
20:01:46.988158,749,629,7,100,1,937
20:01:47.636813,28730,685,17,100,1,937
20:01:48.265950,28730,735,7,100,1,937
20:01:48.379073,28730,745,7,100,1,944
20:01:48.458563,749,752,7,100,1,937
20:01:48.670240,28730,770,17,100,1,929
20:01:49.086855,28730,798,17,100,1,937
20:01:49.210844,749,809,17,100,1,937
20:01:49.499920,749,835,7,100,1,937
20:01:49.765981,28730,858,7,100,1,937
20:01:49.899769,28730,869,17,100,1,929
20:01:50.939676,749,958,7,100,1,937
20:01:51.367228,749,991,17,100,1,929
20:01:51.372912,28730,992,7,100,1,937
20:01:51.602722,28730,1012,7,100,1,937
20:01:52.965801,749,103,7,100,1,929
20:01:54.242359,749,216,7,100,1,929
20:01:54.273845,749,219,7,100,1,937
20:01:54.777966,28730,265,7,100,1,929
20:01:54.907819,749,277,17,100,1,929
20:01:54.944732,28730,281,7,100,1,937
20:01:55.412922,749,318,17,100,1,937
20:01:56.206737,28730,385,17,100,1,929
20:01:56.356130,28730,400,7,100,1,929
20:01:57.853320,28730,536,7,100,1,937
20:01:57.890657,749,539,17,100,1,937
20:01:58.182743,28730,561,7,100,1,937
20:01:58.571589,28730,598,7,100,1,937
20:01:59.130657,28730,649,7,100,1,937
20:01:59.219692,749,654,7,100,1,937
20:02:00.366274,28730,744,7,100,1,937
20:02:00.445971,749,751,7,100,1,937
20:02:01.158394,749,813,7,100,1,937
20:02:01.562102,28730,843,17,100,1,929
20:02:01.952135,28730,877,17,100,1,937
20:02:02.285067,28730,898,7,100,1,944
20:02:02.823653,749,945,18,100,1,929
20:02:02.937476,28730,955,17,100,1,937
20:02:03.030845,749,963,17,100,1,937
20:02:03.524301,28730,998,7,100,1,937
20:02:03.677178,749,1011,17,100,1,937
20:02:03.711092,28730,1014,17,100,1,937
20:02:03.914437,28730,8,17,100,1,944
20:02:03.954043,749,12,7,100,1,937
20:02:04.399730,28730,43,17,100,1,937
20:02:04.604655,28730,61,17,100,1,937
20:02:04.986969,28730,95,7,100,1,937
