time,rnti,frame,slot,sched_frame,sched_slot,avg_snr_x10,mcs_table,ul_bler_mcs_before,selected_mcs,pre_phr_mcs,post_phr_mcs,final_mcs,estimated_ul_buffer,sched_ul_bytes,B,min_rb,available_rb_before,available_rb_after,ph,pcmax,rb_size_final,tbs_final,force_ul_mcs
19:58:20.996627,749,425,2,425,8,429,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:58:21.054769,28730,430,2,430,8,426,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:58:21.148017,749,438,2,438,8,393,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:58:21.204952,28730,443,2,443,8,390,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:58:21.296481,749,451,2,451,8,361,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:58:21.354588,28730,456,2,456,8,359,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,437,-1
19:58:21.447914,749,464,2,464,8,332,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,437,-1
19:58:21.506098,28730,469,2,469,8,330,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:58:21.597949,749,477,2,477,8,306,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:58:21.654634,28730,482,2,482,8,304,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:58:21.744628,749,490,2,490,8,282,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:58:21.801228,28730,495,2,495,8,280,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:58:21.891266,749,503,2,503,8,261,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:58:21.964268,28730,508,2,508,8,259,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
19:58:22.057627,749,516,2,516,8,241,0,27,27,27,27,27,0,0,0,5,5,5,48,20,5,469,-1
19:58:22.115035,28730,521,2,521,8,240,0,27,27,27,27,27,0,0,0,5,5,5,48,20,5,469,-1
19:58:22.206681,749,529,2,529,8,224,0,27,27,27,27,27,0,0,0,5,5,5,48,20,5,469,-1
19:58:22.263863,28730,534,2,534,8,222,0,27,27,27,27,27,0,0,0,5,5,5,48,20,5,469,-1
19:58:22.356625,749,542,2,542,8,208,0,25,25,25,25,25,0,0,0,5,5,5,48,20,5,421,-1
19:58:22.414115,28730,547,2,547,8,207,0,25,25,25,25,25,0,0,0,5,5,5,48,20,5,421,-1
19:58:22.504302,749,555,2,555,8,194,0,24,24,24,24,24,0,0,0,5,5,5,48,20,5,388,-1
19:58:22.561123,28730,560,2,560,8,192,0,23,23,23,23,23,0,0,0,5,5,5,48,20,5,333,-1
19:58:22.651307,749,568,2,568,8,181,0,22,22,22,22,22,0,0,0,5,5,5,48,20,5,309,-1
19:58:22.710175,28730,573,2,573,8,180,0,22,22,22,22,22,0,0,0,5,5,5,48,20,5,341,-1
19:58:22.805288,749,581,2,581,8,169,0,20,20,20,20,20,0,0,0,5,5,5,48,20,5,285,-1
19:58:22.863257,28730,586,2,586,8,168,0,20,20,20,20,20,0,0,0,5,5,5,48,20,5,285,-1
19:58:22.970353,749,594,2,594,8,159,0,19,19,19,19,19,0,0,0,5,5,5,48,20,5,261,-1
19:58:23.027510,28730,599,2,599,8,158,0,19,19,19,19,19,0,0,0,5,5,5,48,20,5,261,-1
19:58:23.118267,749,607,2,607,8,149,0,18,18,18,18,18,0,0,0,5,5,5,48,20,5,241,-1
19:58:23.175572,28730,612,2,612,8,148,0,18,18,18,18,18,0,0,0,5,5,5,48,20,5,241,-1
19:58:23.266787,749,620,2,620,8,141,0,17,17,17,17,17,0,0,0,5,5,5,48,20,5,225,-1
19:58:23.324615,28730,625,2,625,8,140,0,17,17,17,17,17,0,0,0,5,5,5,48,20,5,225,-1
19:58:23.458421,749,633,2,633,8,133,0,16,16,16,16,16,0,0,0,5,5,5,48,20,5,225,-1
19:58:23.517011,28730,638,2,638,8,132,0,16,16,16,16,16,0,0,0,5,5,5,48,20,5,225,-1
19:58:23.610030,749,646,2,646,8,126,0,16,16,16,16,16,0,0,0,5,5,5,48,20,5,225,-1
19:58:23.669663,28730,651,2,651,8,125,0,16,16,16,16,16,0,0,0,5,5,5,48,20,5,225,-1
19:58:23.767042,749,659,2,659,8,119,0,15,15,15,15,15,0,0,0,5,5,5,48,20,5,209,-1
19:58:23.824686,28730,664,2,664,8,119,0,15,15,15,15,15,0,0,0,5,5,5,48,20,5,193,-1
19:58:23.915743,749,672,2,672,8,114,0,14,14,14,14,14,0,0,0,5,5,5,55,20,5,177,-1
19:58:23.972477,28730,677,2,677,8,113,0,14,14,14,14,14,0,0,0,5,5,5,54,20,5,193,-1
19:58:24.063145,749,685,2,685,8,108,0,13,13,13,13,13,0,0,0,5,5,5,54,20,5,165,-1
19:58:24.120350,28730,690,2,690,8,108,0,13,13,13,13,13,0,0,0,5,5,5,55,20,5,165,-1
19:58:24.200968,749,697,2,697,8,105,0,13,13,13,13,13,0,0,0,5,5,5,55,20,5,165,-1
19:58:24.257425,28730,702,2,702,8,104,0,13,13,13,13,13,0,0,0,5,5,5,55,20,5,165,-1
19:58:24.424021,749,709,2,709,8,102,0,12,12,12,12,12,0,0,0,5,5,5,55,20,5,149,-1
19:58:24.480994,28730,714,2,714,8,101,0,12,12,12,12,12,0,0,0,5,5,5,55,20,5,149,-1
