time,eNB_ID,frame,subframe,rsrp,rssi,snr,rx_power,noise_power,w_cqi,freq_offset
19:58:21.054450,0,430,0,-2147483648,-183,-93,-90,3,-93,6
19:58:21.078332,0,432,0,-2147483648,-183,-93,-90,3,-93,6
19:58:22.217837,0,530,0,-2147483648,-183,-95,-90,5,-95,6
19:58:22.241129,0,532,0,-2147483648,-183,-95,-90,5,-95,6
19:58:23.423293,0,630,0,-2147483648,-183,-96,-90,6,-96,6
19:58:23.447127,0,632,0,-2147483648,-183,-95,-90,5,-95,6
19:58:24.661619,0,730,0,-2147483648,-183,-95,-90,5,-95,6
19:58:24.684720,0,732,0,-2147483648,-183,-95,-90,5,-95,6
19:58:25.896931,0,830,0,-2147483648,-183,-93,-90,3,-93,6
19:58:25.920242,0,832,0,-2147483648,-183,-93,-90,3,-93,6
19:58:27.056274,0,930,0,-2147483648,-183,-93,-90,3,-93,6
19:58:27.079312,0,932,0,-2147483648,-183,-90,-90,0,-90,6
19:58:28.214624,0,6,0,-2147483648,-183,-93,-90,3,-93,6
19:58:28.237670,0,8,0,-2147483648,-183,-93,-90,3,-93,6
19:58:29.352894,0,106,0,-2147483648,-183,-93,-90,3,-93,6
19:58:29.375729,0,108,0,-2147483648,-183,-90,-90,0,-90,6
19:58:30.504403,0,206,0,-2147483648,-183,-90,-90,0,-90,6
19:58:30.527213,0,208,0,-2147483648,-183,-90,-90,0,-90,6
19:58:31.598498,0,306,0,-2147483648,-183,-90,-90,0,-90,6
19:58:31.621512,0,308,0,-2147483648,-183,-93,-90,3,-93,6
19:58:32.772062,0,406,0,-2147483648,-183,-90,-90,0,-90,6
19:58:32.796120,0,408,0,-2147483648,-183,-93,-90,3,-93,6
19:58:33.834758,0,506,0,-2147483648,-183,-93,-90,3,-93,6
19:58:33.854722,0,508,0,-2147483648,-183,-90,-90,0,-90,6
19:58:34.927170,0,606,0,-2147483648,-183,-93,-90,3,-93,6
19:58:34.947677,0,608,0,-2147483648,-183,-93,-90,3,-93,6
19:58:35.965845,0,706,0,-2147483648,-183,-95,-90,5,-95,6
19:58:35.986196,0,708,0,-2147483648,-183,-95,-90,5,-95,6
19:58:37.110010,0,806,0,-2147483648,-183,-93,-90,3,-93,6
19:58:37.134889,0,808,0,-2147483648,-183,-95,-90,5,-95,6
19:58:38.405182,0,906,0,-2147483648,-183,-90,-90,0,-90,6
19:58:38.430268,0,908,0,-2147483648,-183,-90,-90,0,-90,6
19:58:39.719506,0,1006,0,-2147483648,-183,-93,-90,3,-93,6
19:58:39.743889,0,1008,0,-2147483648,-183,-95,-90,5,-95,6
19:58:41.052735,0,82,0,-2147483648,-183,-93,-90,3,-93,6
19:58:41.076522,0,84,0,-2147483648,-183,-95,-90,5,-95,6
19:58:42.276389,0,182,0,-2147483648,-183,-93,-90,3,-93,6
19:58:42.304940,0,184,0,-2147483648,-183,-90,-90,0,-90,6
19:58:43.502229,0,282,0,-2147483648,-183,-93,-90,3,-93,6
19:58:43.526503,0,284,0,-2147483648,-183,-93,-90,3,-93,6
19:58:44.737034,0,382,0,-2147483648,-183,-93,-90,3,-93,6
19:58:44.761502,0,384,0,-2147483648,-183,-93,-90,3,-93,6
19:58:46.019128,0,482,0,-2147483648,-183,-95,-90,5,-95,6
19:58:46.042064,0,484,0,-2147483648,-183,-95,-90,5,-95,6
19:58:47.159720,0,582,0,-2147483648,-183,-93,-90,3,-93,6
19:58:47.182773,0,584,0,-2147483648,-183,-93,-90,3,-93,6
19:58:48.324120,0,682,0,-2147483648,-183,-90,-90,0,-90,6
19:58:48.346974,0,684,0,-2147483648,-183,-95,-90,5,-95,6
19:58:49.441953,0,782,0,-2147483648,-183,-93,-90,3,-93,6
19:58:49.465931,0,784,0,-2147483648,-183,-93,-90,3,-93,6
19:58:50.676964,0,882,0,-2147483648,-183,-93,-90,3,-93,6
19:58:50.701256,0,884,0,-2147483648,-183,-93,-90,3,-93,6
19:58:51.894725,0,982,0,-2147483648,-183,-93,-90,3,-93,6
19:58:51.919710,0,984,0,-2147483648,-183,-93,-90,3,-93,6
19:58:53.125367,0,58,0,-2147483648,-183,-90,-90,0,-90,6
19:58:53.149463,0,60,0,-2147483648,-183,-93,-90,3,-93,6
19:58:54.370145,0,158,0,-2147483648,-183,-90,-90,0,-90,6
19:58:54.394216,0,160,0,-2147483648,-183,-95,-90,5,-95,6
19:58:55.580745,0,258,0,-2147483648,-183,-93,-90,3,-93,6
19:58:55.605211,0,260,0,-2147483648,-183,-93,-90,3,-93,6
19:58:56.804719,0,358,0,-2147483648,-183,-93,-90,3,-93,6
19:58:56.829645,0,360,0,-2147483648,-183,-93,-90,3,-93,6
