time,frame,slot,rnti,rb_size,rb_start,qam_mod_order,mcs_index,number_of_bits
19:58:20.999868,425,8,749,5,0,6,28,3840
19:58:21.010860,426,7,749,23,0,6,28,3840
19:58:21.022305,427,7,749,23,0,6,28,3840
19:58:21.034022,428,7,749,23,0,6,28,3840
19:58:21.057365,430,8,28730,5,0,6,28,3840
19:58:21.068293,431,7,28730,23,0,6,28,3840
19:58:21.080307,432,7,28730,23,0,6,28,3840
19:58:21.091864,433,7,28730,23,0,6,28,3840
19:58:21.150828,438,8,749,5,0,6,28,3840
19:58:21.161654,439,7,749,23,0,6,28,3840
19:58:21.172880,440,7,749,23,0,6,28,3840
19:58:21.184139,441,7,749,23,0,6,28,3840
19:58:21.207391,443,8,28730,5,0,6,28,3840
19:58:21.218257,444,7,28730,23,0,6,28,3840
19:58:21.229584,445,7,28730,23,0,6,28,3840
19:58:21.240952,446,7,28730,23,0,6,28,3840
19:58:21.299379,451,8,749,5,0,6,28,3840
19:58:21.310449,452,7,749,23,0,6,28,3840
19:58:21.321903,453,7,749,23,0,6,28,3840
19:58:21.333729,454,7,749,23,0,6,28,3840
19:58:21.357207,456,8,28730,5,0,6,28,3496
19:58:21.368410,457,7,28730,21,0,6,28,3496
19:58:21.380118,458,7,28730,21,0,6,28,3496
19:58:21.391885,459,7,28730,21,0,6,28,3496
19:58:21.450658,464,8,749,5,0,6,28,3496
19:58:21.461665,465,7,749,21,0,6,28,3496
19:58:21.473431,466,7,749,21,0,6,28,3496
19:58:21.485137,467,7,749,21,0,6,28,3496
19:58:21.508670,469,8,28730,5,0,6,28,3840
19:58:21.519438,470,7,28730,23,0,6,28,3840
19:58:21.530758,471,7,28730,23,0,6,28,3840
19:58:21.541951,472,7,28730,23,0,6,28,3840
19:58:21.600697,477,8,749,5,0,6,28,3840
19:58:21.611675,478,7,749,23,0,6,28,3840
19:58:21.623074,479,7,749,23,0,6,28,3840
19:58:21.634398,480,7,749,23,0,6,28,3840
19:58:21.657062,482,8,28730,5,0,6,28,3840
19:58:21.667880,483,7,28730,23,0,6,28,3840
19:58:21.679220,484,7,28730,23,0,6,28,3840
19:58:21.690352,485,7,28730,23,0,6,28,3840
19:58:21.747418,490,8,749,5,0,6,28,3840
19:58:21.758089,491,7,749,23,0,6,28,3840
19:58:21.769288,492,7,749,23,0,6,28,3840
19:58:21.780774,493,7,749,23,0,6,28,3840
19:58:21.803629,495,8,28730,5,0,6,28,3840
19:58:21.814290,496,7,28730,23,0,6,28,3840
19:58:21.825497,497,7,28730,23,0,6,28,3840
19:58:21.836886,498,7,28730,23,0,6,28,3840
19:58:21.894128,503,8,749,5,0,6,28,3840
19:58:21.904742,504,7,749,23,0,6,28,3840
19:58:21.916040,505,7,749,23,0,6,28,3840
19:58:21.927634,506,7,749,23,0,6,28,3840
19:58:21.966852,508,8,28730,5,0,6,28,3840
19:58:21.977614,509,7,28730,23,0,6,28,3840
19:58:21.989251,510,7,28730,23,0,6,28,3840
19:58:22.000927,511,7,28730,23,0,6,28,3840
19:58:22.060529,516,8,749,5,0,6,27,3752
19:58:22.071209,517,7,749,23,0,6,27,3752
19:58:22.082888,518,7,749,23,0,6,27,3752
19:58:22.094133,519,7,749,23,0,6,27,3752
19:58:22.117514,521,8,28730,5,0,6,27,3752
19:58:22.128296,522,7,28730,23,0,6,27,3752
19:58:22.139865,523,7,28730,23,0,6,27,3752
19:58:22.151293,524,7,28730,23,0,6,27,3752
19:58:22.209591,529,8,749,5,0,6,27,3752
19:58:22.220379,530,7,749,23,0,6,27,3752
19:58:22.231906,531,7,749,23,0,6,27,3752
19:58:22.243176,532,7,749,23,0,6,27,3752
19:58:22.266328,534,8,28730,5,0,6,27,3752
19:58:22.277195,535,7,28730,23,0,6,27,3752
19:58:22.289143,536,7,28730,23,0,6,27,3752
19:58:22.300763,537,7,28730,23,0,6,27,3752
19:58:22.359649,542,8,749,5,0,6,25,3368
19:58:22.370565,543,7,749,23,0,6,25,3368
19:58:22.382222,544,7,749,23,0,6,25,3368
19:58:22.393465,545,7,749,23,0,6,25,3368
19:58:22.416543,547,8,28730,5,0,6,25,3368
19:58:22.427222,548,7,28730,23,0,6,25,3368
19:58:22.438380,549,7,28730,23,0,6,25,3368
19:58:22.449755,550,7,28730,23,0,6,25,3368
19:58:22.506974,555,8,749,5,0,6,24,3104
19:58:22.517796,556,7,749,23,0,6,24,3104
19:58:22.529155,557,7,749,23,0,6,24,3104
19:58:22.540536,558,7,749,23,0,6,24,3104
19:58:22.563535,560,8,28730,5,0,6,23,2664
19:58:22.574602,561,7,28730,21,0,6,23,2664
19:58:22.585880,562,7,28730,21,0,6,23,2664
19:58:22.597008,563,7,28730,21,0,6,23,2664
19:58:22.654238,568,8,749,5,0,6,22,2472
19:58:22.664739,569,7,749,21,0,6,22,2472
19:58:22.676203,570,7,749,21,0,6,22,2472
19:58:22.687794,571,7,749,21,0,6,22,2472
19:58:22.713046,573,8,28730,5,0,6,22,2728
19:58:22.724915,574,7,28730,23,0,6,22,2728
19:58:22.736392,575,7,28730,23,0,6,22,2728
19:58:22.748326,576,7,28730,23,0,6,22,2728
19:58:22.808330,581,8,749,5,0,6,20,2280
19:58:22.818586,582,7,749,23,0,6,20,2280
19:58:22.830084,583,7,749,23,0,6,20,2280
19:58:22.842084,584,7,749,23,0,6,20,2280
19:58:22.865891,586,8,28730,5,0,6,20,2280
19:58:22.876809,587,7,28730,23,0,6,20,2280
19:58:22.888310,588,7,28730,23,0,6,20,2280
19:58:22.899517,589,7,28730,23,0,6,20,2280
19:58:22.973127,594,8,749,5,0,6,19,2088
19:58:22.984181,595,7,749,23,0,6,19,2088
19:58:22.995407,596,7,749,23,0,6,19,2088
19:58:23.006829,597,7,749,23,0,6,19,2088
19:58:23.029986,599,8,28730,5,0,6,19,2088
19:58:23.040722,600,7,28730,23,0,6,19,2088
19:58:23.052080,601,7,28730,23,0,6,19,2088
19:58:23.063564,602,7,28730,23,0,6,19,2088
19:58:23.121026,607,8,749,5,0,6,18,1928
19:58:23.131700,608,7,749,23,0,6,18,1928
19:58:23.143490,609,7,749,23,0,6,18,1928
19:58:23.154777,610,7,749,23,0,6,18,1928
19:58:23.178057,612,8,28730,5,0,6,18,1928
19:58:23.188829,613,7,28730,23,0,6,18,1928
19:58:23.200190,614,7,28730,23,0,6,18,1928
19:58:23.211558,615,7,28730,23,0,6,18,1928
19:58:23.269856,620,8,749,5,0,6,17,1800
19:58:23.280862,621,7,749,23,0,6,17,1800
19:58:23.292564,622,7,749,23,0,6,17,1800
19:58:23.304601,623,7,749,23,0,6,17,1800
19:58:23.327049,625,8,28730,5,0,6,17,1800
19:58:23.380478,626,9,28730,5,0,6,17,1800
19:58:23.390675,627,7,28730,23,0,6,17,1800
19:58:23.402218,628,7,28730,23,0,6,17,1800
19:58:23.461291,633,8,749,5,0,4,16,1800
19:58:23.472203,634,7,749,23,0,4,16,1800
19:58:23.484278,635,7,749,23,0,4,16,1800
19:58:23.495709,636,7,749,23,0,4,16,1800
19:58:23.519595,638,8,28730,5,0,4,16,1800
19:58:23.530274,639,7,28730,23,0,4,16,1800
19:58:23.541916,640,7,28730,23,0,4,16,1800
19:58:23.553329,641,7,28730,23,0,4,16,1800
19:58:23.613428,646,8,749,5,0,4,16,1800
19:58:23.624403,647,7,749,23,0,4,16,1800
19:58:23.636405,648,7,749,23,0,4,16,1800
19:58:23.648542,649,7,749,23,0,4,16,1800
19:58:23.672292,651,8,28730,5,0,4,16,1800
19:58:23.684836,652,7,28730,23,0,4,16,1800
19:58:23.698175,653,7,28730,23,0,4,16,1800
19:58:23.711075,654,7,28730,23,0,4,16,1800
19:58:23.769862,659,8,749,5,0,4,15,1672
19:58:23.781136,660,7,749,23,0,4,15,1672
19:58:23.792412,661,7,749,23,0,4,15,1672
19:58:23.803747,662,7,749,23,0,4,15,1672
19:58:23.827219,664,8,28730,5,0,4,15,1544
19:58:23.838253,665,7,28730,21,0,4,15,1544
19:58:23.849680,666,7,28730,21,0,4,15,1544
19:58:23.861002,667,7,28730,21,0,4,15,1544
19:58:23.918606,672,8,749,5,0,4,14,1416
19:58:23.929303,673,7,749,21,0,4,14,1416
19:58:23.940680,674,7,749,21,0,4,14,1416
19:58:23.951766,675,7,749,21,0,4,14,1416
19:58:23.974992,677,8,28730,5,0,4,14,1544
19:58:23.985762,678,7,28730,23,0,4,14,1544
19:58:23.997097,679,7,28730,23,0,4,14,1544
19:58:24.008528,680,7,28730,23,0,4,14,1544
19:58:24.065939,685,8,749,5,0,4,13,1320
19:58:24.077190,686,7,749,23,0,4,13,1320
19:58:24.088527,687,7,749,23,0,4,13,1320
