block,family,valid,n,mu_mbps,demand,payload_bytes,central_efficiency,local,central,worst_delivery_lift_pp,starvation_reduction_ms,starvation_reduction_fraction,meaningful_gap
A,constant_ceiling,True,50,6.077408,equal,92160,1.0,"{'worst_delivery_fraction': 0.6363636363636362, 'worst_inter_delivery_ms': 8672.11811351155, 'aggregate_admitted_mbps': 4.254185599999999}","{'worst_delivery_fraction': 0.6363636363636358, 'worst_inter_delivery_ms': 8672.118113511557, 'aggregate_admitted_mbps': 4.254185599999995}",-4.440892098500626e-14,-7.275957614183426e-12,-8.390058252143911e-16,False
A,constant_ceiling,True,50,6.077408,equal,132301,1.0,"{'worst_delivery_fraction': 0.6363636363636362, 'worst_inter_delivery_ms': 12449.762417511827, 'aggregate_admitted_mbps': 4.254185599999999}","{'worst_delivery_fraction': 0.6363636363636358, 'worst_inter_delivery_ms': 12449.762417511838, 'aggregate_admitted_mbps': 4.254185599999995}",-4.440892098500626e-14,-1.0913936421275139e-11,-8.766381281239233e-16,False
A,constant_ceiling,True,50,6.077408,equal,409600,1.0,"{'worst_delivery_fraction': 0.6363636363636362, 'worst_inter_delivery_ms': 38536.35346798222, 'aggregate_admitted_mbps': 4.254185599999999}","{'worst_delivery_fraction': 0.6363636363636358, 'worst_inter_delivery_ms': 38536.353467982255, 'aggregate_admitted_mbps': 4.254185599999995}",-4.440892098500626e-14,-3.637978807091713e-11,-9.4403815610481e-16,False
A,constant_ceiling,True,50,6.077408,hot20_traffic80,92160,1.0,"{'worst_delivery_fraction': 0.15909090909090906, 'worst_inter_delivery_ms': 22074.48247075667, 'aggregate_admitted_mbps': 2.1878668800000027}","{'worst_delivery_fraction': 0.6363636363636377, 'worst_inter_delivery_ms': 34688.472454046125, 'aggregate_admitted_mbps': 4.254185600000002}",47.72727272727286,-12613.989983289455,-0.5714285714285683,True
A,constant_ceiling,True,50,6.077408,hot20_traffic80,132301,1.0,"{'worst_delivery_fraction': 0.15909090909090906, 'worst_inter_delivery_ms': 31690.30433548465, 'aggregate_admitted_mbps': 2.1878668800000027}","{'worst_delivery_fraction': 0.6363636363636377, 'worst_inter_delivery_ms': 49799.04967004721, 'aggregate_admitted_mbps': 4.254185600000002}",47.72727272727286,-18108.745334562558,-0.5714285714285683,True
A,constant_ceiling,True,50,6.077408,hot20_traffic80,409600,1.0,"{'worst_delivery_fraction': 0.15909090909090906, 'worst_inter_delivery_ms': 98092.53610031836, 'aggregate_admitted_mbps': 2.1878668800000027}","{'worst_delivery_fraction': 0.6363636363636377, 'worst_inter_delivery_ms': 154145.41387192855, 'aggregate_admitted_mbps': 4.254185600000002}",47.72727272727286,-56052.87777161019,-0.5714285714285683,True
A,constant_ceiling,True,50,6.077408,synchronized_burst,92160,1.0,"{'worst_delivery_fraction': 0.5384615384615383, 'worst_inter_delivery_ms': 8672.11811351155, 'aggregate_admitted_mbps': 4.254185599999999}","{'worst_delivery_fraction': 0.5384615384615385, 'worst_inter_delivery_ms': 8672.118113511546, 'aggregate_admitted_mbps': 4.2541856}",2.220446049250313e-14,3.637978807091713e-12,4.1950291260719553e-16,False
A,constant_ceiling,True,50,6.077408,synchronized_burst,132301,1.0,"{'worst_delivery_fraction': 0.5384615384615383, 'worst_inter_delivery_ms': 12449.762417511827, 'aggregate_admitted_mbps': 4.254185599999999}","{'worst_delivery_fraction': 0.5384615384615385, 'worst_inter_delivery_ms': 12449.762417511822, 'aggregate_admitted_mbps': 4.2541856}",2.220446049250313e-14,5.4569682106375694e-12,4.3831906406196166e-16,False
A,constant_ceiling,True,50,6.077408,synchronized_burst,409600,1.0,"{'worst_delivery_fraction': 0.5384615384615383, 'worst_inter_delivery_ms': 38536.35346798222, 'aggregate_admitted_mbps': 4.254185599999999}","{'worst_delivery_fraction': 0.5384615384615385, 'worst_inter_delivery_ms': 38536.353467982204, 'aggregate_admitted_mbps': 4.2541856}",2.220446049250313e-14,1.4551915228366852e-11,3.7761526244192394e-16,False
A,constant_ceiling,True,100,6.077408,equal,92160,1.0,"{'worst_delivery_fraction': 0.6363636363636362, 'worst_inter_delivery_ms': 17344.2362270231, 'aggregate_admitted_mbps': 4.254185600000005}","{'worst_delivery_fraction': 0.6363636363636351, 'worst_inter_delivery_ms': 17344.23622702313, 'aggregate_admitted_mbps': 4.254185599999982}",-1.1102230246251565e-13,-3.2741809263825417e-11,-1.88776310673238e-15,False
