recv_raw_ns,recv_wall_ns,source_ip,ue_id,message_id,chunk_index,total_chunks,udp_payload_bytes,onwire_bytes,duplicate
896397638685466,1786681761264559588,192.168.70.134,1,736870912,0,7,60000,60028,0
896397713179864,1786681761339039629,192.168.70.134,1,736870912,1,7,60000,60028,0
896397787128372,1786681761412987606,192.168.70.134,1,736870912,2,7,60000,60028,0
896397862005937,1786681761487863910,192.168.70.134,1,736870912,3,7,60000,60028,0
896397984178981,1786681761610043424,192.168.70.134,1,736870912,4,7,60000,60028,0
896398155099388,1786681761780961107,192.168.70.134,0,368435456,0,7,60000,60028,0
896398247001316,1786681761872872266,192.168.70.134,1,736870912,5,7,60000,60028,0
896398258049277,1786681761883911686,192.168.70.134,0,368435456,1,7,60000,60028,0
896398375637267,1786681762001506192,192.168.70.134,1,736870912,6,7,49656,49684,0
896398393276302,1786681762019138467,192.168.70.134,0,368435456,2,7,60000,60028,0
896398474957026,1786681762100823963,192.168.70.134,0,368435456,3,7,60000,60028,0
896398550803380,1786681762176670729,192.168.70.134,0,368435456,4,7,60000,60028,0
896398703465843,1786681762329334467,192.168.70.134,1,736870913,0,7,60000,60028,0
896398732780636,1786681762358648956,192.168.70.134,0,368435456,5,7,60000,60028,0
896398825480880,1786681762451351811,192.168.70.134,1,736870913,1,7,60000,60028,0
896398854577829,1786681762480447854,192.168.70.134,0,368435456,6,7,49656,49684,0
896398920961164,1786681762546834794,192.168.70.134,1,736870913,2,7,60000,60028,0
896399043661655,1786681762669544157,192.168.70.134,1,736870913,3,7,60000,60028,0
896399119280281,1786681762745155714,192.168.70.134,1,736870913,4,7,60000,60028,0
896399226232340,1786681762852107083,192.168.70.134,0,368435457,0,7,60000,60028,0
896399342611991,1786681762968503134,192.168.70.134,1,736870913,5,7,60000,60028,0
896399347431059,1786681762973298085,192.168.70.134,0,368435457,1,7,60000,60028,0
896399467361920,1786681763093240158,192.168.70.134,1,736870913,6,7,49656,49684,0
896399484061406,1786681763109933186,192.168.70.134,0,368435457,2,7,60000,60028,0
896399559046127,1786681763184924569,192.168.70.134,0,368435457,3,7,60000,60028,0
896399633487818,1786681763259370365,192.168.70.134,0,368435457,4,7,60000,60028,0
896399708502749,1786681763334436426,192.168.70.134,0,368435457,5,7,60000,60028,0
896399787371589,1786681763413258186,192.168.70.134,1,736870914,0,7,60000,60028,0
896399908229800,1786681763534122399,192.168.70.134,1,736870914,1,7,60000,60028,0
896399930843941,1786681763556730459,192.168.70.134,0,368435457,6,7,49656,49684,0
896399998856351,1786681763624744526,192.168.70.134,1,736870914,2,7,60000,60028,0
896400112504601,1786681763738392848,192.168.70.134,1,736870914,3,7,60000,60028,0
896400187461301,1786681763813345917,192.168.70.134,1,736870914,4,7,60000,60028,0
896400284128933,1786681763910017992,192.168.70.134,0,368435458,0,7,60000,60028,0
896400405984375,1786681764031878818,192.168.70.134,0,368435458,1,7,60000,60028,0
896400416841912,1786681764042721001,192.168.70.134,1,736870914,5,7,60000,60028,0
896400538331163,1786681764164221456,192.168.70.134,1,736870914,6,7,49656,49684,0
896400550686844,1786681764176580953,192.168.70.134,0,368435458,2,7,60000,60028,0
896400626765847,1786681764252657360,192.168.70.134,0,368435458,3,7,60000,60028,0
896400702357102,1786681764328249983,192.168.70.134,0,368435458,4,7,60000,60028,0
896400775777551,1786681764402196643,192.168.70.134,0,368435458,5,7,60000,60028,0
896400855015209,1786681764480912703,192.168.70.134,1,736870915,0,7,60000,60028,0
896400969475920,1786681764595375718,192.168.70.134,1,736870915,1,7,60000,60028,0
896400987226682,1786681764613123924,192.168.70.134,0,368435458,6,7,49656,49684,0
896401056528637,1786681764682428428,192.168.70.134,1,736870915,2,7,60000,60028,0
896401172313338,1786681764798216408,192.168.70.134,1,736870915,3,7,60000,60028,0
896401242239361,1786681764868134805,192.168.70.134,1,736870915,4,7,60000,60028,0
896401311001671,1786681764936900846,192.168.70.134,1,736870915,5,7,60000,60028,0
896401432326825,1786681765058224878,192.168.70.134,0,368435459,0,7,60000,60028,0
896401482337040,1786681765108239601,192.168.70.134,1,736870915,6,7,49656,49684,0
896401512100086,1786681765138007128,192.168.70.134,0,368435459,1,7,60000,60028,0
896401583275617,1786681765209179090,192.168.70.134,0,368435459,2,7,60000,60028,0
896401652934877,1786681765278838620,192.168.70.134,0,368435459,3,7,60000,60028,0
896401727040118,1786681765352947909,192.168.70.134,0,368435459,4,7,60000,60028,0
896401864406742,1786681765490309472,192.168.70.134,0,368435459,6,7,49656,49684,0
896402010776276,1786681765636683259,192.168.70.134,1,736870916,0,7,60000,60028,0
896402084949752,1786681765710864504,192.168.70.134,1,736870916,1,7,60000,60028,0
896402204503111,1786681765830442395,192.168.70.134,1,736870916,2,7,60000,60028,0
896402278389424,1786681765904298773,192.168.70.134,1,736870916,3,7,60000,60028,0
896402351861941,1786681765977773988,192.168.70.134,1,736870916,4,7,60000,60028,0
896402424903585,1786681766050815674,192.168.70.134,1,736870916,5,7,60000,60028,0
896402487619141,1786681766113584847,192.168.70.134,1,736870916,6,7,49656,49684,0
896402561352308,1786681766187267985,192.168.70.134,0,368435460,0,7,60000,60028,0
896402640350797,1786681766266265389,192.168.70.134,0,368435460,1,7,60000,60028,0
896402715588495,1786681766341507652,192.168.70.134,0,368435460,2,7,60000,60028,0
896402789467225,1786681766415385522,192.168.70.134,0,368435460,3,7,60000,60028,0
896402863248834,1786681766489166613,192.168.70.134,0,368435460,4,7,60000,60028,0
896402936616381,1786681766562532867,192.168.70.134,0,368435460,5,7,60000,60028,0
896403017065642,1786681766642986178,192.168.70.134,1,736870917,0,7,60000,60028,0
896403130931544,1786681766756852453,192.168.70.134,1,736870917,1,7,60000,60028,0
896403166055890,1786681766791975749,192.168.70.134,0,368435460,6,7,49656,49684,0
896403270846714,1786681766896772716,192.168.70.134,1,736870917,2,7,60000,60028,0
896403344625101,1786681766970549624,192.168.70.134,1,736870917,3,7,60000,60028,0
896403418906896,1786681767044832573,192.168.70.134,1,736870917,4,7,60000,60028,0
896403519865694,1786681767145794953,192.168.70.134,0,368435461,0,7,60000,60028,0
896403639352578,1786681767265281246,192.168.70.134,1,736870917,5,7,60000,60028,0
896403643617894,1786681767269534518,192.168.70.134,0,368435461,1,7,60000,60028,0
896403763864877,1786681767389792340,192.168.70.134,1,736870917,6,7,49656,49684,0
896403780413122,1786681767406337690,192.168.70.134,0,368435461,2,7,60000,60028,0
896403854170564,1786681767480099383,192.168.70.134,0,368435461,3,7,60000,60028,0
896403928087470,1786681767554017020,192.168.70.134,0,368435461,4,7,60000,60028,0
896404002172300,1786681767628108179,192.168.70.134,0,368435461,5,7,60000,60028,0
896404081399219,1786681767707335620,192.168.70.134,1,736870918,0,7,60000,60028,0
896404205421205,1786681767831356321,192.168.70.134,1,736870918,1,7,60000,60028,0
896404322286080,1786681767948217406,192.168.70.134,0,368435461,6,7,49656,49684,0
896404391390038,1786681768017326716,192.168.70.134,1,736870918,2,7,60000,60028,0
896404465860312,1786681768091796713,192.168.70.134,1,736870918,3,7,60000,60028,0
896404541328841,1786681768167269702,192.168.70.134,1,736870918,4,7,60000,60028,0
896404639315787,1786681768265253062,192.168.70.134,0,368435462,0,7,60000,60028,0
896404762543712,1786681768388484536,192.168.70.134,0,368435462,1,7,60000,60028,0
896404773770103,1786681768399700942,192.168.70.134,1,736870918,5,7,60000,60028,0
896404895444832,1786681768521384725,192.168.70.134,1,736870918,6,7,49656,49684,0
896404906781249,1786681768532713449,192.168.70.134,0,368435462,2,7,60000,60028,0
896404980628787,1786681768606570662,192.168.70.134,0,368435462,3,7,60000,60028,0
896405055376135,1786681768681319329,192.168.70.134,0,368435462,4,7,60000,60028,0
896405133593559,1786681768759537769,192.168.70.134,0,368435462,5,7,60000,60028,0
896405214634285,1786681768840581786,192.168.70.134,1,736870919,0,7,60000,60028,0
896405377025273,1786681769002975167,192.168.70.134,1,736870919,1,7,60000,60028,0
896405393884748,1786681769019834523,192.168.70.134,0,368435462,6,7,49656,49684,0
896405462450934,1786681769088400990,192.168.70.134,1,736870919,2,7,60000,60028,0
