tick,tick_raw_ns,observation_available_raw_ns,ue0_c_hat_mbps,ue1_c_hat_mbps,ue0_source_event_raw_ns,ue1_source_event_raw_ns
0,895844699885430,895844700186755,5.2,5.2,0,0
1,895844749885430,895844750073295,5.2,5.2,895844618276324,895844688848117
2,895844799885430,895844800056612,5.2,5.2,895844735220889,895844688848117
3,895844849885430,895844850255574,5.2,5.2,895844735220889,895844688848117
4,895844899885430,895844899964558,5.2,5.2,895844735220889,895844805765084
5,895844949885430,895844949955091,4.2056304,5.2,895844896811765,895844805765084
6,895844999885430,895844999966340,3.4101347200000003,5.2,895844896811765,895844805765084
7,895845049885430,895845049961605,2.8041557760000004,5.2,895844968035002,895844973326467
8,895845099885430,895845099959897,2.3650238208000007,5.2,895845048165202,895844973326467
9,895845149885430,895845149962574,2.0780686566400006,5.2,895845099788380,895844973326467
10,895845199885430,895845199960048,1.9126181253120007,5.2,895845146331318,895845133631022
11,895845249885430,895845249958057,1.8476305002496007,5.2,895845197373837,895845133631022
12,895845299885430,895845299959270,1.8633220001996806,5.2,895845249156403,895845248171522
13,895845349885430,895845349956436,1.9407840001597447,5.2,895845299277420,895845248171522
14,895845399885430,895845399964941,2.066353600127796,5.2,895845345869554,895845248171522
15,895845449885430,895845449960851,2.234996480102237,5.2,895845396715527,895845362334577
16,895845499885430,895845499958942,2.43728358408179,5.2,895845448121762,895845362334577
17,895845549885430,895845549959860,2.43728358408179,5.2,895845476928131,895845475576061
18,895845599885430,895845599959523,2.43728358408179,5.2,895845476928131,895845475576061
19,895845649885430,895845649992609,2.43728358408179,5.2,895845589613368,895845588588635
20,895845699885430,895845699971627,2.43728358408179,5.2,895845589613368,895845588588635
21,895845749885430,895845749957644,2.43728358408179,4.161152,895845589613368,895845689715890
22,895845799885430,895845799959205,2.43728358408179,3.3977552000000006,895845702211265,895845748039473
23,895845849885430,895845849956356,2.43728358408179,2.8548729600000007,895845702211265,895845799465078
24,895845899885430,895845899957271,2.43728358408179,2.4852695680000005,895845815715689,895845849572598
25,895845949885430,895845949953802,2.43728358408179,2.2531868544000004,895845815715689,895845896017976
26,895845999885430,895846000033027,2.43728358408179,2.0867334835200007,895845815715689,895845949715911
27,895846049885430,895846049957765,2.43728358408179,1.9718715868160006,895845815715689,895845962370690
28,895846099885430,895846099960224,2.43728358408179,1.9476108694528007,895846004868877,895846048757611
29,895846149885430,895846149961020,2.43728358408179,1.9932726955622406,895846004868877,895846099478019
30,895846199885430,895846199963170,2.43728358408179,2.0930341564497925,895846117374188,895846145888903
31,895846249885430,895846249968450,2.43728358408179,2.241398525159834,895846117374188,895846196678386
32,895846299885430,895846299968676,2.43728358408179,2.4271620201278674,895846230629955,895846248311736
33,895846349885430,895846349969146,2.43728358408179,2.4271620201278674,895846230629955,895846287186506
34,895846399885430,895846399978365,2.43728358408179,2.4271620201278674,895846344672607,895846287186506
35,895846449885430,895846449980944,2.43728358408179,2.4271620201278674,895846344672607,895846287186506
36,895846499885430,895846499974992,2.43728358408179,2.4271620201278674,895846344672607,895846401563327
37,895846549885430,895846550184773,2.43728358408179,2.4271620201278674,895846458028919,895846401563327
38,895846599885430,895846600092159,2.43728358408179,2.4271620201278674,895846458028919,895846517933126
39,895846649885430,895846649968732,2.43728358408179,2.4271620201278674,895846576444374,895846517933126
40,895846699885430,895846699977119,2.43728358408179,2.4271620201278674,895846576444374,895846635416732
41,895846749885430,895846750138194,2.43728358408179,2.4271620201278674,895846693374657,895846635416732
42,895846799885430,895846799935499,2.43728358408179,2.4271620201278674,895846693374657,895846635416732
43,895846849885430,895846849955710,1.951090867265432,2.4271620201278674,895846693374657,895846751455629
44,895846899885430,895846899956700,1.6075318938123455,2.4271620201278674,895846849348142,895846751455629
45,895846949885430,895846949962435,1.3925935150498765,2.4271620201278674,895846896985364,895846866214286
46,895846999885430,895846999968517,1.2891980120399014,2.4271620201278674,895846949642150,895846866214286
47,895847049885430,895847049965584,1.258670409631921,2.4271620201278674,895846993322435,895846986960966
48,895847099885430,895847099969897,1.2884147277055367,2.4271620201278674,895847049918760,895846986960966
49,895847149885430,895847149959645,1.3788325821644294,2.4271620201278674,895847096996680,895846986960966
50,895847199885430,895847199955426,1.5193540657315436,2.4271620201278674,895847149254680,895847113363403
51,895847249885430,895847249955451,1.692636852585235,2.4271620201278674,895847199838066,895847113363403
52,895847299885430,895847299955732,1.8987142820681884,2.4271620201278674,895847247085446,895847229628950
53,895847349885430,895847349966307,2.127926625654551,2.4271620201278674,895847299298157,895847229628950
54,895847399885430,895847399970169,2.127926625654551,2.4271620201278674,895847349688037,895847229628950
55,895847449885430,895847449966932,2.127926625654551,2.4271620201278674,895847368813148,895847356306460
56,895847499885430,895847499965074,2.127926625654551,2.4271620201278674,895847368813148,895847356306460
57,895847549885430,895847549969686,2.127926625654551,2.4271620201278674,895847483037344,895847471417065
58,895847599885430,895847600448949,2.127926625654551,2.4271620201278674,895847483037344,895847471417065
59,895847649885430,895847649960834,2.127926625654551,1.9505712161022941,895847598583200,895847598593887
60,895847699885430,895847699957235,2.127926625654551,1.6300025728818355,895847598583200,895847649202253
61,895847749885430,895847749956005,2.127926625654551,1.4413524583054687,895847598583200,895847696292314
