time,rnti,frame,slot,lcid,data_size
21:27:42.283474,3836,117,8,4,752
21:27:42.294214,3836,118,7,4,3712
21:27:42.295018,3836,118,8,4,7672
21:27:42.295018,3836,118,8,4,9664
21:27:42.295403,3836,118,9,4,2432
21:27:42.295403,3836,118,9,4,12056
21:27:42.295403,3836,118,9,4,2848
21:27:42.300075,3836,118,17,4,3712
21:27:42.300827,3836,118,18,4,5576
21:27:42.300828,3836,118,18,4,11784
21:27:42.301271,3836,118,19,4,312
21:27:42.301271,3836,118,19,4,12056
21:27:42.301271,3836,118,19,4,4968
21:27:42.305819,3836,119,7,4,3712
21:27:42.306530,3836,119,8,4,3456
21:27:42.306530,3836,119,8,4,12056
21:27:42.306530,3836,119,8,4,1808
21:27:42.307110,3836,119,9,4,10288
21:27:42.307110,3836,119,9,4,7072
21:27:42.311682,3836,119,17,4,3712
21:27:42.312215,3836,119,18,4,1352
21:27:42.312215,3836,119,18,4,12056
21:27:42.312216,3836,119,18,4,3928
21:27:42.312833,3836,119,19,4,8168
21:27:42.312833,3836,119,19,4,6880
21:27:42.317228,3836,120,7,4,3712
21:27:42.318091,3836,120,8,4,1544
21:27:42.318091,3836,120,8,4,12056
21:27:42.318092,3836,120,8,4,1920
21:27:42.318679,3836,120,9,4,10176
21:27:42.318679,3836,120,9,4,5384
21:27:42.323231,3836,120,17,4,3712
21:27:42.323761,3836,120,18,4,3040
21:27:42.323761,3836,120,18,4,12056
21:27:42.323761,3836,120,18,4,2240
21:27:42.324385,3836,120,19,4,9856
21:27:42.324386,3836,120,19,4,7504
21:27:42.328944,3836,121,7,4,3712
21:27:42.329741,3836,121,8,4,920
21:27:42.329742,3836,121,8,4,12056
21:27:42.329742,3836,121,8,4,4336
21:27:42.330321,3836,121,9,4,7760
21:27:42.330321,3836,121,9,4,9600
21:27:42.334876,3836,121,17,4,2496
21:27:42.334876,3836,121,17,4,1200
21:27:42.335711,3836,121,18,4,10896
21:27:42.335711,3836,121,18,4,6464
21:27:42.336400,3836,121,19,4,5632
21:27:42.336400,3836,121,19,4,9416
21:27:42.340898,3836,122,7,4,2680
21:27:42.340898,3836,122,7,4,1016
21:27:42.341528,3836,122,8,4,11080
21:27:42.341528,3836,122,8,4,6256
21:27:42.342060,3836,122,9,4,5840
21:27:42.342060,3836,122,9,4,11520
21:27:42.346545,3836,122,17,4,576
21:27:42.346545,3836,122,17,4,3112
21:27:42.347137,3836,122,18,4,8984
21:27:42.347137,3836,122,18,4,8376
21:27:42.347755,3836,122,19,4,3720
21:27:42.347755,3836,122,19,4,12056
21:27:42.347756,3836,122,19,4,1568
21:27:42.352090,3836,123,7,4,3712
21:27:42.352860,3836,123,8,4,6856
21:27:42.352860,3836,123,8,4,10480
21:27:42.353425,3836,123,9,4,1616
21:27:42.353425,3836,123,9,4,12056
21:27:42.353425,3836,123,9,4,3664
21:27:42.358091,3836,123,17,4,3712
21:27:42.358794,3836,123,18,4,4760
21:27:42.358794,3836,123,18,4,12056
21:27:42.358794,3836,123,18,4,528
21:27:42.359421,3836,123,19,4,11568
21:27:42.359421,3836,123,19,4,3480
21:27:42.363592,3836,124,7,4,3712
21:27:42.364798,3836,124,8,4,4944
21:27:42.364798,3836,124,8,4,12056
21:27:42.364799,3836,124,8,4,320
21:27:42.365979,3836,124,9,4,11776
21:27:42.365979,3836,124,9,4,5584
21:27:42.369726,3836,124,17,4,1136
21:27:42.369726,3836,124,17,4,2552
21:27:42.370296,3836,124,18,4,9544
21:27:42.370296,3836,124,18,4,7816
21:27:42.370593,3836,124,19,4,4280
21:27:42.370593,3836,124,19,4,12056
21:27:42.370593,3836,124,19,4,1008
21:27:42.375240,3836,125,7,4,3712
21:27:42.375778,3836,125,8,4,7416
21:27:42.375778,3836,125,8,4,8888
21:27:42.376231,3836,125,9,4,3208
21:27:42.376232,3836,125,9,4,12056
21:27:42.376232,3836,125,9,4,2072
21:27:42.384075,3836,125,17,4,3712
21:27:42.385636,3836,125,18,4,6352
21:27:42.385636,3836,125,18,4,11008
21:27:42.438659,3836,125,19,4,1088
21:27:42.438660,3836,125,19,4,12056
21:27:42.438660,3836,125,19,4,1888
21:27:42.440267,3836,126,7,4,3712
21:27:42.441668,3836,126,8,4,6536
21:27:42.441668,3836,126,8,4,10800
21:27:42.441940,3836,126,9,4,1296
21:27:42.441940,3836,126,9,4,12056
21:27:42.441940,3836,126,9,4,3984
21:27:42.446174,3836,126,17,4,3712
21:27:42.446861,3836,126,18,4,4440
21:27:42.446861,3836,126,18,4,12056
21:27:42.446861,3836,126,18,4,848
21:27:42.447888,3836,126,19,4,11248
21:27:42.447888,3836,126,19,4,6112
21:27:42.496910,3836,127,7,4,3712
21:27:42.497490,3836,127,8,4,2312
21:27:42.497490,3836,127,8,4,12056
21:27:42.497490,3836,127,8,4,2944
21:27:42.498559,3836,127,9,4,9152
21:27:42.498559,3836,127,9,4,8208
21:27:42.500864,3836,127,17,4,3712
21:27:42.502285,3836,127,18,4,216
21:27:42.502285,3836,127,18,4,12056
21:27:42.502285,3836,127,18,4,5064
21:27:42.503686,3836,127,19,4,7032
21:27:42.503686,3836,127,19,4,8016
21:27:42.505577,3836,128,7,4,3712
21:27:42.506537,3836,128,8,4,408
21:27:42.506537,3836,128,8,4,12056
21:27:42.506538,3836,128,8,4,3048
21:27:42.507446,3836,128,9,4,9048
21:27:42.507447,3836,128,9,4,6512
21:27:42.512198,3836,128,17,4,3712
21:27:42.513095,3836,128,18,4,1912
21:27:42.513095,3836,128,18,4,12056
21:27:42.513095,3836,128,18,4,3368
21:27:42.513357,3836,128,19,4,8728
21:27:42.513357,3836,128,19,4,8632
21:27:42.518190,3836,129,7,4,3464
21:27:42.518190,3836,129,7,4,232
21:27:42.518956,3836,129,8,4,11864
21:27:42.518956,3836,129,8,4,5472
21:27:42.519525,3836,129,9,4,6624
21:27:42.519525,3836,129,9,4,10736
21:27:42.524457,3836,129,17,4,1360
21:27:42.524458,3836,129,17,4,2328
21:27:42.525385,3836,129,18,4,9768
21:27:42.525385,3836,129,18,4,7592
21:27:42.526292,3836,129,19,4,4504
21:27:42.526292,3836,129,19,4,10544
21:27:42.530872,3836,130,7,4,1552
21:27:42.530872,3836,130,7,4,2136
21:27:42.531497,3836,130,8,4,9960
21:27:42.531498,3836,130,8,4,7376
21:27:42.532048,3836,130,9,4,4720
21:27:42.532049,3836,130,9,4,12056
21:27:42.532049,3836,130,9,4,568
21:27:42.536704,3836,130,17,4,3712
21:27:42.537341,3836,130,18,4,7856
21:27:42.537342,3836,130,18,4,9504
21:27:42.538011,3836,130,19,4,2592
21:27:42.538011,3836,130,19,4,12056
21:27:42.538012,3836,130,19,4,2688
21:27:42.542400,3836,131,7,4,3712
21:27:42.542892,3836,131,8,4,360
21:27:42.542892,3836,131,8,4,12056
21:27:42.542892,3836,131,8,4,4896
21:27:42.543434,3836,131,9,4,7200
21:27:42.543434,3836,131,9,4,10160
21:27:42.547885,3836,131,17,4,1936
21:27:42.547885,3836,131,17,4,1760
21:27:42.548636,3836,131,18,4,10336
21:27:42.548637,3836,131,18,4,7024
21:27:42.549319,3836,131,19,4,5072
21:27:42.549319,3836,131,19,4,9976
21:27:42.553991,3836,132,7,4,2120
21:27:42.553991,3836,132,7,4,1576
21:27:42.554252,3836,132,8,4,10520
21:27:42.554252,3836,132,8,4,6816
21:27:42.555052,3836,132,9,4,5280
21:27:42.555052,3836,132,9,4,12056
21:27:42.559387,3836,132,17,4,3712
21:27:42.560008,3836,132,18,4,8384
21:27:42.560008,3836,132,18,4,8976
21:27:42.560556,3836,132,19,4,3120
21:27:42.560556,3836,132,19,4,12056
21:27:42.560557,3836,132,19,4,2160
21:27:42.565212,3836,133,7,4,3712
21:27:42.565691,3836,133,8,4,6264
21:27:42.565691,3836,133,8,4,11072
21:27:42.566210,3836,133,9,4,1024
21:27:42.566211,3836,133,9,4,12056
21:27:42.566211,3836,133,9,4,4256
21:27:42.570777,3836,133,17,4,3712
21:27:42.571690,3836,133,18,4,4168
21:27:42.571690,3836,133,18,4,12056
21:27:42.571690,3836,133,18,4,1120
21:27:42.572289,3836,133,19,4,10976
21:27:42.572290,3836,133,19,4,4072
21:27:42.576749,3836,134,7,4,3712
21:27:42.577615,3836,134,8,4,4352
21:27:42.577615,3836,134,8,4,12056
21:27:42.577615,3836,134,8,4,912
21:27:42.578012,3836,134,9,4,11184
21:27:42.578012,3836,134,9,4,6176
21:27:42.582404,3836,134,17,4,3712
21:27:42.583130,3836,134,18,4,2248
21:27:42.583130,3836,134,18,4,12056
21:27:42.583130,3836,134,18,4,3032
21:27:42.583734,3836,134,19,4,9064
21:27:42.583734,3836,134,19,4,8296
21:27:42.588185,3836,135,7,4,3712
21:27:42.588908,3836,135,8,4,128
21:27:42.588908,3836,135,8,4,12056
21:27:42.588908,3836,135,8,4,4096
21:27:42.589368,3836,135,9,4,8000
21:27:42.589368,3836,135,9,4,9360
21:27:42.594108,3836,135,17,4,2736
