time,frame,slot,rnti,rb_size,rb_start,qam_mod_order,mcs_index,number_of_bits
21:27:31.661733,249,8,960,5,0,2,8,808
21:27:31.684222,251,8,3836,5,0,2,8,808
21:27:31.775578,259,8,960,5,0,2,8,808
21:27:31.797745,261,8,3836,5,0,2,8,808
21:27:31.888839,269,8,960,5,0,2,8,808
21:27:31.911243,271,8,3836,5,0,2,8,808
21:27:32.024290,279,8,960,5,0,2,8,808
21:27:32.046545,281,8,3836,5,0,2,8,808
21:27:32.137069,289,8,960,5,0,2,8,808
21:27:32.159250,291,8,3836,5,0,2,8,808
21:27:32.249320,299,8,960,5,0,2,8,808
21:27:32.271524,301,8,3836,5,0,2,8,808
21:27:32.362143,309,8,960,5,0,2,8,808
21:27:32.384121,311,8,3836,5,0,2,8,808
21:27:32.474100,319,8,960,5,0,2,8,808
21:27:32.496233,321,8,3836,5,0,2,8,808
21:27:32.586861,329,8,960,5,0,2,8,808
21:27:32.609016,331,8,3836,5,0,2,8,808
21:27:32.700262,339,8,960,5,0,2,8,808
21:27:32.722470,341,8,3836,5,0,2,8,808
21:27:32.813968,349,8,960,5,0,2,8,808
21:27:32.836179,351,8,3836,5,0,2,8,808
21:27:32.926307,359,8,960,5,0,2,8,808
21:27:32.974688,361,8,3836,5,0,2,8,808
21:27:33.065448,369,8,960,5,0,2,8,808
21:27:33.087713,371,8,3836,5,0,2,8,808
21:27:33.179089,379,8,960,5,0,2,8,808
21:27:33.201496,381,8,3836,5,0,2,8,808
21:27:33.292354,389,8,960,5,0,2,8,808
21:27:33.314750,391,8,3836,5,0,2,8,808
21:27:33.405803,399,8,960,5,0,2,8,808
21:27:33.428260,401,8,3836,5,0,2,8,808
21:27:33.518961,409,8,960,5,0,2,8,808
21:27:33.541504,411,8,3836,5,0,2,8,808
21:27:33.624538,419,8,960,5,0,2,8,808
21:27:33.644688,421,8,3836,5,0,2,8,808
21:27:33.726386,429,8,960,5,0,2,8,808
21:27:33.746704,431,8,3836,5,0,2,8,808
21:27:33.828332,439,8,960,5,0,2,8,808
21:27:33.848298,441,8,3836,5,0,2,8,808
21:27:33.929146,449,8,960,5,0,2,8,808
21:27:33.948968,451,8,3836,5,0,2,8,808
21:27:34.030551,459,8,960,5,0,2,8,808
21:27:34.050634,461,8,3836,5,0,2,8,808
21:27:34.134671,469,8,960,5,0,2,8,808
21:27:34.155359,471,8,3836,5,0,2,8,808
21:27:34.277465,479,8,960,5,0,2,8,808
21:27:34.298095,481,8,3836,5,0,2,8,808
21:27:34.382332,489,8,960,5,0,2,8,808
21:27:34.403014,491,8,3836,5,0,2,8,808
21:27:34.487651,499,8,960,5,0,2,8,808
21:27:34.508193,501,8,3836,5,0,2,8,808
21:27:34.593905,509,8,960,5,0,2,8,808
21:27:34.617125,511,8,3836,5,0,2,8,808
21:27:34.708067,519,8,960,5,0,2,8,808
21:27:34.730281,521,8,3836,5,0,2,8,808
21:27:34.822816,529,8,960,5,0,2,8,808
21:27:34.845692,531,8,3836,5,0,2,8,808
21:27:34.938934,539,8,960,5,0,2,8,808
21:27:34.962495,541,8,3836,5,0,2,8,808
21:27:35.055826,549,8,960,5,0,2,8,808
21:27:35.078707,551,8,3836,5,0,2,8,808
21:27:35.172572,559,8,960,5,0,2,8,808
21:27:35.195328,561,8,3836,5,0,2,8,808
21:27:35.331371,569,8,960,5,0,2,8,808
21:27:35.353684,571,8,3836,5,0,2,8,808
21:27:35.446395,579,8,960,5,0,2,8,808
21:27:35.469448,581,8,3836,5,0,2,8,808
21:27:35.563489,589,8,960,5,0,2,8,808
21:27:35.586247,591,8,3836,5,0,2,8,808
21:27:35.679214,599,8,960,5,0,2,8,808
21:27:35.702032,601,8,3836,5,0,2,8,808
21:27:35.794842,609,8,960,5,0,2,8,808
21:27:35.818140,611,8,3836,5,0,2,8,808
21:27:35.913053,619,8,960,5,0,2,8,808
21:27:35.936330,621,8,3836,5,0,2,8,808
21:27:36.030386,629,8,960,5,0,2,8,808
21:27:36.053698,631,8,3836,5,0,2,8,808
21:27:36.147972,639,8,960,5,0,2,8,808
21:27:36.170572,641,8,3836,5,0,2,8,808
21:27:36.265544,649,8,960,5,0,2,8,808
21:27:36.288864,651,8,3836,5,0,2,8,808
21:27:36.385367,659,8,960,5,0,2,8,808
21:27:36.408387,661,8,3836,5,0,2,8,808
21:27:36.502870,669,8,960,5,0,2,8,808
21:27:36.525803,671,8,3836,5,0,2,8,808
21:27:36.620080,679,8,960,5,0,2,8,808
21:27:36.643392,681,8,3836,5,0,2,8,808
21:27:36.738144,689,8,960,5,0,2,8,808
21:27:36.760405,691,8,3836,5,0,2,8,808
21:27:36.853877,699,8,960,5,0,2,8,808
21:27:36.876183,701,8,3836,5,0,2,8,808
21:27:36.986850,709,8,960,5,0,2,8,808
21:27:37.009204,711,8,3836,5,0,2,8,808
21:27:37.099407,719,8,960,5,0,2,8,808
21:27:37.121523,721,8,3836,5,0,2,8,808
21:27:37.211903,729,8,960,5,0,2,8,808
21:27:37.233933,731,8,3836,5,0,2,8,808
