time,eNB_ID,rnti,rb_id,length
21:25:56.922371,0,3836,1,0
21:25:56.922372,0,3836,4,1
21:25:56.951236,0,3836,1,0
21:25:56.951237,0,3836,4,1
21:25:56.979959,0,3836,1,0
21:25:56.979960,0,3836,4,1
21:25:57.090303,0,3836,1,0
21:25:57.090305,0,3836,4,1
21:25:57.149518,0,3836,1,0
21:25:57.149520,0,3836,4,1
21:25:57.207429,0,3836,1,0
21:25:57.207431,0,3836,4,1
21:25:57.269247,0,960,1,0
21:25:57.269249,0,960,4,1
21:25:57.342916,0,960,1,0
21:25:57.342917,0,960,4,1
21:25:57.371403,0,960,1,0
21:25:57.371404,0,960,4,1
21:25:57.429897,0,3836,1,0
21:25:57.429899,0,3836,4,1
21:25:57.491548,0,960,1,0
21:25:57.491550,0,960,4,1
21:25:57.549965,0,3836,1,0
21:25:57.549967,0,3836,4,1
21:25:57.606868,0,960,1,0
21:25:57.606870,0,960,4,1
21:25:57.634831,0,960,1,0
21:25:57.634832,0,960,4,1
21:25:57.663512,0,960,1,0
21:25:57.663513,0,960,4,1
21:25:57.670357,0,3836,1,0
21:25:57.670359,0,3836,4,1
21:25:57.778975,0,960,1,0
21:25:57.778977,0,960,4,1
21:25:57.791019,0,3836,1,0
21:25:57.791021,0,3836,4,1
21:25:57.807603,0,960,1,0
21:25:57.807604,0,960,4,1
21:25:57.911344,0,3836,1,0
21:25:57.911346,0,3836,4,1
21:25:57.923408,0,960,1,0
21:25:57.923409,0,960,4,1
21:25:57.950813,0,960,1,0
21:25:57.950815,0,960,4,1
21:25:57.980430,0,960,1,0
21:25:57.980431,0,960,4,1
21:25:58.031783,0,3836,1,0
21:25:58.031784,0,3836,4,1
21:25:58.199048,0,960,1,0
21:25:58.199050,0,960,4,1
21:25:58.226619,0,960,1,0
21:25:58.226620,0,960,4,1
21:25:58.255762,0,960,1,0
21:25:58.255763,0,960,4,1
21:25:58.256357,0,3836,1,0
21:25:58.256358,0,3836,4,1
21:25:58.283995,0,960,1,0
21:25:58.283996,0,960,4,1
21:25:58.313449,0,960,1,0
21:25:58.313451,0,960,4,1
21:25:58.371037,0,3836,1,0
21:25:58.371038,0,3836,4,1
21:25:58.428152,0,960,1,0
21:25:58.428153,0,960,4,1
21:25:58.455780,0,960,1,0
21:25:58.455781,0,960,4,1
21:25:58.484563,0,960,1,0
21:25:58.484565,0,960,4,1
21:25:58.491535,0,3836,1,0
21:25:58.491536,0,3836,4,1
21:25:58.513207,0,960,1,0
21:25:58.513209,0,960,4,1
21:25:58.520175,0,3836,1,0
21:25:58.520177,0,3836,4,1
21:25:58.544026,0,960,1,0
21:25:58.544027,0,960,4,1
21:25:58.641667,0,3836,1,0
21:25:58.641669,0,3836,4,1
21:25:58.659380,0,960,1,0
21:25:58.659381,0,960,4,1
21:25:58.686819,0,960,1,0
21:25:58.686821,0,960,4,1
21:25:58.715673,0,960,1,0
21:25:58.715674,0,960,4,1
21:25:58.744885,0,960,1,0
21:25:58.744887,0,960,4,1
21:25:58.762624,0,3836,1,0
21:25:58.762626,0,3836,4,1
21:25:58.773589,0,960,1,0
21:25:58.773590,0,960,4,1
21:25:58.876594,0,3836,1,0
21:25:58.876595,0,3836,4,1
21:25:58.888094,0,960,1,0
21:25:58.888095,0,960,4,1
21:25:58.915265,0,960,1,0
21:25:58.915267,0,960,4,1
21:25:58.943731,0,960,1,0
21:25:58.943732,0,960,4,1
21:25:58.996122,0,3836,1,0
21:25:58.996123,0,3836,4,1
21:25:59.023942,0,3836,1,0
21:25:59.023943,0,3836,4,1
21:25:59.057681,0,960,1,0
21:25:59.057682,0,960,4,1
21:25:59.132911,0,960,1,0
21:25:59.132913,0,960,4,1
21:25:59.228827,0,3836,1,0
21:25:59.228828,0,3836,4,1
21:25:59.256009,0,3836,1,0
21:25:59.256011,0,3836,4,1
21:25:59.284324,0,3836,1,0
21:25:59.284325,0,3836,4,1
21:25:59.295702,0,960,1,0
21:25:59.295704,0,960,4,1
21:25:59.312926,0,3836,1,0
21:25:59.312928,0,3836,4,1
21:25:59.324419,0,960,1,0
21:25:59.324420,0,960,4,1
21:25:59.342183,0,3836,1,0
21:25:59.342184,0,3836,4,1
21:25:59.353214,0,960,1,0
21:25:59.353215,0,960,4,1
21:25:59.382425,0,960,1,0
21:25:59.382427,0,960,4,1
21:25:59.463403,0,3836,1,0
21:25:59.463404,0,3836,4,1
21:25:59.499182,0,960,1,0
21:25:59.499183,0,960,4,1
21:25:59.526167,0,960,1,0
21:25:59.526168,0,960,4,1
