time,rnti,frame,slot,mcs,tbs
21:25:46.184369,3836,605,2,8,101
21:25:46.221241,960,608,2,8,92
21:25:46.307479,3836,615,2,8,101
21:25:46.345098,960,618,2,8,101
21:25:46.432552,3836,625,2,8,101
21:25:46.469828,960,628,2,8,101
21:25:46.556862,3836,635,2,8,101
21:25:46.593980,960,638,2,8,101
21:25:46.680530,3836,645,2,8,101
21:25:46.717633,960,648,2,8,92
21:25:46.847995,3836,655,2,8,101
21:25:46.884959,960,658,2,8,101
21:25:46.972163,3836,665,2,8,101
21:25:47.009233,960,668,2,8,101
21:25:47.097190,3836,675,2,8,101
21:25:47.134718,960,678,2,8,101
21:25:47.222348,3836,685,2,8,101
21:25:47.259426,960,688,2,8,92
21:25:47.345897,3836,695,2,8,101
21:25:47.383191,960,698,2,8,101
21:25:47.473067,3836,705,2,8,101
21:25:47.510490,960,708,2,8,101
21:25:47.597920,3836,715,2,8,101
21:25:47.635377,960,718,2,8,101
21:25:47.765099,3836,725,2,8,101
21:25:47.839670,960,728,2,8,92
21:25:47.926779,3836,735,2,8,101
21:25:47.964207,960,738,2,8,101
21:25:48.053531,3836,745,2,8,101
21:25:48.090407,960,748,2,8,101
21:25:48.175595,3836,755,2,8,101
21:25:48.211489,960,758,2,8,101
21:25:48.292824,3836,765,2,8,101
21:25:48.327291,960,768,2,8,92
21:25:48.408853,3836,775,2,8,101
21:25:48.443576,960,778,2,8,101
21:25:48.524684,3836,785,2,8,101
21:25:48.559799,960,788,2,8,101
21:25:48.641964,3836,795,2,8,101
21:25:48.676810,960,798,2,8,101
21:25:48.850288,3836,805,2,8,101
21:25:48.884843,960,808,2,8,92
21:25:48.965124,3836,815,2,8,101
21:25:48.999568,960,818,2,8,101
21:25:49.079478,3836,825,2,8,101
21:25:49.114017,960,828,2,8,101
21:25:49.193665,3836,835,2,8,101
21:25:49.227458,960,838,2,8,101
21:25:49.306659,3836,845,2,8,101
21:25:49.340636,960,848,2,8,92
21:25:49.420151,3836,855,2,8,101
21:25:49.454358,960,858,2,8,101
21:25:49.534576,3836,865,2,8,101
21:25:49.569222,960,868,2,8,101
21:25:49.649625,3836,875,2,8,101
21:25:49.683737,960,878,2,8,101
21:25:49.764194,3836,885,2,8,101
21:25:49.798790,960,888,2,8,92
21:25:49.878775,3836,895,2,8,101
21:25:49.913201,960,898,2,8,101
21:25:50.018888,3836,905,2,8,101
21:25:50.053002,960,908,2,8,101
21:25:50.133024,3836,915,2,8,101
21:25:50.167123,960,918,2,8,101
21:25:50.247057,3836,925,2,8,101
21:25:50.281417,960,928,2,8,92
21:25:50.361042,3836,935,2,8,101
21:25:50.395355,960,938,2,8,101
21:25:50.475382,3836,945,2,8,101
21:25:50.509701,960,948,2,8,101
21:25:50.589219,3836,955,2,8,101
21:25:50.623756,960,958,2,8,101
21:25:50.704118,3836,965,2,8,101
21:25:50.738250,960,968,2,8,92
21:25:50.819623,3836,975,2,8,101
21:25:50.853892,960,978,2,8,101
21:25:50.962642,3836,985,2,8,101
21:25:50.996858,960,988,2,8,101
21:25:51.077040,3836,995,2,8,101
21:25:51.111372,960,998,2,8,101
21:25:51.193342,3836,1005,2,8,101
21:25:51.228100,960,1008,2,8,92
21:25:51.308922,3836,1015,2,8,101
21:25:51.343944,960,1018,2,8,101
21:25:51.423809,3836,1,2,8,101
21:25:51.458140,960,4,2,8,101
21:25:51.538198,3836,11,2,8,101
21:25:51.572567,960,14,2,8,101
21:25:51.652871,3836,21,2,8,101
21:25:51.686935,960,24,2,8,92
21:25:51.860202,3836,31,2,8,101
21:25:51.894714,960,34,2,8,101
21:25:51.975452,3836,41,2,8,101
21:25:52.010341,960,44,2,8,101
21:25:52.090053,3836,51,2,8,101
21:25:52.124289,960,54,2,8,101
21:25:52.205348,3836,61,2,8,101
21:25:52.241157,960,64,2,8,92
21:25:52.327363,3836,71,2,8,101
21:25:52.362312,960,74,2,8,101
21:25:52.443688,3836,81,2,8,101
21:25:52.478995,960,84,2,8,101
21:25:52.562131,3836,91,2,8,101
21:25:52.595748,960,94,2,8,101
21:25:52.676390,3836,101,2,8,101
21:25:52.711415,960,104,2,8,92
21:25:52.792952,3836,111,2,8,101
21:25:52.828011,960,114,2,8,101
21:25:52.992198,3836,121,2,8,101
21:25:53.026517,960,124,2,8,101
21:25:53.106754,3836,131,2,8,101
21:25:53.141470,960,134,2,8,101
21:25:53.222907,3836,141,2,8,101
21:25:53.257524,960,144,2,8,92
21:25:53.338176,3836,151,2,8,101
21:25:53.372682,960,154,2,8,101
21:25:53.456883,3836,161,2,8,101
21:25:53.491176,960,164,2,8,101
21:25:53.572381,3836,171,2,8,101
21:25:53.606856,960,174,2,8,101
21:25:53.686805,3836,181,2,8,101
21:25:53.720949,960,184,2,8,92
21:25:53.800686,3836,191,2,8,101
21:25:53.834406,960,194,2,8,101
21:25:53.921087,3836,201,2,8,101
21:25:53.981331,960,204,2,8,101
21:25:54.061009,3836,211,2,8,101
21:25:54.094725,960,214,2,8,101
21:25:54.173209,3836,221,2,8,101
21:25:54.207073,960,224,2,8,92
21:25:54.286516,3836,231,2,8,101
21:25:54.320467,960,234,2,8,101
21:25:54.405652,3836,241,2,8,101
21:25:54.441206,960,244,2,8,101
21:25:54.522743,3836,251,2,8,101
21:25:54.556993,960,254,2,8,101
21:25:54.636818,3836,261,2,8,101
21:25:54.670591,960,264,2,8,92
21:25:54.750817,3836,271,2,8,101
21:25:54.785351,960,274,2,8,101
21:25:54.866905,3836,281,2,8,101
21:25:54.902171,960,284,2,8,101
21:25:55.101286,3836,291,2,8,101
21:25:55.136178,960,294,2,8,101
21:25:55.216287,3836,301,2,8,101
21:25:55.250715,960,304,2,8,92
21:25:55.332400,3836,311,2,8,101
21:25:55.367003,960,314,2,8,101
21:25:55.450303,3836,321,2,8,101
21:25:55.485104,960,324,2,8,101
21:25:55.566821,3836,331,2,8,101
21:25:55.601819,960,334,2,8,101
21:25:55.683974,3836,341,2,8,101
21:25:55.718999,960,344,2,8,92
21:25:55.800590,3836,351,2,8,101
21:25:55.835872,960,354,2,8,101
21:25:55.917117,3836,361,2,8,101
21:25:55.951429,960,364,2,8,101
21:25:56.126010,3836,371,2,8,101
21:25:56.161469,960,374,2,8,101
21:25:56.244450,3836,381,2,8,101
21:25:56.279632,960,384,2,8,92
