time,rnti,frame,slot,snrx10,phr,tpc,tb_size,txpower_calc,rbSize,mcs,rssi
21:30:50.669331,3836,579,8,60,48,1,101,0,5,8,890
21:30:50.693532,960,581,8,60,48,1,101,0,5,8,890
21:30:50.790983,3836,589,8,60,48,2,101,0,5,8,890
21:30:50.815472,960,591,8,60,48,1,101,0,5,8,890
21:30:51.005964,3836,599,8,60,48,1,101,0,5,8,890
21:30:51.029474,960,601,8,60,48,1,101,0,5,8,890
21:30:51.126303,3836,609,8,60,48,1,101,0,5,8,890
21:30:51.150522,960,611,8,60,48,2,101,0,5,8,890
21:30:51.247424,3836,619,8,60,48,1,101,0,5,8,890
21:30:51.271733,960,621,8,60,48,1,101,0,5,8,890
21:30:51.369854,3836,629,8,60,48,1,101,0,5,8,890
21:30:51.389688,960,631,8,60,48,1,101,0,5,8,890
21:30:51.471390,3836,639,8,60,48,2,101,0,5,8,890
21:30:51.491896,960,641,8,60,48,1,101,0,5,8,890
21:30:51.573413,3836,649,8,60,48,1,101,0,5,8,890
21:30:51.594010,960,651,8,60,48,2,101,0,5,8,890
21:30:51.676520,3836,659,8,60,48,1,101,0,5,8,890
21:30:51.699482,960,661,8,60,48,1,101,0,5,8,890
21:30:51.792063,3836,669,8,60,48,1,101,0,5,8,890
21:30:51.815232,960,671,8,60,48,1,101,0,5,8,890
21:30:51.957405,3836,679,8,60,48,2,101,0,5,8,890
21:30:51.979908,960,681,8,60,48,1,101,0,5,8,890
21:30:52.074349,3836,689,8,60,48,1,101,0,5,8,890
21:30:52.098789,960,691,8,60,48,1,101,0,5,8,890
21:30:52.194376,3836,699,8,60,48,1,101,0,5,8,890
21:30:52.217259,960,701,8,60,48,2,101,0,5,8,890
21:30:52.309959,3836,709,8,60,48,1,101,0,5,8,890
21:30:52.333852,960,711,8,60,48,1,101,0,5,8,890
21:30:52.427079,3836,719,8,60,48,1,101,0,5,8,890
21:30:52.450074,960,721,8,60,48,1,101,0,5,8,890
21:30:52.543287,3836,729,8,60,48,2,101,0,5,8,890
21:30:52.567047,960,731,8,60,48,1,101,0,5,8,890
21:30:52.660980,3836,739,8,60,48,1,101,0,5,8,890
21:30:52.684601,960,741,8,60,48,1,101,0,5,8,890
21:30:52.776637,3836,749,8,60,48,1,101,0,5,8,890
21:30:52.799647,960,751,8,60,48,2,101,0,5,8,890
21:30:52.893404,3836,759,8,60,48,1,101,0,5,8,890
21:30:52.916579,960,761,8,60,48,1,101,0,5,8,890
21:30:53.027904,3836,769,8,60,48,1,101,0,5,8,890
21:30:53.051357,960,771,8,60,48,1,101,0,5,8,890
21:30:53.146944,3836,779,8,60,48,2,101,0,5,8,890
21:30:53.169449,960,781,8,60,48,1,101,0,5,8,890
21:30:53.262289,3836,789,8,60,48,1,101,0,5,8,890
21:30:53.285212,960,791,8,60,48,2,101,0,5,8,890
21:30:53.378426,3836,799,8,60,48,1,101,0,5,8,890
21:30:53.401797,960,801,8,60,48,1,101,0,5,8,890
21:30:53.494505,3836,809,8,60,48,1,101,0,5,8,890
21:30:53.517823,960,811,8,60,48,1,101,0,5,8,890
21:30:53.611035,3836,819,8,60,48,2,101,0,5,8,890
21:30:53.634907,960,821,8,60,48,1,101,0,5,8,890
21:30:53.727605,3836,829,8,60,48,1,101,0,5,8,890
21:30:53.751008,960,831,8,60,48,1,101,0,5,8,890
21:30:53.844874,3836,839,8,60,48,1,101,0,5,8,890
21:30:53.868516,960,841,8,60,48,2,101,0,5,8,890
21:30:53.963182,3836,849,8,55,48,1,101,0,5,8,890
21:30:53.986749,960,851,8,60,48,1,101,0,5,8,890
21:30:54.081495,3836,859,8,60,48,1,101,0,5,8,890
21:30:54.104701,960,861,8,60,48,1,101,0,5,8,890
21:30:54.197389,3836,869,8,60,48,2,101,0,5,8,890
21:30:54.221266,960,871,8,60,48,1,101,0,5,8,890
21:30:54.314541,3836,879,8,60,48,1,101,0,5,8,890
21:30:54.338414,960,881,8,60,48,1,101,0,5,8,890
21:30:54.432809,3836,889,8,60,48,1,101,0,5,8,890
21:30:54.456555,960,891,8,60,48,2,101,0,5,8,890
21:30:54.550637,3836,899,8,60,48,1,101,0,5,8,890
21:30:54.574532,960,901,8,60,48,1,101,0,5,8,890
21:30:54.668638,3836,909,8,60,48,1,101,0,5,8,890
21:30:54.693267,960,911,8,60,48,1,101,0,5,8,890
21:30:54.786376,3836,919,8,60,48,2,101,0,5,8,890
21:30:54.810104,960,921,8,60,48,1,101,0,5,8,890
21:30:54.907885,3836,929,8,60,48,1,101,0,5,8,890
21:30:54.931344,960,931,8,60,48,1,101,0,5,8,890
21:30:55.138978,3836,939,8,60,48,1,101,0,5,8,890
21:30:55.162605,960,941,8,60,48,2,101,0,5,8,890
21:30:55.260515,3836,949,8,60,48,1,101,0,5,8,890
21:30:55.284301,960,951,8,60,48,1,101,0,5,8,890
21:30:55.381603,3836,959,8,60,48,2,101,0,5,8,890
21:30:55.404651,960,961,8,60,48,1,101,0,5,8,890
21:30:55.499752,3836,969,8,60,48,1,101,0,5,8,890
21:30:55.523384,960,971,8,60,48,1,101,0,5,8,890
21:30:55.620340,3836,979,8,60,48,1,101,0,5,8,890
21:30:55.644366,960,981,8,60,48,2,101,0,5,8,890
21:30:55.739770,3836,989,8,60,48,1,101,0,5,8,890
21:30:55.763778,960,991,8,55,48,1,101,0,5,8,890
21:30:55.858396,3836,999,8,60,48,1,101,0,5,8,890
21:30:55.882755,960,1001,8,60,48,1,101,0,5,8,890
21:30:55.978309,3836,1009,8,60,48,2,101,0,5,8,890
21:30:56.002166,960,1011,8,60,48,1,101,0,5,8,890
21:30:56.098805,3836,1019,8,60,48,1,101,0,5,8,890
21:30:56.123459,960,1021,8,55,48,1,101,0,5,8,890
21:30:56.217824,3836,5,8,65,48,1,101,0,5,8,890
21:30:56.241954,960,7,8,60,48,2,101,0,5,8,890
21:30:56.336244,3836,15,8,60,48,1,101,0,5,8,890
21:30:56.358491,960,17,8,60,48,1,101,0,5,8,890
21:30:56.450079,3836,25,8,60,48,1,101,0,5,8,890
21:30:56.473265,960,27,8,60,48,1,101,0,5,8,890
21:30:56.563475,3836,35,8,60,48,2,101,0,5,8,890
21:30:56.586021,960,37,8,60,48,1,101,0,5,8,890
21:30:56.677674,3836,45,8,60,48,1,101,0,5,8,890
21:30:56.700230,960,47,8,60,48,1,101,0,5,8,890
21:30:56.791449,3836,55,8,60,48,1,101,0,5,8,890
21:30:56.813833,960,57,8,60,48,2,101,0,5,8,890
21:30:56.904027,3836,65,8,55,48,1,101,0,5,8,890
21:30:56.958294,960,67,8,60,48,1,101,0,5,8,890
21:30:57.050219,3836,75,8,60,48,1,101,0,5,8,890
21:30:57.073463,960,77,8,60,48,1,101,0,5,8,890
21:30:57.164757,3836,85,8,60,48,2,101,0,5,8,890
21:30:57.188279,960,87,8,60,48,1,101,0,5,8,890
21:30:57.282326,3836,95,8,60,48,1,101,0,5,8,890
21:30:57.306075,960,97,8,60,48,2,101,0,5,8,890
21:30:57.398809,3836,105,8,60,48,1,101,0,5,8,890
21:30:57.422038,960,107,8,60,48,1,101,0,5,8,890
21:30:57.515753,3836,115,8,60,48,1,101,0,5,8,890
21:30:57.538592,960,117,8,60,48,1,101,0,5,8,890
21:30:57.630965,3836,125,8,60,48,2,101,0,5,8,890
21:30:57.654319,960,127,8,60,48,1,101,0,5,8,890
21:30:57.747037,3836,135,8,60,48,1,101,0,5,8,890
21:30:57.770151,960,137,8,60,48,1,101,0,5,8,890
21:30:57.861641,3836,145,8,60,48,1,101,0,5,8,890
21:30:57.884572,960,147,8,60,48,2,101,0,5,8,890
21:30:58.007334,3836,155,8,60,48,1,101,0,5,8,890
21:30:58.030462,960,157,8,60,48,1,101,0,5,8,890
21:30:58.120829,3836,165,8,60,48,1,101,0,5,8,890
21:30:58.142948,960,167,8,60,48,1,101,0,5,8,890
21:30:58.235415,3836,175,8,60,48,2,101,0,5,8,890
21:30:58.257899,960,177,8,60,48,1,101,0,5,8,890
21:30:58.348646,3836,185,8,60,48,1,101,0,5,8,890
21:30:58.371337,960,187,8,60,48,1,101,0,5,8,890
21:30:58.462156,3836,195,8,60,48,1,101,0,5,8,890
21:30:58.484436,960,197,8,60,48,2,101,0,5,8,890
21:30:58.576075,3836,205,8,60,48,1,101,0,5,8,890
21:30:58.599318,960,207,8,60,48,1,101,0,5,8,890
21:30:58.693211,3836,215,8,60,48,1,101,0,5,8,890
21:30:58.715638,960,217,8,60,48,1,101,0,5,8,890
21:30:58.808380,3836,225,8,60,48,2,101,0,5,8,890
21:30:58.831184,960,227,8,60,48,1,101,0,5,8,890
21:30:58.922445,3836,235,8,60,48,1,101,0,5,8,890
21:30:58.973255,960,237,8,60,48,2,101,0,5,8,890
21:30:59.158250,3836,245,8,60,48,1,101,0,5,8,890
21:30:59.180646,960,247,8,60,48,1,101,0,5,8,890
21:30:59.271268,3836,255,8,60,48,1,101,0,5,8,890
21:30:59.293927,960,257,8,60,48,1,101,0,5,8,890
21:30:59.383971,3836,265,8,60,48,2,101,0,5,8,890
21:30:59.406799,960,267,8,60,48,1,101,0,5,8,890
21:30:59.497025,3836,275,8,60,48,1,101,0,5,8,890
21:30:59.519672,960,277,8,60,48,1,101,0,5,8,890
21:30:59.610096,3836,285,8,60,48,1,101,0,5,8,890
21:30:59.633023,960,287,8,55,48,2,101,0,5,8,890
21:30:59.724183,3836,295,8,60,48,1,101,0,5,8,890
21:30:59.747138,960,297,8,60,48,1,101,0,5,8,890
21:30:59.838894,3836,305,8,60,48,1,101,0,5,8,890
21:30:59.861680,960,307,8,60,48,1,101,0,5,8,890
21:30:59.952145,3836,315,8,55,48,2,101,0,5,8,890
21:30:59.974750,960,317,8,60,48,1,101,0,5,8,890
21:31:00.113247,3836,325,8,60,48,1,101,0,5,8,890
21:31:00.181623,960,327,8,60,48,1,101,0,5,8,890
21:31:00.273065,3836,335,8,60,48,1,101,0,5,8,890
21:31:00.295965,960,337,8,60,48,2,101,0,5,8,890
21:31:00.388010,3836,345,8,60,48,1,101,0,5,8,890
21:31:00.411174,960,347,8,60,48,1,101,0,5,8,890
21:31:00.503711,3836,355,8,60,48,1,101,0,5,8,890
21:31:00.527068,960,357,8,60,48,1,101,0,5,8,890
21:31:00.619949,3836,365,8,60,48,2,101,0,5,8,890
21:31:00.643398,960,367,8,60,48,1,101,0,5,8,890
21:31:00.735195,3836,375,8,60,48,1,101,0,5,8,890
21:31:00.758367,960,377,8,60,48,2,101,0,5,8,890
21:31:00.851333,3836,385,8,60,48,1,101,0,5,8,890
21:31:00.874738,960,387,8,60,48,1,101,0,5,8,890
21:31:00.966273,3836,395,8,55,48,1,101,0,5,8,890
21:31:00.989255,960,397,8,60,48,1,101,0,5,8,890
21:31:01.080971,3836,405,8,60,48,2,101,0,5,8,890
21:31:01.103789,960,407,8,60,48,1,101,0,5,8,890
21:31:01.288202,3836,415,8,60,48,1,101,0,5,8,890
21:31:01.311040,960,417,8,60,48,1,101,0,5,8,890
21:31:01.403052,3836,425,8,60,48,1,101,0,5,8,890
21:31:01.426091,960,427,8,60,48,2,101,0,5,8,890
21:31:01.518069,3836,435,8,55,48,1,101,0,5,8,890
21:31:01.529266,3836,436,7,55,48,1,469,0,106,8,890
21:31:01.529912,3836,436,8,60,48,1,2178,0,106,8,890
21:31:01.530439,3836,436,9,60,61,1,2178,0,106,8,890
