time,frame,slot,rnti,rb_size,rb_start,qam_mod_order,mcs_index,number_of_bits
21:30:50.669329,579,8,3836,5,0,2,8,808
21:30:50.693531,581,8,960,5,0,2,8,808
21:30:50.790981,589,8,3836,5,0,2,8,808
21:30:50.815471,591,8,960,5,0,2,8,808
21:30:51.005963,599,8,3836,5,0,2,8,808
21:30:51.029473,601,8,960,5,0,2,8,808
21:30:51.126301,609,8,3836,5,0,2,8,808
21:30:51.150521,611,8,960,5,0,2,8,808
21:30:51.247422,619,8,3836,5,0,2,8,808
21:30:51.271732,621,8,960,5,0,2,8,808
21:30:51.369853,629,8,3836,5,0,2,8,808
21:30:51.389687,631,8,960,5,0,2,8,808
21:30:51.471387,639,8,3836,5,0,2,8,808
21:30:51.491895,641,8,960,5,0,2,8,808
21:30:51.573412,649,8,3836,5,0,2,8,808
21:30:51.594008,651,8,960,5,0,2,8,808
21:30:51.676518,659,8,3836,5,0,2,8,808
21:30:51.699481,661,8,960,5,0,2,8,808
21:30:51.792062,669,8,3836,5,0,2,8,808
21:30:51.815231,671,8,960,5,0,2,8,808
21:30:51.957403,679,8,3836,5,0,2,8,808
21:30:51.979907,681,8,960,5,0,2,8,808
21:30:52.074347,689,8,3836,5,0,2,8,808
21:30:52.098788,691,8,960,5,0,2,8,808
21:30:52.194374,699,8,3836,5,0,2,8,808
21:30:52.217258,701,8,960,5,0,2,8,808
21:30:52.309958,709,8,3836,5,0,2,8,808
21:30:52.333851,711,8,960,5,0,2,8,808
21:30:52.427078,719,8,3836,5,0,2,8,808
21:30:52.450068,721,8,960,5,0,2,8,808
21:30:52.543286,729,8,3836,5,0,2,8,808
21:30:52.567046,731,8,960,5,0,2,8,808
21:30:52.660979,739,8,3836,5,0,2,8,808
21:30:52.684600,741,8,960,5,0,2,8,808
21:30:52.776636,749,8,3836,5,0,2,8,808
21:30:52.799646,751,8,960,5,0,2,8,808
21:30:52.893403,759,8,3836,5,0,2,8,808
21:30:52.916578,761,8,960,5,0,2,8,808
21:30:53.027903,769,8,3836,5,0,2,8,808
21:30:53.051356,771,8,960,5,0,2,8,808
21:30:53.146943,779,8,3836,5,0,2,8,808
21:30:53.169448,781,8,960,5,0,2,8,808
21:30:53.262287,789,8,3836,5,0,2,8,808
21:30:53.285211,791,8,960,5,0,2,8,808
21:30:53.378424,799,8,3836,5,0,2,8,808
21:30:53.401795,801,8,960,5,0,2,8,808
21:30:53.494504,809,8,3836,5,0,2,8,808
21:30:53.517822,811,8,960,5,0,2,8,808
21:30:53.611034,819,8,3836,5,0,2,8,808
21:30:53.634906,821,8,960,5,0,2,8,808
21:30:53.727603,829,8,3836,5,0,2,8,808
21:30:53.751006,831,8,960,5,0,2,8,808
21:30:53.844873,839,8,3836,5,0,2,8,808
21:30:53.868515,841,8,960,5,0,2,8,808
21:30:53.963181,849,8,3836,5,0,2,8,808
21:30:53.986749,851,8,960,5,0,2,8,808
21:30:54.081494,859,8,3836,5,0,2,8,808
21:30:54.104700,861,8,960,5,0,2,8,808
21:30:54.197388,869,8,3836,5,0,2,8,808
21:30:54.221265,871,8,960,5,0,2,8,808
21:30:54.314540,879,8,3836,5,0,2,8,808
21:30:54.338413,881,8,960,5,0,2,8,808
21:30:54.432807,889,8,3836,5,0,2,8,808
21:30:54.456553,891,8,960,5,0,2,8,808
21:30:54.550636,899,8,3836,5,0,2,8,808
21:30:54.574530,901,8,960,5,0,2,8,808
21:30:54.668636,909,8,3836,5,0,2,8,808
21:30:54.693266,911,8,960,5,0,2,8,808
21:30:54.786374,919,8,3836,5,0,2,8,808
21:30:54.810103,921,8,960,5,0,2,8,808
21:30:54.907879,929,8,3836,5,0,2,8,808
21:30:54.931343,931,8,960,5,0,2,8,808
21:30:55.138976,939,8,3836,5,0,2,8,808
21:30:55.162603,941,8,960,5,0,2,8,808
21:30:55.260514,949,8,3836,5,0,2,8,808
21:30:55.284299,951,8,960,5,0,2,8,808
21:30:55.381602,959,8,3836,5,0,2,8,808
21:30:55.404650,961,8,960,5,0,2,8,808
21:30:55.499751,969,8,3836,5,0,2,8,808
21:30:55.523383,971,8,960,5,0,2,8,808
21:30:55.620338,979,8,3836,5,0,2,8,808
21:30:55.644364,981,8,960,5,0,2,8,808
21:30:55.739770,989,8,3836,5,0,2,8,808
21:30:55.763776,991,8,960,5,0,2,8,808
21:30:55.858394,999,8,3836,5,0,2,8,808
21:30:55.882753,1001,8,960,5,0,2,8,808
21:30:55.978308,1009,8,3836,5,0,2,8,808
21:30:56.002165,1011,8,960,5,0,2,8,808
21:30:56.098804,1019,8,3836,5,0,2,8,808
21:30:56.123454,1021,8,960,5,0,2,8,808
21:30:56.217823,5,8,3836,5,0,2,8,808
21:30:56.241953,7,8,960,5,0,2,8,808
21:30:56.336242,15,8,3836,5,0,2,8,808
21:30:56.358486,17,8,960,5,0,2,8,808
21:30:56.450078,25,8,3836,5,0,2,8,808
21:30:56.473264,27,8,960,5,0,2,8,808
21:30:56.563474,35,8,3836,5,0,2,8,808
21:30:56.586019,37,8,960,5,0,2,8,808
21:30:56.677672,45,8,3836,5,0,2,8,808
21:30:56.700229,47,8,960,5,0,2,8,808
21:30:56.791447,55,8,3836,5,0,2,8,808
21:30:56.813832,57,8,960,5,0,2,8,808
21:30:56.904026,65,8,3836,5,0,2,8,808
21:30:56.958293,67,8,960,5,0,2,8,808
21:30:57.050212,75,8,3836,5,0,2,8,808
21:30:57.073462,77,8,960,5,0,2,8,808
21:30:57.164756,85,8,3836,5,0,2,8,808
21:30:57.188278,87,8,960,5,0,2,8,808
21:30:57.282324,95,8,3836,5,0,2,8,808
21:30:57.306074,97,8,960,5,0,2,8,808
21:30:57.398808,105,8,3836,5,0,2,8,808
21:30:57.422037,107,8,960,5,0,2,8,808
21:30:57.515752,115,8,3836,5,0,2,8,808
21:30:57.538590,117,8,960,5,0,2,8,808
21:30:57.630963,125,8,3836,5,0,2,8,808
21:30:57.654318,127,8,960,5,0,2,8,808
21:30:57.747036,135,8,3836,5,0,2,8,808
21:30:57.770150,137,8,960,5,0,2,8,808
21:30:57.861639,145,8,3836,5,0,2,8,808
21:30:57.884571,147,8,960,5,0,2,8,808
21:30:58.007332,155,8,3836,5,0,2,8,808
21:30:58.030461,157,8,960,5,0,2,8,808
21:30:58.120828,165,8,3836,5,0,2,8,808
21:30:58.142948,167,8,960,5,0,2,8,808
21:30:58.235413,175,8,3836,5,0,2,8,808
21:30:58.257898,177,8,960,5,0,2,8,808
21:30:58.348645,185,8,3836,5,0,2,8,808
21:30:58.371336,187,8,960,5,0,2,8,808
21:30:58.462155,195,8,3836,5,0,2,8,808
21:30:58.484435,197,8,960,5,0,2,8,808
21:30:58.576073,205,8,3836,5,0,2,8,808
21:30:58.599317,207,8,960,5,0,2,8,808
21:30:58.693209,215,8,3836,5,0,2,8,808
21:30:58.715637,217,8,960,5,0,2,8,808
21:30:58.808378,225,8,3836,5,0,2,8,808
21:30:58.831183,227,8,960,5,0,2,8,808
21:30:58.922443,235,8,3836,5,0,2,8,808
21:30:58.973254,237,8,960,5,0,2,8,808
21:30:59.158248,245,8,3836,5,0,2,8,808
21:30:59.180645,247,8,960,5,0,2,8,808
21:30:59.271266,255,8,3836,5,0,2,8,808
21:30:59.293926,257,8,960,5,0,2,8,808
21:30:59.383970,265,8,3836,5,0,2,8,808
21:30:59.406797,267,8,960,5,0,2,8,808
21:30:59.497024,275,8,3836,5,0,2,8,808
21:30:59.519671,277,8,960,5,0,2,8,808
21:30:59.610094,285,8,3836,5,0,2,8,808
21:30:59.633022,287,8,960,5,0,2,8,808
21:30:59.724182,295,8,3836,5,0,2,8,808
21:30:59.747136,297,8,960,5,0,2,8,808
21:30:59.838892,305,8,3836,5,0,2,8,808
21:30:59.861679,307,8,960,5,0,2,8,808
21:30:59.952143,315,8,3836,5,0,2,8,808
21:30:59.974749,317,8,960,5,0,2,8,808
21:31:00.113245,325,8,3836,5,0,2,8,808
21:31:00.181621,327,8,960,5,0,2,8,808
21:31:00.273064,335,8,3836,5,0,2,8,808
21:31:00.295964,337,8,960,5,0,2,8,808
21:31:00.388009,345,8,3836,5,0,2,8,808
21:31:00.411174,347,8,960,5,0,2,8,808
21:31:00.503710,355,8,3836,5,0,2,8,808
21:31:00.527067,357,8,960,5,0,2,8,808
21:31:00.619948,365,8,3836,5,0,2,8,808
21:31:00.643397,367,8,960,5,0,2,8,808
21:31:00.735194,375,8,3836,5,0,2,8,808
21:31:00.758365,377,8,960,5,0,2,8,808
21:31:00.851331,385,8,3836,5,0,2,8,808
21:31:00.874737,387,8,960,5,0,2,8,808
21:31:00.966271,395,8,3836,5,0,2,8,808
21:31:00.989255,397,8,960,5,0,2,8,808
21:31:01.080969,405,8,3836,5,0,2,8,808
21:31:01.103788,407,8,960,5,0,2,8,808
21:31:01.288200,415,8,3836,5,0,2,8,808
21:31:01.311039,417,8,960,5,0,2,8,808
21:31:01.403051,425,8,3836,5,0,2,8,808
21:31:01.426089,427,8,960,5,0,2,8,808
21:31:01.518067,435,8,3836,5,0,2,8,808
21:31:01.529265,436,7,3836,106,0,2,8,3752
21:31:01.529911,436,8,3836,106,0,2,8,17424
21:31:01.530438,436,9,3836,106,0,2,8,17424
21:31:01.535133,436,17,3836,106,0,2,8,3752
21:31:01.535656,436,18,3836,106,0,2,8,17424
21:31:01.536224,436,19,3836,106,0,2,8,17424
21:31:01.540950,437,7,3836,106,0,2,8,3752
21:31:01.541704,437,8,960,5,0,2,8,808
21:31:01.541704,437,8,3836,101,5,2,8,16392
21:31:01.542247,437,9,3836,106,0,2,8,17424
21:31:01.546619,437,17,3836,106,0,2,8,3752
21:31:01.547349,437,18,3836,106,0,2,8,17424
21:31:01.548111,437,19,3836,94,12,2,8,15112
21:31:01.552570,438,7,960,106,0,2,8,3752
21:31:01.553128,438,8,960,106,0,2,8,17424
21:31:01.553587,438,9,960,106,0,2,8,17424
21:31:01.558355,438,17,960,106,0,2,8,3752
21:31:01.558968,438,18,960,106,0,2,8,17424
21:31:01.559558,438,19,960,106,0,2,8,17424
21:31:01.564149,439,7,960,106,0,2,8,3752
21:31:01.564980,439,8,960,106,0,2,8,17424
21:31:01.565331,439,9,960,106,0,2,8,17424
21:31:01.569806,439,17,960,106,0,2,8,3752
21:31:01.570433,439,18,960,106,0,2,8,17424
21:31:01.571109,439,19,3836,94,12,2,8,15112
21:31:01.575699,440,7,960,106,0,2,8,3752
21:31:01.576352,440,8,960,106,0,2,8,15624
21:31:01.576882,440,9,3836,106,0,2,8,15624
21:31:01.581710,440,17,960,106,0,2,8,3752
21:31:01.582038,440,18,960,106,0,2,8,17424
21:31:01.582698,440,19,3836,106,0,2,8,17424
21:31:01.587322,441,7,960,106,0,2,8,3752
21:31:01.587926,441,8,960,106,0,2,8,17424
21:31:01.588425,441,9,3836,106,0,2,8,17424
21:31:01.592889,441,17,960,106,0,2,8,3752
21:31:01.593379,441,18,3836,106,0,2,8,17424
21:31:01.594231,441,19,960,94,12,2,8,15112
21:31:01.598432,442,7,3836,106,0,2,8,3752
21:31:01.599015,442,8,960,106,0,2,8,17424
21:31:01.599539,442,9,3836,106,0,2,8,17424
21:31:01.604111,442,17,960,106,0,2,8,3752
21:31:01.604618,442,18,3836,106,0,2,8,17424
21:31:01.605104,442,19,960,106,0,2,8,17424
21:31:01.610036,443,7,3836,106,0,2,8,3752
21:31:01.610399,443,8,960,106,0,2,8,17424
21:31:01.611210,443,9,3836,106,0,2,8,17424
21:31:01.615314,443,17,960,106,0,2,8,3752
21:31:01.616335,443,18,3836,106,0,2,8,17424
21:31:01.616743,443,19,960,94,12,2,8,15112
21:31:01.620993,444,7,960,106,0,2,8,3752
21:31:01.621751,444,8,3836,106,0,2,8,17424
21:31:01.622292,444,9,960,106,0,2,8,17424
21:31:01.626962,444,17,3836,106,0,2,8,3752
21:31:01.627541,444,18,960,106,0,2,8,17424
21:31:01.628014,444,19,3836,106,0,2,8,17424
21:31:01.632395,445,7,960,106,0,2,8,3752
21:31:01.633183,445,8,3836,106,0,2,8,17424
21:31:01.633700,445,9,960,106,0,2,8,17424
21:31:01.638498,445,17,3836,106,0,2,8,3752
21:31:01.639469,445,18,960,106,0,2,8,17424
21:31:01.640307,445,19,3836,94,12,2,8,15112
21:31:01.644094,446,7,3836,106,0,2,8,3752
21:31:01.644753,446,8,960,106,0,2,8,17424
21:31:01.645197,446,9,3836,106,0,2,8,17424
21:31:01.649732,446,17,960,106,0,2,8,3752
21:31:01.650413,446,18,3836,106,0,2,8,17424
21:31:01.651022,446,19,960,106,0,2,8,17424
21:31:01.655512,447,7,3836,106,0,2,8,3752
21:31:01.656378,447,8,960,106,0,2,8,17424
21:31:01.656795,447,9,3836,106,0,2,8,17424
21:31:01.661488,447,17,960,106,0,2,8,3752
21:31:01.662206,447,18,3836,106,0,2,8,17424
21:31:01.662881,447,19,960,94,12,2,8,15112
21:31:01.667410,448,7,960,106,0,2,8,3752
21:31:01.668114,448,8,3836,106,0,2,8,15624
21:31:01.668684,448,9,960,106,0,2,8,15624
