time,eNB_ID,frame,subframe,rsrp,rssi,snr,rx_power,noise_power,w_cqi,freq_offset
21:30:51.434010,0,636,0,-2147483648,-183,-93,-90,3,-93,5
21:30:51.454307,0,638,0,-2147483648,-183,-93,-90,3,-93,5
21:30:52.617814,0,736,0,-2147483648,-183,-93,-90,3,-93,5
21:30:52.642234,0,738,0,-2147483648,-183,-93,-90,3,-93,5
21:30:53.802220,0,836,0,-2147483648,-183,-93,-90,3,-93,5
21:30:53.825956,0,838,0,-2147483648,-183,-95,-90,5,-95,5
21:30:55.052726,0,936,0,-2147483648,-183,-95,-90,5,-95,5
21:30:55.119536,0,938,0,-2147483648,-183,-93,-90,3,-93,5
21:30:56.293885,0,12,0,-2147483648,-183,-93,-90,3,-93,5
21:30:56.317782,0,14,0,-2147483648,-183,-93,-90,3,-93,5
21:30:57.473677,0,112,0,-2147483648,-183,-93,-90,3,-93,5
21:30:57.497024,0,114,0,-2147483648,-183,-93,-90,3,-93,5
21:30:58.649813,0,212,0,-2147483648,-183,-93,-90,3,-93,5
21:30:58.673715,0,214,0,-2147483648,-183,-95,-90,5,-95,5
21:30:59.910600,0,312,0,-2147483648,-183,-95,-90,5,-95,5
21:30:59.933864,0,314,0,-2147483648,-183,-93,-90,3,-93,5
21:31:01.245688,0,412,0,-2147483648,-183,-93,-90,3,-93,5
21:31:01.268845,0,414,0,-2147483648,-183,-90,-90,0,-90,5
21:31:02.476500,0,512,0,-2147483648,-183,-93,-90,3,-93,5
21:31:02.499932,0,514,0,-2147483648,-183,-95,-90,5,-95,5
21:31:03.259280,0,578,0,-2147483648,-183,-93,-90,3,-93,5
21:31:03.644820,0,612,0,-2147483648,-183,-93,-90,3,-93,5
21:31:03.668270,0,614,0,-2147483648,-183,-93,-90,3,-93,5
21:31:04.839574,0,712,0,-2147483648,-183,-93,-90,3,-93,5
21:31:04.862887,0,714,0,-2147483648,-183,-93,-90,3,-93,5
21:31:05.318884,0,756,0,-2147483648,-183,-93,-90,3,-93,5
21:31:05.888033,0,812,0,-2147483648,-183,-93,-90,3,-93,5
21:31:05.908420,0,814,0,-2147483648,-183,-93,-90,3,-93,5
21:31:07.114437,0,912,0,-2147483648,-183,-95,-90,5,-95,5
21:31:07.138133,0,914,0,-2147483648,-183,-93,-90,3,-93,5
21:31:08.309410,0,1012,0,-2147483648,-183,-95,-90,5,-95,5
21:31:08.333122,0,1014,0,-2147483648,-183,-90,-90,0,-90,5
21:31:09.630018,0,88,0,-2147483648,-183,-93,-90,3,-93,5
21:31:09.653363,0,90,0,-2147483648,-183,-93,-90,3,-93,5
21:31:10.753348,0,188,0,-2147483648,-183,-93,-90,3,-93,5
21:31:10.775971,0,190,0,-2147483648,-183,-93,-90,3,-93,5
21:31:11.872377,0,288,0,-2147483648,-183,-95,-90,5,-95,5
21:31:11.893986,0,290,0,-2147483648,-183,-93,-90,3,-93,5
21:31:13.046780,0,388,0,-2147483648,-183,-93,-90,3,-93,5
21:31:13.068918,0,390,0,-2147483648,-183,-93,-90,3,-93,5
21:31:13.506778,0,426,0,-2147483648,-183,-90,-90,0,-90,5
21:31:14.214103,0,488,0,-2147483648,-183,-95,-90,5,-95,5
21:31:14.234652,0,490,0,-2147483648,-183,-93,-90,3,-93,5
21:31:15.390160,0,588,0,-2147483648,-183,-95,-90,5,-95,5
21:31:15.412953,0,590,0,-2147483648,-183,-93,-90,3,-93,5
