time,rnti,frame,slot,lcid,data_size,tx_list_occupancy
21:32:41.773135,3836,748,15,1,0,0
21:32:41.773137,3836,748,15,4,3,0
21:32:41.823880,3836,753,16,1,0,0
21:32:41.823882,3836,753,16,4,3,0
21:32:41.847623,3836,756,4,1,0,0
21:32:41.847625,3836,756,4,4,3,0
21:32:41.897534,3836,761,5,1,0,0
21:32:41.897535,3836,761,5,4,3,0
21:32:41.947943,3836,766,6,1,0,0
21:32:41.947944,3836,766,6,4,3,0
21:32:41.972257,3836,768,14,1,0,0
21:32:41.972258,3836,768,14,4,3,0
21:32:41.997181,3836,771,4,1,0,0
21:32:41.997183,3836,771,4,4,3,0
21:32:42.022532,3836,773,14,1,0,0
21:32:42.022533,3836,773,14,4,3,0
21:32:42.047508,3836,776,4,1,0,0
21:32:42.047510,3836,776,4,4,3,0
21:32:42.072596,3836,778,14,1,0,0
21:32:42.072599,3836,778,14,4,3,0
21:32:42.097861,3836,781,4,1,0,0
21:32:42.097862,3836,781,4,4,3,0
21:32:42.149146,3836,786,5,1,0,0
21:32:42.149147,3836,786,5,4,3,0
21:32:42.169414,3836,788,5,1,0,0
21:32:42.169416,3836,788,5,4,3,0
21:32:42.693346,960,840,15,1,0,0
21:32:42.693348,960,840,15,4,3,0
21:32:42.757778,960,845,16,1,0,0
21:32:42.757780,960,845,16,4,3,0
21:32:42.832488,960,851,4,1,0,0
21:32:42.832490,960,851,4,4,3,0
21:32:42.857051,960,853,14,1,0,0
21:32:42.857053,960,853,14,4,3,0
21:32:42.906865,960,858,15,1,0,0
21:32:42.906867,960,858,15,4,3,0
21:32:42.931086,960,861,4,1,0,0
21:32:42.931088,960,861,4,4,3,0
21:32:42.981502,960,866,6,1,0,0
21:32:42.981503,960,866,6,4,3,0
21:32:43.035802,960,871,14,1,0,0
21:32:43.035805,960,871,14,4,3,0
21:32:43.060780,960,874,4,1,0,0
21:32:43.060781,960,874,4,4,3,0
21:32:43.085600,960,876,14,1,0,0
21:32:43.085601,960,876,14,4,3,0
21:32:43.110760,960,879,4,1,0,0
21:32:43.110761,960,879,4,4,3,0
21:32:43.127175,960,880,17,1,0,0
21:32:43.127177,960,880,17,4,3,0
21:32:43.560627,3836,924,15,1,0,0
21:32:43.560629,3836,924,15,4,3,0
21:32:43.610766,3836,929,16,1,0,0
21:32:43.610768,3836,929,16,4,3,0
21:32:43.634620,3836,932,4,1,0,0
21:32:43.634621,3836,932,4,4,3,0
21:32:43.684916,3836,937,5,1,0,0
21:32:43.684918,3836,937,5,4,3,0
21:32:43.735004,3836,942,6,1,0,0
21:32:43.735006,3836,942,6,4,3,0
21:32:43.759079,3836,944,14,1,0,0
21:32:43.759080,3836,944,14,4,3,0
21:32:43.783774,3836,947,4,1,0,0
21:32:43.783775,3836,947,4,4,3,0
21:32:43.860826,3836,949,14,1,0,0
21:32:43.860828,3836,949,14,4,3,0
21:32:43.945504,3836,952,4,1,0,0
21:32:43.945505,3836,952,4,4,3,0
21:32:43.970033,3836,954,14,1,0,0
21:32:43.970034,3836,954,14,4,3,0
21:32:43.994635,3836,957,4,1,0,0
21:32:43.994636,3836,957,4,4,3,0
21:32:44.044754,3836,962,5,1,0,0
21:32:44.044755,3836,962,5,4,3,0
21:32:44.064656,3836,964,5,1,0,0
21:32:44.064658,3836,964,5,4,3,0
21:32:44.482862,960,1006,14,1,0,0
21:32:44.482864,960,1006,14,4,3,0
21:32:44.507850,960,1009,4,1,0,0
21:32:44.507852,960,1009,4,4,3,0
21:32:44.558380,960,1014,5,1,0,0
21:32:44.558382,960,1014,5,4,3,0
21:32:44.582618,960,1016,14,1,0,0
21:32:44.582620,960,1016,14,4,3,0
21:32:44.607295,960,1019,4,1,0,0
21:32:44.607296,960,1019,4,4,3,0
21:32:44.631886,960,1021,14,1,0,0
21:32:44.631887,960,1021,14,4,3,0
21:32:44.682210,960,2,15,1,0,0
21:32:44.682212,960,2,15,4,3,0
21:32:44.706656,960,5,4,1,0,0
21:32:44.706658,960,5,4,4,3,0
21:32:44.732048,960,7,14,1,0,0
21:32:44.732050,960,7,14,4,3,0
21:32:44.757428,960,10,4,1,0,0
21:32:44.757430,960,10,4,4,3,0
21:32:44.808320,960,15,5,1,0,0
21:32:44.808322,960,15,5,4,3,0
21:32:44.833040,960,17,14,1,0,0
21:32:44.833041,960,17,14,4,3,0
21:32:44.858420,960,20,4,1,0,0
21:32:44.858421,960,20,4,4,3,0
21:32:44.928151,960,22,14,1,0,0
21:32:44.928152,960,22,14,4,3,0
21:32:45.369234,3836,66,15,1,0,0
21:32:45.369236,3836,66,15,4,3,0
21:32:45.419626,3836,71,16,1,0,0
21:32:45.419629,3836,71,16,4,3,0
21:32:45.473900,3836,77,4,1,0,0
21:32:45.473902,3836,77,4,4,3,0
21:32:45.499113,3836,79,14,1,0,0
21:32:45.499115,3836,79,14,4,3,0
21:32:45.549367,3836,84,15,1,0,0
21:32:45.549369,3836,84,15,4,3,0
21:32:45.573712,3836,87,4,1,0,0
21:32:45.573714,3836,87,4,4,3,0
21:32:45.624551,3836,92,6,1,0,0
21:32:45.624553,3836,92,6,4,3,0
21:32:45.678562,3836,97,15,1,0,0
21:32:45.678563,3836,97,15,4,3,0
21:32:45.729121,3836,102,16,1,0,0
21:32:45.729123,3836,102,16,4,3,0
21:32:45.763783,3836,106,5,1,0,0
21:32:45.763785,3836,106,5,4,3,0
21:32:46.201506,960,148,16,1,0,0
21:32:46.201508,960,148,16,4,3,0
21:32:46.252071,960,153,16,1,0,0
21:32:46.252073,960,153,16,4,3,0
21:32:46.276436,960,156,4,1,0,0
21:32:46.276437,960,156,4,4,3,0
